picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  293, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2932 ms, ax =  0.5011, ay = -0.6629, az =  9.8236, gx =  0.1106 rad/s, gy = -0.0004 rad/s, gz = -0.0342 rad/s, rpm_pitch =  0.0000, rpm_roll = -374.9666, I_w_pitch =  6.5030 A, I_w_roll = 16.5167 A, theta_pitch = -53.25656mrad, theta_roll_comp = -71.9036 mrad, theta_setpoint = -16.4521 mrad, 
msg = 6374, nerr =  372p/ 380r, time steps =    5, qsz =    2, switch = on, t =    63742 ms, ax =  0.5682, ay = -0.3788, az =  9.8344, gx = -0.0029 rad/s, gy = -0.0037 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = 155.5481, I_w_pitch =  7.0127 A, I_w_roll =  0.3023 A, theta_pitch = -55.76637mrad, theta_roll_comp = -46.4895 mrad, theta_setpoint = -49.7684 mrad, 
msg = 6375, nerr =  372p/ 380r, time steps =    5, qsz =    3, switch = on, t =    63752 ms, ax =  0.5095, ay = -0.3273, az =  9.8632, gx = -0.0034 rad/s, gy = -0.0034 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = 155.5481, I_w_pitch =  7.0054 A, I_w_roll =  0.1464 A, theta_pitch = -55.78905mrad, theta_roll_comp = -46.4133 mrad, theta_setpoint = -49.7684 mrad, 
msg = 6376, nerr =  372p/ 380r, time steps =    5, qsz =    2, switch = on, t =    63762 ms, ax =  0.5994, ay = -0.3968, az =  9.8236, gx = -0.0037 rad/s, gy = -0.0033 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = 154.5455, I_w_pitch =  7.0062 A, I_w_roll =  0.0514 A, theta_pitch = -55.83007mrad, theta_roll_comp = -46.3548 mrad, theta_setpoint = -49.7055 mrad, 
msg = 6377, nerr =  372p/ 380r, time steps =    5, qsz =    2, switch = on, t =    63772 ms, ax =  0.5035, ay = -0.4004, az =  9.8248, gx = -0.0038 rad/s, gy = -0.0034 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = 154.5455, I_w_pitch =  7.0165 A, I_w_roll =  0.0129 A, theta_pitch = -55.86323mrad, theta_roll_comp = -46.3344 mrad, theta_setpoint = -49.7055 mrad, 
msg = 6378, nerr =  372p/ 380r, time steps =    5, qsz =    2, switch = on, t =    63782 ms, ax =  0.5514, ay = -0.3944, az =  9.8224, gx = -0.0043 rad/s, gy = -0.0029 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = 154.5455, I_w_pitch =  6.9968 A, I_w_roll = -0.1662 A, theta_pitch = -55.87391mrad, theta_roll_comp = -46.3162 mrad, theta_setpoint = -49.7055 mrad, 
msg = 6379, nerr =  372p/ 380r, time steps =    5, qsz =    3, switch = on, t =    63792 ms, ax =  0.5226, ay = -0.3764, az =  9.8368, gx = -0.0042 rad/s, gy = -0.0021 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = 154.5455, I_w_pitch =  6.9665 A, I_w_roll = -0.1081 A, theta_pitch = -55.88483mrad, theta_roll_comp = -46.2873 mrad, theta_setpoint = -49.7055 mrad, 
msg = 6380, nerr =  373p/ 381r, time steps =    5, qsz =    2, switch = on, t =    63802 ms, ax =  0.5526, ay = -0.4004, az =  9.8691, gx = -0.0049 rad/s, gy = -0.0020 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9623 A, I_w_roll = -0.3488 A, theta_pitch = -55.89194mrad, theta_roll_comp = -46.2646 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6381, nerr =  373p/ 381r, time steps =    5, qsz =    2, switch = on, t =    63812 ms, ax =  0.5682, ay = -0.4136, az =  9.8260, gx = -0.0043 rad/s, gy = -0.0020 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9667 A, I_w_roll = -0.1612 A, theta_pitch = -55.92167mrad, theta_roll_comp = -46.2615 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6382, nerr =  373p/ 381r, time steps =    5, qsz =    2, switch = on, t =    63822 ms, ax =  0.5382, ay = -0.4375, az =  9.8200, gx = -0.0043 rad/s, gy = -0.0025 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9917 A, I_w_roll = -0.1670 A, theta_pitch = -55.94629mrad, theta_roll_comp = -46.2762 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6383, nerr =  373p/ 381r, time steps =    5, qsz =    2, switch = on, t =    63832 ms, ax =  0.5214, ay = -0.4315, az =  9.8548, gx = -0.0046 rad/s, gy = -0.0025 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9921 A, I_w_roll = -0.2695 A, theta_pitch = -55.94918mrad, theta_roll_comp = -46.2995 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6384, nerr =  373p/ 381r, time steps =    5, qsz =    2, switch = on, t =    63842 ms, ax =  0.5107, ay = -0.4339, az =  9.8452, gx = -0.0039 rad/s, gy = -0.0018 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9633 A, I_w_roll = -0.0440 A, theta_pitch = -55.93415mrad, theta_roll_comp = -46.3181 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6385, nerr =  373p/ 381r, time steps =    5, qsz =    2, switch = on, t =    63852 ms, ax =  0.4795, ay = -0.4363, az =  9.8440, gx = -0.0039 rad/s, gy = -0.0022 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9736 A, I_w_roll = -0.0512 A, theta_pitch = -55.89671mrad, theta_roll_comp = -46.3362 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6386, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63862 ms, ax =  0.4879, ay = -0.4423, az =  9.8488, gx = -0.0033 rad/s, gy = -0.0024 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9723 A, I_w_roll =  0.1744 A, theta_pitch = -55.85205mrad, theta_roll_comp = -46.3548 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6387, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63872 ms, ax =  0.4795, ay = -0.4507, az =  9.8212, gx = -0.0030 rad/s, gy = -0.0029 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9874 A, I_w_roll =  0.2588 A, theta_pitch = -55.81128mrad, theta_roll_comp = -46.3766 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6388, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63882 ms, ax =  0.4927, ay = -0.4351, az =  9.8380, gx = -0.0030 rad/s, gy = -0.0032 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9931 A, I_w_roll =  0.2524 A, theta_pitch = -55.77822mrad, theta_roll_comp = -46.3927 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6389, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63892 ms, ax =  0.4639, ay = -0.4363, az =  9.8428, gx = -0.0025 rad/s, gy = -0.0033 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9924 A, I_w_roll =  0.4365 A, theta_pitch = -55.73754mrad, theta_roll_comp = -46.3986 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6390, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63902 ms, ax =  0.4999, ay = -0.4543, az =  9.8188, gx = -0.0026 rad/s, gy = -0.0034 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9928 A, I_w_roll =  0.3839 A, theta_pitch = -55.70517mrad, theta_roll_comp = -46.4135 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6391, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63912 ms, ax =  0.4723, ay = -0.4100, az =  9.8620, gx = -0.0026 rad/s, gy = -0.0033 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9829 A, I_w_roll =  0.3842 A, theta_pitch = -55.67431mrad, theta_roll_comp = -46.4128 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6392, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63922 ms, ax =  0.5083, ay = -0.3920, az =  9.8548, gx = -0.0028 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9954 A, I_w_roll =  0.3501 A, theta_pitch = -55.65104mrad, theta_roll_comp = -46.3815 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6393, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63932 ms, ax =  0.5143, ay = -0.4267, az =  9.8428, gx = -0.0029 rad/s, gy = -0.0038 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  7.0007 A, I_w_roll =  0.3110 A, theta_pitch = -55.65105mrad, theta_roll_comp = -46.3627 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6394, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63942 ms, ax =  0.5766, ay = -0.4052, az =  9.8572, gx = -0.0031 rad/s, gy = -0.0046 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  7.0389 A, I_w_roll =  0.2227 A, theta_pitch = -55.69249mrad, theta_roll_comp = -46.3506 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6395, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63952 ms, ax =  0.4879, ay = -0.4244, az =  9.8284, gx = -0.0035 rad/s, gy = -0.0045 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  7.0375 A, I_w_roll =  0.0861 A, theta_pitch = -55.71880mrad, theta_roll_comp = -46.3424 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6396, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63962 ms, ax =  0.5778, ay = -0.3368, az =  9.8668, gx = -0.0037 rad/s, gy = -0.0037 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  7.0095 A, I_w_roll =  0.0569 A, theta_pitch = -55.74534mrad, theta_roll_comp = -46.2990 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6397, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63972 ms, ax =  0.5191, ay = -0.4244, az =  9.8392, gx = -0.0035 rad/s, gy = -0.0029 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = 153.8770, I_w_pitch =  6.9820 A, I_w_roll =  0.1187 A, theta_pitch = -55.77489mrad, theta_roll_comp = -46.2609 mrad, theta_setpoint = -49.6635 mrad, 
msg = 6398, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63982 ms, ax =  0.5970, ay = -0.3800, az =  9.8488, gx = -0.0037 rad/s, gy = -0.0028 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 149.7660, I_w_pitch =  6.9825 A, I_w_roll = -0.0234 A, theta_pitch = -55.81380mrad, theta_roll_comp = -46.2415 mrad, theta_setpoint = -49.4053 mrad, 
msg = 6399, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    63992 ms, ax =  0.5562, ay = -0.4495, az =  9.8536, gx = -0.0038 rad/s, gy = -0.0028 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 149.7660, I_w_pitch =  6.9904 A, I_w_roll = -0.0692 A, theta_pitch = -55.86657mrad, theta_roll_comp = -46.2394 mrad, theta_setpoint = -49.4053 mrad, 
msg = 6400, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64002 ms, ax =  0.5238, ay = -0.3944, az =  9.8656, gx = -0.0041 rad/s, gy = -0.0024 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = 149.7660, I_w_pitch =  6.9764 A, I_w_roll = -0.1636 A, theta_pitch = -55.87952mrad, theta_roll_comp = -46.2426 mrad, theta_setpoint = -49.4053 mrad, 
msg = 6401, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64012 ms, ax =  0.5119, ay = -0.4136, az =  9.8536, gx = -0.0041 rad/s, gy = -0.0020 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = 149.7660, I_w_pitch =  6.9585 A, I_w_roll = -0.1590 A, theta_pitch = -55.86670mrad, theta_roll_comp = -46.2311 mrad, theta_setpoint = -49.4053 mrad, 
msg = 6402, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64022 ms, ax =  0.5191, ay = -0.4423, az =  9.8356, gx = -0.0034 rad/s, gy = -0.0020 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 148.6297, I_w_pitch =  6.9561 A, I_w_roll =  0.0414 A, theta_pitch = -55.85097mrad, theta_roll_comp = -46.2411 mrad, theta_setpoint = -49.3339 mrad, 
msg = 6403, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64032 ms, ax =  0.5047, ay = -0.3992, az =  9.8404, gx = -0.0035 rad/s, gy = -0.0029 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = 148.6297, I_w_pitch =  6.9912 A, I_w_roll = -0.0046 A, theta_pitch = -55.83644mrad, theta_roll_comp = -46.2398 mrad, theta_setpoint = -49.3339 mrad, 
msg = 6404, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64042 ms, ax =  0.4675, ay = -0.4255, az =  9.8380, gx = -0.0028 rad/s, gy = -0.0029 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = 149.0976, I_w_pitch =  6.9857 A, I_w_roll =  0.2913 A, theta_pitch = -55.79964mrad, theta_roll_comp = -46.2283 mrad, theta_setpoint = -49.3633 mrad, 
msg = 6405, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64052 ms, ax =  0.4879, ay = -0.4016, az =  9.8488, gx = -0.0034 rad/s, gy = -0.0026 rad/s, gz = -0.0139 rad/s, rpm_pitch =  0.0000, rpm_roll = 149.0976, I_w_pitch =  6.9683 A, I_w_roll =  0.0631 A, theta_pitch = -55.75479mrad, theta_roll_comp = -46.2163 mrad, theta_setpoint = -49.3633 mrad, 
msg = 6406, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64062 ms, ax =  0.4855, ay = -0.4387, az =  9.8380, gx = -0.0025 rad/s, gy = -0.0028 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = 149.0976, I_w_pitch =  6.9682 A, I_w_roll =  0.3914 A, theta_pitch = -55.71832mrad, theta_roll_comp = -46.2111 mrad, theta_setpoint = -49.3633 mrad, 
msg = 6407, nerr =  374p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64072 ms, ax =  0.4927, ay = -0.4663, az =  9.8248, gx = -0.0022 rad/s, gy = -0.0032 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = 149.0976, I_w_pitch =  6.9796 A, I_w_roll =  0.4758 A, theta_pitch = -55.68824mrad, theta_roll_comp = -46.2331 mrad, theta_setpoint = -49.3633 mrad, 
msg = 6408, nerr =  375p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64082 ms, ax =  0.5071, ay = -0.3704, az =  9.8727, gx = -0.0024 rad/s, gy = -0.0038 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 147.7607, I_w_pitch =  7.0041 A, I_w_roll =  0.4026 A, theta_pitch = -55.67397mrad, theta_roll_comp = -46.2156 mrad, theta_setpoint = -49.2794 mrad, 
msg = 6409, nerr =  375p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64092 ms, ax =  0.5250, ay = -0.4196, az =  9.8320, gx = -0.0029 rad/s, gy = -0.0042 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 147.7607, I_w_pitch =  7.0212 A, I_w_roll =  0.2296 A, theta_pitch = -55.68155mrad, theta_roll_comp = -46.1822 mrad, theta_setpoint = -49.2794 mrad, 
msg = 6410, nerr =  375p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64102 ms, ax =  0.5191, ay = -0.4279, az =  9.8368, gx = -0.0025 rad/s, gy = -0.0042 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = 147.7607, I_w_pitch =  7.0236 A, I_w_roll =  0.3711 A, theta_pitch = -55.69705mrad, theta_roll_comp = -46.1780 mrad, theta_setpoint = -49.2794 mrad, 
msg = 6411, nerr =  375p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64112 ms, ax =  0.4939, ay = -0.3728, az =  9.8596, gx = -0.0026 rad/s, gy = -0.0046 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = 147.7607, I_w_pitch =  7.0396 A, I_w_roll =  0.3371 A, theta_pitch = -55.69746mrad, theta_roll_comp = -46.1465 mrad, theta_setpoint = -49.2794 mrad, 
msg = 6412, nerr =  375p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64122 ms, ax =  0.5298, ay = -0.3872, az =  9.8572, gx = -0.0022 rad/s, gy = -0.0040 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = 147.1925, I_w_pitch =  7.0138 A, I_w_roll =  0.4832 A, theta_pitch = -55.70296mrad, theta_roll_comp = -46.0949 mrad, theta_setpoint = -49.2437 mrad, 
msg = 6413, nerr =  375p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64132 ms, ax =  0.5191, ay = -0.3884, az =  9.8548, gx = -0.0028 rad/s, gy = -0.0036 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 147.1925, I_w_pitch =  6.9996 A, I_w_roll =  0.3138 A, theta_pitch = -55.71463mrad, theta_roll_comp = -46.0524 mrad, theta_setpoint = -49.2437 mrad, 
msg = 6414, nerr =  376p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64142 ms, ax =  0.5838, ay = -0.3728, az =  9.8632, gx = -0.0026 rad/s, gy = -0.0038 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  7.0163 A, I_w_roll =  0.3705 A, theta_pitch = -55.75529mrad, theta_roll_comp = -46.0041 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6415, nerr =  376p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64152 ms, ax =  0.4843, ay = -0.4387, az =  9.8308, gx = -0.0030 rad/s, gy = -0.0037 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  7.0138 A, I_w_roll =  0.2378 A, theta_pitch = -55.77396mrad, theta_roll_comp = -45.9864 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6416, nerr =  376p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64162 ms, ax =  0.5766, ay = -0.3153, az =  9.8584, gx = -0.0037 rad/s, gy = -0.0024 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9626 A, I_w_roll =  0.0240 A, theta_pitch = -55.78772mrad, theta_roll_comp = -45.9384 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6417, nerr =  376p/ 382r, time steps =    5, qsz =    2, switch = on, t =    64172 ms, ax =  0.5023, ay = -0.4160, az =  9.8392, gx = -0.0043 rad/s, gy = -0.0028 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9805 A, I_w_roll = -0.1913 A, theta_pitch = -55.80024mrad, theta_roll_comp = -45.8939 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6418, nerr =  376p/ 383r, time steps =    5, qsz =    2, switch = on, t =    64182 ms, ax =  0.5850, ay = -0.3752, az =  9.8500, gx = -0.0042 rad/s, gy = -0.0021 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9569 A, I_w_roll = -0.1383 A, theta_pitch = -55.82072mrad, theta_roll_comp = -45.8780 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6419, nerr =  376p/ 383r, time steps =    5, qsz =    2, switch = on, t =    64192 ms, ax =  0.5286, ay = -0.4064, az =  9.8548, gx = -0.0035 rad/s, gy = -0.0021 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9607 A, I_w_roll =  0.1038 A, theta_pitch = -55.84588mrad, theta_roll_comp = -45.8554 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6420, nerr =  376p/ 383r, time steps =    5, qsz =    2, switch = on, t =    64202 ms, ax =  0.5238, ay = -0.4208, az =  9.8296, gx = -0.0039 rad/s, gy = -0.0020 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9547 A, I_w_roll = -0.0359 A, theta_pitch = -55.84171mrad, theta_roll_comp = -45.8551 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6421, nerr =  376p/ 383r, time steps =    5, qsz =    2, switch = on, t =    64212 ms, ax =  0.5274, ay = -0.3992, az =  9.8380, gx = -0.0039 rad/s, gy = -0.0018 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9486 A, I_w_roll = -0.0346 A, theta_pitch = -55.83634mrad, theta_roll_comp = -45.8519 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6422, nerr =  376p/ 383r, time steps =    5, qsz =    2, switch = on, t =    64222 ms, ax =  0.5382, ay = -0.4375, az =  9.8248, gx = -0.0047 rad/s, gy = -0.0018 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9489 A, I_w_roll = -0.3191 A, theta_pitch = -55.83815mrad, theta_roll_comp = -45.8639 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6423, nerr =  376p/ 383r, time steps =    5, qsz =    2, switch = on, t =    64232 ms, ax =  0.5155, ay = -0.3992, az =  9.8380, gx = -0.0050 rad/s, gy = -0.0022 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9643 A, I_w_roll = -0.4180 A, theta_pitch = -55.83483mrad, theta_roll_comp = -45.8782 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6424, nerr =  376p/ 384r, time steps =    5, qsz =    2, switch = on, t =    64242 ms, ax =  0.5095, ay = -0.4100, az =  9.8356, gx = -0.0047 rad/s, gy = -0.0017 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9403 A, I_w_roll = -0.3253 A, theta_pitch = -55.81627mrad, theta_roll_comp = -45.8796 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6425, nerr =  376p/ 384r, time steps =    5, qsz =    2, switch = on, t =    64252 ms, ax =  0.5214, ay = -0.4471, az =  9.8512, gx = -0.0043 rad/s, gy = -0.0016 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9322 A, I_w_roll = -0.1946 A, theta_pitch = -55.79794mrad, theta_roll_comp = -45.9022 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6426, nerr =  376p/ 384r, time steps =    5, qsz =    2, switch = on, t =    64262 ms, ax =  0.4843, ay = -0.4088, az =  9.8464, gx = -0.0039 rad/s, gy = -0.0024 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9598 A, I_w_roll = -0.0608 A, theta_pitch = -55.76879mrad, theta_roll_comp = -45.9174 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6427, nerr =  376p/ 384r, time steps =    5, qsz =    2, switch = on, t =    64272 ms, ax =  0.4915, ay = -0.4423, az =  9.8356, gx = -0.0038 rad/s, gy = -0.0030 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9812 A, I_w_roll = -0.0194 A, theta_pitch = -55.73399mrad, theta_roll_comp = -45.9303 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6428, nerr =  377p/ 384r, time steps =    5, qsz =    2, switch = on, t =    64282 ms, ax =  0.5131, ay = -0.4052, az =  9.8404, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  6.9950 A, I_w_roll = -0.2101 A, theta_pitch = -55.71996mrad, theta_roll_comp = -45.9411 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6429, nerr =  377p/ 384r, time steps =    5, qsz =    2, switch = on, t =    64292 ms, ax =  0.5095, ay = -0.4016, az =  9.8380, gx = -0.0042 rad/s, gy = -0.0038 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  7.0108 A, I_w_roll = -0.1607 A, theta_pitch = -55.71820mrad, theta_roll_comp = -45.9341 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6430, nerr =  377p/ 384r, time steps =    5, qsz =    2, switch = on, t =    64302 ms, ax =  0.5095, ay = -0.4088, az =  9.8332, gx = -0.0043 rad/s, gy = -0.0040 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  7.0160 A, I_w_roll = -0.2055 A, theta_pitch = -55.71753mrad, theta_roll_comp = -45.9296 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6431, nerr =  377p/ 384r, time steps =    5, qsz =    2, switch = on, t =    64312 ms, ax =  0.5155, ay = -0.3824, az =  9.8715, gx = -0.0039 rad/s, gy = -0.0038 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  7.0109 A, I_w_roll = -0.0587 A, theta_pitch = -55.71903mrad, theta_roll_comp = -45.9120 mrad, theta_setpoint = -49.2206 mrad, 
msg = 6432, nerr =  377p/ 384r, time steps =    5, qsz =    2, switch = on, t =    64322 ms, ax =  0.5322, ay = -0.4076, az =  9.8356, gx = -0.0038 rad/s, gy = -0.0049 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 146.8249, I_w_pitch =  7.0563 A, I_w_roll = -0.0047 A, theta_pitch = -55.73767mrad, theta_roll_comp = -45.8934 mrad, theta_setpoint = -49.2206 mrad, 
