picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 10218, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102182 ms, ax =  0.5191, ay = -0.2517, az =  9.8416, gx = -0.0063 rad/s, gy = -0.0028 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9071 A, I_w_roll =  2.1299 A, theta_pitch = -55.31123mrad, theta_roll_comp = -29.1229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 14933, nerr =  826p/ 775r, time steps =    5, qsz =    2, switch = off, t =   149332 ms, ax =  0.4291, ay = -0.0503, az =  9.8428, gx = -0.0017 rad/s, gy = -0.0033 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8164 A, I_w_roll = 11.4593 A, theta_pitch = -54.56444mrad, theta_roll_comp = -16.4111 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14934, nerr =  826p/ 775r, time steps =    5, qsz =    2, switch = off, t =   149342 ms, ax =  0.4387, ay = -0.0971, az =  9.8212, gx = -0.0029 rad/s, gy = -0.0037 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8220 A, I_w_roll = 11.0654 A, theta_pitch = -54.49558mrad, theta_roll_comp = -16.3472 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14935, nerr =  826p/ 775r, time steps =    5, qsz =    2, switch = off, t =   149352 ms, ax =  0.4615, ay = -0.0444, az =  9.8608, gx = -0.0038 rad/s, gy = -0.0045 rad/s, gz = -0.0057 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8471 A, I_w_roll = 10.7629 A, theta_pitch = -54.44980mrad, theta_roll_comp = -16.2878 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14936, nerr =  826p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149362 ms, ax =  0.4843, ay = -0.0827, az =  9.8248, gx = -0.0041 rad/s, gy = -0.0053 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8770 A, I_w_roll = 10.6926 A, theta_pitch = -54.43559mrad, theta_roll_comp = -16.2308 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14937, nerr =  826p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149372 ms, ax =  0.5071, ay = -0.0827, az =  9.8284, gx = -0.0047 rad/s, gy = -0.0056 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8898 A, I_w_roll = 10.4730 A, theta_pitch = -54.45015mrad, theta_roll_comp = -16.1971 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14938, nerr =  826p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149382 ms, ax =  0.5059, ay = -0.0731, az =  9.8548, gx = -0.0049 rad/s, gy = -0.0054 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8881 A, I_w_roll = 10.4403 A, theta_pitch = -54.47448mrad, theta_roll_comp = -16.1622 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14939, nerr =  826p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149392 ms, ax =  0.5322, ay = -0.1091, az =  9.8452, gx = -0.0055 rad/s, gy = -0.0053 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8882 A, I_w_roll = 10.2136 A, theta_pitch = -54.51045mrad, theta_roll_comp = -16.1466 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14940, nerr =  827p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149402 ms, ax =  0.5382, ay = -0.0875, az =  9.8524, gx = -0.0061 rad/s, gy = -0.0049 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8795 A, I_w_roll = 10.0288 A, theta_pitch = -54.55904mrad, theta_roll_comp = -16.1425 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14941, nerr =  827p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149412 ms, ax =  0.5526, ay = -0.1031, az =  9.8500, gx = -0.0061 rad/s, gy = -0.0045 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8717 A, I_w_roll = 10.0301 A, theta_pitch = -54.61366mrad, theta_roll_comp = -16.1392 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14942, nerr =  827p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149422 ms, ax =  0.5646, ay = -0.1103, az =  9.8500, gx = -0.0067 rad/s, gy = -0.0041 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8652 A, I_w_roll =  9.7925 A, theta_pitch = -54.67704mrad, theta_roll_comp = -16.1507 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14943, nerr =  827p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149432 ms, ax =  0.5646, ay = -0.0959, az =  9.8512, gx = -0.0066 rad/s, gy = -0.0037 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8589 A, I_w_roll =  9.8354 A, theta_pitch = -54.74137mrad, theta_roll_comp = -16.1601 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14944, nerr =  827p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149442 ms, ax =  0.5502, ay = -0.1379, az =  9.8500, gx = -0.0066 rad/s, gy = -0.0025 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8181 A, I_w_roll =  9.8255 A, theta_pitch = -54.78896mrad, theta_roll_comp = -16.1848 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14945, nerr =  827p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149452 ms, ax =  0.5502, ay = -0.1223, az =  9.8751, gx = -0.0063 rad/s, gy = -0.0014 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7798 A, I_w_roll =  9.9050 A, theta_pitch = -54.81752mrad, theta_roll_comp = -16.2189 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14946, nerr =  828p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149462 ms, ax =  0.5346, ay = -0.1426, az =  9.8548, gx = -0.0061 rad/s, gy = -0.0012 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7712 A, I_w_roll =  9.9844 A, theta_pitch = -54.83096mrad, theta_roll_comp = -16.2536 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14947, nerr =  828p/ 776r, time steps =    5, qsz =    2, switch = off, t =   149472 ms, ax =  0.5310, ay = -0.1534, az =  9.8356, gx = -0.0062 rad/s, gy = -0.0008 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7554 A, I_w_roll =  9.9180 A, theta_pitch = -54.83277mrad, theta_roll_comp = -16.3031 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14948, nerr =  828p/ 777r, time steps =    5, qsz =    2, switch = off, t =   149482 ms, ax =  0.5083, ay = -0.1355, az =  9.8452, gx = -0.0062 rad/s, gy = -0.0006 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7479 A, I_w_roll =  9.8999 A, theta_pitch = -54.81822mrad, theta_roll_comp = -16.3482 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14949, nerr =  828p/ 777r, time steps =    5, qsz =    2, switch = off, t =   149492 ms, ax =  0.4951, ay = -0.1379, az =  9.8332, gx = -0.0059 rad/s, gy = -0.0010 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7593 A, I_w_roll =  9.9787 A, theta_pitch = -54.78756mrad, theta_roll_comp = -16.3843 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14950, nerr =  828p/ 777r, time steps =    5, qsz =    2, switch = off, t =   149502 ms, ax =  0.4939, ay = -0.1163, az =  9.8584, gx = -0.0062 rad/s, gy = -0.0008 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7431 A, I_w_roll =  9.8754 A, theta_pitch = -54.75037mrad, theta_roll_comp = -16.4095 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14951, nerr =  828p/ 777r, time steps =    5, qsz =    2, switch = off, t =   149512 ms, ax =  0.4807, ay = -0.1103, az =  9.8679, gx = -0.0057 rad/s, gy = -0.0006 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7307 A, I_w_roll = 10.0579 A, theta_pitch = -54.70310mrad, theta_roll_comp = -16.4192 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14952, nerr =  828p/ 777r, time steps =    5, qsz =    2, switch = off, t =   149522 ms, ax =  0.4987, ay = -0.1091, az =  9.8356, gx = -0.0059 rad/s, gy = -0.0014 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7568 A, I_w_roll =  9.9626 A, theta_pitch = -54.66420mrad, theta_roll_comp = -16.4245 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14953, nerr =  828p/ 777r, time steps =    5, qsz =    2, switch = off, t =   149532 ms, ax =  0.4795, ay = -0.0839, az =  9.8344, gx = -0.0059 rad/s, gy = -0.0018 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7677 A, I_w_roll =  9.9656 A, theta_pitch = -54.63029mrad, theta_roll_comp = -16.4170 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14954, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149542 ms, ax =  0.4843, ay = -0.1055, az =  9.8332, gx = -0.0062 rad/s, gy = -0.0022 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7783 A, I_w_roll =  9.8749 A, theta_pitch = -54.59437mrad, theta_roll_comp = -16.4109 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14955, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149552 ms, ax =  0.4855, ay = -0.0863, az =  9.8452, gx = -0.0066 rad/s, gy = -0.0022 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7736 A, I_w_roll =  9.7362 A, theta_pitch = -54.56322mrad, theta_roll_comp = -16.4079 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14956, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149562 ms, ax =  0.4627, ay = -0.0971, az =  9.8392, gx = -0.0069 rad/s, gy = -0.0029 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.7944 A, I_w_roll =  9.6442 A, theta_pitch = -54.52413mrad, theta_roll_comp = -16.4049 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14957, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149572 ms, ax =  0.4639, ay = -0.0983, az =  9.8140, gx = -0.0078 rad/s, gy = -0.0034 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8094 A, I_w_roll =  9.3143 A, theta_pitch = -54.48199mrad, theta_roll_comp = -16.4140 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14958, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149582 ms, ax =  0.4771, ay = -0.1055, az =  9.8416, gx = -0.0071 rad/s, gy = -0.0040 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8263 A, I_w_roll =  9.5416 A, theta_pitch = -54.45317mrad, theta_roll_comp = -16.4283 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14959, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149592 ms, ax =  0.4675, ay = -0.1367, az =  9.8188, gx = -0.0075 rad/s, gy = -0.0049 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8606 A, I_w_roll =  9.3885 A, theta_pitch = -54.43307mrad, theta_roll_comp = -16.4616 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14960, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149602 ms, ax =  0.4663, ay = -0.1055, az =  9.8380, gx = -0.0075 rad/s, gy = -0.0054 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8792 A, I_w_roll =  9.3754 A, theta_pitch = -54.41519mrad, theta_roll_comp = -16.4945 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14961, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149612 ms, ax =  0.4747, ay = -0.1750, az =  9.8308, gx = -0.0078 rad/s, gy = -0.0058 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8938 A, I_w_roll =  9.2596 A, theta_pitch = -54.40577mrad, theta_roll_comp = -16.5510 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14962, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149622 ms, ax =  0.4927, ay = -0.1534, az =  9.8500, gx = -0.0074 rad/s, gy = -0.0061 rad/s, gz = -0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.9055 A, I_w_roll =  9.3688 A, theta_pitch = -54.41293mrad, theta_roll_comp = -16.6275 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14963, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149632 ms, ax =  0.5059, ay = -0.1702, az =  9.8404, gx = -0.0066 rad/s, gy = -0.0058 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8982 A, I_w_roll =  9.6211 A, theta_pitch = -54.43529mrad, theta_roll_comp = -16.6957 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14964, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149642 ms, ax =  0.5562, ay = -0.1774, az =  9.8464, gx = -0.0063 rad/s, gy = -0.0054 rad/s, gz = -0.0027 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8900 A, I_w_roll =  9.6846 A, theta_pitch = -54.48732mrad, theta_roll_comp = -16.7700 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14965, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149652 ms, ax =  0.5538, ay = -0.1534, az =  9.8596, gx = -0.0057 rad/s, gy = -0.0056 rad/s, gz = -0.0040 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.9062 A, I_w_roll =  9.8939 A, theta_pitch = -54.55980mrad, theta_roll_comp = -16.8292 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14966, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149662 ms, ax =  0.5406, ay = -0.1978, az =  9.8428, gx = -0.0042 rad/s, gy = -0.0050 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8942 A, I_w_roll = 10.3825 A, theta_pitch = -54.62123mrad, theta_roll_comp = -16.8894 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14967, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149672 ms, ax =  0.5682, ay = -0.1714, az =  9.8572, gx = -0.0034 rad/s, gy = -0.0041 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8662 A, I_w_roll = 10.6399 A, theta_pitch = -54.68312mrad, theta_roll_comp = -16.9449 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14968, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149682 ms, ax =  0.5622, ay = -0.1918, az =  9.8584, gx = -0.0024 rad/s, gy = -0.0034 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8490 A, I_w_roll = 10.9952 A, theta_pitch = -54.74602mrad, theta_roll_comp = -16.9887 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14969, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149692 ms, ax =  0.5514, ay = -0.2110, az =  9.8296, gx = -0.0018 rad/s, gy = -0.0026 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0441, I_w_pitch =  6.8241 A, I_w_roll = 11.1594 A, theta_pitch = -54.79324mrad, theta_roll_comp = -17.0444 mrad, theta_setpoint = -46.5340 mrad, 
msg = 14970, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149702 ms, ax =  0.5526, ay = -0.1906, az =  9.8428, gx = -0.0009 rad/s, gy = -0.0013 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = 94.7193, I_w_pitch =  6.7756 A, I_w_roll = 11.2328 A, theta_pitch = -54.82513mrad, theta_roll_comp = -17.0907 mrad, theta_setpoint = -45.9484 mrad, 
msg = 14971, nerr =  828p/ 778r, time steps =    5, qsz =    3, switch = off, t =   149712 ms, ax =  0.5418, ay = -0.2122, az =  9.8416, gx =  0.0003 rad/s, gy = -0.0005 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = 94.7193, I_w_pitch =  6.7460 A, I_w_roll = 11.6376 A, theta_pitch = -54.84071mrad, theta_roll_comp = -17.1274 mrad, theta_setpoint = -45.9484 mrad, 
msg = 14972, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149722 ms, ax =  0.5454, ay = -0.1798, az =  9.8380, gx =  0.0012 rad/s, gy = -0.0001 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = 94.2513, I_w_pitch =  6.7310 A, I_w_roll = 11.9445 A, theta_pitch = -54.84716mrad, theta_roll_comp = -17.1462 mrad, theta_setpoint = -45.9190 mrad, 
msg = 14973, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149732 ms, ax =  0.5334, ay = -0.1762, az =  9.8308, gx =  0.0028 rad/s, gy =  0.0004 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = 94.2513, I_w_pitch =  6.7093 A, I_w_roll = 12.5083 A, theta_pitch = -54.84452mrad, theta_roll_comp = -17.1348 mrad, theta_setpoint = -45.9190 mrad, 
msg = 14974, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149742 ms, ax =  0.5346, ay = -0.1834, az =  9.8344, gx =  0.0034 rad/s, gy =  0.0006 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = 94.2513, I_w_pitch =  6.7023 A, I_w_roll = 12.7025 A, theta_pitch = -54.83370mrad, theta_roll_comp = -17.1154 mrad, theta_setpoint = -45.9190 mrad, 
msg = 14975, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149752 ms, ax =  0.5011, ay = -0.1606, az =  9.8416, gx =  0.0044 rad/s, gy =  0.0006 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = 94.2513, I_w_pitch =  6.6980 A, I_w_roll = 13.0898 A, theta_pitch = -54.80477mrad, theta_roll_comp = -17.0792 mrad, theta_setpoint = -45.9190 mrad, 
msg = 14976, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149762 ms, ax =  0.4843, ay = -0.1834, az =  9.8236, gx =  0.0052 rad/s, gy =  0.0000 rad/s, gz = -0.0176 rad/s, rpm_pitch =  0.0000, rpm_roll = 93.4826, I_w_pitch =  6.7117 A, I_w_roll = 13.3676 A, theta_pitch = -54.75420mrad, theta_roll_comp = -17.0356 mrad, theta_setpoint = -45.8707 mrad, 
msg = 14977, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149772 ms, ax =  0.4615, ay = -0.1606, az =  9.8572, gx =  0.0058 rad/s, gy = -0.0001 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = 93.4826, I_w_pitch =  6.7069 A, I_w_roll = 13.5745 A, theta_pitch = -54.68680mrad, theta_roll_comp = -16.9844 mrad, theta_setpoint = -45.8707 mrad, 
msg = 14978, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149782 ms, ax =  0.4615, ay = -0.1498, az =  9.8392, gx =  0.0062 rad/s, gy = -0.0010 rad/s, gz = -0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = 93.4826, I_w_pitch =  6.7333 A, I_w_roll = 13.7432 A, theta_pitch = -54.61441mrad, theta_roll_comp = -16.9122 mrad, theta_setpoint = -45.8707 mrad, 
msg = 14979, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149792 ms, ax =  0.4639, ay = -0.1498, az =  9.8044, gx =  0.0063 rad/s, gy = -0.0016 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = 93.4826, I_w_pitch =  6.7454 A, I_w_roll = 13.8213 A, theta_pitch = -54.55243mrad, theta_roll_comp = -16.8335 mrad, theta_setpoint = -45.8707 mrad, 
msg = 14980, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149802 ms, ax =  0.4747, ay = -0.1067, az =  9.8404, gx =  0.0067 rad/s, gy = -0.0021 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.5468, I_w_pitch =  6.7593 A, I_w_roll = 13.9790 A, theta_pitch = -54.50313mrad, theta_roll_comp = -16.7300 mrad, theta_setpoint = -45.8119 mrad, 
msg = 14981, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149812 ms, ax =  0.4795, ay = -0.0911, az =  9.8572, gx =  0.0070 rad/s, gy = -0.0022 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.5468, I_w_pitch =  6.7587 A, I_w_roll = 14.1263 A, theta_pitch = -54.46401mrad, theta_roll_comp = -16.5947 mrad, theta_setpoint = -45.8119 mrad, 
msg = 14982, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149822 ms, ax =  0.4951, ay = -0.0839, az =  9.8380, gx =  0.0067 rad/s, gy = -0.0024 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.1457, I_w_pitch =  6.7601 A, I_w_roll = 14.0810 A, theta_pitch = -54.43739mrad, theta_roll_comp = -16.4496 mrad, theta_setpoint = -45.7868 mrad, 
msg = 14983, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149832 ms, ax =  0.4879, ay = -0.0647, az =  9.8452, gx =  0.0067 rad/s, gy = -0.0036 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.1457, I_w_pitch =  6.8056 A, I_w_roll = 14.1435 A, theta_pitch = -54.42176mrad, theta_roll_comp = -16.2936 mrad, theta_setpoint = -45.7868 mrad, 
msg = 14984, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149842 ms, ax =  0.4939, ay = -0.0671, az =  9.8224, gx =  0.0060 rad/s, gy = -0.0038 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.1457, I_w_pitch =  6.8151 A, I_w_roll = 13.9739 A, theta_pitch = -54.41357mrad, theta_roll_comp = -16.1349 mrad, theta_setpoint = -45.7868 mrad, 
msg = 14985, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149852 ms, ax =  0.4975, ay = -0.0396, az =  9.8320, gx =  0.0054 rad/s, gy = -0.0044 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.1457, I_w_pitch =  6.8365 A, I_w_roll = 13.8066 A, theta_pitch = -54.41454mrad, theta_roll_comp = -15.9707 mrad, theta_setpoint = -45.7868 mrad, 
msg = 14986, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149862 ms, ax =  0.5083, ay = -0.0503, az =  9.8404, gx =  0.0048 rad/s, gy = -0.0044 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = 91.3436, I_w_pitch =  6.8381 A, I_w_roll = 13.6656 A, theta_pitch = -54.42505mrad, theta_roll_comp = -15.8067 mrad, theta_setpoint = -45.7364 mrad, 
msg = 14987, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149872 ms, ax =  0.5047, ay = -0.0503, az =  9.8524, gx =  0.0036 rad/s, gy = -0.0042 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 91.3436, I_w_pitch =  6.8346 A, I_w_roll = 13.3056 A, theta_pitch = -54.43743mrad, theta_roll_comp = -15.6582 mrad, theta_setpoint = -45.7364 mrad, 
msg = 14988, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149882 ms, ax =  0.5119, ay = -0.0276, az =  9.8584, gx =  0.0024 rad/s, gy = -0.0042 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = 91.3436, I_w_pitch =  6.8366 A, I_w_roll = 12.9450 A, theta_pitch = -54.45068mrad, theta_roll_comp = -15.5110 mrad, theta_setpoint = -45.7364 mrad, 
msg = 14989, nerr =  828p/ 778r, time steps =    5, qsz =    3, switch = off, t =   149892 ms, ax =  0.5370, ay =  0.0060, az =  9.8488, gx =  0.0008 rad/s, gy = -0.0038 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = 91.3436, I_w_pitch =  6.8248 A, I_w_roll = 12.4500 A, theta_pitch = -54.47866mrad, theta_roll_comp = -15.3504 mrad, theta_setpoint = -45.7364 mrad, 
msg = 14990, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149902 ms, ax =  0.5298, ay = -0.0156, az =  9.8368, gx = -0.0005 rad/s, gy = -0.0038 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = 90.4412, I_w_pitch =  6.8300 A, I_w_roll = 12.0209 A, theta_pitch = -54.51327mrad, theta_roll_comp = -15.2014 mrad, theta_setpoint = -45.6797 mrad, 
msg = 14991, nerr =  828p/ 778r, time steps =    5, qsz =    2, switch = off, t =   149912 ms, ax =  0.5226, ay =  0.0204, az =  9.8212, gx = -0.0024 rad/s, gy = -0.0038 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = 90.4412, I_w_pitch =  6.8342 A, I_w_roll = 11.4246 A, theta_pitch = -54.54103mrad, theta_roll_comp = -15.0611 mrad, theta_setpoint = -45.6797 mrad, 
