picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -5.5459, rpm_roll = -0.0000, I_w_pitch = -3.5804 A, I_w_roll = -18.7697 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1127, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22542 ms, ax = -0.2445, ay =  0.5191, az =  9.9339, gx = -0.0266 rad/s, gy = -0.0981 rad/s, gz =  0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1319 A, I_w_roll = 16.2286 A, theta_pitch = 23.70541mrad, theta_roll_comp = 23.8335 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1128, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22562 ms, ax = -0.2314, ay =  0.4795, az =  9.9363, gx = -0.0327 rad/s, gy = -0.0985 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8234 A, I_w_roll = 14.0552 A, theta_pitch = 21.75538mrad, theta_roll_comp = 23.7593 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1129, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22582 ms, ax = -0.2230, ay =  0.4064, az =  9.9459, gx = -0.0376 rad/s, gy = -0.1000 rad/s, gz = -0.0305 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4724 A, I_w_roll = 12.2123 A, theta_pitch = 19.80606mrad, theta_roll_comp = 23.4629 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1130, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22602 ms, ax = -0.2170, ay =  0.3249, az =  9.9615, gx = -0.0416 rad/s, gy = -0.1014 rad/s, gz = -0.0374 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1203 A, I_w_roll = 10.5981 A, theta_pitch = 17.84949mrad, theta_roll_comp = 22.9229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1131, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22622 ms, ax = -0.1930, ay =  0.2721, az =  9.9483, gx = -0.0454 rad/s, gy = -0.1018 rad/s, gz = -0.0338 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1894 A, I_w_roll =  8.9931 A, theta_pitch = 15.89137mrad, theta_roll_comp = 22.1727 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1132, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22642 ms, ax = -0.1570, ay =  0.2050, az =  9.9303, gx = -0.0492 rad/s, gy = -0.1006 rad/s, gz = -0.0236 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4372 A, I_w_roll =  7.2738 A, theta_pitch = 13.91988mrad, theta_roll_comp = 21.2532 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1133, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22662 ms, ax = -0.1199, ay =  0.1450, az =  9.9543, gx = -0.0498 rad/s, gy = -0.0978 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.6208 A, I_w_roll =  6.6638 A, theta_pitch = 11.95034mrad, theta_roll_comp = 20.1941 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1134, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22682 ms, ax = -0.0587, ay =  0.0995, az =  9.9746, gx = -0.0495 rad/s, gy = -0.0948 rad/s, gz = -0.0015 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7935 A, I_w_roll =  6.2971 A, theta_pitch = 9.98215mrad, theta_roll_comp = 19.0444 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1135, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22702 ms, ax = -0.0084, ay =  0.0875, az =  9.9878, gx = -0.0508 rad/s, gy = -0.0904 rad/s, gz =  0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9141 A, I_w_roll =  5.3576 A, theta_pitch = 8.00645mrad, theta_roll_comp = 17.8609 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1136, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22722 ms, ax =  0.0372, ay =  0.0923, az =  9.9830, gx = -0.0499 rad/s, gy = -0.0854 rad/s, gz =  0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0063 A, I_w_roll =  5.2118 A, theta_pitch = 6.07800mrad, theta_roll_comp = 16.6806 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1137, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22742 ms, ax =  0.0671, ay =  0.1031, az =  9.9579, gx = -0.0472 rad/s, gy = -0.0801 rad/s, gz =  0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0725 A, I_w_roll =  5.7010 A, theta_pitch = 4.21596mrad, theta_roll_comp = 15.5734 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1138, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22762 ms, ax =  0.1055, ay =  0.1079, az =  9.9459, gx = -0.0436 rad/s, gy = -0.0760 rad/s, gz =  0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1787 A, I_w_roll =  6.5636 A, theta_pitch = 2.40761mrad, theta_roll_comp = 14.5843 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1139, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22782 ms, ax =  0.1295, ay =  0.0755, az =  9.9399, gx = -0.0431 rad/s, gy = -0.0719 rad/s, gz = -0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2757 A, I_w_roll =  6.3601 A, theta_pitch = 0.66034mrad, theta_roll_comp = 13.6094 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1140, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22802 ms, ax =  0.1558, ay =  0.0228, az =  9.9686, gx = -0.0382 rad/s, gy = -0.0692 rad/s, gz =  0.0001 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.4216 A, I_w_roll =  7.6904 A, theta_pitch = -1.02294mrad, theta_roll_comp = 12.6242 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1141, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22822 ms, ax =  0.1570, ay = -0.0288, az =  9.9734, gx = -0.0379 rad/s, gy = -0.0664 rad/s, gz =  0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.5554 A, I_w_roll =  7.3790 A, theta_pitch = -2.66046mrad, theta_roll_comp = 11.6129 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1142, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22842 ms, ax =  0.1630, ay = -0.0551, az =  9.9351, gx = -0.0350 rad/s, gy = -0.0664 rad/s, gz =  0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7922 A, I_w_roll =  7.9901 A, theta_pitch = -4.23892mrad, theta_roll_comp = 10.5773 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1143, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22862 ms, ax =  0.1966, ay = -0.0551, az =  9.9339, gx = -0.0294 rad/s, gy = -0.0664 rad/s, gz =  0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.0306 A, I_w_roll =  9.5589 A, theta_pitch = -5.82814mrad, theta_roll_comp =  9.6061 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1144, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22882 ms, ax =  0.2194, ay = -0.0468, az =  9.9471, gx = -0.0269 rad/s, gy = -0.0664 rad/s, gz = -0.0020 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.2735 A, I_w_roll = 10.1021 A, theta_pitch = -7.44778mrad, theta_roll_comp =  8.7503 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1145, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22902 ms, ax =  0.2086, ay = -0.0491, az =  9.9722, gx = -0.0205 rad/s, gy = -0.0669 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.5355 A, I_w_roll = 12.0470 A, theta_pitch = -9.05232mrad, theta_roll_comp =  8.0199 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1146, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22922 ms, ax =  0.1930, ay = -0.0408, az =  9.9555, gx = -0.0182 rad/s, gy = -0.0680 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8104 A, I_w_roll = 12.5853 A, theta_pitch = -10.60129mrad, theta_roll_comp =  7.3852 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1147, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22942 ms, ax =  0.1966, ay = -0.0587, az =  9.9507, gx = -0.0131 rad/s, gy = -0.0688 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.0721 A, I_w_roll = 14.1365 A, theta_pitch = -12.13262mrad, theta_roll_comp =  6.8357 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1148, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22962 ms, ax =  0.2314, ay = -0.0539, az =  9.9591, gx = -0.0089 rad/s, gy = -0.0679 rad/s, gz = -0.0057 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.2663 A, I_w_roll = 15.4374 A, theta_pitch = -13.67579mrad, theta_roll_comp =  6.3596 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1149, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    22982 ms, ax =  0.2565, ay = -0.0683, az =  9.9555, gx = -0.0065 rad/s, gy = -0.0645 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.3621 A, I_w_roll = 16.1080 A, theta_pitch = -15.20247mrad, theta_roll_comp =  5.9391 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1150, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23002 ms, ax =  0.3009, ay = -0.0240, az =  9.9471, gx = -0.0035 rad/s, gy = -0.0600 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.4048 A, I_w_roll = 17.0091 A, theta_pitch = -16.69426mrad, theta_roll_comp =  5.6286 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1151, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23022 ms, ax =  0.3320, ay =  0.0312, az =  9.9495, gx = -0.0009 rad/s, gy = -0.0542 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.3855 A, I_w_roll = 17.8877 A, theta_pitch = -18.12810mrad, theta_roll_comp =  5.4949 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1152, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23042 ms, ax =  0.3392, ay =  0.0444, az =  9.9710, gx =  0.0008 rad/s, gy = -0.0475 rad/s, gz = -0.0246 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.3166 A, I_w_roll = 18.4864 A, theta_pitch = -19.44416mrad, theta_roll_comp =  5.4770 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1153, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23062 ms, ax =  0.3428, ay =  0.0503, az =  9.9662, gx =  0.0022 rad/s, gy = -0.0412 rad/s, gz = -0.0268 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.2409 A, I_w_roll = 18.9574 A, theta_pitch = -20.60832mrad, theta_roll_comp =  5.4893 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1154, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23082 ms, ax =  0.3344, ay =  0.0611, az =  9.9495, gx =  0.0031 rad/s, gy = -0.0346 rad/s, gz = -0.0272 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.1269 A, I_w_roll = 19.2985 A, theta_pitch = -21.62328mrad, theta_roll_comp =  5.5264 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1155, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23102 ms, ax =  0.3153, ay =  0.0695, az =  9.9507, gx =  0.0026 rad/s, gy = -0.0282 rad/s, gz = -0.0301 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.9970 A, I_w_roll = 19.1385 A, theta_pitch = -22.46175mrad, theta_roll_comp =  5.5925 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1156, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23122 ms, ax =  0.2997, ay =  0.0587, az =  9.9435, gx =  0.0024 rad/s, gy = -0.0217 rad/s, gz = -0.0374 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8342 A, I_w_roll = 19.1200 A, theta_pitch = -23.11655mrad, theta_roll_comp =  5.6628 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1157, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23142 ms, ax =  0.2817, ay =  0.0432, az =  9.9615, gx =  0.0050 rad/s, gy = -0.0167 rad/s, gz = -0.0425 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7108 A, I_w_roll = 20.0269 A, theta_pitch = -23.60767mrad, theta_roll_comp =  5.7163 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1158, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23162 ms, ax =  0.2589, ay =  0.0228, az =  9.9543, gx =  0.0024 rad/s, gy = -0.0119 rad/s, gz = -0.0391 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.5709 A, I_w_roll = 19.1511 A, theta_pitch = -23.95329mrad, theta_roll_comp =  5.7405 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1159, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23182 ms, ax =  0.2589, ay =  0.0312, az =  9.9555, gx =  0.0044 rad/s, gy = -0.0089 rad/s, gz = -0.0308 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.4845 A, I_w_roll = 19.8563 A, theta_pitch = -24.19362mrad, theta_roll_comp =  5.7559 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1160, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23202 ms, ax =  0.2697, ay =  0.0456, az =  9.9471, gx =  0.0048 rad/s, gy = -0.0076 rad/s, gz = -0.0221 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.4637 A, I_w_roll = 20.0216 A, theta_pitch = -24.41039mrad, theta_roll_comp =  5.8196 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1161, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23222 ms, ax =  0.2877, ay =  0.0479, az =  9.9291, gx =  0.0046 rad/s, gy = -0.0076 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.4976 A, I_w_roll = 19.9574 A, theta_pitch = -24.63656mrad, theta_roll_comp =  5.8921 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1162, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23242 ms, ax =  0.2901, ay =  0.0635, az =  9.9351, gx =  0.0038 rad/s, gy = -0.0090 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.5947 A, I_w_roll = 19.7069 A, theta_pitch = -24.89305mrad, theta_roll_comp =  5.9649 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1163, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23262 ms, ax =  0.2829, ay =  0.0851, az =  9.9555, gx =  0.0040 rad/s, gy = -0.0109 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7111 A, I_w_roll = 19.8428 A, theta_pitch = -25.17173mrad, theta_roll_comp =  6.0718 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1164, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23282 ms, ax =  0.2793, ay =  0.1067, az =  9.9495, gx =  0.0024 rad/s, gy = -0.0117 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7853 A, I_w_roll = 19.3385 A, theta_pitch = -25.45368mrad, theta_roll_comp =  6.2092 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1165, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23302 ms, ax =  0.2589, ay =  0.1151, az =  9.9363, gx =  0.0014 rad/s, gy = -0.0118 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8307 A, I_w_roll = 19.0197 A, theta_pitch = -25.72045mrad, theta_roll_comp =  6.3441 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1166, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23322 ms, ax =  0.2457, ay =  0.1151, az =  9.9519, gx =  0.0003 rad/s, gy = -0.0113 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8425 A, I_w_roll = 18.6987 A, theta_pitch = -25.94157mrad, theta_roll_comp =  6.4737 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1167, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23342 ms, ax =  0.2266, ay =  0.1115, az =  9.9579, gx = -0.0018 rad/s, gy = -0.0096 rad/s, gz = -0.0188 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7979 A, I_w_roll = 17.9852 A, theta_pitch = -26.10585mrad, theta_roll_comp =  6.5541 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1168, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23362 ms, ax =  0.2050, ay =  0.0887, az =  9.9674, gx = -0.0014 rad/s, gy = -0.0080 rad/s, gz = -0.0169 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7468 A, I_w_roll = 18.1428 A, theta_pitch = -26.19120mrad, theta_roll_comp =  6.5986 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1169, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23382 ms, ax =  0.2002, ay =  0.0827, az =  9.9710, gx = -0.0014 rad/s, gy = -0.0069 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7091 A, I_w_roll = 18.1469 A, theta_pitch = -26.22408mrad, theta_roll_comp =  6.6089 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1170, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23402 ms, ax =  0.1870, ay =  0.0695, az =  9.9447, gx = -0.0020 rad/s, gy = -0.0061 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.6768 A, I_w_roll = 17.9570 A, theta_pitch = -26.22133mrad, theta_roll_comp =  6.6003 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1171, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23422 ms, ax =  0.1954, ay =  0.0815, az =  9.9650, gx = -0.0016 rad/s, gy = -0.0058 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.6628 A, I_w_roll = 18.0939 A, theta_pitch = -26.19899mrad, theta_roll_comp =  6.5930 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1172, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23442 ms, ax =  0.2266, ay =  0.0767, az =  9.9626, gx = -0.0004 rad/s, gy = -0.0048 rad/s, gz = -0.0232 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.6217 A, I_w_roll = 18.5187 A, theta_pitch = -26.20923mrad, theta_roll_comp =  6.6062 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1173, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23462 ms, ax =  0.2170, ay =  0.0791, az =  9.9531, gx = -0.0024 rad/s, gy = -0.0028 rad/s, gz = -0.0312 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.5412 A, I_w_roll = 17.8194 A, theta_pitch = -26.20491mrad, theta_roll_comp =  6.6056 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1174, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23482 ms, ax =  0.1918, ay =  0.0707, az =  9.9375, gx = -0.0016 rad/s, gy = -0.0030 rad/s, gz = -0.0320 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.5427 A, I_w_roll = 18.0902 A, theta_pitch = -26.14392mrad, theta_roll_comp =  6.5836 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1175, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23502 ms, ax =  0.1846, ay =  0.0779, az =  9.9555, gx = -0.0017 rad/s, gy = -0.0050 rad/s, gz = -0.0253 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.6128 A, I_w_roll = 18.0352 A, theta_pitch = -26.07869mrad, theta_roll_comp =  6.5627 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1176, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23522 ms, ax =  0.1858, ay =  0.0911, az =  9.9531, gx = -0.0035 rad/s, gy = -0.0066 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.6716 A, I_w_roll = 17.3776 A, theta_pitch = -26.04452mrad, theta_roll_comp =  6.5497 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1177, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23542 ms, ax =  0.2146, ay =  0.0851, az =  9.9531, gx = -0.0050 rad/s, gy = -0.0088 rad/s, gz = -0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7633 A, I_w_roll = 16.8471 A, theta_pitch = -26.08792mrad, theta_roll_comp =  6.5050 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1178, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23562 ms, ax =  0.2338, ay =  0.1115, az =  9.9591, gx = -0.0043 rad/s, gy = -0.0092 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7967 A, I_w_roll = 17.0776 A, theta_pitch = -26.20429mrad, theta_roll_comp =  6.4989 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1179, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23582 ms, ax =  0.2350, ay =  0.1019, az =  9.9423, gx = -0.0069 rad/s, gy = -0.0084 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7838 A, I_w_roll = 16.1872 A, theta_pitch = -26.33107mrad, theta_roll_comp =  6.4864 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1180, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23602 ms, ax =  0.2182, ay =  0.0803, az =  9.9399, gx = -0.0065 rad/s, gy = -0.0093 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8362 A, I_w_roll = 16.2934 A, theta_pitch = -26.43203mrad, theta_roll_comp =  6.4025 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1181, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23622 ms, ax =  0.2230, ay =  0.0707, az =  9.9543, gx = -0.0070 rad/s, gy = -0.0100 rad/s, gz = -0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8793 A, I_w_roll = 16.0614 A, theta_pitch = -26.54207mrad, theta_roll_comp =  6.2885 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1182, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23642 ms, ax =  0.2194, ay =  0.0408, az =  9.9698, gx = -0.0077 rad/s, gy = -0.0100 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8969 A, I_w_roll = 15.7679 A, theta_pitch = -26.65892mrad, theta_roll_comp =  6.1373 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1183, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23662 ms, ax =  0.2122, ay =  0.0288, az =  9.9710, gx = -0.0050 rad/s, gy = -0.0107 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.9442 A, I_w_roll = 16.6266 A, theta_pitch = -26.76151mrad, theta_roll_comp =  5.9539 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1184, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23682 ms, ax =  0.2110, ay =  0.0228, az =  9.9567, gx = -0.0037 rad/s, gy = -0.0117 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.9979 A, I_w_roll = 17.0319 A, theta_pitch = -26.87055mrad, theta_roll_comp =  5.8021 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1185, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23702 ms, ax =  0.2242, ay =  0.0120, az =  9.9387, gx = -0.0031 rad/s, gy = -0.0131 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.0788 A, I_w_roll = 17.1572 A, theta_pitch = -27.01989mrad, theta_roll_comp =  5.6493 mrad, theta_setpoint = -40.0000 mrad, 
