picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 2209, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44182 ms, ax =  0.1343, ay = -0.3956, az =  9.9339, gx =  0.0010 rad/s, gy = -0.0500 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.6350, I_w_pitch = -0.1694 A, I_w_roll =  0.3840 A, theta_pitch = 4.47074mrad, theta_roll_comp = -39.9355 mrad, theta_setpoint = -40.0399 mrad, 
msg = 5978, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119562 ms, ax =  0.0611, ay = -0.3680, az =  9.9626, gx = -0.0001 rad/s, gy = -0.0098 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -79.1444, I_w_pitch =  0.3681 A, I_w_roll =  0.6854 A, theta_pitch = -9.83582mrad, theta_roll_comp = -33.2398 mrad, theta_setpoint = -35.0297 mrad, 
msg = 5979, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119582 ms, ax =  0.0539, ay = -0.3368, az =  9.9722, gx =  0.0008 rad/s, gy = -0.0097 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -77.4733, I_w_pitch =  0.3776 A, I_w_roll =  1.0558 A, theta_pitch = -9.93468mrad, theta_roll_comp = -33.2342 mrad, theta_setpoint = -35.1347 mrad, 
msg = 5980, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119602 ms, ax =  0.0635, ay = -0.3057, az =  9.9830, gx = -0.0001 rad/s, gy = -0.0097 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -77.4733, I_w_pitch =  0.3945 A, I_w_roll =  0.7353 A, theta_pitch = -10.04731mrad, theta_roll_comp = -33.2200 mrad, theta_setpoint = -35.1347 mrad, 
msg = 5981, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119622 ms, ax =  0.0647, ay = -0.3404, az =  9.9686, gx = -0.0001 rad/s, gy = -0.0101 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -75.2005, I_w_pitch =  0.4272 A, I_w_roll =  0.7976 A, theta_pitch = -10.15893mrad, theta_roll_comp = -33.2068 mrad, theta_setpoint = -35.2774 mrad, 
msg = 5982, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119642 ms, ax =  0.0599, ay = -0.3380, az =  9.9746, gx =  0.0006 rad/s, gy = -0.0107 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -74.1310, I_w_pitch =  0.4728 A, I_w_roll =  1.0718 A, theta_pitch = -10.28536mrad, theta_roll_comp = -33.1710 mrad, theta_setpoint = -35.3446 mrad, 
msg = 5983, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119662 ms, ax =  0.0815, ay = -0.3141, az =  9.9579, gx =  0.0002 rad/s, gy = -0.0109 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -74.1310, I_w_pitch =  0.4999 A, I_w_roll =  0.9338 A, theta_pitch = -10.43021mrad, theta_roll_comp = -33.1666 mrad, theta_setpoint = -35.3446 mrad, 
msg = 5984, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119682 ms, ax =  0.0683, ay = -0.2937, az =  9.9698, gx = -0.0002 rad/s, gy = -0.0106 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -72.5936, I_w_pitch =  0.5103 A, I_w_roll =  0.8408 A, theta_pitch = -10.57095mrad, theta_roll_comp = -33.1462 mrad, theta_setpoint = -35.4411 mrad, 
msg = 5985, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119702 ms, ax =  0.0659, ay = -0.3021, az =  9.9794, gx =  0.0003 rad/s, gy = -0.0115 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -72.5936, I_w_pitch =  0.5693 A, I_w_roll =  1.0484 A, theta_pitch = -10.71573mrad, theta_roll_comp = -33.0930 mrad, theta_setpoint = -35.4411 mrad, 
msg = 5986, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119722 ms, ax =  0.0839, ay = -0.2913, az =  9.9770, gx =  0.0000 rad/s, gy = -0.0118 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -70.2206, I_w_pitch =  0.6070 A, I_w_roll =  1.0263 A, theta_pitch = -10.89580mrad, theta_roll_comp = -33.0644 mrad, theta_setpoint = -35.5901 mrad, 
msg = 5987, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119742 ms, ax =  0.1019, ay = -0.3189, az =  9.9447, gx = -0.0002 rad/s, gy = -0.0119 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -69.1511, I_w_pitch =  0.6421 A, I_w_roll =  0.9707 A, theta_pitch = -11.09463mrad, theta_roll_comp = -33.0376 mrad, theta_setpoint = -35.6573 mrad, 
msg = 5988, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119762 ms, ax =  0.0731, ay = -0.3249, az =  9.9878, gx = -0.0001 rad/s, gy = -0.0119 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -69.1511, I_w_pitch =  0.6707 A, I_w_roll =  1.0364 A, theta_pitch = -11.28491mrad, theta_roll_comp = -32.9897 mrad, theta_setpoint = -35.6573 mrad, 
msg = 5989, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119782 ms, ax =  0.1415, ay = -0.2817, az =  9.9579, gx = -0.0012 rad/s, gy = -0.0115 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.7447, I_w_pitch =  0.6872 A, I_w_roll =  0.7351 A, theta_pitch = -11.50158mrad, theta_roll_comp = -32.9622 mrad, theta_setpoint = -35.8084 mrad, 
msg = 5990, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119802 ms, ax =  0.0623, ay = -0.3117, az =  9.9495, gx = -0.0018 rad/s, gy = -0.0101 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.6417, I_w_pitch =  0.6507 A, I_w_roll =  0.5323 A, theta_pitch = -11.64873mrad, theta_roll_comp = -32.9558 mrad, theta_setpoint = -35.8777 mrad, 
msg = 5991, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119822 ms, ax =  0.0611, ay = -0.3165, az =  9.9734, gx = -0.0012 rad/s, gy = -0.0064 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.6417, I_w_pitch =  0.5079 A, I_w_roll =  0.7671 A, theta_pitch = -11.69137mrad, theta_roll_comp = -32.9514 mrad, theta_setpoint = -35.8777 mrad, 
msg = 5992, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119842 ms, ax =  0.0767, ay = -0.2302, az =  9.9698, gx = -0.0026 rad/s, gy = -0.0044 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4024, I_w_pitch =  0.4371 A, I_w_roll =  0.3121 A, theta_pitch = -11.75196mrad, theta_roll_comp = -32.9478 mrad, theta_setpoint = -36.0183 mrad, 
msg = 5993, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119862 ms, ax =  0.0851, ay = -0.2805, az =  9.9626, gx = -0.0020 rad/s, gy = -0.0026 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4024, I_w_pitch =  0.3681 A, I_w_roll =  0.5457 A, theta_pitch = -11.75368mrad, theta_roll_comp = -32.9464 mrad, theta_setpoint = -36.0183 mrad, 
msg = 5994, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119882 ms, ax =  0.0815, ay = -0.3105, az =  9.9794, gx = -0.0009 rad/s, gy = -0.0017 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.8289, I_w_pitch =  0.3243 A, I_w_roll =  0.9754 A, theta_pitch = -11.71006mrad, theta_roll_comp = -32.9658 mrad, theta_setpoint = -36.1799 mrad, 
msg = 5995, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119902 ms, ax =  0.0875, ay = -0.3644, az =  9.9674, gx = -0.0014 rad/s, gy = -0.0022 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.0602, I_w_pitch =  0.3431 A, I_w_roll =  0.7939 A, theta_pitch = -11.69337mrad, theta_roll_comp = -33.0019 mrad, theta_setpoint = -36.2282 mrad, 
msg = 5996, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119922 ms, ax =  0.1007, ay = -0.3884, az =  9.9626, gx = -0.0013 rad/s, gy = -0.0040 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.0602, I_w_pitch =  0.4151 A, I_w_roll =  0.8401 A, theta_pitch = -11.71151mrad, theta_roll_comp = -33.0028 mrad, theta_setpoint = -36.2282 mrad, 
msg = 5997, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119942 ms, ax =  0.1199, ay = -0.3536, az =  9.9435, gx = -0.0028 rad/s, gy = -0.0060 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0214, I_w_pitch =  0.5081 A, I_w_roll =  0.3677 A, theta_pitch = -11.79881mrad, theta_roll_comp = -33.0304 mrad, theta_setpoint = -36.3563 mrad, 
msg = 5998, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119962 ms, ax =  0.1043, ay = -0.3308, az =  9.9531, gx = -0.0026 rad/s, gy = -0.0081 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0214, I_w_pitch =  0.6132 A, I_w_roll =  0.3995 A, theta_pitch = -11.93148mrad, theta_roll_comp = -33.0673 mrad, theta_setpoint = -36.3563 mrad, 
msg = 5999, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   119982 ms, ax =  0.1151, ay = -0.2733, az =  9.9722, gx = -0.0022 rad/s, gy = -0.0109 rad/s, gz = -0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.0160, I_w_pitch =  0.7539 A, I_w_roll =  0.5796 A, theta_pitch = -12.12412mrad, theta_roll_comp = -33.0926 mrad, theta_setpoint = -36.4822 mrad, 
msg = 6000, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120002 ms, ax =  0.1163, ay = -0.3057, az =  9.9686, gx = -0.0021 rad/s, gy = -0.0133 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -54.5455, I_w_pitch =  0.8848 A, I_w_roll =  0.6497 A, theta_pitch = -12.35747mrad, theta_roll_comp = -33.1261 mrad, theta_setpoint = -36.5745 mrad, 
msg = 6001, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120022 ms, ax =  0.1127, ay = -0.2733, az =  9.9674, gx = -0.0017 rad/s, gy = -0.0149 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -54.5455, I_w_pitch =  0.9857 A, I_w_roll =  0.7733 A, theta_pitch = -12.60403mrad, theta_roll_comp = -33.1667 mrad, theta_setpoint = -36.5745 mrad, 
msg = 6002, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120042 ms, ax =  0.0911, ay = -0.3105, az =  9.9818, gx = -0.0008 rad/s, gy = -0.0158 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -54.5455, I_w_pitch =  1.0590 A, I_w_roll =  1.0844 A, theta_pitch = -12.84402mrad, theta_roll_comp = -33.2045 mrad, theta_setpoint = -36.5745 mrad, 
msg = 6003, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120062 ms, ax =  0.0947, ay = -0.3117, az =  9.9662, gx = -0.0005 rad/s, gy = -0.0158 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.6738, I_w_pitch =  1.0952 A, I_w_roll =  1.2127 A, theta_pitch = -13.08566mrad, theta_roll_comp = -33.2342 mrad, theta_setpoint = -36.6921 mrad, 
msg = 6004, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120082 ms, ax =  0.0959, ay = -0.3308, az =  9.9710, gx = -0.0001 rad/s, gy = -0.0157 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -50.7687, I_w_pitch =  1.1248 A, I_w_roll =  1.3991 A, theta_pitch = -13.31854mrad, theta_roll_comp = -33.2374 mrad, theta_setpoint = -36.8117 mrad, 
msg = 6005, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120102 ms, ax =  0.0935, ay = -0.3093, az =  9.9626, gx = -0.0001 rad/s, gy = -0.0138 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -50.1671, I_w_pitch =  1.0803 A, I_w_roll =  1.4224 A, theta_pitch = -13.51845mrad, theta_roll_comp = -33.2171 mrad, theta_setpoint = -36.8495 mrad, 
msg = 6006, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120122 ms, ax =  0.0995, ay = -0.3332, az =  9.9579, gx = -0.0006 rad/s, gy = -0.0123 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -50.1671, I_w_pitch =  1.0489 A, I_w_roll =  1.2467 A, theta_pitch = -13.70009mrad, theta_roll_comp = -33.1902 mrad, theta_setpoint = -36.8495 mrad, 
msg = 6007, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120142 ms, ax =  0.0755, ay = -0.2913, az =  9.9698, gx = -0.0009 rad/s, gy = -0.0104 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -47.7941, I_w_pitch =  0.9880 A, I_w_roll =  1.2225 A, theta_pitch = -13.82657mrad, theta_roll_comp = -33.1666 mrad, theta_setpoint = -36.9985 mrad, 
msg = 6008, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120162 ms, ax =  0.0923, ay = -0.3225, az =  9.9519, gx = -0.0017 rad/s, gy = -0.0088 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -47.7941, I_w_pitch =  0.9382 A, I_w_roll =  0.9576 A, theta_pitch = -13.92070mrad, theta_roll_comp = -33.1299 mrad, theta_setpoint = -36.9985 mrad, 
msg = 6009, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120182 ms, ax =  0.1067, ay = -0.3273, az =  9.9662, gx = -0.0018 rad/s, gy = -0.0065 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -45.2206, I_w_pitch =  0.8598 A, I_w_roll =  0.9665 A, theta_pitch = -14.00133mrad, theta_roll_comp = -33.1529 mrad, theta_setpoint = -37.1601 mrad, 
msg = 6010, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120202 ms, ax =  0.1043, ay = -0.2913, az =  9.9698, gx = -0.0025 rad/s, gy = -0.0048 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -43.3489, I_w_pitch =  0.7957 A, I_w_roll =  0.7841 A, theta_pitch = -14.03618mrad, theta_roll_comp = -33.1437 mrad, theta_setpoint = -37.2777 mrad, 
msg = 6011, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120222 ms, ax =  0.0959, ay = -0.3093, az =  9.9770, gx = -0.0018 rad/s, gy = -0.0033 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -43.3489, I_w_pitch =  0.7371 A, I_w_roll =  1.0152 A, theta_pitch = -14.03576mrad, theta_roll_comp = -33.1485 mrad, theta_setpoint = -37.2777 mrad, 
msg = 6012, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120242 ms, ax =  0.1115, ay = -0.2985, az =  9.9770, gx = -0.0025 rad/s, gy = -0.0012 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -41.3102, I_w_pitch =  0.6475 A, I_w_roll =  0.8316 A, theta_pitch = -14.00670mrad, theta_roll_comp = -33.1530 mrad, theta_setpoint = -37.4057 mrad, 
msg = 6013, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120262 ms, ax =  0.1187, ay = -0.3201, az =  9.9686, gx = -0.0030 rad/s, gy =  0.0000 rad/s, gz = -0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = -39.1377, I_w_pitch =  0.5946 A, I_w_roll =  0.6893 A, theta_pitch = -13.97350mrad, theta_roll_comp = -33.1792 mrad, theta_setpoint = -37.5421 mrad, 
msg = 6014, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120282 ms, ax =  0.1127, ay = -0.3273, az =  9.9638, gx = -0.0020 rad/s, gy =  0.0014 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -39.1377, I_w_pitch =  0.5312 A, I_w_roll =  1.0491 A, theta_pitch = -13.90595mrad, theta_roll_comp = -33.2117 mrad, theta_setpoint = -37.5421 mrad, 
msg = 6015, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120302 ms, ax =  0.1115, ay = -0.3464, az =  9.9591, gx = -0.0033 rad/s, gy =  0.0016 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -37.2660, I_w_pitch =  0.5071 A, I_w_roll =  0.6052 A, theta_pitch = -13.81638mrad, theta_roll_comp = -33.2740 mrad, theta_setpoint = -37.6597 mrad, 
msg = 6016, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120322 ms, ax =  0.1163, ay = -0.3129, az =  9.9662, gx = -0.0034 rad/s, gy =  0.0018 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -37.2660, I_w_pitch =  0.4923 A, I_w_roll =  0.5427 A, theta_pitch = -13.75323mrad, theta_roll_comp = -33.3136 mrad, theta_setpoint = -37.6597 mrad, 
msg = 6017, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120342 ms, ax =  0.1199, ay = -0.3237, az =  9.9758, gx = -0.0021 rad/s, gy =  0.0014 rad/s, gz = -0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = -34.7259, I_w_pitch =  0.4990 A, I_w_roll =  1.0636 A, theta_pitch = -13.69118mrad, theta_roll_comp = -33.3359 mrad, theta_setpoint = -37.8192 mrad, 
msg = 6018, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120362 ms, ax =  0.1163, ay = -0.3356, az =  9.9866, gx = -0.0046 rad/s, gy =  0.0019 rad/s, gz = -0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = -34.0575, I_w_pitch =  0.4618 A, I_w_roll =  0.1555 A, theta_pitch = -13.58525mrad, theta_roll_comp = -33.4346 mrad, theta_setpoint = -37.8612 mrad, 
msg = 6019, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120382 ms, ax =  0.1319, ay = -0.2949, az =  9.9794, gx = -0.0042 rad/s, gy =  0.0020 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = -34.0575, I_w_pitch =  0.4453 A, I_w_roll =  0.2800 A, theta_pitch = -13.51106mrad, theta_roll_comp = -33.4727 mrad, theta_setpoint = -37.8612 mrad, 
msg = 6020, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120402 ms, ax =  0.1091, ay = -0.3512, az =  9.9626, gx = -0.0024 rad/s, gy =  0.0027 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -31.0829, I_w_pitch =  0.4087 A, I_w_roll =  1.0049 A, theta_pitch = -13.44448mrad, theta_roll_comp = -33.4786 mrad, theta_setpoint = -38.0480 mrad, 
msg = 6021, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120422 ms, ax =  0.1223, ay = -0.3716, az =  9.9603, gx = -0.0042 rad/s, gy =  0.0040 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -31.0829, I_w_pitch =  0.3413 A, I_w_roll =  0.3063 A, theta_pitch = -13.35032mrad, theta_roll_comp = -33.5939 mrad, theta_setpoint = -38.0480 mrad, 
msg = 6022, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120442 ms, ax =  0.1283, ay = -0.3440, az =  9.9459, gx = -0.0038 rad/s, gy =  0.0048 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -29.3115, I_w_pitch =  0.2860 A, I_w_roll =  0.4588 A, theta_pitch = -13.19443mrad, theta_roll_comp = -33.6734 mrad, theta_setpoint = -38.1592 mrad, 
msg = 6023, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120462 ms, ax =  0.1139, ay = -0.3129, az =  9.9662, gx = -0.0020 rad/s, gy =  0.0062 rad/s, gz = -0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.7072, I_w_pitch =  0.2112 A, I_w_roll =  1.1566 A, theta_pitch = -13.05074mrad, theta_roll_comp = -33.6608 mrad, theta_setpoint = -38.2600 mrad, 
msg = 6024, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120482 ms, ax =  0.1103, ay = -0.3404, az =  9.9770, gx = -0.0035 rad/s, gy =  0.0078 rad/s, gz = -0.0048 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.7072, I_w_pitch =  0.1198 A, I_w_roll =  0.5718 A, theta_pitch = -12.86764mrad, theta_roll_comp = -33.7248 mrad, theta_setpoint = -38.2600 mrad, 
msg = 6025, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120502 ms, ax =  0.1007, ay = -0.3117, az =  9.9734, gx = -0.0034 rad/s, gy =  0.0092 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.1056, I_w_pitch =  0.0283 A, I_w_roll =  0.6016 A, theta_pitch = -12.64797mrad, theta_roll_comp = -33.8045 mrad, theta_setpoint = -38.2978 mrad, 
msg = 6026, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120522 ms, ax =  0.1163, ay = -0.3045, az =  9.9591, gx = -0.0031 rad/s, gy =  0.0098 rad/s, gz = -0.0036 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.1056, I_w_pitch = -0.0252 A, I_w_roll =  0.6843 A, theta_pitch = -12.43377mrad, theta_roll_comp = -33.8307 mrad, theta_setpoint = -38.2978 mrad, 
msg = 6027, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120542 ms, ax =  0.1127, ay = -0.3213, az =  9.9662, gx = -0.0034 rad/s, gy =  0.0104 rad/s, gz = -0.0031 rad/s, rpm_pitch =  0.0000, rpm_roll = -23.6965, I_w_pitch = -0.0852 A, I_w_roll =  0.6585 A, theta_pitch = -12.21086mrad, theta_roll_comp = -33.8764 mrad, theta_setpoint = -38.5119 mrad, 
msg = 6028, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120562 ms, ax =  0.1043, ay = -0.3404, az =  9.9662, gx = -0.0022 rad/s, gy =  0.0092 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -23.2620, I_w_pitch = -0.0727 A, I_w_roll =  1.0782 A, theta_pitch = -11.97476mrad, theta_roll_comp = -33.9029 mrad, theta_setpoint = -38.5391 mrad, 
msg = 6029, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120582 ms, ax =  0.1379, ay = -0.3512, az =  9.9459, gx = -0.0021 rad/s, gy =  0.0055 rad/s, gz = -0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -23.2620, I_w_pitch =  0.0572 A, I_w_roll =  1.1040 A, theta_pitch = -11.84682mrad, theta_roll_comp = -33.9550 mrad, theta_setpoint = -38.5391 mrad, 
msg = 6030, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120602 ms, ax =  0.1486, ay = -0.3608, az =  9.9471, gx = -0.0038 rad/s, gy =  0.0007 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -22.1257, I_w_pitch =  0.2489 A, I_w_roll =  0.4864 A, theta_pitch = -11.84623mrad, theta_roll_comp = -34.0557 mrad, theta_setpoint = -38.6105 mrad, 
msg = 6031, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120622 ms, ax =  0.1546, ay = -0.3117, az =  9.9638, gx = -0.0031 rad/s, gy = -0.0044 rad/s, gz = -0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = -18.5829, I_w_pitch =  0.4679 A, I_w_roll =  0.7922 A, theta_pitch = -11.95703mrad, theta_roll_comp = -34.0961 mrad, theta_setpoint = -38.8330 mrad, 
msg = 6032, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120642 ms, ax =  0.1570, ay = -0.2997, az =  9.9650, gx = -0.0034 rad/s, gy = -0.0100 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -18.5829, I_w_pitch =  0.7246 A, I_w_roll =  0.6942 A, theta_pitch = -12.17731mrad, theta_roll_comp = -34.1082 mrad, theta_setpoint = -38.8330 mrad, 
msg = 6033, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120662 ms, ax =  0.1510, ay = -0.3249, az =  9.9734, gx = -0.0039 rad/s, gy = -0.0139 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -17.9144, I_w_pitch =  0.9297 A, I_w_roll =  0.5013 A, theta_pitch = -12.47924mrad, theta_roll_comp = -34.1663 mrad, theta_setpoint = -38.8750 mrad, 
msg = 6034, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120682 ms, ax =  0.1307, ay = -0.3285, az =  9.9722, gx = -0.0037 rad/s, gy = -0.0161 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -17.9144, I_w_pitch =  1.0645 A, I_w_roll =  0.5764 A, theta_pitch = -12.80951mrad, theta_roll_comp = -34.2116 mrad, theta_setpoint = -38.8750 mrad, 
msg = 6035, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120702 ms, ax =  0.1103, ay = -0.3368, az =  9.9866, gx = -0.0030 rad/s, gy = -0.0165 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -17.5802, I_w_pitch =  1.1270 A, I_w_roll =  0.7878 A, theta_pitch = -13.11955mrad, theta_roll_comp = -34.2868 mrad, theta_setpoint = -38.8960 mrad, 
msg = 6036, nerr =   37p/  45r, time steps =   10, qsz =    2, switch = on, t =   120722 ms, ax =  0.0863, ay = -0.3297, az =  9.9770, gx = -0.0031 rad/s, gy = -0.0143 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -16.6110, I_w_pitch =  1.0773 A, I_w_roll =  0.7278 A, theta_pitch = -13.35676mrad, theta_roll_comp = -34.3810 mrad, theta_setpoint = -38.9568 mrad, 
