picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
 A, I_w_roll = -263.7635 A, theta_pitch = -0.30080mrad, theta_roll_comp = -698.0505 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3338, nerr =  134p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33382 ms, ax = -0.6329, ay =  0.2601, az =  9.7744, gx =  0.0481 rad/s, gy =  0.0609 rad/s, gz = -0.0875 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9004 A, I_w_roll = 33.3230 A, theta_pitch = 33.09974mrad, theta_roll_comp =  1.2075 mrad, theta_setpoint = -40.0000 mrad, 
msg = 5993, nerr =  296p/ 319r, time steps =    5, qsz =    2, switch = off, t =    59932 ms, ax =  0.7384, ay = -0.3860, az = 10.0502, gx =  0.0517 rad/s, gy = -0.1820 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 13.2870 A, I_w_roll = 28.1481 A, theta_pitch = -50.05009mrad, theta_roll_comp = -14.8755 mrad, theta_setpoint = -40.0000 mrad, 
msg = 5994, nerr =  296p/ 320r, time steps =    5, qsz =    2, switch = off, t =    59942 ms, ax =  0.7780, ay = -0.3896, az = 10.0466, gx =  0.0556 rad/s, gy = -0.1775 rad/s, gz = -0.0153 rad/s, rpm_pitch = -4.8472, rpm_roll = -0.0000, I_w_pitch =  7.0197 A, I_w_roll = 29.6194 A, theta_pitch = -52.09214mrad, theta_roll_comp = -14.5761 mrad, theta_setpoint = -40.0000 mrad, 
msg = 5995, nerr =  296p/ 320r, time steps =    5, qsz =    2, switch = off, t =    59952 ms, ax =  0.8355, ay = -0.3836, az = 10.0094, gx =  0.0589 rad/s, gy = -0.1720 rad/s, gz = -0.0121 rad/s, rpm_pitch = -4.8472, rpm_roll = -0.0000, I_w_pitch =  7.1048 A, I_w_roll = 30.9176 A, theta_pitch = -54.11516mrad, theta_roll_comp = -14.2432 mrad, theta_setpoint = -40.0000 mrad, 
msg = 5996, nerr =  296p/ 320r, time steps =    5, qsz =    2, switch = off, t =    59962 ms, ax =  0.9002, ay = -0.3596, az =  9.9722, gx =  0.0622 rad/s, gy = -0.1632 rad/s, gz = -0.0079 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  7.8585 A, I_w_roll = 32.2335 A, theta_pitch = -56.10844mrad, theta_roll_comp = -13.8664 mrad, theta_setpoint = -40.0000 mrad, 
msg = 5997, nerr =  296p/ 320r, time steps =    5, qsz =    2, switch = off, t =    59972 ms, ax =  0.9626, ay = -0.3308, az =  9.9435, gx =  0.0653 rad/s, gy = -0.1534 rad/s, gz = -0.0037 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  7.7564 A, I_w_roll = 33.4774 A, theta_pitch = -58.05514mrad, theta_roll_comp = -13.4363 mrad, theta_setpoint = -40.0000 mrad, 
msg = 5998, nerr =  296p/ 320r, time steps =    5, qsz =    2, switch = off, t =    59982 ms, ax =  1.0321, ay = -0.2961, az =  9.9399, gx =  0.0670 rad/s, gy = -0.1419 rad/s, gz = -0.0001 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  7.5815 A, I_w_roll = 34.2756 A, theta_pitch = -59.94268mrad, theta_roll_comp = -12.9554 mrad, theta_setpoint = -40.0000 mrad, 
msg = 5999, nerr =  296p/ 320r, time steps =    5, qsz =    2, switch = off, t =    59992 ms, ax =  1.1208, ay = -0.2661, az =  9.9615, gx =  0.0688 rad/s, gy = -0.1270 rad/s, gz =  0.0047 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  7.2571 A, I_w_roll = 35.0917 A, theta_pitch = -61.75702mrad, theta_roll_comp = -12.4297 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6000, nerr =  297p/ 320r, time steps =    5, qsz =    2, switch = off, t =    60002 ms, ax =  1.1508, ay = -0.2146, az = 10.0034, gx =  0.0701 rad/s, gy = -0.1113 rad/s, gz =  0.0091 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  6.8830 A, I_w_roll = 35.7890 A, theta_pitch = -63.45314mrad, theta_roll_comp = -11.8518 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6001, nerr =  297p/ 320r, time steps =    5, qsz =    2, switch = off, t =    60012 ms, ax =  1.1580, ay = -0.2014, az = 10.0322, gx =  0.0719 rad/s, gy = -0.0936 rad/s, gz =  0.0124 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  6.4035 A, I_w_roll = 36.6895 A, theta_pitch = -64.97865mrad, theta_roll_comp = -11.2317 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6002, nerr =  297p/ 320r, time steps =    5, qsz =    2, switch = off, t =    60022 ms, ax =  1.1448, ay = -0.1522, az = 10.0490, gx =  0.0737 rad/s, gy = -0.0747 rad/s, gz =  0.0150 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  5.8453 A, I_w_roll = 37.5612 A, theta_pitch = -66.29944mrad, theta_roll_comp = -10.5670 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6003, nerr =  297p/ 320r, time steps =    5, qsz =    2, switch = off, t =    60032 ms, ax =  1.1064, ay = -0.1247, az = 10.0490, gx =  0.0741 rad/s, gy = -0.0582 rad/s, gz =  0.0169 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  5.3508 A, I_w_roll = 37.9831 A, theta_pitch = -67.40592mrad, theta_roll_comp = -9.8617 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6004, nerr =  297p/ 321r, time steps =    5, qsz =    2, switch = off, t =    60042 ms, ax =  1.0753, ay = -0.0731, az = 10.0346, gx =  0.0742 rad/s, gy = -0.0434 rad/s, gz =  0.0180 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  4.8956 A, I_w_roll = 38.3260 A, theta_pitch = -68.31224mrad, theta_roll_comp = -9.1209 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6005, nerr =  297p/ 321r, time steps =    5, qsz =    2, switch = off, t =    60052 ms, ax =  1.0477, ay = -0.0072, az =  9.9998, gx =  0.0735 rad/s, gy = -0.0277 rad/s, gz =  0.0177 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  4.3749 A, I_w_roll = 38.4088 A, theta_pitch = -69.03094mrad, theta_roll_comp = -8.3315 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6006, nerr =  298p/ 321r, time steps =    5, qsz =    2, switch = off, t =    60062 ms, ax =  1.0429, ay =  0.0372, az =  9.9650, gx =  0.0726 rad/s, gy = -0.0133 rad/s, gz =  0.0177 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  3.8822 A, I_w_roll = 38.4137 A, theta_pitch = -69.58105mrad, theta_roll_comp = -7.5037 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6007, nerr =  298p/ 321r, time steps =    5, qsz =    2, switch = off, t =    60072 ms, ax =  1.0453, ay =  0.1043, az =  9.9447, gx =  0.0711 rad/s, gy =  0.0012 rad/s, gz =  0.0164 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  3.3621 A, I_w_roll = 38.2465 A, theta_pitch = -69.98416mrad, theta_roll_comp = -6.6399 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6008, nerr =  298p/ 321r, time steps =    5, qsz =    2, switch = off, t =    60082 ms, ax =  1.0561, ay =  0.1486, az =  9.9435, gx =  0.0688 rad/s, gy =  0.0171 rad/s, gz =  0.0144 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  2.7664 A, I_w_roll = 37.7640 A, theta_pitch = -70.23871mrad, theta_roll_comp = -5.7492 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6009, nerr =  298p/ 321r, time steps =    5, qsz =    2, switch = off, t =    60092 ms, ax =  1.0609, ay =  0.1918, az =  9.9782, gx =  0.0660 rad/s, gy =  0.0319 rad/s, gz =  0.0124 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  2.1911 A, I_w_roll = 37.1450 A, theta_pitch = -70.34445mrad, theta_roll_comp = -4.8498 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6010, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60102 ms, ax =  1.0501, ay =  0.2146, az = 10.0058, gx =  0.0632 rad/s, gy =  0.0465 rad/s, gz =  0.0093 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  1.5979 A, I_w_roll = 36.5240 A, theta_pitch = -70.29546mrad, theta_roll_comp = -3.9557 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6011, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60112 ms, ax =  1.0189, ay =  0.2302, az = 10.0322, gx =  0.0596 rad/s, gy =  0.0616 rad/s, gz =  0.0052 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  0.9630 A, I_w_roll = 35.6142 A, theta_pitch = -70.07542mrad, theta_roll_comp = -3.0845 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6012, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60122 ms, ax =  0.9794, ay =  0.2218, az = 10.0466, gx =  0.0560 rad/s, gy =  0.0745 rad/s, gz =  0.0012 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch =  0.3872 A, I_w_roll = 34.6874 A, theta_pitch = -69.68108mrad, theta_roll_comp = -2.2555 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6013, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60132 ms, ax =  0.9302, ay =  0.2230, az = 10.0358, gx =  0.0526 rad/s, gy =  0.0861 rad/s, gz = -0.0029 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch = -0.1595 A, I_w_roll = 33.8356 A, theta_pitch = -69.12558mrad, theta_roll_comp = -1.4723 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6014, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60142 ms, ax =  0.8751, ay =  0.2206, az =  9.9998, gx =  0.0489 rad/s, gy =  0.0976 rad/s, gz = -0.0075 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch = -0.7301 A, I_w_roll = 32.8266 A, theta_pitch = -68.41043mrad, theta_roll_comp = -0.7326 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6015, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60152 ms, ax =  0.8211, ay =  0.2254, az =  9.9555, gx =  0.0457 rad/s, gy =  0.1067 rad/s, gz = -0.0111 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch = -1.2213 A, I_w_roll = 31.9884 A, theta_pitch = -67.55078mrad, theta_roll_comp = -0.0319 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6016, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60162 ms, ax =  0.7648, ay =  0.2314, az =  9.9315, gx =  0.0425 rad/s, gy =  0.1153 rad/s, gz = -0.0149 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch = -1.7162 A, I_w_roll = 31.1370 A, theta_pitch = -66.55911mrad, theta_roll_comp =  0.6360 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6017, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60172 ms, ax =  0.7096, ay =  0.2266, az =  9.9207, gx =  0.0389 rad/s, gy =  0.1231 rad/s, gz = -0.0186 rad/s, rpm_pitch = -4.2358, rpm_roll = -0.0000, I_w_pitch = -2.1926 A, I_w_roll = 30.1299 A, theta_pitch = -65.44231mrad, theta_roll_comp =  1.2640 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6018, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60182 ms, ax =  0.6653, ay =  0.2433, az =  9.9327, gx =  0.0356 rad/s, gy =  0.1292 rad/s, gz = -0.0217 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.9650 A, I_w_roll = 29.2024 A, theta_pitch = -64.21841mrad, theta_roll_comp =  1.8580 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6019, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60192 ms, ax =  0.6293, ay =  0.2577, az =  9.9315, gx =  0.0319 rad/s, gy =  0.1344 rad/s, gz = -0.0250 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.5610 A, I_w_roll = 28.1249 A, theta_pitch = -62.91034mrad, theta_roll_comp =  2.4264 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6020, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60202 ms, ax =  0.5958, ay =  0.2877, az =  9.9375, gx =  0.0272 rad/s, gy =  0.1396 rad/s, gz = -0.0277 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.1462 A, I_w_roll = 26.7109 A, theta_pitch = -61.52937mrad, theta_roll_comp =  2.9693 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6021, nerr =  298p/ 322r, time steps =    5, qsz =    2, switch = off, t =    60212 ms, ax =  0.5598, ay =  0.3021, az =  9.9483, gx =  0.0228 rad/s, gy =  0.1437 rad/s, gz = -0.0297 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7636 A, I_w_roll = 25.3788 A, theta_pitch = -60.07981mrad, theta_roll_comp =  3.4838 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6022, nerr =  299p/ 323r, time steps =    5, qsz =    2, switch = off, t =    60222 ms, ax =  0.5226, ay =  0.3368, az =  9.9615, gx =  0.0187 rad/s, gy =  0.1466 rad/s, gz = -0.0313 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.4207 A, I_w_roll = 24.1306 A, theta_pitch = -58.57465mrad, theta_roll_comp =  3.9751 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6023, nerr =  299p/ 323r, time steps =    5, qsz =    2, switch = off, t =    60232 ms, ax =  0.4963, ay =  0.3560, az =  9.9591, gx =  0.0135 rad/s, gy =  0.1497 rad/s, gz = -0.0321 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0652 A, I_w_roll = 22.4994 A, theta_pitch = -57.02134mrad, theta_roll_comp =  4.4410 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6024, nerr =  299p/ 323r, time steps =    5, qsz =    2, switch = off, t =    60242 ms, ax =  0.4591, ay =  0.3764, az =  9.9483, gx =  0.0086 rad/s, gy =  0.1513 rad/s, gz = -0.0318 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7624 A, I_w_roll = 20.9474 A, theta_pitch = -55.42872mrad, theta_roll_comp =  4.8719 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6025, nerr =  299p/ 323r, time steps =    5, qsz =    2, switch = off, t =    60252 ms, ax =  0.4196, ay =  0.3848, az =  9.9519, gx =  0.0031 rad/s, gy =  0.1522 rad/s, gz = -0.0314 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4810 A, I_w_roll = 19.1922 A, theta_pitch = -53.80188mrad, theta_roll_comp =  5.2607 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6026, nerr =  299p/ 323r, time steps =    5, qsz =    2, switch = off, t =    60262 ms, ax =  0.3716, ay =  0.3932, az =  9.9387, gx = -0.0033 rad/s, gy =  0.1526 rad/s, gz = -0.0298 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2159 A, I_w_roll = 17.0887 A, theta_pitch = -52.14045mrad, theta_roll_comp =  5.5946 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6027, nerr =  299p/ 323r, time steps =    5, qsz =    2, switch = off, t =    60272 ms, ax =  0.3093, ay =  0.4016, az =  9.9327, gx = -0.0093 rad/s, gy =  0.1518 rad/s, gz = -0.0278 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0068 A, I_w_roll = 15.1027 A, theta_pitch = -50.44311mrad, theta_roll_comp =  5.8726 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6028, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60282 ms, ax =  0.2541, ay =  0.4208, az =  9.9303, gx = -0.0154 rad/s, gy =  0.1493 rad/s, gz = -0.0254 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1639 A, I_w_roll = 13.0506 A, theta_pitch = -48.72122mrad, theta_roll_comp =  6.1016 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6029, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60292 ms, ax =  0.1942, ay =  0.4351, az =  9.9183, gx = -0.0222 rad/s, gy =  0.1454 rad/s, gz = -0.0217 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2689 A, I_w_roll = 10.7455 A, theta_pitch = -46.99129mrad, theta_roll_comp =  6.2810 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6030, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60302 ms, ax =  0.1247, ay =  0.4447, az =  9.9231, gx = -0.0287 rad/s, gy =  0.1404 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3265 A, I_w_roll =  8.5111 A, theta_pitch = -45.25799mrad, theta_roll_comp =  6.4040 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6031, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60312 ms, ax =  0.0647, ay =  0.4495, az =  9.9339, gx = -0.0354 rad/s, gy =  0.1339 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3239 A, I_w_roll =  6.2060 A, theta_pitch = -43.53579mrad, theta_roll_comp =  6.4667 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6032, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60322 ms, ax =  0.0156, ay =  0.4507, az =  9.9399, gx = -0.0423 rad/s, gy =  0.1253 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2355 A, I_w_roll =  3.7813 A, theta_pitch = -41.85250mrad, theta_roll_comp =  6.4634 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6033, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60332 ms, ax = -0.0276, ay =  0.4471, az =  9.9375, gx = -0.0488 rad/s, gy =  0.1169 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1442 A, I_w_roll =  1.4691 A, theta_pitch = -40.22386mrad, theta_roll_comp =  6.3920 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6034, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60342 ms, ax = -0.0599, ay =  0.4315, az =  9.9291, gx = -0.0553 rad/s, gy =  0.1078 rad/s, gz = -0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0110 A, I_w_roll = -0.8728 A, theta_pitch = -38.66194mrad, theta_roll_comp =  6.2462 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6035, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60352 ms, ax = -0.0779, ay =  0.4028, az =  9.9171, gx = -0.0619 rad/s, gy =  0.0976 rad/s, gz =  0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1726 A, I_w_roll = -3.2490 A, theta_pitch = -37.18756mrad, theta_roll_comp =  6.0145 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6036, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60362 ms, ax = -0.0911, ay =  0.3692, az =  9.9075, gx = -0.0677 rad/s, gy =  0.0886 rad/s, gz =  0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3278 A, I_w_roll = -5.4284 A, theta_pitch = -35.80772mrad, theta_roll_comp =  5.6926 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6037, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60372 ms, ax = -0.0959, ay =  0.3237, az =  9.9003, gx = -0.0735 rad/s, gy =  0.0797 rad/s, gz =  0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4917 A, I_w_roll = -7.5985 A, theta_pitch = -34.52082mrad, theta_roll_comp =  5.2773 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6038, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60382 ms, ax = -0.1055, ay =  0.2781, az =  9.9075, gx = -0.0792 rad/s, gy =  0.0694 rad/s, gz =  0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7241 A, I_w_roll = -9.8081 A, theta_pitch = -33.33646mrad, theta_roll_comp =  4.7632 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6039, nerr =  300p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60392 ms, ax = -0.1163, ay =  0.2433, az =  9.9135, gx = -0.0840 rad/s, gy =  0.0600 rad/s, gz =  0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9393 A, I_w_roll = -11.7264 A, theta_pitch = -32.25024mrad, theta_roll_comp =  4.1616 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6040, nerr =  301p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60402 ms, ax = -0.1187, ay =  0.2134, az =  9.9195, gx = -0.0881 rad/s, gy =  0.0506 rad/s, gz =  0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1642 A, I_w_roll = -13.4398 A, theta_pitch = -31.26359mrad, theta_roll_comp =  3.4902 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6041, nerr =  301p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60412 ms, ax = -0.1295, ay =  0.1954, az =  9.9327, gx = -0.0924 rad/s, gy =  0.0405 rad/s, gz =  0.0138 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.4359 A, I_w_roll = -15.2235 A, theta_pitch = -30.37655mrad, theta_roll_comp =  2.7590 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6042, nerr =  301p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60422 ms, ax = -0.1391, ay =  0.1690, az =  9.9267, gx = -0.0961 rad/s, gy =  0.0315 rad/s, gz =  0.0134 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6791 A, I_w_roll = -16.8429 A, theta_pitch = -29.58365mrad, theta_roll_comp =  1.9730 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6043, nerr =  301p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60432 ms, ax = -0.1426, ay =  0.1450, az =  9.9075, gx = -0.0996 rad/s, gy =  0.0221 rad/s, gz =  0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.9469 A, I_w_roll = -18.3903 A, theta_pitch = -28.88324mrad, theta_roll_comp =  1.1337 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6044, nerr =  301p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60442 ms, ax = -0.1343, ay =  0.1187, az =  9.9015, gx = -0.1030 rad/s, gy =  0.0122 rad/s, gz =  0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.2573 A, I_w_roll = -19.9580 A, theta_pitch = -28.28966mrad, theta_roll_comp =  0.2437 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6045, nerr =  301p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60452 ms, ax = -0.1079, ay =  0.0803, az =  9.9003, gx = -0.1057 rad/s, gy =  0.0031 rad/s, gz =  0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.5482 A, I_w_roll = -21.2680 A, theta_pitch = -27.81396mrad, theta_roll_comp = -0.7012 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6046, nerr =  302p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60462 ms, ax = -0.0851, ay =  0.0479, az =  9.9111, gx = -0.1081 rad/s, gy = -0.0046 rad/s, gz =  0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.8027 A, I_w_roll = -22.5051 A, theta_pitch = -27.45151mrad, theta_roll_comp = -1.6967 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6047, nerr =  302p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60472 ms, ax = -0.0479, ay =  0.0096, az =  9.9267, gx = -0.1105 rad/s, gy = -0.0126 rad/s, gz =  0.0040 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.0847 A, I_w_roll = -23.7621 A, theta_pitch = -27.20117mrad, theta_roll_comp = -2.7422 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6048, nerr =  302p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60482 ms, ax =  0.0048, ay = -0.0240, az =  9.9519, gx = -0.1122 rad/s, gy = -0.0181 rad/s, gz =  0.0009 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.2828 A, I_w_roll = -24.8045 A, theta_pitch = -27.06566mrad, theta_roll_comp = -3.8335 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6049, nerr =  302p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60492 ms, ax =  0.0491, ay = -0.0468, az =  9.9806, gx = -0.1134 rad/s, gy = -0.0229 rad/s, gz = -0.0025 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.4692 A, I_w_roll = -25.6730 A, theta_pitch = -27.03027mrad, theta_roll_comp = -4.9562 mrad, theta_setpoint = -40.0000 mrad, 
msg = 6050, nerr =  302p/ 324r, time steps =    5, qsz =    2, switch = off, t =    60502 ms, ax =  0.0815, ay = -0.0887, az =  9.9866, gx = -0.1141 rad/s, gy = -0.0257 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.5871 A, I_w_roll = -26.3674 A, theta_pitch = -27.07030mrad, theta_roll_comp = -6.1096 mrad, theta_setpoint = -40.0000 mrad, 
