picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.1892 A, I_w_roll = -249.2544 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  298, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     2982 ms, ax =  0.5191, ay = -6.1087, az =  7.8948, gx = -0.0018 rad/s, gy =  0.0067 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.4252 A, I_w_roll = -235.0612 A, theta_pitch = -61.28607mrad, theta_roll_comp = -626.0620 mrad, theta_setpoint = -40.0000 mrad, 
msg =  299, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     2992 ms, ax =  0.5202, ay = -6.1123, az =  7.8936, gx = -0.0017 rad/s, gy =  0.0068 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.4164 A, I_w_roll = -235.1519 A, theta_pitch = -61.26301mrad, theta_roll_comp = -626.4051 mrad, theta_setpoint = -40.0000 mrad, 
msg =  300, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3002 ms, ax =  0.5179, ay = -6.1147, az =  7.8912, gx = -0.0017 rad/s, gy =  0.0076 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.3802 A, I_w_roll = -235.2889 A, theta_pitch = -61.23452mrad, theta_roll_comp = -626.7476 mrad, theta_setpoint = -40.0000 mrad, 
msg =  301, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3012 ms, ax =  0.5167, ay = -6.1147, az =  7.8888, gx = -0.0020 rad/s, gy =  0.0080 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.3588 A, I_w_roll = -235.5192 A, theta_pitch = -61.19849mrad, theta_roll_comp = -627.0904 mrad, theta_setpoint = -40.0000 mrad, 
msg =  302, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3022 ms, ax =  0.5107, ay = -6.1135, az =  7.8900, gx = -0.0017 rad/s, gy =  0.0084 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.3361 A, I_w_roll = -235.5615 A, theta_pitch = -61.15414mrad, theta_roll_comp = -627.4293 mrad, theta_setpoint = -40.0000 mrad, 
msg =  303, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3032 ms, ax =  0.5083, ay = -6.1111, az =  7.8936, gx = -0.0017 rad/s, gy =  0.0086 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.3231 A, I_w_roll = -235.6941 A, theta_pitch = -61.10239mrad, theta_roll_comp = -627.7607 mrad, theta_setpoint = -40.0000 mrad, 
msg =  304, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3042 ms, ax =  0.4963, ay = -6.1063, az =  7.8912, gx = -0.0014 rad/s, gy =  0.0090 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2975 A, I_w_roll = -235.7303 A, theta_pitch = -61.03883mrad, theta_roll_comp = -628.0841 mrad, theta_setpoint = -40.0000 mrad, 
msg =  305, nerr =   28p/  22r, time steps =    5, qsz =    3, switch = off, t =     3052 ms, ax =  0.4951, ay = -6.1051, az =  7.8888, gx = -0.0014 rad/s, gy =  0.0094 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2704 A, I_w_roll = -235.8576 A, theta_pitch = -60.96434mrad, theta_roll_comp = -628.4025 mrad, theta_setpoint = -40.0000 mrad, 
msg =  306, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3062 ms, ax =  0.4939, ay = -6.1027, az =  7.8864, gx = -0.0012 rad/s, gy =  0.0092 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2643 A, I_w_roll = -235.8899 A, theta_pitch = -60.88815mrad, theta_roll_comp = -628.7161 mrad, theta_setpoint = -40.0000 mrad, 
msg =  307, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3072 ms, ax =  0.4891, ay = -6.1015, az =  7.8841, gx = -0.0016 rad/s, gy =  0.0095 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2416 A, I_w_roll = -236.1543 A, theta_pitch = -60.80818mrad, theta_roll_comp = -629.0275 mrad, theta_setpoint = -40.0000 mrad, 
msg =  308, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3082 ms, ax =  0.4891, ay = -6.1039, az =  7.8805, gx = -0.0016 rad/s, gy =  0.0098 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2183 A, I_w_roll = -236.2793 A, theta_pitch = -60.72379mrad, theta_roll_comp = -629.3402 mrad, theta_setpoint = -40.0000 mrad, 
msg =  309, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3092 ms, ax =  0.4843, ay = -6.0955, az =  7.8793, gx = -0.0017 rad/s, gy =  0.0098 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2052 A, I_w_roll = -236.4496 A, theta_pitch = -60.63594mrad, theta_roll_comp = -629.6495 mrad, theta_setpoint = -40.0000 mrad, 
msg =  310, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3102 ms, ax =  0.4891, ay = -6.1003, az =  7.8864, gx = -0.0017 rad/s, gy =  0.0099 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1867 A, I_w_roll = -236.5711 A, theta_pitch = -60.54845mrad, theta_roll_comp = -629.9531 mrad, theta_setpoint = -40.0000 mrad, 
msg =  311, nerr =   28p/  22r, time steps =    5, qsz =    2, switch = off, t =     3112 ms, ax =  0.4855, ay = -6.1051, az =  7.8829, gx = -0.0017 rad/s, gy =  0.0100 rad/s, gz = -0.0048 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1682 A, I_w_roll = -236.6925 A, theta_pitch = -60.46074mrad, theta_roll_comp = -630.2567 mrad, theta_setpoint = -40.0000 mrad, 
msg =  312, nerr =   28p/  23r, time steps =    5, qsz =    2, switch = off, t =     3122 ms, ax =  0.4879, ay = -6.1051, az =  7.8829, gx = -0.0014 rad/s, gy =  0.0100 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1551 A, I_w_roll = -236.7200 A, theta_pitch = -60.37296mrad, theta_roll_comp = -630.5583 mrad, theta_setpoint = -40.0000 mrad, 
msg =  313, nerr =   28p/  23r, time steps =    5, qsz =    2, switch = off, t =     3132 ms, ax =  0.4879, ay = -6.1051, az =  7.8852, gx = -0.0020 rad/s, gy =  0.0106 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1205 A, I_w_roll = -237.0262 A, theta_pitch = -60.28449mrad, theta_roll_comp = -630.8578 mrad, theta_setpoint = -40.0000 mrad, 
msg =  314, nerr =   28p/  23r, time steps =    5, qsz =    2, switch = off, t =     3142 ms, ax =  0.4807, ay = -6.1063, az =  7.8805, gx = -0.0020 rad/s, gy =  0.0106 rad/s, gz = -0.0057 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1063 A, I_w_roll = -237.1463 A, theta_pitch = -60.18968mrad, theta_roll_comp = -631.1581 mrad, theta_setpoint = -40.0000 mrad, 
msg =  315, nerr =   28p/  23r, time steps =    5, qsz =    2, switch = off, t =     3152 ms, ax =  0.4783, ay = -6.1075, az =  7.8829, gx = -0.0018 rad/s, gy =  0.0110 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0750 A, I_w_roll = -237.2189 A, theta_pitch = -60.08796mrad, theta_roll_comp = -631.4561 mrad, theta_setpoint = -40.0000 mrad, 
msg =  316, nerr =   28p/  23r, time steps =    5, qsz =    2, switch = off, t =     3162 ms, ax =  0.4759, ay = -6.1075, az =  7.8888, gx = -0.0020 rad/s, gy =  0.0114 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0428 A, I_w_roll = -237.3827 A, theta_pitch = -59.97990mrad, theta_roll_comp = -631.7492 mrad, theta_setpoint = -40.0000 mrad, 
msg =  317, nerr =   28p/  23r, time steps =    5, qsz =    2, switch = off, t =     3172 ms, ax =  0.4675, ay = -6.0979, az =  7.8852, gx = -0.0021 rad/s, gy =  0.0110 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0417 A, I_w_roll = -237.5442 A, theta_pitch = -59.86606mrad, theta_roll_comp = -632.0363 mrad, theta_setpoint = -40.0000 mrad, 
msg =  318, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3182 ms, ax =  0.4591, ay = -6.0991, az =  7.8805, gx = -0.0020 rad/s, gy =  0.0107 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0344 A, I_w_roll = -237.6110 A, theta_pitch = -59.74641mrad, theta_roll_comp = -632.3198 mrad, theta_setpoint = -40.0000 mrad, 
msg =  319, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3192 ms, ax =  0.4531, ay = -6.1099, az =  7.8841, gx = -0.0020 rad/s, gy =  0.0102 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0372 A, I_w_roll = -237.7251 A, theta_pitch = -59.62306mrad, theta_roll_comp = -632.6052 mrad, theta_setpoint = -40.0000 mrad, 
msg =  320, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3202 ms, ax =  0.4459, ay = -6.1063, az =  7.8852, gx = -0.0017 rad/s, gy =  0.0096 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0398 A, I_w_roll = -237.7448 A, theta_pitch = -59.49778mrad, theta_roll_comp = -632.8873 mrad, theta_setpoint = -40.0000 mrad, 
msg =  321, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3212 ms, ax =  0.4447, ay = -6.1099, az =  7.8912, gx = -0.0014 rad/s, gy =  0.0098 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0153 A, I_w_roll = -237.7614 A, theta_pitch = -59.37018mrad, theta_roll_comp = -633.1619 mrad, theta_setpoint = -40.0000 mrad, 
msg =  322, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3222 ms, ax =  0.4387, ay = -6.1195, az =  7.8888, gx = -0.0016 rad/s, gy =  0.0092 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0173 A, I_w_roll = -237.9183 A, theta_pitch = -59.24124mrad, theta_roll_comp = -633.4376 mrad, theta_setpoint = -40.0000 mrad, 
msg =  323, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3232 ms, ax =  0.4303, ay = -6.1243, az =  7.8852, gx = -0.0017 rad/s, gy =  0.0088 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0134 A, I_w_roll = -238.0776 A, theta_pitch = -59.10923mrad, theta_roll_comp = -633.7193 mrad, theta_setpoint = -40.0000 mrad, 
msg =  324, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3242 ms, ax =  0.4303, ay = -6.1231, az =  7.8876, gx = -0.0018 rad/s, gy =  0.0086 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0042 A, I_w_roll = -238.2369 A, theta_pitch = -58.97692mrad, theta_roll_comp = -634.0010 mrad, theta_setpoint = -40.0000 mrad, 
msg =  325, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3252 ms, ax =  0.4267, ay = -6.1255, az =  7.8841, gx = -0.0017 rad/s, gy =  0.0084 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9898 A, I_w_roll = -238.3022 A, theta_pitch = -58.84547mrad, theta_roll_comp = -634.2810 mrad, theta_setpoint = -40.0000 mrad, 
msg =  326, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3262 ms, ax =  0.4303, ay = -6.1243, az =  7.8852, gx = -0.0014 rad/s, gy =  0.0080 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9868 A, I_w_roll = -238.3195 A, theta_pitch = -58.71854mrad, theta_roll_comp = -634.5571 mrad, theta_setpoint = -40.0000 mrad, 
msg =  327, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3272 ms, ax =  0.4327, ay = -6.1231, az =  7.8769, gx = -0.0010 rad/s, gy =  0.0075 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9905 A, I_w_roll = -238.2883 A, theta_pitch = -58.60141mrad, theta_roll_comp = -634.8287 mrad, theta_setpoint = -40.0000 mrad, 
msg =  328, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3282 ms, ax =  0.4303, ay = -6.1231, az =  7.8876, gx = -0.0010 rad/s, gy =  0.0072 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9843 A, I_w_roll = -238.3943 A, theta_pitch = -58.48916mrad, theta_roll_comp = -635.0938 mrad, theta_setpoint = -40.0000 mrad, 
msg =  329, nerr =   28p/  24r, time steps =    5, qsz =    2, switch = off, t =     3292 ms, ax =  0.4267, ay = -6.1135, az =  7.8960, gx = -0.0012 rad/s, gy =  0.0071 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9726 A, I_w_roll = -238.5424 A, theta_pitch = -58.37545mrad, theta_roll_comp = -635.3474 mrad, theta_setpoint = -40.0000 mrad, 
msg =  330, nerr =   28p/  25r, time steps =    5, qsz =    2, switch = off, t =     3302 ms, ax =  0.4291, ay = -6.1123, az =  7.8936, gx = -0.0009 rad/s, gy =  0.0066 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9774 A, I_w_roll = -238.5470 A, theta_pitch = -58.26562mrad, theta_roll_comp = -635.5919 mrad, theta_setpoint = -40.0000 mrad, 
msg =  331, nerr =   28p/  25r, time steps =    5, qsz =    3, switch = off, t =     3312 ms, ax =  0.4208, ay = -6.1087, az =  7.8888, gx = -0.0008 rad/s, gy =  0.0060 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9826 A, I_w_roll = -238.5966 A, theta_pitch = -58.15821mrad, theta_roll_comp = -635.8323 mrad, theta_setpoint = -40.0000 mrad, 
msg =  332, nerr =   28p/  25r, time steps =    5, qsz =    2, switch = off, t =     3322 ms, ax =  0.4196, ay = -6.1039, az =  7.8841, gx = -0.0008 rad/s, gy =  0.0055 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9880 A, I_w_roll = -238.6914 A, theta_pitch = -58.05180mrad, theta_roll_comp = -636.0693 mrad, theta_setpoint = -40.0000 mrad, 
msg =  333, nerr =   28p/  25r, time steps =    5, qsz =    2, switch = off, t =     3332 ms, ax =  0.4148, ay = -6.0967, az =  7.8888, gx = -0.0008 rad/s, gy =  0.0054 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9774 A, I_w_roll = -238.7832 A, theta_pitch = -57.94561mrad, theta_roll_comp = -636.2990 mrad, theta_setpoint = -40.0000 mrad, 
msg =  334, nerr =   28p/  25r, time steps =    5, qsz =    2, switch = off, t =     3342 ms, ax =  0.4136, ay = -6.0943, az =  7.8852, gx = -0.0009 rad/s, gy =  0.0050 rad/s, gz = -0.0139 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9775 A, I_w_roll = -238.9194 A, theta_pitch = -57.83968mrad, theta_roll_comp = -636.5231 mrad, theta_setpoint = -40.0000 mrad, 
msg =  335, nerr =   28p/  25r, time steps =    5, qsz =    2, switch = off, t =     3352 ms, ax =  0.4208, ay = -6.0836, az =  7.8805, gx = -0.0012 rad/s, gy =  0.0043 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9898 A, I_w_roll = -239.1011 A, theta_pitch = -57.74458mrad, theta_roll_comp = -636.7442 mrad, theta_setpoint = -40.0000 mrad, 
msg =  336, nerr =   29p/  26r, time steps =    5, qsz =    2, switch = off, t =     3362 ms, ax =  0.4196, ay = -6.0776, az =  7.8805, gx = -0.0016 rad/s, gy =  0.0040 rad/s, gz = -0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9876 A, I_w_roll = -239.3277 A, theta_pitch = -57.65852mrad, theta_roll_comp = -636.9612 mrad, theta_setpoint = -40.0000 mrad, 
msg =  337, nerr =   29p/  26r, time steps =    5, qsz =    2, switch = off, t =     3372 ms, ax =  0.4172, ay = -6.0836, az =  7.8841, gx = -0.0018 rad/s, gy =  0.0032 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0072 A, I_w_roll = -239.5079 A, theta_pitch = -57.57634mrad, theta_roll_comp = -637.1786 mrad, theta_setpoint = -40.0000 mrad, 
msg =  338, nerr =   29p/  26r, time steps =    5, qsz =    2, switch = off, t =     3382 ms, ax =  0.4124, ay = -6.0836, az =  7.8829, gx = -0.0020 rad/s, gy =  0.0027 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0166 A, I_w_roll = -239.6420 A, theta_pitch = -57.49681mrad, theta_roll_comp = -637.3973 mrad, theta_setpoint = -40.0000 mrad, 
msg =  339, nerr =   29p/  26r, time steps =    5, qsz =    2, switch = off, t =     3392 ms, ax =  0.4172, ay = -6.0967, az =  7.8888, gx = -0.0022 rad/s, gy =  0.0022 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0269 A, I_w_roll = -239.8242 A, theta_pitch = -57.42367mrad, theta_roll_comp = -637.6198 mrad, theta_setpoint = -40.0000 mrad, 
msg =  340, nerr =   29p/  26r, time steps =    5, qsz =    2, switch = off, t =     3402 ms, ax =  0.4136, ay = -6.1003, az =  7.8900, gx = -0.0021 rad/s, gy =  0.0018 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0327 A, I_w_roll = -239.8676 A, theta_pitch = -57.35597mrad, theta_roll_comp = -637.8449 mrad, theta_setpoint = -40.0000 mrad, 
msg =  341, nerr =   29p/  26r, time steps =    5, qsz =    2, switch = off, t =     3412 ms, ax =  0.4160, ay = -6.1171, az =  7.8864, gx = -0.0022 rad/s, gy =  0.0010 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0555 A, I_w_roll = -240.0072 A, theta_pitch = -57.29470mrad, theta_roll_comp = -638.0772 mrad, theta_setpoint = -40.0000 mrad, 
msg =  342, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3422 ms, ax =  0.4112, ay = -6.1303, az =  7.8805, gx = -0.0024 rad/s, gy =  0.0003 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0739 A, I_w_roll = -240.1522 A, theta_pitch = -57.23975mrad, theta_roll_comp = -638.3232 mrad, theta_setpoint = -40.0000 mrad, 
msg =  343, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3432 ms, ax =  0.4136, ay = -6.1363, az =  7.8781, gx = -0.0020 rad/s, gy = -0.0002 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0878 A, I_w_roll = -240.1131 A, theta_pitch = -57.19036mrad, theta_roll_comp = -638.5752 mrad, theta_setpoint = -40.0000 mrad, 
msg =  344, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3442 ms, ax =  0.4184, ay = -6.1291, az =  7.8864, gx = -0.0013 rad/s, gy = -0.0008 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1032 A, I_w_roll = -239.9764 A, theta_pitch = -57.15124mrad, theta_roll_comp = -638.8160 mrad, theta_setpoint = -40.0000 mrad, 
msg =  345, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3452 ms, ax =  0.4208, ay = -6.1303, az =  7.8793, gx = -0.0012 rad/s, gy = -0.0016 rad/s, gz = -0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1310 A, I_w_roll = -240.0230 A, theta_pitch = -57.12359mrad, theta_roll_comp = -639.0488 mrad, theta_setpoint = -40.0000 mrad, 
msg =  346, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3462 ms, ax =  0.4160, ay = -6.1315, az =  7.8841, gx = -0.0009 rad/s, gy = -0.0021 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1489 A, I_w_roll = -240.0217 A, theta_pitch = -57.10099mrad, theta_roll_comp = -639.2786 mrad, theta_setpoint = -40.0000 mrad, 
msg =  347, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3472 ms, ax =  0.4136, ay = -6.1255, az =  7.8852, gx = -0.0008 rad/s, gy = -0.0026 rad/s, gz = -0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1670 A, I_w_roll = -240.0637 A, theta_pitch = -57.07929mrad, theta_roll_comp = -639.5002 mrad, theta_setpoint = -40.0000 mrad, 
msg =  348, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3482 ms, ax =  0.4100, ay = -6.1147, az =  7.8864, gx = -0.0006 rad/s, gy = -0.0032 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1853 A, I_w_roll = -240.1013 A, theta_pitch = -57.05922mrad, theta_roll_comp = -639.7108 mrad, theta_setpoint = -40.0000 mrad, 
msg =  349, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3492 ms, ax =  0.4148, ay = -6.1075, az =  7.8817, gx = -0.0002 rad/s, gy = -0.0037 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2046 A, I_w_roll = -240.0415 A, theta_pitch = -57.04591mrad, theta_roll_comp = -639.9109 mrad, theta_setpoint = -40.0000 mrad, 
msg =  350, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3502 ms, ax =  0.4148, ay = -6.0955, az =  7.8841, gx = -0.0001 rad/s, gy = -0.0040 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2143 A, I_w_roll = -240.0703 A, theta_pitch = -57.03950mrad, theta_roll_comp = -640.0991 mrad, theta_setpoint = -40.0000 mrad, 
msg =  351, nerr =   30p/  26r, time steps =    5, qsz =    2, switch = off, t =     3512 ms, ax =  0.4208, ay = -6.0776, az =  7.8841, gx = -0.0001 rad/s, gy = -0.0044 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2304 A, I_w_roll = -240.1396 A, theta_pitch = -57.04043mrad, theta_roll_comp = -640.2726 mrad, theta_setpoint = -40.0000 mrad, 
msg =  352, nerr =   31p/  26r, time steps =    5, qsz =    2, switch = off, t =     3522 ms, ax =  0.4351, ay = -6.0848, az =  7.8948, gx = -0.0009 rad/s, gy = -0.0040 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2164 A, I_w_roll = -240.4867 A, theta_pitch = -57.05392mrad, theta_roll_comp = -640.4412 mrad, theta_setpoint = -40.0000 mrad, 
msg =  353, nerr =   31p/  26r, time steps =    5, qsz =    2, switch = off, t =     3532 ms, ax =  0.4447, ay = -6.0680, az =  7.9044, gx = -0.0013 rad/s, gy = -0.0038 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2149 A, I_w_roll = -240.6914 A, theta_pitch = -57.07890mrad, theta_roll_comp = -640.6033 mrad, theta_setpoint = -40.0000 mrad, 
msg =  354, nerr =   31p/  26r, time steps =    5, qsz =    2, switch = off, t =     3542 ms, ax =  0.4603, ay = -6.0728, az =  7.9044, gx = -0.0016 rad/s, gy = -0.0032 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1937 A, I_w_roll = -240.8473 A, theta_pitch = -57.11528mrad, theta_roll_comp = -640.7602 mrad, theta_setpoint = -40.0000 mrad, 
msg =  355, nerr =   31p/  26r, time steps =    5, qsz =    2, switch = off, t =     3552 ms, ax =  0.4687, ay = -6.0752, az =  7.8984, gx = -0.0016 rad/s, gy = -0.0026 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1791 A, I_w_roll = -240.9119 A, theta_pitch = -57.16031mrad, theta_roll_comp = -640.9216 mrad, theta_setpoint = -40.0000 mrad, 
msg =  356, nerr =   31p/  26r, time steps =    5, qsz =    2, switch = off, t =     3562 ms, ax =  0.4627, ay = -6.0836, az =  7.8936, gx = -0.0017 rad/s, gy = -0.0024 rad/s, gz = -0.0170 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1748 A, I_w_roll = -241.0258 A, theta_pitch = -57.20226mrad, theta_roll_comp = -641.0898 mrad, theta_setpoint = -40.0000 mrad, 
