picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0485 A, I_w_roll =  2.9387 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  939, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18782 ms, ax = -0.0096, ay = -0.4004, az =  9.9543, gx =  0.0000 rad/s, gy =  0.0116 rad/s, gz = -0.0001 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.5722, I_w_pitch = -2.6081 A, I_w_roll = -0.3932 A, theta_pitch = 4.28898mrad, theta_roll_comp = -36.9678 mrad, theta_setpoint = -35.9449 mrad, 
msg =  940, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18802 ms, ax = -0.0060, ay = -0.3608, az =  9.9495, gx =  0.0002 rad/s, gy =  0.0027 rad/s, gz =  0.0027 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.6110, I_w_pitch = -2.2610 A, I_w_roll = -0.4169 A, theta_pitch = 4.35387mrad, theta_roll_comp = -37.0157 mrad, theta_setpoint = -35.8168 mrad, 
msg =  941, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18822 ms, ax = -0.0204, ay = -0.3512, az =  9.9543, gx =  0.0000 rad/s, gy = -0.0056 rad/s, gz =  0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.6110, I_w_pitch = -1.9188 A, I_w_roll = -0.4770 A, theta_pitch = 4.27378mrad, theta_roll_comp = -37.0494 mrad, theta_setpoint = -35.8168 mrad, 
msg =  942, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18842 ms, ax = -0.0515, ay = -0.3968, az =  9.9423, gx =  0.0020 rad/s, gy = -0.0110 rad/s, gz =  0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.1791, I_w_pitch = -1.6687 A, I_w_roll =  0.2221 A, theta_pitch = 4.06231mrad, theta_roll_comp = -37.0134 mrad, theta_setpoint = -35.7811 mrad, 
msg =  943, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18862 ms, ax = -0.0623, ay = -0.3548, az =  9.9519, gx =  0.0020 rad/s, gy = -0.0131 rad/s, gz =  0.0020 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.3824, I_w_pitch = -1.5525 A, I_w_roll =  0.2100 A, theta_pitch = 3.85605mrad, theta_roll_comp = -36.9682 mrad, theta_setpoint = -35.7056 mrad, 
msg =  944, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18882 ms, ax = -0.0707, ay = -0.3440, az =  9.9387, gx =  0.0007 rad/s, gy = -0.0117 rad/s, gz = -0.0016 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.3824, I_w_pitch = -1.5836 A, I_w_roll = -0.2273 A, theta_pitch = 3.67272mrad, theta_roll_comp = -36.8963 mrad, theta_setpoint = -35.7056 mrad, 
msg =  945, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18902 ms, ax = -0.1091, ay = -0.3452, az =  9.9638, gx =  0.0027 rad/s, gy = -0.0080 rad/s, gz = -0.0067 rad/s, rpm_pitch = -5.5459, rpm_roll = -68.8837, I_w_pitch = -9.0300 A, I_w_roll =  0.5068 A, theta_pitch = 3.56180mrad, theta_roll_comp = -36.7774 mrad, theta_setpoint = -35.6741 mrad, 
msg =  946, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18922 ms, ax = -0.1019, ay = -0.3596, az =  9.9531, gx =  0.0022 rad/s, gy = -0.0032 rad/s, gz = -0.0111 rad/s, rpm_pitch = -2.9694, rpm_roll = -69.1176, I_w_pitch = -5.8285 A, I_w_roll =  0.3592 A, theta_pitch = 3.59235mrad, theta_roll_comp = -36.6655 mrad, theta_setpoint = -35.6594 mrad, 
msg =  947, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18942 ms, ax =  0.2110, ay = -0.3536, az =  9.8991, gx =  0.0103 rad/s, gy = -0.0183 rad/s, gz = -0.0178 rad/s, rpm_pitch = -2.9694, rpm_roll = -69.1176, I_w_pitch = -5.1691 A, I_w_roll =  3.2469 A, theta_pitch = 3.24373mrad, theta_roll_comp = -36.5533 mrad, theta_setpoint = -35.6594 mrad, 
msg =  948, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18962 ms, ax =  0.2302, ay = -0.3560, az =  9.8392, gx = -0.0035 rad/s, gy = -0.0612 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.9171, I_w_pitch =  0.6264 A, I_w_roll = -1.5937 A, theta_pitch = 2.14778mrad, theta_roll_comp = -36.5504 mrad, theta_setpoint = -35.6720 mrad, 
msg =  949, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    18982 ms, ax =  0.2373, ay = -0.3201, az =  9.8763, gx = -0.0066 rad/s, gy = -0.1041 rad/s, gz =  0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.9171, I_w_pitch =  2.6645 A, I_w_roll = -2.6561 A, theta_pitch = -0.00606mrad, theta_roll_comp = -36.5266 mrad, theta_setpoint = -35.6720 mrad, 
msg =  950, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19002 ms, ax = -0.0683, ay = -0.2649, az =  9.8979, gx = -0.0085 rad/s, gy = -0.1341 rad/s, gz =  0.0218 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.6805, I_w_pitch =  4.2319 A, I_w_roll = -3.3010 A, theta_pitch = -2.46594mrad, theta_roll_comp = -36.5856 mrad, theta_setpoint = -35.7497 mrad, 
msg =  951, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19022 ms, ax = -0.0288, ay = -0.3500, az =  9.9519, gx = -0.0058 rad/s, gy = -0.1398 rad/s, gz =  0.0293 rad/s, rpm_pitch = -3.7118, rpm_roll = -67.3128, I_w_pitch = -0.0327 A, I_w_roll = -2.3573 A, theta_pitch = -5.14249mrad, theta_roll_comp = -36.5795 mrad, theta_setpoint = -35.7728 mrad, 
msg =  952, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19042 ms, ax = -0.0599, ay = -0.3944, az = 10.0358, gx =  0.0051 rad/s, gy = -0.1319 rad/s, gz =  0.0285 rad/s, rpm_pitch = -3.7118, rpm_roll = -67.3128, I_w_pitch =  0.0244 A, I_w_roll =  1.4518 A, theta_pitch = -7.61827mrad, theta_roll_comp = -36.6107 mrad, theta_setpoint = -35.7728 mrad, 
msg =  953, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19062 ms, ax = -0.0575, ay = -0.3668, az = 10.0705, gx =  0.0044 rad/s, gy = -0.1145 rad/s, gz =  0.0284 rad/s, rpm_pitch = -0.2620, rpm_roll = -67.8810, I_w_pitch =  4.1993 A, I_w_roll =  1.2240 A, theta_pitch = -9.77157mrad, theta_roll_comp = -36.5620 mrad, theta_setpoint = -35.7371 mrad, 
msg =  954, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19082 ms, ax = -0.1426, ay = -0.3368, az = 10.0909, gx =  0.0048 rad/s, gy = -0.0962 rad/s, gz =  0.0254 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.6832, I_w_pitch =  4.0763 A, I_w_roll =  1.4169 A, theta_pitch = -11.51253mrad, theta_roll_comp = -36.3787 mrad, theta_setpoint = -35.6867 mrad, 
msg =  955, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19102 ms, ax = -0.2254, ay = -0.3608, az = 10.0238, gx =  0.0043 rad/s, gy = -0.0743 rad/s, gz =  0.0184 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.6832, I_w_pitch =  3.3625 A, I_w_roll =  1.3050 A, theta_pitch = -12.61261mrad, theta_roll_comp = -36.1924 mrad, theta_setpoint = -35.6867 mrad, 
msg =  956, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19122 ms, ax = -0.1594, ay = -0.3069, az =  9.9279, gx = -0.0034 rad/s, gy = -0.0415 rad/s, gz =  0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.6497, I_w_pitch =  2.1307 A, I_w_roll = -1.3560 A, theta_pitch = -13.13599mrad, theta_roll_comp = -36.0894 mrad, theta_setpoint = -35.6888 mrad, 
msg =  957, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19142 ms, ax = -0.1271, ay = -0.2445, az =  9.9950, gx =  0.0000 rad/s, gy = -0.0069 rad/s, gz = -0.0039 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.6497, I_w_pitch =  0.7331 A, I_w_roll = -0.0854 A, theta_pitch = -13.05038mrad, theta_roll_comp = -35.9423 mrad, theta_setpoint = -35.6888 mrad, 
msg =  958, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19162 ms, ax = -0.0899, ay = -0.2901, az = 10.0418, gx =  0.0048 rad/s, gy =  0.0232 rad/s, gz = -0.0200 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.7473, I_w_pitch = -0.5707 A, I_w_roll =  1.6705 A, theta_pitch = -12.38295mrad, theta_roll_comp = -35.8036 mrad, theta_setpoint = -35.7455 mrad, 
msg =  959, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19182 ms, ax = -0.0731, ay = -0.3057, az = 10.0166, gx =  0.0020 rad/s, gy =  0.0488 rad/s, gz = -0.0328 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.6136, I_w_pitch = -1.7644 A, I_w_roll =  0.7543 A, theta_pitch = -11.24259mrad, theta_roll_comp = -35.6558 mrad, theta_setpoint = -35.7539 mrad, 
msg =  960, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19202 ms, ax = -0.0180, ay = -0.2721, az =  9.9962, gx =  0.0003 rad/s, gy =  0.0662 rad/s, gz = -0.0423 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.6136, I_w_pitch = -2.6815 A, I_w_roll =  0.2204 A, theta_pitch = -9.78032mrad, theta_roll_comp = -35.4759 mrad, theta_setpoint = -35.7539 mrad, 
msg =  961, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19222 ms, ax = -0.0180, ay = -0.3009, az = 10.0094, gx =  0.0044 rad/s, gy =  0.0751 rad/s, gz = -0.0458 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.5775, I_w_pitch = -3.2861 A, I_w_roll =  1.7469 A, theta_pitch = -8.12847mrad, theta_roll_comp = -35.3366 mrad, theta_setpoint = -35.8189 mrad, 
msg =  962, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19242 ms, ax =  0.0000, ay = -0.3476, az =  9.9770, gx =  0.0004 rad/s, gy =  0.0781 rad/s, gz = -0.0415 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.5775, I_w_pitch = -3.6589 A, I_w_roll =  0.3832 A, theta_pitch = -6.42473mrad, theta_roll_comp = -35.2506 mrad, theta_setpoint = -35.8189 mrad, 
msg =  963, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19262 ms, ax =  0.0216, ay = -0.3332, az =  9.9710, gx = -0.0020 rad/s, gy =  0.0746 rad/s, gz = -0.0334 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.7754, I_w_pitch = -3.7620 A, I_w_roll = -0.4305 A, theta_pitch = -4.81376mrad, theta_roll_comp = -35.2379 mrad, theta_setpoint = -35.8693 mrad, 
msg =  964, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19282 ms, ax =  0.0503, ay = -0.3380, az =  9.9435, gx =  0.0004 rad/s, gy =  0.0662 rad/s, gz = -0.0236 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.1711, I_w_pitch = -3.6381 A, I_w_roll =  0.4558 A, theta_pitch = -3.40261mrad, theta_roll_comp = -35.2200 mrad, theta_setpoint = -35.9701 mrad, 
msg =  965, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19302 ms, ax =  0.0659, ay = -0.3368, az =  9.9375, gx = -0.0014 rad/s, gy =  0.0521 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.1711, I_w_pitch = -3.2419 A, I_w_roll = -0.2047 A, theta_pitch = -2.28025mrad, theta_roll_comp = -35.2402 mrad, theta_setpoint = -35.9701 mrad, 
msg =  966, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19322 ms, ax =  0.1079, ay = -0.3488, az =  9.9626, gx = -0.0025 rad/s, gy =  0.0359 rad/s, gz = -0.0004 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.1711, I_w_pitch = -2.7019 A, I_w_roll = -0.6062 A, theta_pitch = -1.54831mrad, theta_roll_comp = -35.3120 mrad, theta_setpoint = -35.9701 mrad, 
msg =  967, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19342 ms, ax =  0.0923, ay = -0.3740, az =  9.9387, gx = -0.0008 rad/s, gy =  0.0157 rad/s, gz =  0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.9318, I_w_pitch = -1.9461 A, I_w_roll =  0.0406 A, theta_pitch = -1.22565mrad, theta_roll_comp = -35.3501 mrad, theta_setpoint = -36.1107 mrad, 
msg =  968, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19362 ms, ax =  0.0995, ay = -0.3368, az =  9.9111, gx = -0.0033 rad/s, gy = -0.0022 rad/s, gz =  0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.0321, I_w_pitch = -1.2190 A, I_w_roll = -0.8670 A, theta_pitch = -1.27907mrad, theta_roll_comp = -35.3991 mrad, theta_setpoint = -36.1044 mrad, 
msg =  969, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19382 ms, ax =  0.0623, ay = -0.3225, az =  9.9363, gx = -0.0025 rad/s, gy = -0.0158 rad/s, gz =  0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.2634, I_w_pitch = -0.6274 A, I_w_roll = -0.5776 A, theta_pitch = -1.60165mrad, theta_roll_comp = -35.4229 mrad, theta_setpoint = -36.1527 mrad, 
msg =  970, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19402 ms, ax =  0.0348, ay = -0.3488, az =  9.9459, gx = -0.0013 rad/s, gy = -0.0237 rad/s, gz =  0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.2634, I_w_pitch = -0.2473 A, I_w_roll = -0.1618 A, theta_pitch = -2.04031mrad, theta_roll_comp = -35.4321 mrad, theta_setpoint = -36.1527 mrad, 
msg =  971, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19422 ms, ax =  0.0240, ay = -0.3812, az =  9.9123, gx = -0.0049 rad/s, gy = -0.0257 rad/s, gz =  0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.1297, I_w_pitch = -0.0953 A, I_w_roll = -1.4350 A, theta_pitch = -2.52136mrad, theta_roll_comp = -35.4778 mrad, theta_setpoint = -36.1611 mrad, 
msg =  972, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19442 ms, ax = -0.0300, ay = -0.3980, az =  9.9291, gx = -0.0042 rad/s, gy = -0.0242 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.1297, I_w_pitch = -0.0901 A, I_w_roll = -1.2211 A, theta_pitch = -2.94636mrad, theta_roll_comp = -35.5254 mrad, theta_setpoint = -36.1611 mrad, 
msg =  973, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19462 ms, ax = -0.0815, ay = -0.3308, az =  9.9255, gx =  0.0014 rad/s, gy = -0.0203 rad/s, gz = -0.0168 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.6283, I_w_pitch = -0.2032 A, I_w_roll =  0.7382 A, theta_pitch = -3.22224mrad, theta_roll_comp = -35.5521 mrad, theta_setpoint = -36.1925 mrad, 
msg =  974, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19482 ms, ax = -0.0659, ay = -0.3368, az =  9.9471, gx = -0.0026 rad/s, gy = -0.0138 rad/s, gz = -0.0216 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.6283, I_w_pitch = -0.4396 A, I_w_roll = -0.6712 A, theta_pitch = -3.38633mrad, theta_roll_comp = -35.5804 mrad, theta_setpoint = -36.1925 mrad, 
msg =  975, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19502 ms, ax = -0.0432, ay = -0.3273, az =  9.9686, gx = -0.0012 rad/s, gy = -0.0077 rad/s, gz = -0.0225 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.6283, I_w_pitch = -0.6796 A, I_w_roll = -0.1669 A, theta_pitch = -3.41916mrad, theta_roll_comp = -35.6011 mrad, theta_setpoint = -36.1925 mrad, 
msg =  976, nerr =    2p/   8r, time steps =   10, qsz =    2, switch = on, t =    19522 ms, ax = -0.0779, ay = -0.3584, az =  9.9387, gx =  0.0027 rad/s, gy = -0.0021 rad/s, gz = -0.0236 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.0628, I_w_pitch = -0.9211 A, I_w_roll =  1.1490 A, theta_pitch = -3.30088mrad, theta_roll_comp = -35.6630 mrad, theta_setpoint = -36.1653 mrad, 
msg =  977, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19542 ms, ax = -0.0444, ay = -0.3728, az =  9.9363, gx = -0.0016 rad/s, gy =  0.0022 rad/s, gz = -0.0173 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.1297, I_w_pitch = -1.1140 A, I_w_roll = -0.3612 A, theta_pitch = -3.15121mrad, theta_roll_comp = -35.7060 mrad, theta_setpoint = -36.1611 mrad, 
msg =  978, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19562 ms, ax =  0.0000, ay = -0.3716, az =  9.9638, gx =  0.0014 rad/s, gy =  0.0022 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.1297, I_w_pitch = -1.1367 A, I_w_roll =  0.6654 A, theta_pitch = -2.99957mrad, theta_roll_comp = -35.7027 mrad, theta_setpoint = -36.1611 mrad, 
msg =  979, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19582 ms, ax =  0.0144, ay = -0.4028, az =  9.9375, gx =  0.0015 rad/s, gy =  0.0000 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.1297, I_w_pitch = -1.0628 A, I_w_roll =  0.7101 A, theta_pitch = -2.92427mrad, theta_roll_comp = -35.7074 mrad, theta_setpoint = -36.1611 mrad, 
msg =  980, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19602 ms, ax =  0.0084, ay = -0.4088, az =  9.9387, gx = -0.0021 rad/s, gy = -0.0044 rad/s, gz = -0.0008 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.1297, I_w_pitch = -0.8841 A, I_w_roll = -0.5443 A, theta_pitch = -2.94381mrad, theta_roll_comp = -35.6976 mrad, theta_setpoint = -36.1611 mrad, 
msg =  981, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19622 ms, ax = -0.0144, ay = -0.3261, az =  9.9686, gx =  0.0020 rad/s, gy = -0.0093 rad/s, gz =  0.0007 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.1297, I_w_pitch = -0.6745 A, I_w_roll =  0.9138 A, theta_pitch = -3.02760mrad, theta_roll_comp = -35.6641 mrad, theta_setpoint = -36.1611 mrad, 
msg =  982, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19642 ms, ax =  0.0024, ay = -0.3344, az =  9.9531, gx =  0.0027 rad/s, gy = -0.0130 rad/s, gz =  0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.9987, I_w_pitch = -0.5024 A, I_w_roll =  1.1470 A, theta_pitch = -3.18064mrad, theta_roll_comp = -35.6093 mrad, theta_setpoint = -36.1065 mrad, 
msg =  983, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19662 ms, ax =  0.0024, ay = -0.3380, az =  9.9603, gx = -0.0006 rad/s, gy = -0.0154 rad/s, gz = -0.0009 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.9987, I_w_pitch = -0.3722 A, I_w_roll =  0.0061 A, theta_pitch = -3.40956mrad, theta_roll_comp = -35.5486 mrad, theta_setpoint = -36.1065 mrad, 
msg =  984, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19682 ms, ax =  0.0072, ay = -0.2433, az =  9.9698, gx =  0.0011 rad/s, gy = -0.0174 rad/s, gz = -0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.8984, I_w_pitch = -0.2505 A, I_w_roll =  0.6501 A, theta_pitch = -3.68831mrad, theta_roll_comp = -35.4596 mrad, theta_setpoint = -36.1128 mrad, 
msg =  985, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19702 ms, ax = -0.0156, ay = -0.2733, az =  9.9722, gx =  0.0023 rad/s, gy = -0.0178 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.9960, I_w_pitch = -0.1951 A, I_w_roll =  1.1201 A, theta_pitch = -3.95081mrad, theta_roll_comp = -35.3899 mrad, theta_setpoint = -36.1694 mrad, 
msg =  986, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19722 ms, ax = -0.0048, ay = -0.3009, az =  9.9722, gx = -0.0006 rad/s, gy = -0.0170 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.9960, I_w_pitch = -0.1888 A, I_w_roll =  0.1219 A, theta_pitch = -4.20563mrad, theta_roll_comp = -35.3222 mrad, theta_setpoint = -36.1694 mrad, 
msg =  987, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19742 ms, ax = -0.0048, ay = -0.3656, az =  9.9794, gx = -0.0001 rad/s, gy = -0.0162 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.2941, I_w_pitch = -0.1855 A, I_w_roll =  0.3551 A, theta_pitch = -4.44099mrad, theta_roll_comp = -35.2493 mrad, theta_setpoint = -36.2135 mrad, 
msg =  988, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19762 ms, ax = -0.0120, ay = -0.4160, az =  9.9447, gx =  0.0000 rad/s, gy = -0.0151 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.2941, I_w_pitch = -0.1970 A, I_w_roll =  0.4186 A, theta_pitch = -4.64821mrad, theta_roll_comp = -35.2070 mrad, theta_setpoint = -36.2135 mrad, 
msg =  989, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19782 ms, ax = -0.0084, ay = -0.3584, az =  9.9459, gx = -0.0026 rad/s, gy = -0.0142 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.0909, I_w_pitch = -0.2085 A, I_w_roll = -0.4798 A, theta_pitch = -4.82022mrad, theta_roll_comp = -35.1985 mrad, theta_setpoint = -36.2891 mrad, 
msg =  990, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19802 ms, ax =  0.0012, ay = -0.3201, az =  9.9650, gx = -0.0008 rad/s, gy = -0.0139 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.7540, I_w_pitch = -0.1918 A, I_w_roll =  0.2215 A, theta_pitch = -5.00255mrad, theta_roll_comp = -35.1602 mrad, theta_setpoint = -36.3731 mrad, 
msg =  991, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19822 ms, ax = -0.0060, ay = -0.2817, az =  9.9615, gx =  0.0002 rad/s, gy = -0.0139 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.7540, I_w_pitch = -0.1688 A, I_w_roll =  0.5482 A, theta_pitch = -5.15554mrad, theta_roll_comp = -35.1592 mrad, theta_setpoint = -36.3731 mrad, 
msg =  992, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19842 ms, ax =  0.0060, ay = -0.2973, az =  9.9615, gx = -0.0022 rad/s, gy = -0.0134 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.4171, I_w_pitch = -0.1668 A, I_w_roll = -0.2616 A, theta_pitch = -5.31105mrad, theta_roll_comp = -35.1704 mrad, theta_setpoint = -36.4570 mrad, 
msg =  993, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19862 ms, ax =  0.0084, ay = -0.3249, az =  9.9626, gx = -0.0020 rad/s, gy = -0.0138 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.4171, I_w_pitch = -0.1230 A, I_w_roll = -0.1710 A, theta_pitch = -5.49692mrad, theta_roll_comp = -35.1769 mrad, theta_setpoint = -36.4570 mrad, 
msg =  994, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19882 ms, ax =  0.0252, ay = -0.3800, az =  9.9363, gx = -0.0013 rad/s, gy = -0.0149 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.4813, I_w_pitch = -0.0508 A, I_w_roll =  0.0688 A, theta_pitch = -5.69401mrad, theta_roll_comp = -35.2186 mrad, theta_setpoint = -36.5158 mrad, 
msg =  995, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19902 ms, ax =  0.0384, ay = -0.3884, az =  9.9231, gx = -0.0034 rad/s, gy = -0.0162 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.4813, I_w_pitch =  0.0427 A, I_w_roll = -0.6845 A, theta_pitch = -5.96205mrad, theta_roll_comp = -35.2377 mrad, theta_setpoint = -36.5158 mrad, 
msg =  996, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19922 ms, ax =  0.0336, ay = -0.3800, az =  9.9710, gx = -0.0055 rad/s, gy = -0.0170 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -54.6123, I_w_pitch =  0.1189 A, I_w_roll = -1.4101 A, theta_pitch = -6.25751mrad, theta_roll_comp = -35.2422 mrad, theta_setpoint = -36.5703 mrad, 
msg =  997, nerr =    2p/   9r, time steps =   10, qsz =    2, switch = on, t =    19942 ms, ax = -0.0228, ay = -0.4232, az =  9.9519, gx = -0.0017 rad/s, gy = -0.0189 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.8770, I_w_pitch =  0.2355 A, I_w_roll = -0.0502 A, theta_pitch = -6.53731mrad, theta_roll_comp = -35.2674 mrad, theta_setpoint = -36.6165 mrad, 
