picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   81, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4294 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -548.9564 A, I_w_roll = 2995.3262 A, theta_pitch = 2697.66602mrad, theta_roll_comp = 4274.5469 mrad, theta_setpoint = -40.0000 mrad, 
msg =  196, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    11132 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0101 A, I_w_roll = 3050.4819 A, theta_pitch = 2784.69043mrad, theta_roll_comp = 4412.4365 mrad, theta_setpoint = -40.0000 mrad, 
msg =  197, nerr =    0p/   0r, time steps =    6, qsz = 1022, switch = off, t =    11184 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0107 A, I_w_roll = 3050.4844 A, theta_pitch = 2784.69409mrad, theta_roll_comp = 4412.4429 mrad, theta_setpoint = -40.0000 mrad, 
msg =  198, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    11235 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0113 A, I_w_roll = 3050.4871 A, theta_pitch = 2784.69824mrad, theta_roll_comp = 4412.4492 mrad, theta_setpoint = -40.0000 mrad, 
msg =  199, nerr =    0p/   0r, time steps =   12, qsz = 1022, switch = off, t =    11389 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0128 A, I_w_roll = 3050.4934 A, theta_pitch = 2784.70825mrad, theta_roll_comp = 4412.4653 mrad, theta_setpoint = -40.0000 mrad, 
msg =  200, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =    11441 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0134 A, I_w_roll = 3050.4954 A, theta_pitch = 2784.71216mrad, theta_roll_comp = 4412.4697 mrad, theta_setpoint = -40.0000 mrad, 
msg =  201, nerr =    0p/   0r, time steps =    3, qsz = 1022, switch = off, t =    11493 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0138 A, I_w_roll = 3050.4976 A, theta_pitch = 2784.71484mrad, theta_roll_comp = 4412.4751 mrad, theta_setpoint = -40.0000 mrad, 
msg =  202, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =    11545 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0142 A, I_w_roll = 3050.4993 A, theta_pitch = 2784.71802mrad, theta_roll_comp = 4412.4795 mrad, theta_setpoint = -40.0000 mrad, 
msg =  203, nerr =    0p/   0r, time steps =    2, qsz = 1022, switch = off, t =    11597 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0146 A, I_w_roll = 3050.5007 A, theta_pitch = 2784.72021mrad, theta_roll_comp = 4412.4839 mrad, theta_setpoint = -40.0000 mrad, 
msg =  204, nerr =    0p/   0r, time steps =    9, qsz = 1022, switch = off, t =    11700 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0154 A, I_w_roll = 3050.5039 A, theta_pitch = 2784.72559mrad, theta_roll_comp = 4412.4907 mrad, theta_setpoint = -40.0000 mrad, 
msg =  205, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    11752 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0157 A, I_w_roll = 3050.5054 A, theta_pitch = 2784.72803mrad, theta_roll_comp = 4412.4946 mrad, theta_setpoint = -40.0000 mrad, 
msg =  206, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =    11804 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0160 A, I_w_roll = 3050.5066 A, theta_pitch = 2784.72974mrad, theta_roll_comp = 4412.4980 mrad, theta_setpoint = -40.0000 mrad, 
msg =  207, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    11856 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0164 A, I_w_roll = 3050.5076 A, theta_pitch = 2784.73193mrad, theta_roll_comp = 4412.5005 mrad, theta_setpoint = -40.0000 mrad, 
msg =  208, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =    11907 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0165 A, I_w_roll = 3050.5088 A, theta_pitch = 2784.73364mrad, theta_roll_comp = 4412.5034 mrad, theta_setpoint = -40.0000 mrad, 
msg =  209, nerr =    0p/   0r, time steps =    8, qsz = 1022, switch = off, t =    12010 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0172 A, I_w_roll = 3050.5107 A, theta_pitch = 2784.73730mrad, theta_roll_comp = 4412.5083 mrad, theta_setpoint = -40.0000 mrad, 
msg =  210, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =    12062 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0175 A, I_w_roll = 3050.5117 A, theta_pitch = 2784.73950mrad, theta_roll_comp = 4412.5112 mrad, theta_setpoint = -40.0000 mrad, 
msg =  211, nerr =    0p/   0r, time steps =    3, qsz = 1022, switch = off, t =    12114 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0177 A, I_w_roll = 3050.5127 A, theta_pitch = 2784.74072mrad, theta_roll_comp = 4412.5132 mrad, theta_setpoint = -40.0000 mrad, 
msg =  212, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =    12166 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0179 A, I_w_roll = 3050.5139 A, theta_pitch = 2784.74243mrad, theta_roll_comp = 4412.5161 mrad, theta_setpoint = -40.0000 mrad, 
msg =  213, nerr =    0p/   0r, time steps =    2, qsz = 1022, switch = off, t =    12218 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0181 A, I_w_roll = 3050.5149 A, theta_pitch = 2784.74365mrad, theta_roll_comp = 4412.5186 mrad, theta_setpoint = -40.0000 mrad, 
msg =  214, nerr =    0p/   0r, time steps =    9, qsz = 1022, switch = off, t =    12321 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0186 A, I_w_roll = 3050.5164 A, theta_pitch = 2784.74683mrad, theta_roll_comp = 4412.5225 mrad, theta_setpoint = -40.0000 mrad, 
msg =  215, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    12373 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0188 A, I_w_roll = 3050.5176 A, theta_pitch = 2784.74829mrad, theta_roll_comp = 4412.5254 mrad, theta_setpoint = -40.0000 mrad, 
msg =  216, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =    12425 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0189 A, I_w_roll = 3050.5178 A, theta_pitch = 2784.74878mrad, theta_roll_comp = 4412.5264 mrad, theta_setpoint = -40.0000 mrad, 
msg =  217, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    12477 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0190 A, I_w_roll = 3050.5186 A, theta_pitch = 2784.75000mrad, theta_roll_comp = 4412.5273 mrad, theta_setpoint = -40.0000 mrad, 
msg =  218, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =    12528 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0192 A, I_w_roll = 3050.5195 A, theta_pitch = 2784.75122mrad, theta_roll_comp = 4412.5298 mrad, theta_setpoint = -40.0000 mrad, 
msg =  219, nerr =    0p/   0r, time steps =    9, qsz = 1022, switch = off, t =    12580 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0195 A, I_w_roll = 3050.5200 A, theta_pitch = 2784.75317mrad, theta_roll_comp = 4412.5317 mrad, theta_setpoint = -40.0000 mrad, 
msg =  220, nerr =    0p/   0r, time steps =   10, qsz = 1022, switch = off, t =    12683 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0197 A, I_w_roll = 3050.5215 A, theta_pitch = 2784.75439mrad, theta_roll_comp = 4412.5352 mrad, theta_setpoint = -40.0000 mrad, 
msg =  221, nerr =    0p/   0r, time steps =    7, qsz = 1020, switch = off, t =    12735 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0199 A, I_w_roll = 3050.5222 A, theta_pitch = 2784.75562mrad, theta_roll_comp = 4412.5366 mrad, theta_setpoint = -40.0000 mrad, 
msg =  222, nerr =    0p/   0r, time steps =    2, qsz = 1022, switch = off, t =    12787 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0200 A, I_w_roll = 3050.5225 A, theta_pitch = 2784.75610mrad, theta_roll_comp = 4412.5376 mrad, theta_setpoint = -40.0000 mrad, 
msg =  223, nerr =    0p/   0r, time steps =    9, qsz = 1022, switch = off, t =    12941 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0203 A, I_w_roll = 3050.5239 A, theta_pitch = 2784.75830mrad, theta_roll_comp = 4412.5415 mrad, theta_setpoint = -40.0000 mrad, 
msg =  224, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    12993 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0204 A, I_w_roll = 3050.5247 A, theta_pitch = 2784.75903mrad, theta_roll_comp = 4412.5430 mrad, theta_setpoint = -40.0000 mrad, 
msg =  225, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =    13045 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0205 A, I_w_roll = 3050.5249 A, theta_pitch = 2784.75952mrad, theta_roll_comp = 4412.5439 mrad, theta_setpoint = -40.0000 mrad, 
msg =  226, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =    13097 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0206 A, I_w_roll = 3050.5251 A, theta_pitch = 2784.76050mrad, theta_roll_comp = 4412.5444 mrad, theta_setpoint = -40.0000 mrad, 
msg =  227, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =    13149 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0208 A, I_w_roll = 3050.5254 A, theta_pitch = 2784.76123mrad, theta_roll_comp = 4412.5454 mrad, theta_setpoint = -40.0000 mrad, 
msg =  228, nerr =    0p/   0r, time steps =    8, qsz = 1022, switch = off, t =    13251 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0208 A, I_w_roll = 3050.5259 A, theta_pitch = 2784.76172mrad, theta_roll_comp = 4412.5464 mrad, theta_setpoint = -40.0000 mrad, 
msg =  229, nerr =    0p/   0r, time steps =    7, qsz = 1022, switch = off, t =    13354 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0208 A, I_w_roll = 3050.5264 A, theta_pitch = 2784.76147mrad, theta_roll_comp = 4412.5474 mrad, theta_setpoint = -40.0000 mrad, 
msg =  230, nerr =    0p/   0r, time steps =    7, qsz = 1020, switch = off, t =    13406 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0209 A, I_w_roll = 3050.5271 A, theta_pitch = 2784.76245mrad, theta_roll_comp = 4412.5488 mrad, theta_setpoint = -40.0000 mrad, 
msg =  231, nerr =    0p/   0r, time steps =    2, qsz = 1022, switch = off, t =    13458 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0209 A, I_w_roll = 3050.5273 A, theta_pitch = 2784.76245mrad, theta_roll_comp = 4412.5498 mrad, theta_setpoint = -40.0000 mrad, 
msg =  232, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =    13561 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0210 A, I_w_roll = 3050.5276 A, theta_pitch = 2784.76294mrad, theta_roll_comp = 4412.5508 mrad, theta_setpoint = -40.0000 mrad, 
msg =  233, nerr =    0p/   0r, time steps =    7, qsz = 1020, switch = off, t =    13613 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0209 A, I_w_roll = 3050.5278 A, theta_pitch = 2784.76221mrad, theta_roll_comp = 4412.5513 mrad, theta_setpoint = -40.0000 mrad, 
msg =  234, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =    13665 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0209 A, I_w_roll = 3050.5283 A, theta_pitch = 2784.76245mrad, theta_roll_comp = 4412.5518 mrad, theta_setpoint = -40.0000 mrad, 
msg =  235, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =    13717 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0209 A, I_w_roll = 3050.5286 A, theta_pitch = 2784.76270mrad, theta_roll_comp = 4412.5527 mrad, theta_setpoint = -40.0000 mrad, 
msg =  236, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =    13769 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0209 A, I_w_roll = 3050.5286 A, theta_pitch = 2784.76221mrad, theta_roll_comp = 4412.5527 mrad, theta_setpoint = -40.0000 mrad, 
msg =  237, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    13821 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0209 A, I_w_roll = 3050.5286 A, theta_pitch = 2784.76270mrad, theta_roll_comp = 4412.5532 mrad, theta_setpoint = -40.0000 mrad, 
msg =  238, nerr =    0p/   0r, time steps =   12, qsz = 1022, switch = off, t =    13924 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0209 A, I_w_roll = 3050.5283 A, theta_pitch = 2784.76221mrad, theta_roll_comp = 4412.5518 mrad, theta_setpoint = -40.0000 mrad, 
msg =  239, nerr =    0p/   0r, time steps =    7, qsz = 1020, switch = off, t =    13976 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0209 A, I_w_roll = 3050.5286 A, theta_pitch = 2784.76270mrad, theta_roll_comp = 4412.5527 mrad, theta_setpoint = -40.0000 mrad, 
