picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 1226, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24522 ms, ax =  0.0995, ay = -0.2517, az =  9.9567, gx = -0.0115 rad/s, gy =  0.0629 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = 89.8062, I_w_pitch = -1.7833 A, I_w_roll =  0.6926 A, theta_pitch = -14.88018mrad, theta_roll_comp = -33.8120 mrad, theta_setpoint = -45.6398 mrad, 
msg = 2714, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54282 ms, ax =  0.5322, ay = -6.5415, az =  7.4969, gx = -0.0020 rad/s, gy =  0.0004 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.4733, I_w_pitch =  9.5865 A, I_w_roll = -272.5551 A, theta_pitch = -74.02592mrad, theta_roll_comp = -717.9548 mrad, theta_setpoint = -38.2747 mrad, 
msg = 2715, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54302 ms, ax =  0.5298, ay = -6.5475, az =  7.4993, gx = -0.0010 rad/s, gy =  0.0006 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.4733, I_w_pitch =  9.5706 A, I_w_roll = -272.2314 A, theta_pitch = -73.95566mrad, theta_roll_comp = -717.9611 mrad, theta_setpoint = -38.2747 mrad, 
msg = 2716, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54322 ms, ax =  0.5286, ay = -6.5427, az =  7.4933, gx = -0.0017 rad/s, gy =  0.0000 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -26.5709, I_w_pitch =  9.5805 A, I_w_roll = -272.4496 A, theta_pitch = -73.87949mrad, theta_roll_comp = -717.9807 mrad, theta_setpoint = -38.3313 mrad, 
msg = 2717, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54342 ms, ax =  0.5262, ay = -6.5379, az =  7.4921, gx = -0.0022 rad/s, gy =  0.0000 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -26.1698, I_w_pitch =  9.5692 A, I_w_roll = -272.6319 A, theta_pitch = -73.80403mrad, theta_roll_comp = -717.9956 mrad, theta_setpoint = -38.3565 mrad, 
msg = 2718, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54362 ms, ax =  0.5250, ay = -6.5319, az =  7.5005, gx = -0.0014 rad/s, gy =  0.0002 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -26.1698, I_w_pitch =  9.5514 A, I_w_roll = -272.3527 A, theta_pitch = -73.72079mrad, theta_roll_comp = -717.9965 mrad, theta_setpoint = -38.3565 mrad, 
msg = 2719, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54382 ms, ax =  0.5131, ay = -6.5259, az =  7.4897, gx = -0.0018 rad/s, gy = -0.0001 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -25.6016, I_w_pitch =  9.5481 A, I_w_roll = -272.4795 A, theta_pitch = -73.62785mrad, theta_roll_comp = -717.9998 mrad, theta_setpoint = -38.3922 mrad, 
msg = 2720, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54402 ms, ax =  0.5155, ay = -6.5379, az =  7.4813, gx = -0.0021 rad/s, gy = -0.0009 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -25.1337, I_w_pitch =  9.5676 A, I_w_roll = -272.5662 A, theta_pitch = -73.54498mrad, theta_roll_comp = -718.0128 mrad, theta_setpoint = -38.4216 mrad, 
msg = 2721, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54422 ms, ax =  0.5238, ay = -6.5319, az =  7.4789, gx = -0.0013 rad/s, gy = -0.0014 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -25.1337, I_w_pitch =  9.5788 A, I_w_roll = -272.2968 A, theta_pitch = -73.47784mrad, theta_roll_comp = -718.0386 mrad, theta_setpoint = -38.4216 mrad, 
msg = 2722, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54442 ms, ax =  0.5214, ay = -6.5391, az =  7.4765, gx = -0.0014 rad/s, gy = -0.0012 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -24.4652, I_w_pitch =  9.5604 A, I_w_roll = -272.3397 A, theta_pitch = -73.42576mrad, theta_roll_comp = -718.0713 mrad, theta_setpoint = -38.4636 mrad, 
msg = 2723, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54462 ms, ax =  0.5191, ay = -6.5403, az =  7.4837, gx = -0.0020 rad/s, gy = -0.0009 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -24.4652, I_w_pitch =  9.5413 A, I_w_roll = -272.5325 A, theta_pitch = -73.36954mrad, theta_roll_comp = -718.0873 mrad, theta_setpoint = -38.4636 mrad, 
msg = 2724, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54482 ms, ax =  0.5238, ay = -6.5439, az =  7.4957, gx = -0.0013 rad/s, gy = -0.0009 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -23.6631, I_w_pitch =  9.5325 A, I_w_roll = -272.2856 A, theta_pitch = -73.31084mrad, theta_roll_comp = -718.1028 mrad, theta_setpoint = -38.5140 mrad, 
msg = 2725, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54502 ms, ax =  0.5131, ay = -6.5307, az =  7.4969, gx = -0.0013 rad/s, gy = -0.0012 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -23.3623, I_w_pitch =  9.5328 A, I_w_roll = -272.2806 A, theta_pitch = -73.24204mrad, theta_roll_comp = -718.1093 mrad, theta_setpoint = -38.5328 mrad, 
msg = 2726, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54522 ms, ax =  0.5238, ay = -6.5259, az =  7.4921, gx = -0.0022 rad/s, gy = -0.0014 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -23.3623, I_w_pitch =  9.5357 A, I_w_roll = -272.6067 A, theta_pitch = -73.19031mrad, theta_roll_comp = -718.1089 mrad, theta_setpoint = -38.5328 mrad, 
msg = 2727, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54542 ms, ax =  0.5226, ay = -6.5319, az =  7.4969, gx = -0.0013 rad/s, gy = -0.0017 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -22.5267, I_w_pitch =  9.5408 A, I_w_roll = -272.2616 A, theta_pitch = -73.15318mrad, theta_roll_comp = -718.1143 mrad, theta_setpoint = -38.5853 mrad, 
msg = 2728, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54562 ms, ax =  0.5238, ay = -6.5247, az =  7.4921, gx = -0.0008 rad/s, gy = -0.0022 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -22.5267, I_w_pitch =  9.5581 A, I_w_roll = -272.0741 A, theta_pitch = -73.12682mrad, theta_roll_comp = -718.1115 mrad, theta_setpoint = -38.5853 mrad, 
msg = 2729, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54582 ms, ax =  0.5238, ay = -6.5307, az =  7.4813, gx = -0.0009 rad/s, gy = -0.0022 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -21.9586, I_w_pitch =  9.5543 A, I_w_roll = -272.1096 A, theta_pitch = -73.10097mrad, theta_roll_comp = -718.1196 mrad, theta_setpoint = -38.6210 mrad, 
msg = 2730, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54602 ms, ax =  0.5202, ay = -6.5343, az =  7.4861, gx = -0.0009 rad/s, gy = -0.0028 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -21.3904, I_w_pitch =  9.5728 A, I_w_roll = -272.0977 A, theta_pitch = -73.08253mrad, theta_roll_comp = -718.1252 mrad, theta_setpoint = -38.6567 mrad, 
msg = 2731, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54622 ms, ax =  0.5238, ay = -6.5331, az =  7.4909, gx = -0.0010 rad/s, gy = -0.0029 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -21.3904, I_w_pitch =  9.5757 A, I_w_roll = -272.1446 A, theta_pitch = -73.06632mrad, theta_roll_comp = -718.1260 mrad, theta_setpoint = -38.6567 mrad, 
msg = 2732, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54642 ms, ax =  0.5238, ay = -6.5379, az =  7.4765, gx = -0.0012 rad/s, gy = -0.0026 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -20.7888, I_w_pitch =  9.5635 A, I_w_roll = -272.1822 A, theta_pitch = -73.05636mrad, theta_roll_comp = -718.1414 mrad, theta_setpoint = -38.6945 mrad, 
msg = 2733, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54662 ms, ax =  0.5238, ay = -6.5355, az =  7.4945, gx = -0.0013 rad/s, gy = -0.0030 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -20.7888, I_w_pitch =  9.5778 A, I_w_roll = -272.2357 A, theta_pitch = -73.04458mrad, theta_roll_comp = -718.1587 mrad, theta_setpoint = -38.6945 mrad, 
msg = 2734, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54682 ms, ax =  0.5226, ay = -6.5319, az =  7.4921, gx = -0.0010 rad/s, gy = -0.0036 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -20.1203, I_w_pitch =  9.5984 A, I_w_roll = -272.1302 A, theta_pitch = -73.04027mrad, theta_roll_comp = -718.1699 mrad, theta_setpoint = -38.7364 mrad, 
msg = 2735, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54702 ms, ax =  0.5214, ay = -6.5259, az =  7.4813, gx = -0.0014 rad/s, gy = -0.0036 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -19.5521, I_w_pitch =  9.5987 A, I_w_roll = -272.2565 A, theta_pitch = -73.04212mrad, theta_roll_comp = -718.1718 mrad, theta_setpoint = -38.7721 mrad, 
msg = 2736, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54722 ms, ax =  0.5202, ay = -6.5259, az =  7.4873, gx = -0.0013 rad/s, gy = -0.0044 rad/s, gz = -0.0139 rad/s, rpm_pitch =  0.0000, rpm_roll = -19.5521, I_w_pitch =  9.6325 A, I_w_roll = -272.2106 A, theta_pitch = -73.05417mrad, theta_roll_comp = -718.1736 mrad, theta_setpoint = -38.7721 mrad, 
msg = 2737, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54742 ms, ax =  0.5202, ay = -6.5283, az =  7.4969, gx = -0.0006 rad/s, gy = -0.0049 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -18.8168, I_w_pitch =  9.6570 A, I_w_roll = -271.9568 A, theta_pitch = -73.07561mrad, theta_roll_comp = -718.1677 mrad, theta_setpoint = -38.8183 mrad, 
msg = 2738, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54762 ms, ax =  0.5274, ay = -6.5439, az =  7.4861, gx = -0.0020 rad/s, gy = -0.0049 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -18.8168, I_w_pitch =  9.6623 A, I_w_roll = -272.4277 A, theta_pitch = -73.11086mrad, theta_roll_comp = -718.1800 mrad, theta_setpoint = -38.8183 mrad, 
msg = 2739, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54782 ms, ax =  0.5274, ay = -6.5331, az =  7.4969, gx = -0.0016 rad/s, gy = -0.0050 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -18.0481, I_w_pitch =  9.6738 A, I_w_roll = -272.2736 A, theta_pitch = -73.15210mrad, theta_roll_comp = -718.1924 mrad, theta_setpoint = -38.8666 mrad, 
msg = 2740, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54802 ms, ax =  0.5179, ay = -6.5307, az =  7.4897, gx = -0.0009 rad/s, gy = -0.0056 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -17.8142, I_w_pitch =  9.7010 A, I_w_roll = -272.0326 A, theta_pitch = -73.19180mrad, theta_roll_comp = -718.1871 mrad, theta_setpoint = -38.8813 mrad, 
msg = 2741, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54822 ms, ax =  0.5179, ay = -6.5283, az =  7.5041, gx = -0.0020 rad/s, gy = -0.0057 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -17.8142, I_w_pitch =  9.7106 A, I_w_roll = -272.4043 A, theta_pitch = -73.22016mrad, theta_roll_comp = -718.1843 mrad, theta_setpoint = -38.8813 mrad, 
msg = 2742, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54842 ms, ax =  0.5310, ay = -6.5247, az =  7.5029, gx = -0.0010 rad/s, gy = -0.0060 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -17.0789, I_w_pitch =  9.7288 A, I_w_roll = -272.0510 A, theta_pitch = -73.27015mrad, theta_roll_comp = -718.1628 mrad, theta_setpoint = -38.9274 mrad, 
msg = 2743, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54862 ms, ax =  0.5310, ay = -6.5319, az =  7.4933, gx = -0.0005 rad/s, gy = -0.0061 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -16.4773, I_w_pitch =  9.7441 A, I_w_roll = -271.8412 A, theta_pitch = -73.33674mrad, theta_roll_comp = -718.1422 mrad, theta_setpoint = -38.9652 mrad, 
msg = 2744, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54882 ms, ax =  0.5298, ay = -6.5271, az =  7.5017, gx = -0.0014 rad/s, gy = -0.0062 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -16.4773, I_w_pitch =  9.7586 A, I_w_roll = -272.1616 A, theta_pitch = -73.39780mrad, theta_roll_comp = -718.1277 mrad, theta_setpoint = -38.9652 mrad, 
msg = 2745, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54902 ms, ax =  0.5298, ay = -6.5343, az =  7.4945, gx = -0.0008 rad/s, gy = -0.0068 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -15.7086, I_w_pitch =  9.7912 A, I_w_roll = -271.9027 A, theta_pitch = -73.47302mrad, theta_roll_comp = -718.1113 mrad, theta_setpoint = -39.0135 mrad, 
msg = 2746, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54922 ms, ax =  0.5238, ay = -6.5355, az =  7.4969, gx = -0.0009 rad/s, gy = -0.0065 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -15.7086, I_w_pitch =  9.7898 A, I_w_roll = -271.9501 A, theta_pitch = -73.53497mrad, theta_roll_comp = -718.1132 mrad, theta_setpoint = -39.0135 mrad, 
msg = 2747, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54942 ms, ax =  0.5274, ay = -6.5283, az =  7.4921, gx = -0.0017 rad/s, gy = -0.0062 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -14.5053, I_w_pitch =  9.7875 A, I_w_roll = -272.2003 A, theta_pitch = -73.59036mrad, theta_roll_comp = -718.1151 mrad, theta_setpoint = -39.0891 mrad, 
msg = 2748, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54962 ms, ax =  0.5298, ay = -6.5415, az =  7.4861, gx = -0.0012 rad/s, gy = -0.0066 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -14.7393, I_w_pitch =  9.8128 A, I_w_roll = -272.0217 A, theta_pitch = -73.65303mrad, theta_roll_comp = -718.1199 mrad, theta_setpoint = -39.0744 mrad, 
msg = 2749, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    54982 ms, ax =  0.5262, ay = -6.5427, az =  7.4873, gx = -0.0012 rad/s, gy = -0.0070 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -14.7393, I_w_pitch =  9.8398 A, I_w_roll = -272.0333 A, theta_pitch = -73.72594mrad, theta_roll_comp = -718.1489 mrad, theta_setpoint = -39.0744 mrad, 
msg = 2750, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55002 ms, ax =  0.5334, ay = -6.5271, az =  7.4873, gx = -0.0021 rad/s, gy = -0.0068 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -13.8035, I_w_pitch =  9.8408 A, I_w_roll = -272.3428 A, theta_pitch = -73.80379mrad, theta_roll_comp = -718.1660 mrad, theta_setpoint = -39.1331 mrad, 
msg = 2751, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55022 ms, ax =  0.5346, ay = -6.5163, az =  7.4969, gx = -0.0013 rad/s, gy = -0.0069 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -13.8035, I_w_pitch =  9.8592 A, I_w_roll = -272.0577 A, theta_pitch = -73.89080mrad, theta_roll_comp = -718.1523 mrad, theta_setpoint = -39.1331 mrad, 
msg = 2752, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55042 ms, ax =  0.5334, ay = -6.5355, az =  7.5005, gx = -0.0013 rad/s, gy = -0.0076 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -18.3824, I_w_pitch =  9.8995 A, I_w_roll = -272.1685 A, theta_pitch = -73.98234mrad, theta_roll_comp = -718.1417 mrad, theta_setpoint = -38.8456 mrad, 
msg = 2753, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55062 ms, ax =  0.5334, ay = -6.5343, az =  7.5029, gx = -0.0016 rad/s, gy = -0.0073 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -16.0762, I_w_pitch =  9.9010 A, I_w_roll = -272.2023 A, theta_pitch = -74.06326mrad, theta_roll_comp = -718.1380 mrad, theta_setpoint = -38.9904 mrad, 
msg = 2754, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55082 ms, ax =  0.5454, ay = -6.5187, az =  7.4873, gx = -0.0009 rad/s, gy = -0.0070 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -16.0762, I_w_pitch =  9.9052 A, I_w_roll = -271.9634 A, theta_pitch = -74.16257mrad, theta_roll_comp = -718.1233 mrad, theta_setpoint = -38.9904 mrad, 
msg = 2755, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55102 ms, ax =  0.5310, ay = -6.5079, az =  7.4897, gx = -0.0013 rad/s, gy = -0.0068 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -13.6698, I_w_pitch =  9.9074 A, I_w_roll = -272.0348 A, theta_pitch = -74.24808mrad, theta_roll_comp = -718.1034 mrad, theta_setpoint = -39.1415 mrad, 
msg = 2756, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55122 ms, ax =  0.5346, ay = -6.5187, az =  7.4933, gx = -0.0014 rad/s, gy = -0.0065 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -13.6698, I_w_pitch =  9.9072 A, I_w_roll = -272.0735 A, theta_pitch = -74.31759mrad, theta_roll_comp = -718.0838 mrad, theta_setpoint = -39.1415 mrad, 
msg = 2757, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55142 ms, ax =  0.5394, ay = -6.5319, az =  7.4885, gx = -0.0010 rad/s, gy = -0.0068 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.6979, I_w_pitch =  9.9300 A, I_w_roll = -271.8843 A, theta_pitch = -74.39829mrad, theta_roll_comp = -718.0840 mrad, theta_setpoint = -39.2654 mrad, 
msg = 2758, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55162 ms, ax =  0.5370, ay = -6.5343, az =  7.4885, gx = -0.0012 rad/s, gy = -0.0070 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.3302, I_w_pitch =  9.9529 A, I_w_roll = -271.9261 A, theta_pitch = -74.47997mrad, theta_roll_comp = -718.0952 mrad, theta_setpoint = -39.2885 mrad, 
msg = 2759, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55182 ms, ax =  0.5382, ay = -6.5235, az =  7.4921, gx = -0.0009 rad/s, gy = -0.0068 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.3302, I_w_pitch =  9.9535 A, I_w_roll = -271.8298 A, theta_pitch = -74.55510mrad, theta_roll_comp = -718.0874 mrad, theta_setpoint = -39.2885 mrad, 
msg = 2760, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55202 ms, ax =  0.5382, ay = -6.5295, az =  7.4873, gx = -0.0010 rad/s, gy = -0.0065 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.4586, I_w_pitch =  9.9541 A, I_w_roll = -271.8261 A, theta_pitch = -74.63025mrad, theta_roll_comp = -718.0792 mrad, theta_setpoint = -39.4060 mrad, 
msg = 2761, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55222 ms, ax =  0.5466, ay = -6.5331, az =  7.4945, gx = -0.0010 rad/s, gy = -0.0062 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -8.2888, I_w_pitch =  9.9543 A, I_w_roll = -271.7954 A, theta_pitch = -74.70270mrad, theta_roll_comp = -718.0758 mrad, theta_setpoint = -39.4795 mrad, 
msg = 2762, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55242 ms, ax =  0.5454, ay = -6.5391, az =  7.4945, gx = -0.0009 rad/s, gy = -0.0065 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -8.2888, I_w_pitch =  9.9779 A, I_w_roll = -271.7494 A, theta_pitch = -74.78873mrad, theta_roll_comp = -718.0773 mrad, theta_setpoint = -39.4795 mrad, 
msg = 2763, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55262 ms, ax =  0.5466, ay = -6.5343, az =  7.4921, gx = -0.0013 rad/s, gy = -0.0065 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -5.9158, I_w_pitch =  9.9916 A, I_w_roll = -271.8309 A, theta_pitch = -74.88023mrad, theta_roll_comp = -718.0806 mrad, theta_setpoint = -39.6285 mrad, 
msg = 2764, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55282 ms, ax =  0.5526, ay = -6.5223, az =  7.5029, gx = -0.0014 rad/s, gy = -0.0060 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -5.9158, I_w_pitch =  9.9841 A, I_w_roll = -271.8742 A, theta_pitch = -74.97223mrad, theta_roll_comp = -718.0724 mrad, theta_setpoint = -39.6285 mrad, 
msg = 2765, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55302 ms, ax =  0.5502, ay = -6.5295, az =  7.5065, gx = -0.0016 rad/s, gy = -0.0056 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.2005, I_w_pitch =  9.9801 A, I_w_roll = -271.7591 A, theta_pitch = -75.05241mrad, theta_roll_comp = -718.0522 mrad, theta_setpoint = -40.0126 mrad, 
msg = 2766, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55322 ms, ax =  0.5490, ay = -6.5355, az =  7.4933, gx = -0.0014 rad/s, gy = -0.0058 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.6684, I_w_pitch = 10.0018 A, I_w_roll = -271.6999 A, theta_pitch = -75.12576mrad, theta_roll_comp = -718.0500 mrad, theta_setpoint = -40.0420 mrad, 
msg = 2767, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55342 ms, ax =  0.5466, ay = -6.5415, az =  7.4909, gx = -0.0016 rad/s, gy = -0.0052 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.6684, I_w_pitch =  9.9851 A, I_w_roll = -271.7554 A, theta_pitch = -75.19208mrad, theta_roll_comp = -718.0723 mrad, theta_setpoint = -40.0420 mrad, 
msg = 2768, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55362 ms, ax =  0.5418, ay = -6.5307, az =  7.4849, gx = -0.0012 rad/s, gy = -0.0056 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.6684, I_w_pitch = 10.0091 A, I_w_roll = -271.6557 A, theta_pitch = -75.24519mrad, theta_roll_comp = -718.0886 mrad, theta_setpoint = -39.9580 mrad, 
msg = 2769, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55382 ms, ax =  0.5454, ay = -6.5235, az =  7.4837, gx = -0.0012 rad/s, gy = -0.0054 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.6684, I_w_pitch = 10.0114 A, I_w_roll = -271.6559 A, theta_pitch = -75.29617mrad, theta_roll_comp = -718.0892 mrad, theta_setpoint = -39.9580 mrad, 
msg = 2770, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55402 ms, ax =  0.5478, ay = -6.5259, az =  7.4825, gx = -0.0012 rad/s, gy = -0.0052 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -1.7380, I_w_pitch = 10.0097 A, I_w_roll = -271.6837 A, theta_pitch = -75.35588mrad, theta_roll_comp = -718.0914 mrad, theta_setpoint = -39.8909 mrad, 
msg = 2771, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55422 ms, ax =  0.5502, ay = -6.5235, az =  7.4909, gx = -0.0014 rad/s, gy = -0.0045 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -2.4064, I_w_pitch =  9.9913 A, I_w_roll = -271.7907 A, theta_pitch = -75.41096mrad, theta_roll_comp = -718.0840 mrad, theta_setpoint = -39.8489 mrad, 
msg = 2772, nerr =    6p/  28r, time steps =   10, qsz =    2, switch = off, t =    55442 ms, ax =  0.5526, ay = -6.5331, az =  7.4897, gx = -0.0014 rad/s, gy = -0.0041 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -2.4064, I_w_pitch =  9.9831 A, I_w_roll = -271.7929 A, theta_pitch = -75.46255mrad, theta_roll_comp = -718.0894 mrad, theta_setpoint = -39.8489 mrad, 
