picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    4, qsz =  116, switch = off, t =      153 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  115, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     6066 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.8896 A, I_w_roll = 3041.5220 A, theta_pitch = 2770.55396mrad, theta_roll_comp = 4390.0366 mrad, theta_setpoint = -40.0000 mrad, 
msg =  116, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6118 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.0001 A, I_w_roll = 3041.9885 A, theta_pitch = 2771.29004mrad, theta_roll_comp = 4391.2031 mrad, theta_setpoint = -40.0000 mrad, 
msg =  117, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     6170 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.1052 A, I_w_roll = 3042.4326 A, theta_pitch = 2771.99097mrad, theta_roll_comp = 4392.3130 mrad, theta_setpoint = -40.0000 mrad, 
msg =  118, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6222 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.2046 A, I_w_roll = 3042.8516 A, theta_pitch = 2772.65356mrad, theta_roll_comp = 4393.3608 mrad, theta_setpoint = -40.0000 mrad, 
msg =  119, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     6274 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.2990 A, I_w_roll = 3043.2507 A, theta_pitch = 2773.28320mrad, theta_roll_comp = 4394.3584 mrad, theta_setpoint = -40.0000 mrad, 
msg =  120, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6326 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.3882 A, I_w_roll = 3043.6277 A, theta_pitch = 2773.87817mrad, theta_roll_comp = 4395.3003 mrad, theta_setpoint = -40.0000 mrad, 
msg =  121, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     6378 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.4732 A, I_w_roll = 3043.9868 A, theta_pitch = 2774.44434mrad, theta_roll_comp = 4396.1982 mrad, theta_setpoint = -40.0000 mrad, 
msg =  122, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6430 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.5535 A, I_w_roll = 3044.3259 A, theta_pitch = 2774.97949mrad, theta_roll_comp = 4397.0459 mrad, theta_setpoint = -40.0000 mrad, 
msg =  123, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     6481 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.6298 A, I_w_roll = 3044.6484 A, theta_pitch = 2775.48779mrad, theta_roll_comp = 4397.8530 mrad, theta_setpoint = -40.0000 mrad, 
msg =  124, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6533 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.7018 A, I_w_roll = 3044.9531 A, theta_pitch = 2775.96875mrad, theta_roll_comp = 4398.6138 mrad, theta_setpoint = -40.0000 mrad, 
msg =  125, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     6586 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.7704 A, I_w_roll = 3045.2429 A, theta_pitch = 2776.42603mrad, theta_roll_comp = 4399.3394 mrad, theta_setpoint = -40.0000 mrad, 
msg =  126, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6638 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.8365 A, I_w_roll = 3045.5220 A, theta_pitch = 2776.86646mrad, theta_roll_comp = 4400.0361 mrad, theta_setpoint = -40.0000 mrad, 
msg =  127, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     6690 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.8981 A, I_w_roll = 3045.7827 A, theta_pitch = 2777.27734mrad, theta_roll_comp = 4400.6880 mrad, theta_setpoint = -40.0000 mrad, 
msg =  128, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6742 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.9564 A, I_w_roll = 3046.0283 A, theta_pitch = 2777.66528mrad, theta_roll_comp = 4401.3027 mrad, theta_setpoint = -40.0000 mrad, 
msg =  129, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     6794 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.0117 A, I_w_roll = 3046.2625 A, theta_pitch = 2778.03394mrad, theta_roll_comp = 4401.8877 mrad, theta_setpoint = -40.0000 mrad, 
msg =  130, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6846 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.0640 A, I_w_roll = 3046.4834 A, theta_pitch = 2778.38281mrad, theta_roll_comp = 4402.4404 mrad, theta_setpoint = -40.0000 mrad, 
msg =  131, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     6898 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.1137 A, I_w_roll = 3046.6941 A, theta_pitch = 2778.71436mrad, theta_roll_comp = 4402.9668 mrad, theta_setpoint = -40.0000 mrad, 
msg =  132, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6950 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.1608 A, I_w_roll = 3046.8926 A, theta_pitch = 2779.02783mrad, theta_roll_comp = 4403.4634 mrad, theta_setpoint = -40.0000 mrad, 
msg =  133, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     7002 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.2054 A, I_w_roll = 3047.0823 A, theta_pitch = 2779.32593mrad, theta_roll_comp = 4403.9370 mrad, theta_setpoint = -40.0000 mrad, 
msg =  134, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     7054 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.2478 A, I_w_roll = 3047.2605 A, theta_pitch = 2779.60815mrad, theta_roll_comp = 4404.3828 mrad, theta_setpoint = -40.0000 mrad, 
msg =  135, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     7105 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.2880 A, I_w_roll = 3047.4307 A, theta_pitch = 2779.87622mrad, theta_roll_comp = 4404.8086 mrad, theta_setpoint = -40.0000 mrad, 
msg =  136, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     7157 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.3260 A, I_w_roll = 3047.5908 A, theta_pitch = 2780.12988mrad, theta_roll_comp = 4405.2090 mrad, theta_setpoint = -40.0000 mrad, 
msg =  137, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     7209 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.3621 A, I_w_roll = 3047.7439 A, theta_pitch = 2780.37012mrad, theta_roll_comp = 4405.5908 mrad, theta_setpoint = -40.0000 mrad, 
msg =  138, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     7261 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.3962 A, I_w_roll = 3047.8884 A, theta_pitch = 2780.59814mrad, theta_roll_comp = 4405.9526 mrad, theta_setpoint = -40.0000 mrad, 
msg =  139, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     7313 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.4287 A, I_w_roll = 3048.0254 A, theta_pitch = 2780.81445mrad, theta_roll_comp = 4406.2954 mrad, theta_setpoint = -40.0000 mrad, 
msg =  140, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     7365 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.4594 A, I_w_roll = 3048.1555 A, theta_pitch = 2781.01929mrad, theta_roll_comp = 4406.6201 mrad, theta_setpoint = -40.0000 mrad, 
msg =  141, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     7417 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.4886 A, I_w_roll = 3048.2791 A, theta_pitch = 2781.21362mrad, theta_roll_comp = 4406.9292 mrad, theta_setpoint = -40.0000 mrad, 
msg =  142, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     7469 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.5162 A, I_w_roll = 3048.3955 A, theta_pitch = 2781.39746mrad, theta_roll_comp = 4407.2202 mrad, theta_setpoint = -40.0000 mrad, 
msg =  143, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     7521 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.5424 A, I_w_roll = 3048.5063 A, theta_pitch = 2781.57251mrad, theta_roll_comp = 4407.4980 mrad, theta_setpoint = -40.0000 mrad, 
msg =  144, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     7573 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.5673 A, I_w_roll = 3048.6108 A, theta_pitch = 2781.73779mrad, theta_roll_comp = 4407.7588 mrad, theta_setpoint = -40.0000 mrad, 
msg =  145, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     7625 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.5908 A, I_w_roll = 3048.7107 A, theta_pitch = 2781.89526mrad, theta_roll_comp = 4408.0083 mrad, theta_setpoint = -40.0000 mrad, 
msg =  146, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     7677 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.6132 A, I_w_roll = 3048.8042 A, theta_pitch = 2782.04419mrad, theta_roll_comp = 4408.2427 mrad, theta_setpoint = -40.0000 mrad, 
msg =  147, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     7728 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.6344 A, I_w_roll = 3048.8943 A, theta_pitch = 2782.18579mrad, theta_roll_comp = 4408.4673 mrad, theta_setpoint = -40.0000 mrad, 
msg =  148, nerr =    0p/   2r, time steps =    5, qsz = 1021, switch = off, t =     7780 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.6545 A, I_w_roll = 3048.9790 A, theta_pitch = 2782.32007mrad, theta_roll_comp = 4408.6792 mrad, theta_setpoint = -40.0000 mrad, 
msg =  149, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     7832 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.6736 A, I_w_roll = 3049.0598 A, theta_pitch = 2782.44678mrad, theta_roll_comp = 4408.8813 mrad, theta_setpoint = -40.0000 mrad, 
