picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   82, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      822 ms, ax =  0.0611, ay = -6.4156, az =  7.6563, gx = -0.0010 rad/s, gy = -0.0162 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1531 A, I_w_roll = -137.3825 A, theta_pitch = -13.36477mrad, theta_roll_comp = -382.5641 mrad, theta_setpoint = -40.0000 mrad, 
msg =  956, nerr =   58p/  54r, time steps =    5, qsz =    2, switch = off, t =     9562 ms, ax =  0.0024, ay = -6.3988, az =  7.6503, gx = -0.0009 rad/s, gy = -0.0021 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9653 A, I_w_roll = -263.4698 A, theta_pitch = -3.00590mrad, theta_roll_comp = -697.8988 mrad, theta_setpoint = -40.0000 mrad, 
msg =  957, nerr =   58p/  54r, time steps =    5, qsz =    2, switch = off, t =     9572 ms, ax =  0.0072, ay = -6.4012, az =  7.6539, gx = -0.0010 rad/s, gy = -0.0024 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9548 A, I_w_roll = -263.5147 A, theta_pitch = -3.00470mrad, theta_roll_comp = -697.8947 mrad, theta_setpoint = -40.0000 mrad, 
msg =  958, nerr =   58p/  54r, time steps =    5, qsz =    2, switch = off, t =     9582 ms, ax =  0.0024, ay = -6.4060, az =  7.6551, gx = -0.0008 rad/s, gy = -0.0025 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9495 A, I_w_roll = -263.4202 A, theta_pitch = -3.00500mrad, theta_roll_comp = -697.8914 mrad, theta_setpoint = -40.0000 mrad, 
msg =  959, nerr =   58p/  54r, time steps =    5, qsz =    2, switch = off, t =     9592 ms, ax = -0.0024, ay = -6.4036, az =  7.6563, gx = -0.0009 rad/s, gy = -0.0024 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9557 A, I_w_roll = -263.4651 A, theta_pitch = -2.99896mrad, theta_roll_comp = -697.8873 mrad, theta_setpoint = -40.0000 mrad, 
msg =  960, nerr =   58p/  54r, time steps =    5, qsz =    2, switch = off, t =     9602 ms, ax =  0.0048, ay = -6.4060, az =  7.6587, gx = -0.0010 rad/s, gy = -0.0028 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9401 A, I_w_roll = -263.5102 A, theta_pitch = -2.99668mrad, theta_roll_comp = -697.8835 mrad, theta_setpoint = -40.0000 mrad, 
msg =  961, nerr =   58p/  54r, time steps =    5, qsz =    3, switch = off, t =     9612 ms, ax = -0.0012, ay = -6.4036, az =  7.6467, gx = -0.0012 rad/s, gy = -0.0030 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9293 A, I_w_roll = -263.5573 A, theta_pitch = -2.99780mrad, theta_roll_comp = -697.8845 mrad, theta_setpoint = -40.0000 mrad, 
msg =  962, nerr =   58p/  54r, time steps =    5, qsz =    2, switch = off, t =     9622 ms, ax = -0.0024, ay = -6.4012, az =  7.6407, gx = -0.0014 rad/s, gy = -0.0032 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9241 A, I_w_roll = -263.6531 A, theta_pitch = -2.99640mrad, theta_roll_comp = -697.8912 mrad, theta_setpoint = -40.0000 mrad, 
msg =  963, nerr =   58p/  54r, time steps =    5, qsz =    2, switch = off, t =     9632 ms, ax =  0.0012, ay = -6.4036, az =  7.6359, gx = -0.0014 rad/s, gy = -0.0033 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9186 A, I_w_roll = -263.6578 A, theta_pitch = -2.99814mrad, theta_roll_comp = -697.9028 mrad, theta_setpoint = -40.0000 mrad, 
msg =  964, nerr =   58p/  54r, time steps =    5, qsz =    2, switch = off, t =     9642 ms, ax =  0.0084, ay = -6.4060, az =  7.6359, gx = -0.0014 rad/s, gy = -0.0037 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9008 A, I_w_roll = -263.6636 A, theta_pitch = -3.00985mrad, theta_roll_comp = -697.9174 mrad, theta_setpoint = -40.0000 mrad, 
msg =  965, nerr =   58p/  54r, time steps =    5, qsz =    2, switch = off, t =     9652 ms, ax =  0.0024, ay = -6.4108, az =  7.6347, gx = -0.0016 rad/s, gy = -0.0037 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8988 A, I_w_roll = -263.7175 A, theta_pitch = -3.02345mrad, theta_roll_comp = -697.9357 mrad, theta_setpoint = -40.0000 mrad, 
msg =  966, nerr =   58p/  55r, time steps =    5, qsz =    2, switch = off, t =     9662 ms, ax =  0.0024, ay = -6.4108, az =  7.6383, gx = -0.0014 rad/s, gy = -0.0038 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8919 A, I_w_roll = -263.6785 A, theta_pitch = -3.03395mrad, theta_roll_comp = -697.9547 mrad, theta_setpoint = -40.0000 mrad, 
msg =  967, nerr =   58p/  55r, time steps =    5, qsz =    2, switch = off, t =     9672 ms, ax =  0.0084, ay = -6.4072, az =  7.6419, gx = -0.0016 rad/s, gy = -0.0037 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8950 A, I_w_roll = -263.7311 A, theta_pitch = -3.04846mrad, theta_roll_comp = -697.9697 mrad, theta_setpoint = -40.0000 mrad, 
msg =  968, nerr =   58p/  55r, time steps =    5, qsz =    2, switch = off, t =     9682 ms, ax =  0.0060, ay = -6.4096, az =  7.6515, gx = -0.0018 rad/s, gy = -0.0038 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8872 A, I_w_roll = -263.8292 A, theta_pitch = -3.06484mrad, theta_roll_comp = -697.9819 mrad, theta_setpoint = -40.0000 mrad, 
msg =  969, nerr =   58p/  55r, time steps =    5, qsz =    2, switch = off, t =     9692 ms, ax =  0.0024, ay = -6.4084, az =  7.6479, gx = -0.0013 rad/s, gy = -0.0036 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8962 A, I_w_roll = -263.6465 A, theta_pitch = -3.07629mrad, theta_roll_comp = -697.9911 mrad, theta_setpoint = -40.0000 mrad, 
msg =  970, nerr =   58p/  55r, time steps =    5, qsz =    2, switch = off, t =     9702 ms, ax =  0.0060, ay = -6.4012, az =  7.6383, gx = -0.0009 rad/s, gy = -0.0037 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8892 A, I_w_roll = -263.5090 A, theta_pitch = -3.08748mrad, theta_roll_comp = -697.9968 mrad, theta_setpoint = -40.0000 mrad, 
msg =  971, nerr =   58p/  55r, time steps =    5, qsz =    2, switch = off, t =     9712 ms, ax =  0.0060, ay = -6.3988, az =  7.6371, gx = -0.0009 rad/s, gy = -0.0033 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9034 A, I_w_roll = -263.5103 A, theta_pitch = -3.09919mrad, theta_roll_comp = -698.0002 mrad, theta_setpoint = -40.0000 mrad, 
msg =  972, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9722 ms, ax =  0.0072, ay = -6.4024, az =  7.6359, gx = -0.0009 rad/s, gy = -0.0029 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9181 A, I_w_roll = -263.5123 A, theta_pitch = -3.10764mrad, theta_roll_comp = -698.0051 mrad, theta_setpoint = -40.0000 mrad, 
msg =  973, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9732 ms, ax =  0.0024, ay = -6.4048, az =  7.6443, gx = -0.0009 rad/s, gy = -0.0032 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9067 A, I_w_roll = -263.5141 A, theta_pitch = -3.11297mrad, theta_roll_comp = -698.0096 mrad, theta_setpoint = -40.0000 mrad, 
msg =  974, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9742 ms, ax =  0.0084, ay = -6.3988, az =  7.6563, gx = -0.0008 rad/s, gy = -0.0030 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9109 A, I_w_roll = -263.4657 A, theta_pitch = -3.12006mrad, theta_roll_comp = -698.0052 mrad, theta_setpoint = -40.0000 mrad, 
msg =  975, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9752 ms, ax =  0.0012, ay = -6.3964, az =  7.6563, gx = -0.0008 rad/s, gy = -0.0032 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9047 A, I_w_roll = -263.4610 A, theta_pitch = -3.12573mrad, theta_roll_comp = -697.9934 mrad, theta_setpoint = -40.0000 mrad, 
msg =  976, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9762 ms, ax =  0.0036, ay = -6.3964, az =  7.6503, gx = -0.0010 rad/s, gy = -0.0033 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8988 A, I_w_roll = -263.5506 A, theta_pitch = -3.13004mrad, theta_roll_comp = -697.9844 mrad, theta_setpoint = -40.0000 mrad, 
msg =  977, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9772 ms, ax =  0.0036, ay = -6.3928, az =  7.6467, gx = -0.0014 rad/s, gy = -0.0032 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9033 A, I_w_roll = -263.6888 A, theta_pitch = -3.13564mrad, theta_roll_comp = -697.9804 mrad, theta_setpoint = -40.0000 mrad, 
msg =  978, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9782 ms, ax =  0.0012, ay = -6.3952, az =  7.6527, gx = -0.0013 rad/s, gy = -0.0030 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9082 A, I_w_roll = -263.6405 A, theta_pitch = -3.13820mrad, theta_roll_comp = -697.9761 mrad, theta_setpoint = -40.0000 mrad, 
msg =  979, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9792 ms, ax = -0.0036, ay = -6.3940, az =  7.6623, gx = -0.0013 rad/s, gy = -0.0033 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8978 A, I_w_roll = -263.6367 A, theta_pitch = -3.13672mrad, theta_roll_comp = -697.9666 mrad, theta_setpoint = -40.0000 mrad, 
msg =  980, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9802 ms, ax =  0.0036, ay = -6.4048, az =  7.6539, gx = -0.0016 rad/s, gy = -0.0036 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8866 A, I_w_roll = -263.7284 A, theta_pitch = -3.14008mrad, theta_roll_comp = -697.9629 mrad, theta_setpoint = -40.0000 mrad, 
msg =  981, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9812 ms, ax = -0.0036, ay = -6.4048, az =  7.6587, gx = -0.0017 rad/s, gy = -0.0036 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8860 A, I_w_roll = -263.7761 A, theta_pitch = -3.14396mrad, theta_roll_comp = -697.9657 mrad, theta_setpoint = -40.0000 mrad, 
msg =  982, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9822 ms, ax =  0.0036, ay = -6.4072, az =  7.6551, gx = -0.0018 rad/s, gy = -0.0040 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8691 A, I_w_roll = -263.8247 A, theta_pitch = -3.15056mrad, theta_roll_comp = -697.9706 mrad, theta_setpoint = -40.0000 mrad, 
msg =  983, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9832 ms, ax =  0.0024, ay = -6.4132, az =  7.6503, gx = -0.0017 rad/s, gy = -0.0036 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8836 A, I_w_roll = -263.7824 A, theta_pitch = -3.16036mrad, theta_roll_comp = -697.9814 mrad, theta_setpoint = -40.0000 mrad, 
msg =  984, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9842 ms, ax =  0.0036, ay = -6.4132, az =  7.6479, gx = -0.0014 rad/s, gy = -0.0034 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8878 A, I_w_roll = -263.6944 A, theta_pitch = -3.16758mrad, theta_roll_comp = -697.9944 mrad, theta_setpoint = -40.0000 mrad, 
msg =  985, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9852 ms, ax =  0.0024, ay = -6.4120, az =  7.6503, gx = -0.0014 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8868 A, I_w_roll = -263.6989 A, theta_pitch = -3.17402mrad, theta_roll_comp = -698.0055 mrad, theta_setpoint = -40.0000 mrad, 
msg =  986, nerr =   58p/  56r, time steps =    5, qsz =    2, switch = off, t =     9862 ms, ax =  0.0060, ay = -6.4180, az =  7.6551, gx = -0.0017 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8911 A, I_w_roll = -263.7969 A, theta_pitch = -3.18145mrad, theta_roll_comp = -698.0178 mrad, theta_setpoint = -40.0000 mrad, 
msg =  987, nerr =   58p/  56r, time steps =    5, qsz =    3, switch = off, t =     9872 ms, ax = -0.0012, ay = -6.4180, az =  7.6479, gx = -0.0013 rad/s, gy = -0.0029 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9068 A, I_w_roll = -263.6628 A, theta_pitch = -3.18326mrad, theta_roll_comp = -698.0318 mrad, theta_setpoint = -40.0000 mrad, 
msg =  988, nerr =   58p/  57r, time steps =    5, qsz =    2, switch = off, t =     9882 ms, ax = -0.0012, ay = -6.4132, az =  7.6503, gx = -0.0013 rad/s, gy = -0.0030 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9020 A, I_w_roll = -263.6674 A, theta_pitch = -3.17952mrad, theta_roll_comp = -698.0433 mrad, theta_setpoint = -40.0000 mrad, 
msg =  989, nerr =   58p/  57r, time steps =    5, qsz =    2, switch = off, t =     9892 ms, ax =  0.0048, ay = -6.4060, az =  7.6503, gx = -0.0012 rad/s, gy = -0.0033 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8910 A, I_w_roll = -263.6229 A, theta_pitch = -3.18206mrad, theta_roll_comp = -698.0488 mrad, theta_setpoint = -40.0000 mrad, 
msg =  990, nerr =   58p/  57r, time steps =    5, qsz =    2, switch = off, t =     9902 ms, ax =  0.0036, ay = -6.4060, az =  7.6479, gx = -0.0010 rad/s, gy = -0.0033 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8900 A, I_w_roll = -263.5772 A, theta_pitch = -3.18857mrad, theta_roll_comp = -698.0509 mrad, theta_setpoint = -40.0000 mrad, 
msg =  991, nerr =   58p/  57r, time steps =    5, qsz =    2, switch = off, t =     9912 ms, ax =  0.0048, ay = -6.4024, az =  7.6479, gx = -0.0009 rad/s, gy = -0.0034 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8836 A, I_w_roll = -263.5306 A, theta_pitch = -3.19585mrad, theta_roll_comp = -698.0511 mrad, theta_setpoint = -40.0000 mrad, 
msg =  992, nerr =   58p/  57r, time steps =    5, qsz =    2, switch = off, t =     9922 ms, ax =  0.0072, ay = -6.4000, az =  7.6503, gx = -0.0010 rad/s, gy = -0.0037 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8712 A, I_w_roll = -263.5761 A, theta_pitch = -3.20751mrad, theta_roll_comp = -698.0482 mrad, theta_setpoint = -40.0000 mrad, 
msg =  993, nerr =   58p/  57r, time steps =    5, qsz =    2, switch = off, t =     9932 ms, ax =  0.0060, ay = -6.4024, az =  7.6575, gx = -0.0012 rad/s, gy = -0.0037 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8692 A, I_w_roll = -263.6209 A, theta_pitch = -3.22087mrad, theta_roll_comp = -698.0437 mrad, theta_setpoint = -40.0000 mrad, 
msg =  994, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =     9942 ms, ax =  0.0012, ay = -6.4012, az =  7.6575, gx = -0.0010 rad/s, gy = -0.0038 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8624 A, I_w_roll = -263.5717 A, theta_pitch = -3.23072mrad, theta_roll_comp = -698.0372 mrad, theta_setpoint = -40.0000 mrad, 
msg =  995, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =     9952 ms, ax = -0.0012, ay = -6.4012, az =  7.6515, gx = -0.0012 rad/s, gy = -0.0034 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8778 A, I_w_roll = -263.6165 A, theta_pitch = -3.23441mrad, theta_roll_comp = -698.0326 mrad, theta_setpoint = -40.0000 mrad, 
msg =  996, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =     9962 ms, ax =  0.0012, ay = -6.4048, az =  7.6551, gx = -0.0009 rad/s, gy = -0.0036 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8720 A, I_w_roll = -263.5220 A, theta_pitch = -3.23717mrad, theta_roll_comp = -698.0294 mrad, theta_setpoint = -40.0000 mrad, 
msg =  997, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =     9972 ms, ax =  0.0060, ay = -6.4024, az =  7.6503, gx = -0.0012 rad/s, gy = -0.0034 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8763 A, I_w_roll = -263.6143 A, theta_pitch = -3.24458mrad, theta_roll_comp = -698.0273 mrad, theta_setpoint = -40.0000 mrad, 
msg =  998, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =     9982 ms, ax =  0.0060, ay = -6.4036, az =  7.6503, gx = -0.0016 rad/s, gy = -0.0036 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8694 A, I_w_roll = -263.7551 A, theta_pitch = -3.25491mrad, theta_roll_comp = -698.0295 mrad, theta_setpoint = -40.0000 mrad, 
msg =  999, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =     9992 ms, ax =  0.0084, ay = -6.4036, az =  7.6539, gx = -0.0013 rad/s, gy = -0.0034 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8729 A, I_w_roll = -263.6625 A, theta_pitch = -3.26672mrad, theta_roll_comp = -698.0312 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1000, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =    10002 ms, ax =  0.0120, ay = -6.4144, az =  7.6551, gx = -0.0016 rad/s, gy = -0.0036 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8653 A, I_w_roll = -263.7577 A, theta_pitch = -3.28246mrad, theta_roll_comp = -698.0361 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1001, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =    10012 ms, ax =  0.0192, ay = -6.4192, az =  7.6371, gx = -0.0014 rad/s, gy = -0.0036 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8617 A, I_w_roll = -263.7179 A, theta_pitch = -3.30589mrad, theta_roll_comp = -698.0532 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1002, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =    10022 ms, ax =  0.0132, ay = -6.4168, az =  7.6359, gx = -0.0013 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8691 A, I_w_roll = -263.6801 A, theta_pitch = -3.32779mrad, theta_roll_comp = -698.0753 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1003, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =    10032 ms, ax =  0.0180, ay = -6.4192, az =  7.6419, gx = -0.0012 rad/s, gy = -0.0033 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8661 A, I_w_roll = -263.6411 A, theta_pitch = -3.34798mrad, theta_roll_comp = -698.0942 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1004, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =    10042 ms, ax =  0.0168, ay = -6.4144, az =  7.6467, gx = -0.0013 rad/s, gy = -0.0029 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8791 A, I_w_roll = -263.6934 A, theta_pitch = -3.36794mrad, theta_roll_comp = -698.1085 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1005, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =    10052 ms, ax =  0.0180, ay = -6.4120, az =  7.6503, gx = -0.0013 rad/s, gy = -0.0029 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8764 A, I_w_roll = -263.6971 A, theta_pitch = -3.38591mrad, theta_roll_comp = -698.1178 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1006, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =    10062 ms, ax =  0.0120, ay = -6.4084, az =  7.6443, gx = -0.0012 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8796 A, I_w_roll = -263.6534 A, theta_pitch = -3.39954mrad, theta_roll_comp = -698.1250 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1007, nerr =   58p/  58r, time steps =    5, qsz =    2, switch = off, t =    10072 ms, ax =  0.0120, ay = -6.4000, az =  7.6539, gx = -0.0014 rad/s, gy = -0.0026 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8837 A, I_w_roll = -263.7474 A, theta_pitch = -3.40809mrad, theta_roll_comp = -698.1268 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1008, nerr =   59p/  59r, time steps =    5, qsz =    2, switch = off, t =    10082 ms, ax =  0.0120, ay = -6.3964, az =  7.6587, gx = -0.0013 rad/s, gy = -0.0026 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8825 A, I_w_roll = -263.6981 A, theta_pitch = -3.41591mrad, theta_roll_comp = -698.1201 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1009, nerr =   59p/  59r, time steps =    5, qsz =    2, switch = off, t =    10092 ms, ax =  0.0084, ay = -6.3964, az =  7.6527, gx = -0.0013 rad/s, gy = -0.0026 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8817 A, I_w_roll = -263.6949 A, theta_pitch = -3.42112mrad, theta_roll_comp = -698.1121 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1010, nerr =   59p/  59r, time steps =    5, qsz =    2, switch = off, t =    10102 ms, ax =  0.0084, ay = -6.3964, az =  7.6563, gx = -0.0014 rad/s, gy = -0.0026 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8813 A, I_w_roll = -263.7389 A, theta_pitch = -3.42414mrad, theta_roll_comp = -698.1057 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1011, nerr =   59p/  59r, time steps =    5, qsz =    2, switch = off, t =    10112 ms, ax =  0.0108, ay = -6.3904, az =  7.6575, gx = -0.0016 rad/s, gy = -0.0026 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8806 A, I_w_roll = -263.7818 A, theta_pitch = -3.42881mrad, theta_roll_comp = -698.0964 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1012, nerr =   59p/  59r, time steps =    5, qsz =    2, switch = off, t =    10122 ms, ax =  0.0084, ay = -6.3928, az =  7.6539, gx = -0.0014 rad/s, gy = -0.0024 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8908 A, I_w_roll = -263.7315 A, theta_pitch = -3.43172mrad, theta_roll_comp = -698.0871 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1013, nerr =   59p/  59r, time steps =    5, qsz =    2, switch = off, t =    10132 ms, ax =  0.0072, ay = -6.3904, az =  7.6431, gx = -0.0014 rad/s, gy = -0.0025 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8855 A, I_w_roll = -263.7294 A, theta_pitch = -3.43186mrad, theta_roll_comp = -698.0819 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1014, nerr =   60p/  60r, time steps =    5, qsz =    2, switch = off, t =    10142 ms, ax =  0.0144, ay = -6.3940, az =  7.6467, gx = -0.0014 rad/s, gy = -0.0026 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8792 A, I_w_roll = -263.7284 A, theta_pitch = -3.43770mrad, theta_roll_comp = -698.0795 mrad, theta_setpoint = -40.0000 mrad, 
