picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   86, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      862 ms, ax =  0.4447, ay =  1.3114, az =  9.7732, gx = -0.0046 rad/s, gy = -0.0030 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7289 A, I_w_roll = 44.1117 A, theta_pitch = -27.38550mrad, theta_roll_comp = 74.3172 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3923, nerr =  285p/ 327r, time steps =    5, qsz =    2, switch = off, t =    39232 ms, ax =  0.4339, ay =  1.3198, az =  9.7553, gx = -0.0039 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8490 A, I_w_roll = 66.7670 A, theta_pitch = -48.11494mrad, theta_roll_comp = 130.3728 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3924, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39242 ms, ax =  0.4363, ay =  1.3174, az =  9.7625, gx = -0.0042 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8432 A, I_w_roll = 66.6731 A, theta_pitch = -48.11170mrad, theta_roll_comp = 130.3711 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3925, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39252 ms, ax =  0.4375, ay =  1.3246, az =  9.7565, gx = -0.0045 rad/s, gy = -0.0032 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8429 A, I_w_roll = 66.5792 A, theta_pitch = -48.10966mrad, theta_roll_comp = 130.3695 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3926, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39262 ms, ax =  0.4363, ay =  1.3282, az =  9.7577, gx = -0.0045 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8480 A, I_w_roll = 66.5803 A, theta_pitch = -48.10835mrad, theta_roll_comp = 130.3722 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3927, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39272 ms, ax =  0.4387, ay =  1.3294, az =  9.7625, gx = -0.0043 rad/s, gy = -0.0030 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8371 A, I_w_roll = 66.6291 A, theta_pitch = -48.10686mrad, theta_roll_comp = 130.3775 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3928, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39282 ms, ax =  0.4387, ay =  1.3294, az =  9.7697, gx = -0.0043 rad/s, gy = -0.0030 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8368 A, I_w_roll = 66.6313 A, theta_pitch = -48.10500mrad, theta_roll_comp = 130.3831 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3929, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39292 ms, ax =  0.4459, ay =  1.3354, az =  9.7661, gx = -0.0043 rad/s, gy = -0.0030 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8371 A, I_w_roll = 66.6347 A, theta_pitch = -48.10705mrad, theta_roll_comp = 130.3917 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3930, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39302 ms, ax =  0.4447, ay =  1.3330, az =  9.7661, gx = -0.0045 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8433 A, I_w_roll = 66.5919 A, theta_pitch = -48.11258mrad, theta_roll_comp = 130.4012 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3931, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39312 ms, ax =  0.4387, ay =  1.3306, az =  9.7637, gx = -0.0046 rad/s, gy = -0.0032 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8436 A, I_w_roll = 66.5477 A, theta_pitch = -48.11487mrad, theta_roll_comp = 130.4070 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3932, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39322 ms, ax =  0.4399, ay =  1.3270, az =  9.7649, gx = -0.0047 rad/s, gy = -0.0037 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8654 A, I_w_roll = 66.5016 A, theta_pitch = -48.11789mrad, theta_roll_comp = 130.4085 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3933, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39332 ms, ax =  0.4411, ay =  1.3306, az =  9.7697, gx = -0.0045 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8664 A, I_w_roll = 66.5957 A, theta_pitch = -48.12437mrad, theta_roll_comp = 130.4106 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3934, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39342 ms, ax =  0.4363, ay =  1.3282, az =  9.7637, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8616 A, I_w_roll = 66.6441 A, theta_pitch = -48.12808mrad, theta_roll_comp = 130.4151 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3935, nerr =  286p/ 328r, time steps =    5, qsz =    2, switch = off, t =    39352 ms, ax =  0.4303, ay =  1.3282, az =  9.7709, gx = -0.0047 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8558 A, I_w_roll = 66.5050 A, theta_pitch = -48.12488mrad, theta_roll_comp = 130.4169 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3936, nerr =  287p/ 329r, time steps =    5, qsz =    2, switch = off, t =    39362 ms, ax =  0.4279, ay =  1.3234, az =  9.7685, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8437 A, I_w_roll = 66.6445 A, theta_pitch = -48.11542mrad, theta_roll_comp = 130.4160 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3937, nerr =  287p/ 329r, time steps =    5, qsz =    2, switch = off, t =    39372 ms, ax =  0.4315, ay =  1.3198, az =  9.7661, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8531 A, I_w_roll = 66.7371 A, theta_pitch = -48.10718mrad, theta_roll_comp = 130.4146 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3938, nerr =  287p/ 329r, time steps =    5, qsz =    2, switch = off, t =    39382 ms, ax =  0.4291, ay =  1.3246, az =  9.7661, gx = -0.0041 rad/s, gy = -0.0036 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8576 A, I_w_roll = 66.7375 A, theta_pitch = -48.10138mrad, theta_roll_comp = 130.4155 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3939, nerr =  287p/ 329r, time steps =    5, qsz =    2, switch = off, t =    39392 ms, ax =  0.4303, ay =  1.3186, az =  9.7637, gx = -0.0039 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8405 A, I_w_roll = 66.7844 A, theta_pitch = -48.09370mrad, theta_roll_comp = 130.4163 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3940, nerr =  287p/ 329r, time steps =    5, qsz =    2, switch = off, t =    39402 ms, ax =  0.4303, ay =  1.3246, az =  9.7577, gx = -0.0039 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8446 A, I_w_roll = 66.7854 A, theta_pitch = -48.08573mrad, theta_roll_comp = 130.4187 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3941, nerr =  287p/ 329r, time steps =    5, qsz =    2, switch = off, t =    39412 ms, ax =  0.4351, ay =  1.3198, az =  9.7553, gx = -0.0041 rad/s, gy = -0.0037 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8602 A, I_w_roll = 66.7397 A, theta_pitch = -48.08342mrad, theta_roll_comp = 130.4212 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3942, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39422 ms, ax =  0.4399, ay =  1.3186, az =  9.7553, gx = -0.0038 rad/s, gy = -0.0036 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8555 A, I_w_roll = 66.8331 A, theta_pitch = -48.08719mrad, theta_roll_comp = 130.4217 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3943, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39432 ms, ax =  0.4399, ay =  1.3186, az =  9.7625, gx = -0.0037 rad/s, gy = -0.0036 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8562 A, I_w_roll = 66.8803 A, theta_pitch = -48.09238mrad, theta_roll_comp = 130.4230 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3944, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39442 ms, ax =  0.4363, ay =  1.3258, az =  9.7685, gx = -0.0039 rad/s, gy = -0.0034 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8512 A, I_w_roll = 66.7885 A, theta_pitch = -48.09452mrad, theta_roll_comp = 130.4266 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3945, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39452 ms, ax =  0.4339, ay =  1.3318, az =  9.7673, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8456 A, I_w_roll = 66.6981 A, theta_pitch = -48.09222mrad, theta_roll_comp = 130.4337 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3946, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39462 ms, ax =  0.4375, ay =  1.3354, az =  9.7637, gx = -0.0042 rad/s, gy = -0.0038 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8670 A, I_w_roll = 66.7025 A, theta_pitch = -48.09318mrad, theta_roll_comp = 130.4445 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3947, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39472 ms, ax =  0.4387, ay =  1.3306, az =  9.7637, gx = -0.0042 rad/s, gy = -0.0041 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8787 A, I_w_roll = 66.7065 A, theta_pitch = -48.10041mrad, theta_roll_comp = 130.4546 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3948, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39482 ms, ax =  0.4411, ay =  1.3294, az =  9.7661, gx = -0.0043 rad/s, gy = -0.0040 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8748 A, I_w_roll = 66.6624 A, theta_pitch = -48.10990mrad, theta_roll_comp = 130.4608 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3949, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39492 ms, ax =  0.4363, ay =  1.3282, az =  9.7661, gx = -0.0039 rad/s, gy = -0.0041 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8814 A, I_w_roll = 66.8047 A, theta_pitch = -48.11783mrad, theta_roll_comp = 130.4671 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3950, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39502 ms, ax =  0.4363, ay =  1.3246, az =  9.7553, gx = -0.0041 rad/s, gy = -0.0040 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8769 A, I_w_roll = 66.7604 A, theta_pitch = -48.12358mrad, theta_roll_comp = 130.4728 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3951, nerr =  288p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39512 ms, ax =  0.4363, ay =  1.3270, az =  9.7625, gx = -0.0041 rad/s, gy = -0.0038 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8722 A, I_w_roll = 66.7623 A, theta_pitch = -48.12804mrad, theta_roll_comp = 130.4776 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3952, nerr =  289p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39522 ms, ax =  0.4327, ay =  1.3222, az =  9.7625, gx = -0.0039 rad/s, gy = -0.0033 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8508 A, I_w_roll = 66.8103 A, theta_pitch = -48.12687mrad, theta_roll_comp = 130.4811 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3953, nerr =  289p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39532 ms, ax =  0.4327, ay =  1.3186, az =  9.7613, gx = -0.0042 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8554 A, I_w_roll = 66.7165 A, theta_pitch = -48.12227mrad, theta_roll_comp = 130.4796 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3954, nerr =  289p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39542 ms, ax =  0.4303, ay =  1.3222, az =  9.7649, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8655 A, I_w_roll = 66.6686 A, theta_pitch = -48.11839mrad, theta_roll_comp = 130.4764 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3955, nerr =  289p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39552 ms, ax =  0.4267, ay =  1.3222, az =  9.7601, gx = -0.0043 rad/s, gy = -0.0040 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8755 A, I_w_roll = 66.6678 A, theta_pitch = -48.11414mrad, theta_roll_comp = 130.4743 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3956, nerr =  289p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39562 ms, ax =  0.4327, ay =  1.3162, az =  9.7649, gx = -0.0042 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8644 A, I_w_roll = 66.7126 A, theta_pitch = -48.11131mrad, theta_roll_comp = 130.4697 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3957, nerr =  289p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39572 ms, ax =  0.4303, ay =  1.3210, az =  9.7709, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8477 A, I_w_roll = 66.7106 A, theta_pitch = -48.10642mrad, theta_roll_comp = 130.4649 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3958, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39582 ms, ax =  0.4339, ay =  1.3114, az =  9.7613, gx = -0.0042 rad/s, gy = -0.0037 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8631 A, I_w_roll = 66.7076 A, theta_pitch = -48.10281mrad, theta_roll_comp = 130.4574 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3959, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39592 ms, ax =  0.4315, ay =  1.3174, az =  9.7601, gx = -0.0042 rad/s, gy = -0.0037 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8630 A, I_w_roll = 66.7045 A, theta_pitch = -48.10170mrad, theta_roll_comp = 130.4495 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3960, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39602 ms, ax =  0.4315, ay =  1.3198, az =  9.7589, gx = -0.0045 rad/s, gy = -0.0037 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8626 A, I_w_roll = 66.6093 A, theta_pitch = -48.09950mrad, theta_roll_comp = 130.4445 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3961, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39612 ms, ax =  0.4327, ay =  1.3222, az =  9.7553, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8461 A, I_w_roll = 66.7017 A, theta_pitch = -48.09597mrad, theta_roll_comp = 130.4425 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3962, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39622 ms, ax =  0.4327, ay =  1.3234, az =  9.7661, gx = -0.0039 rad/s, gy = -0.0037 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8617 A, I_w_roll = 66.7956 A, theta_pitch = -48.09315mrad, theta_roll_comp = 130.4444 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3963, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39632 ms, ax =  0.4447, ay =  1.3210, az =  9.7589, gx = -0.0038 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8516 A, I_w_roll = 66.8434 A, theta_pitch = -48.09726mrad, theta_roll_comp = 130.4473 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3964, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39642 ms, ax =  0.4447, ay =  1.3186, az =  9.7577, gx = -0.0042 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8529 A, I_w_roll = 66.7034 A, theta_pitch = -48.10596mrad, theta_roll_comp = 130.4467 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3965, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39652 ms, ax =  0.4435, ay =  1.3174, az =  9.7589, gx = -0.0042 rad/s, gy = -0.0036 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8596 A, I_w_roll = 66.7017 A, theta_pitch = -48.11462mrad, theta_roll_comp = 130.4426 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3966, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39662 ms, ax =  0.4387, ay =  1.3186, az =  9.7529, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8551 A, I_w_roll = 66.7471 A, theta_pitch = -48.12002mrad, theta_roll_comp = 130.4397 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3967, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39672 ms, ax =  0.4399, ay =  1.3198, az =  9.7505, gx = -0.0041 rad/s, gy = -0.0033 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8501 A, I_w_roll = 66.7469 A, theta_pitch = -48.12263mrad, theta_roll_comp = 130.4392 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3968, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39682 ms, ax =  0.4459, ay =  1.3210, az =  9.7517, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8510 A, I_w_roll = 66.7004 A, theta_pitch = -48.12842mrad, theta_roll_comp = 130.4392 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3969, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39692 ms, ax =  0.4471, ay =  1.3174, az =  9.7469, gx = -0.0039 rad/s, gy = -0.0033 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8524 A, I_w_roll = 66.7935 A, theta_pitch = -48.13778mrad, theta_roll_comp = 130.4390 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3970, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39702 ms, ax =  0.4375, ay =  1.3234, az =  9.7529, gx = -0.0041 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8531 A, I_w_roll = 66.7475 A, theta_pitch = -48.14232mrad, theta_roll_comp = 130.4407 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3971, nerr =  290p/ 330r, time steps =    5, qsz =    2, switch = off, t =    39712 ms, ax =  0.4327, ay =  1.3198, az =  9.7529, gx = -0.0039 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8581 A, I_w_roll = 66.7950 A, theta_pitch = -48.14027mrad, theta_roll_comp = 130.4429 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3972, nerr =  291p/ 331r, time steps =    5, qsz =    2, switch = off, t =    39722 ms, ax =  0.4327, ay =  1.3270, az =  9.7637, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8684 A, I_w_roll = 66.6561 A, theta_pitch = -48.13771mrad, theta_roll_comp = 130.4450 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3973, nerr =  291p/ 331r, time steps =    5, qsz =    2, switch = off, t =    39732 ms, ax =  0.4315, ay =  1.3186, az =  9.7517, gx = -0.0045 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8572 A, I_w_roll = 66.6089 A, theta_pitch = -48.13440mrad, theta_roll_comp = 130.4435 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3974, nerr =  291p/ 331r, time steps =    5, qsz =    2, switch = off, t =    39742 ms, ax =  0.4315, ay =  1.3210, az =  9.7589, gx = -0.0045 rad/s, gy = -0.0036 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8619 A, I_w_roll = 66.6071 A, theta_pitch = -48.13012mrad, theta_roll_comp = 130.4391 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3975, nerr =  291p/ 331r, time steps =    5, qsz =    2, switch = off, t =    39752 ms, ax =  0.4375, ay =  1.3270, az =  9.7613, gx = -0.0045 rad/s, gy = -0.0036 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8618 A, I_w_roll = 66.6068 A, theta_pitch = -48.12959mrad, theta_roll_comp = 130.4384 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3976, nerr =  291p/ 331r, time steps =    5, qsz =    2, switch = off, t =    39762 ms, ax =  0.4387, ay =  1.3258, az =  9.7589, gx = -0.0043 rad/s, gy = -0.0038 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8731 A, I_w_roll = 66.6543 A, theta_pitch = -48.13397mrad, theta_roll_comp = 130.4406 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3977, nerr =  291p/ 331r, time steps =    5, qsz =    2, switch = off, t =    39772 ms, ax =  0.4327, ay =  1.3258, az =  9.7589, gx = -0.0045 rad/s, gy = -0.0040 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8790 A, I_w_roll = 66.6084 A, theta_pitch = -48.13757mrad, theta_roll_comp = 130.4423 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3978, nerr =  292p/ 332r, time steps =    5, qsz =    2, switch = off, t =    39782 ms, ax =  0.4351, ay =  1.3258, az =  9.7613, gx = -0.0046 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8685 A, I_w_roll = 66.5619 A, theta_pitch = -48.13875mrad, theta_roll_comp = 130.4425 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3979, nerr =  292p/ 332r, time steps =    5, qsz =    2, switch = off, t =    39792 ms, ax =  0.4327, ay =  1.3222, az =  9.7661, gx = -0.0047 rad/s, gy = -0.0038 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8739 A, I_w_roll = 66.5138 A, theta_pitch = -48.13906mrad, theta_roll_comp = 130.4389 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3980, nerr =  292p/ 332r, time steps =    5, qsz =    2, switch = off, t =    39802 ms, ax =  0.4291, ay =  1.3198, az =  9.7625, gx = -0.0046 rad/s, gy = -0.0038 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8736 A, I_w_roll = 66.5579 A, theta_pitch = -48.13686mrad, theta_roll_comp = 130.4325 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3981, nerr =  292p/ 332r, time steps =    5, qsz =    2, switch = off, t =    39812 ms, ax =  0.4339, ay =  1.3162, az =  9.7541, gx = -0.0045 rad/s, gy = -0.0038 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8734 A, I_w_roll = 66.6015 A, theta_pitch = -48.13592mrad, theta_roll_comp = 130.4252 mrad, theta_setpoint = -40.0000 mrad, 
