picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 8997, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   179942 ms, ax =  0.0420, ay = -0.5191, az =  9.9746, gx = -0.0042 rad/s, gy =  0.0181 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.6658, I_w_pitch = -1.6859 A, I_w_roll = -3.5050 A, theta_pitch = -3.59937mrad, theta_roll_comp = -48.1931 mrad, theta_setpoint = -43.1190 mrad, 
msg = 11079, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221582 ms, ax = -0.1690, ay = -0.4315, az = 10.0130, gx =  0.0124 rad/s, gy =  0.0028 rad/s, gz = -0.0423 rad/s, rpm_pitch =  4.4978, rpm_roll = -218.7834, I_w_pitch =  2.0789 A, I_w_roll = -2.1000 A, theta_pitch = 14.93024mrad, theta_roll_comp = -42.3857 mrad, theta_setpoint = -26.2604 mrad, 
msg = 11080, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221602 ms, ax = -0.1223, ay = -0.4016, az = 10.0502, gx =  0.0112 rad/s, gy =  0.0119 rad/s, gz = -0.0218 rad/s, rpm_pitch =  4.4978, rpm_roll = -221.8583, I_w_pitch =  1.6924 A, I_w_roll = -2.4999 A, theta_pitch = 15.09225mrad, theta_roll_comp = -42.1439 mrad, theta_setpoint = -26.0673 mrad, 
msg = 11081, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221622 ms, ax = -0.1534, ay = -0.4939, az =  9.9615, gx =  0.0115 rad/s, gy =  0.0259 rad/s, gz = -0.0011 rad/s, rpm_pitch =  0.0000, rpm_roll = -223.1283, I_w_pitch = -4.8538 A, I_w_roll = -2.3875 A, theta_pitch = 15.46070mrad, theta_roll_comp = -42.0161 mrad, theta_setpoint = -25.9875 mrad, 
msg = 11082, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221642 ms, ax = -0.1690, ay = -0.4411, az =  9.9363, gx =  0.0128 rad/s, gy =  0.0457 rad/s, gz =  0.0185 rad/s, rpm_pitch =  0.0000, rpm_roll = -223.1283, I_w_pitch = -5.7629 A, I_w_roll = -1.8704 A, theta_pitch = 16.23053mrad, theta_roll_comp = -41.8885 mrad, theta_setpoint = -25.9875 mrad, 
msg = 11083, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221662 ms, ax = -0.1403, ay = -0.4327, az =  9.9555, gx =  0.0138 rad/s, gy =  0.0620 rad/s, gz =  0.0204 rad/s, rpm_pitch =  0.0000, rpm_roll = -226.2366, I_w_pitch = -6.5703 A, I_w_roll = -1.5282 A, theta_pitch = 17.28160mrad, theta_roll_comp = -41.6534 mrad, theta_setpoint = -25.7923 mrad, 
msg = 11084, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221682 ms, ax =  0.0156, ay = -0.3824, az =  9.9650, gx =  0.0128 rad/s, gy =  0.0616 rad/s, gz =  0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -227.6738, I_w_pitch = -6.7127 A, I_w_roll = -1.7637 A, theta_pitch = 18.33732mrad, theta_roll_comp = -41.3362 mrad, theta_setpoint = -25.7021 mrad, 
msg = 11085, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221702 ms, ax =  0.0479, ay = -0.3884, az =  9.9662, gx =  0.0123 rad/s, gy =  0.0445 rad/s, gz = -0.0190 rad/s, rpm_pitch =  0.0000, rpm_roll = -227.6738, I_w_pitch = -6.1375 A, I_w_roll = -1.8079 A, theta_pitch = 19.04770mrad, theta_roll_comp = -40.9807 mrad, theta_setpoint = -25.7021 mrad, 
msg = 11086, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221722 ms, ax =  0.1558, ay = -0.4339, az =  9.9626, gx =  0.0120 rad/s, gy =  0.0160 rad/s, gz = -0.0240 rad/s, rpm_pitch =  0.0000, rpm_roll = -231.0829, I_w_pitch = -4.9931 A, I_w_roll = -1.8756 A, theta_pitch = 19.01707mrad, theta_roll_comp = -40.7029 mrad, theta_setpoint = -25.4880 mrad, 
msg = 11087, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221742 ms, ax =  0.1187, ay = -0.5023, az =  9.9998, gx =  0.0123 rad/s, gy = -0.0157 rad/s, gz = -0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = -231.0829, I_w_pitch = -3.6277 A, I_w_roll = -1.7606 A, theta_pitch = 18.36535mrad, theta_roll_comp = -40.6483 mrad, theta_setpoint = -25.4880 mrad, 
msg = 11088, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221762 ms, ax =  0.0180, ay = -0.4951, az =  9.9794, gx =  0.0127 rad/s, gy = -0.0428 rad/s, gz =  0.0238 rad/s, rpm_pitch =  0.0000, rpm_roll = -234.0241, I_w_pitch = -2.3717 A, I_w_roll = -1.6662 A, theta_pitch = 17.23540mrad, theta_roll_comp = -40.5771 mrad, theta_setpoint = -25.3033 mrad, 
msg = 11089, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221782 ms, ax = -0.0012, ay = -0.4555, az =  9.9207, gx =  0.0124 rad/s, gy = -0.0601 rad/s, gz =  0.0555 rad/s, rpm_pitch =  0.0000, rpm_roll = -235.3610, I_w_pitch = -1.4713 A, I_w_roll = -1.7559 A, theta_pitch = 15.84875mrad, theta_roll_comp = -40.4844 mrad, theta_setpoint = -25.2193 mrad, 
msg = 11090, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221802 ms, ax =  0.0084, ay = -0.3548, az =  9.9243, gx =  0.0112 rad/s, gy = -0.0668 rad/s, gz =  0.0690 rad/s, rpm_pitch =  0.0000, rpm_roll = -235.3610, I_w_pitch = -0.9577 A, I_w_roll = -2.0793 A, theta_pitch = 14.20020mrad, theta_roll_comp = -40.2444 mrad, theta_setpoint = -25.2193 mrad, 
msg = 11091, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221822 ms, ax = -0.0623, ay = -0.3560, az =  9.9722, gx =  0.0116 rad/s, gy = -0.0599 rad/s, gz =  0.0518 rad/s, rpm_pitch =  0.0000, rpm_roll = -238.1684, I_w_pitch = -1.0135 A, I_w_roll = -1.8744 A, theta_pitch = 12.72567mrad, theta_roll_comp = -39.9054 mrad, theta_setpoint = -25.0430 mrad, 
msg = 11092, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221842 ms, ax = -0.1570, ay = -0.3368, az = 10.0046, gx =  0.0123 rad/s, gy = -0.0483 rad/s, gz =  0.0326 rad/s, rpm_pitch =  0.0000, rpm_roll = -238.1684, I_w_pitch = -1.3173 A, I_w_roll = -1.5137 A, theta_pitch = 11.66205mrad, theta_roll_comp = -39.5861 mrad, theta_setpoint = -25.0430 mrad, 
msg = 11093, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221862 ms, ax = -0.1954, ay = -0.4351, az = 10.0274, gx =  0.0138 rad/s, gy = -0.0323 rad/s, gz =  0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -238.1684, I_w_pitch = -1.8582 A, I_w_roll = -0.8992 A, theta_pitch = 11.00679mrad, theta_roll_comp = -39.3316 mrad, theta_setpoint = -25.0430 mrad, 
msg = 11094, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221882 ms, ax = -0.2002, ay = -0.4220, az =  9.9770, gx =  0.0160 rad/s, gy = -0.0169 rad/s, gz = -0.0105 rad/s, rpm_pitch = -0.6114, rpm_roll = -240.9425, I_w_pitch = -3.2361 A, I_w_roll = -0.0629 A, theta_pitch = 10.69869mrad, theta_roll_comp = -39.0473 mrad, theta_setpoint = -24.8688 mrad, 
msg = 11095, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221902 ms, ax = -0.1570, ay = -0.3584, az =  9.9279, gx =  0.0171 rad/s, gy = -0.0013 rad/s, gz = -0.0268 rad/s, rpm_pitch = -4.9345, rpm_roll = -243.5829, I_w_pitch = -9.5606 A, I_w_roll =  0.3652 A, theta_pitch = 10.69862mrad, theta_roll_comp = -38.7431 mrad, theta_setpoint = -24.7030 mrad, 
msg = 11096, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221922 ms, ax =  0.0479, ay = -0.3584, az =  9.9387, gx =  0.0164 rad/s, gy =  0.0060 rad/s, gz = -0.0471 rad/s, rpm_pitch = -4.9345, rpm_roll = -245.0535, I_w_pitch = -9.8384 A, I_w_roll =  0.2803 A, theta_pitch = 10.59783mrad, theta_roll_comp = -38.2806 mrad, theta_setpoint = -24.6106 mrad, 
msg = 11097, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221942 ms, ax =  0.2781, ay = -0.3584, az =  9.9591, gx =  0.0166 rad/s, gy = -0.0094 rad/s, gz = -0.0744 rad/s, rpm_pitch =  0.0000, rpm_roll = -245.0535, I_w_pitch = -2.6053 A, I_w_roll =  0.5297 A, theta_pitch = 9.88000mrad, theta_roll_comp = -37.7736 mrad, theta_setpoint = -24.6106 mrad, 
msg = 11098, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221962 ms, ax =  0.2613, ay = -0.3752, az =  9.9734, gx =  0.0144 rad/s, gy = -0.0683 rad/s, gz = -0.0597 rad/s, rpm_pitch =  0.0000, rpm_roll = -246.5575, I_w_pitch = -0.0257 A, I_w_roll = -0.1254 A, theta_pitch = 8.37741mrad, theta_roll_comp = -37.4527 mrad, theta_setpoint = -24.5162 mrad, 
msg = 11099, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   221982 ms, ax = -0.1031, ay = -0.4735, az = 10.0322, gx =  0.0128 rad/s, gy = -0.1242 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -247.1925, I_w_pitch =  2.5351 A, I_w_roll = -0.6552 A, theta_pitch = 6.21838mrad, theta_roll_comp = -37.3392 mrad, theta_setpoint = -24.4763 mrad, 
msg = 11100, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222002 ms, ax = -0.2122, ay = -0.4495, az =  9.9914, gx =  0.0132 rad/s, gy = -0.1390 rad/s, gz =  0.0350 rad/s, rpm_pitch = -4.1485, rpm_roll = -247.1925, I_w_pitch = -1.9808 A, I_w_roll = -0.4639 A, theta_pitch = 3.79273mrad, theta_roll_comp = -37.2104 mrad, theta_setpoint = -24.4763 mrad, 
msg = 11101, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222022 ms, ax = -0.1594, ay = -0.3189, az =  9.8572, gx =  0.0124 rad/s, gy = -0.1257 rad/s, gz =  0.0754 rad/s, rpm_pitch = -4.1485, rpm_roll = -247.1925, I_w_pitch = -2.1668 A, I_w_roll = -0.6839 A, theta_pitch = 1.48197mrad, theta_roll_comp = -37.0614 mrad, theta_setpoint = -24.4763 mrad, 
msg = 11102, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222042 ms, ax = -0.1702, ay = -0.3273, az =  9.9087, gx =  0.0124 rad/s, gy = -0.0961 rad/s, gz =  0.0783 rad/s, rpm_pitch = -0.1747, rpm_roll = -247.4599, I_w_pitch =  2.1824 A, I_w_roll = -0.5720 A, theta_pitch = -0.45803mrad, theta_roll_comp = -36.7650 mrad, theta_setpoint = -24.4595 mrad, 
msg = 11103, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222062 ms, ax = -0.1618, ay = -0.2937, az = 10.0058, gx =  0.0128 rad/s, gy = -0.0693 rad/s, gz =  0.0418 rad/s, rpm_pitch =  0.0000, rpm_roll = -247.4599, I_w_pitch =  1.5394 A, I_w_roll = -0.2488 A, theta_pitch = -1.77294mrad, theta_roll_comp = -36.3066 mrad, theta_setpoint = -24.4595 mrad, 
msg = 11104, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222082 ms, ax = -0.2254, ay = -0.3057, az = 10.0777, gx =  0.0126 rad/s, gy = -0.0416 rad/s, gz =  0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -247.7273, I_w_pitch =  0.5298 A, I_w_roll = -0.1921 A, theta_pitch = -2.42780mrad, theta_roll_comp = -35.9148 mrad, theta_setpoint = -24.4427 mrad, 
msg = 11105, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222102 ms, ax = -0.2661, ay = -0.3308, az = 10.0514, gx =  0.0140 rad/s, gy = -0.0078 rad/s, gz = -0.0312 rad/s, rpm_pitch = -5.0218, rpm_roll = -247.7273, I_w_pitch = -7.4630 A, I_w_roll =  0.4521 A, theta_pitch = -2.31306mrad, theta_roll_comp = -35.5861 mrad, theta_setpoint = -24.4427 mrad, 
msg = 11106, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222122 ms, ax = -0.2973, ay = -0.3824, az =  9.9363, gx =  0.0175 rad/s, gy =  0.0263 rad/s, gz = -0.0680 rad/s, rpm_pitch = -5.0218, rpm_roll = -247.7273, I_w_pitch = -8.9432 A, I_w_roll =  1.8110 A, theta_pitch = -1.53546mrad, theta_roll_comp = -35.2180 mrad, theta_setpoint = -24.4427 mrad, 
msg = 11107, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222142 ms, ax = -0.0168, ay = -0.2553, az =  9.8799, gx =  0.0176 rad/s, gy =  0.0422 rad/s, gz = -0.0884 rad/s, rpm_pitch =  0.0000, rpm_roll = -248.2286, I_w_pitch = -3.0843 A, I_w_roll =  2.0069 A, theta_pitch = -0.70365mrad, theta_roll_comp = -34.8134 mrad, theta_setpoint = -24.4112 mrad, 
msg = 11108, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222162 ms, ax =  0.0420, ay = -0.2877, az =  9.9674, gx =  0.0168 rad/s, gy =  0.0259 rad/s, gz = -0.1051 rad/s, rpm_pitch =  0.0000, rpm_roll = -248.2620, I_w_pitch = -2.5175 A, I_w_roll =  1.8901 A, theta_pitch = -0.11475mrad, theta_roll_comp = -34.4041 mrad, theta_setpoint = -24.4091 mrad, 
msg = 11109, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222182 ms, ax = -0.2302, ay = -0.3285, az = 10.0274, gx =  0.0146 rad/s, gy = -0.0052 rad/s, gz = -0.0971 rad/s, rpm_pitch =  0.0000, rpm_roll = -247.9278, I_w_pitch = -1.3363 A, I_w_roll =  1.2922 A, theta_pitch = 0.28401mrad, theta_roll_comp = -33.9392 mrad, theta_setpoint = -24.4301 mrad, 
msg = 11110, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222202 ms, ax = -0.0791, ay = -0.3716, az = 10.0238, gx =  0.0123 rad/s, gy = -0.0201 rad/s, gz = -0.0686 rad/s, rpm_pitch =  0.0000, rpm_roll = -247.9278, I_w_pitch = -0.7368 A, I_w_roll =  0.5992 A, theta_pitch = 0.26392mrad, theta_roll_comp = -33.6910 mrad, theta_setpoint = -24.4301 mrad, 
msg = 11111, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222222 ms, ax = -0.0959, ay = -0.4160, az =  9.9854, gx =  0.0108 rad/s, gy = -0.0237 rad/s, gz = -0.0188 rad/s, rpm_pitch =  0.0000, rpm_roll = -246.4572, I_w_pitch = -0.5402 A, I_w_roll =  0.1682 A, theta_pitch = -0.08776mrad, theta_roll_comp = -33.5792 mrad, theta_setpoint = -24.5225 mrad, 
msg = 11112, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222242 ms, ax = -0.1462, ay = -0.4208, az =  9.9051, gx =  0.0111 rad/s, gy = -0.0161 rad/s, gz =  0.0274 rad/s, rpm_pitch = -2.7511, rpm_roll = -245.4211, I_w_pitch = -4.4444 A, I_w_roll =  0.3019 A, theta_pitch = -0.27164mrad, theta_roll_comp = -33.5431 mrad, theta_setpoint = -24.5876 mrad, 
msg = 11113, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222262 ms, ax = -0.1223, ay = -0.2733, az =  9.9507, gx =  0.0103 rad/s, gy = -0.0009 rad/s, gz =  0.0616 rad/s, rpm_pitch = -4.5852, rpm_roll = -245.4211, I_w_pitch = -7.4869 A, I_w_roll =  0.0780 A, theta_pitch = -0.16117mrad, theta_roll_comp = -33.4037 mrad, theta_setpoint = -24.5876 mrad, 
msg = 11114, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222282 ms, ax = -0.0539, ay = -0.2457, az =  9.9495, gx =  0.0096 rad/s, gy =  0.0103 rad/s, gz =  0.0639 rad/s, rpm_pitch = -4.5852, rpm_roll = -243.4492, I_w_pitch = -7.9957 A, I_w_roll = -0.0010 A, theta_pitch = 0.24865mrad, theta_roll_comp = -33.1427 mrad, theta_setpoint = -24.7114 mrad, 
msg = 11115, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222302 ms, ax =  0.0408, ay = -0.2733, az =  9.9962, gx =  0.0100 rad/s, gy = -0.0040 rad/s, gz =  0.0426 rad/s, rpm_pitch =  0.0000, rpm_roll = -243.4492, I_w_pitch = -1.3792 A, I_w_roll =  0.2722 A, theta_pitch = 0.25033mrad, theta_roll_comp = -32.8092 mrad, theta_setpoint = -24.7114 mrad, 
msg = 11116, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222322 ms, ax =  0.1618, ay = -0.2865, az =  9.9626, gx =  0.0095 rad/s, gy = -0.0424 rad/s, gz =  0.0350 rad/s, rpm_pitch =  0.0000, rpm_roll = -241.9118, I_w_pitch =  0.2743 A, I_w_roll =  0.2258 A, theta_pitch = -0.51145mrad, theta_roll_comp = -32.5557 mrad, theta_setpoint = -24.8079 mrad, 
msg = 11117, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222342 ms, ax = -0.0971, ay = -0.3776, az = 10.0154, gx =  0.0090 rad/s, gy = -0.0781 rad/s, gz =  0.0502 rad/s, rpm_pitch =  0.0000, rpm_roll = -241.4438, I_w_pitch =  1.8800 A, I_w_roll =  0.0732 A, theta_pitch = -1.69978mrad, theta_roll_comp = -32.5005 mrad, theta_setpoint = -24.8373 mrad, 
msg = 11118, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222362 ms, ax = -0.0719, ay = -0.3524, az = 10.0046, gx =  0.0107 rad/s, gy = -0.0870 rad/s, gz =  0.0658 rad/s, rpm_pitch = -4.4978, rpm_roll = -241.4438, I_w_pitch = -3.4740 A, I_w_roll =  0.7147 A, theta_pitch = -3.17214mrad, theta_roll_comp = -32.4115 mrad, theta_setpoint = -24.8373 mrad, 
msg = 11119, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222382 ms, ax = -0.1175, ay = -0.3129, az =  9.9231, gx =  0.0127 rad/s, gy = -0.0785 rad/s, gz =  0.0798 rad/s, rpm_pitch = -4.4978, rpm_roll = -240.0067, I_w_pitch = -3.6063 A, I_w_roll =  1.5191 A, theta_pitch = -4.56256mrad, theta_roll_comp = -32.2384 mrad, theta_setpoint = -24.9276 mrad, 
msg = 11120, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222402 ms, ax =  0.0851, ay = -0.2457, az =  9.9315, gx =  0.0119 rad/s, gy = -0.0689 rad/s, gz =  0.0732 rad/s, rpm_pitch =  0.0000, rpm_roll = -240.0067, I_w_pitch =  2.1672 A, I_w_roll =  1.3642 A, theta_pitch = -6.06449mrad, theta_roll_comp = -31.9264 mrad, theta_setpoint = -24.9276 mrad, 
msg = 11121, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222422 ms, ax =  0.1247, ay = -0.3117, az =  9.9615, gx =  0.0116 rad/s, gy = -0.0717 rad/s, gz =  0.0391 rad/s, rpm_pitch = -5.4148, rpm_roll = -238.9372, I_w_pitch = -4.6385 A, I_w_roll =  1.4553 A, theta_pitch = -7.55511mrad, theta_roll_comp = -31.5330 mrad, theta_setpoint = -24.9947 mrad, 
msg = 11122, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222442 ms, ax = -0.1678, ay = -0.2326, az = 10.0909, gx =  0.0123 rad/s, gy = -0.0697 rad/s, gz =  0.0232 rad/s, rpm_pitch = -5.4148, rpm_roll = -238.2353, I_w_pitch = -4.5585 A, I_w_roll =  1.8567 A, theta_pitch = -8.62053mrad, theta_roll_comp = -31.1559 mrad, theta_setpoint = -25.0388 mrad, 
msg = 11123, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222462 ms, ax =  0.1247, ay = -0.2973, az = 10.0058, gx =  0.0115 rad/s, gy = -0.0693 rad/s, gz =  0.0069 rad/s, rpm_pitch =  0.0437, rpm_roll = -238.2353, I_w_pitch =  2.8141 A, I_w_roll =  1.6892 A, theta_pitch = -9.88700mrad, theta_roll_comp = -30.8757 mrad, theta_setpoint = -25.0388 mrad, 
msg = 11124, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222482 ms, ax =  0.1438, ay = -0.4076, az =  9.9063, gx =  0.0131 rad/s, gy = -0.0849 rad/s, gz = -0.0021 rad/s, rpm_pitch = -3.8865, rpm_roll = -236.0963, I_w_pitch = -1.5083 A, I_w_roll =  2.3767 A, theta_pitch = -11.47030mrad, theta_roll_comp = -30.6893 mrad, theta_setpoint = -25.1732 mrad, 
msg = 11125, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222502 ms, ax = -0.0899, ay = -0.2865, az =  9.9495, gx =  0.0124 rad/s, gy = -0.0942 rad/s, gz =  0.0142 rad/s, rpm_pitch = -3.8865, rpm_roll = -234.8596, I_w_pitch = -0.8986 A, I_w_roll =  2.2677 A, theta_pitch = -13.04895mrad, theta_roll_comp = -30.4569 mrad, theta_setpoint = -25.2508 mrad, 
msg = 11126, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222522 ms, ax = -0.1031, ay = -0.2505, az = 10.0298, gx =  0.0114 rad/s, gy = -0.0892 rad/s, gz =  0.0120 rad/s, rpm_pitch = -0.2183, rpm_roll = -234.8596, I_w_pitch =  3.9588 A, I_w_roll =  2.0153 A, theta_pitch = -14.53126mrad, theta_roll_comp = -30.1559 mrad, theta_setpoint = -25.2508 mrad, 
msg = 11127, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222542 ms, ax = -0.1331, ay = -0.2026, az =  9.9938, gx =  0.0110 rad/s, gy = -0.0858 rad/s, gz = -0.0019 rad/s, rpm_pitch = -0.2183, rpm_roll = -231.7848, I_w_pitch =  4.0332 A, I_w_roll =  2.1072 A, theta_pitch = -15.91433mrad, theta_roll_comp = -29.7697 mrad, theta_setpoint = -25.4439 mrad, 
msg = 11128, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222562 ms, ax = -0.1019, ay = -0.1846, az =  9.9650, gx =  0.0088 rad/s, gy = -0.0783 rad/s, gz = -0.0000 rad/s, rpm_pitch = -3.1441, rpm_roll = -231.7848, I_w_pitch =  0.0471 A, I_w_roll =  1.4878 A, theta_pitch = -17.08791mrad, theta_roll_comp = -29.4540 mrad, theta_setpoint = -25.4439 mrad, 
msg = 11129, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222582 ms, ax = -0.1630, ay = -0.2326, az = 10.0729, gx =  0.0086 rad/s, gy = -0.0587 rad/s, gz = -0.0091 rad/s, rpm_pitch = -0.0437, rpm_roll = -228.0414, I_w_pitch =  3.4675 A, I_w_roll =  1.6129 A, theta_pitch = -17.85108mrad, theta_roll_comp = -29.1434 mrad, theta_setpoint = -25.6790 mrad, 
msg = 11130, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222602 ms, ax = -0.0647, ay = -0.2709, az = 10.0226, gx =  0.0107 rad/s, gy = -0.0376 rad/s, gz = -0.0101 rad/s, rpm_pitch = -0.0437, rpm_roll = -226.1364, I_w_pitch =  2.6805 A, I_w_roll =  2.4888 A, theta_pitch = -18.21488mrad, theta_roll_comp = -28.9375 mrad, theta_setpoint = -25.7986 mrad, 
msg = 11131, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222622 ms, ax = -0.1426, ay = -0.2913, az =  9.9698, gx =  0.0114 rad/s, gy = -0.0193 rad/s, gz =  0.0001 rad/s, rpm_pitch = -5.8515, rpm_roll = -226.1364, I_w_pitch = -5.7275 A, I_w_roll =  2.7763 A, theta_pitch = -18.12450mrad, theta_roll_comp = -28.8013 mrad, theta_setpoint = -25.7986 mrad, 
msg = 11132, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222642 ms, ax = -0.0060, ay = -0.2266, az =  9.9483, gx =  0.0100 rad/s, gy =  0.0039 rad/s, gz = -0.0041 rad/s, rpm_pitch = -5.8515, rpm_roll = -222.2594, I_w_pitch = -6.7077 A, I_w_roll =  2.5116 A, theta_pitch = -17.76813mrad, theta_roll_comp = -28.5413 mrad, theta_setpoint = -26.0421 mrad, 
msg = 11133, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222662 ms, ax =  0.1834, ay = -0.1858, az =  9.9075, gx =  0.0103 rad/s, gy =  0.0145 rad/s, gz = -0.0224 rad/s, rpm_pitch =  0.0437, rpm_roll = -222.2594, I_w_pitch =  0.6006 A, I_w_roll =  2.7664 A, theta_pitch = -17.50004mrad, theta_roll_comp = -28.1372 mrad, theta_setpoint = -26.0421 mrad, 
msg = 11134, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222682 ms, ax =  0.1343, ay = -0.2841, az =  9.9818, gx =  0.0091 rad/s, gy = -0.0014 rad/s, gz = -0.0293 rad/s, rpm_pitch =  0.0000, rpm_roll = -217.9813, I_w_pitch =  1.1545 A, I_w_roll =  2.5842 A, theta_pitch = -17.31575mrad, theta_roll_comp = -27.8129 mrad, theta_setpoint = -26.3108 mrad, 
msg = 11135, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222702 ms, ax = -0.1570, ay = -0.2985, az = 10.0334, gx =  0.0066 rad/s, gy = -0.0253 rad/s, gz = -0.0241 rad/s, rpm_pitch =  0.0000, rpm_roll = -215.6751, I_w_pitch =  2.0877 A, I_w_roll =  1.8377 A, theta_pitch = -17.18071mrad, theta_roll_comp = -27.6103 mrad, theta_setpoint = -26.4556 mrad, 
msg = 11136, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222722 ms, ax =  0.0084, ay = -0.2793, az =  9.9710, gx =  0.0054 rad/s, gy = -0.0290 rad/s, gz = -0.0109 rad/s, rpm_pitch = -5.5895, rpm_roll = -215.6751, I_w_pitch = -5.1165 A, I_w_roll =  1.4660 A, theta_pitch = -17.30184mrad, theta_roll_comp = -27.4910 mrad, theta_setpoint = -26.4556 mrad, 
msg = 11137, nerr =   51p/ 109r, time steps =   10, qsz =    2, switch = on, t =   222742 ms, ax = -0.0240, ay = -0.2433, az =  9.9327, gx =  0.0066 rad/s, gy = -0.0199 rad/s, gz =  0.0142 rad/s, rpm_pitch = -3.1878, rpm_roll = -210.8289, I_w_pitch = -2.2919 A, I_w_roll =  2.0310 A, theta_pitch = -17.43100mrad, theta_roll_comp = -27.4314 mrad, theta_setpoint = -26.7599 mrad, 
