picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -0.0000, rpm_roll =  0.0000, I_w_pitch =  0.0000 A, I_w_roll = 8893892.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = 47223.9258 mrad, 
msg = 2213, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44262 ms, ax =  0.1834, ay = -0.2086, az =  9.9447, gx = -0.0017 rad/s, gy = -0.0005 rad/s, gz = -0.0233 rad/s, rpm_pitch =  0.0000, rpm_roll = -171.7914, I_w_pitch =  0.8851 A, I_w_roll = -0.7397 A, theta_pitch = -15.76838mrad, theta_roll_comp = -29.5862 mrad, theta_setpoint = -29.2115 mrad, 
msg = 2214, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44282 ms, ax =  0.1462, ay = -0.2757, az = 10.0142, gx = -0.0012 rad/s, gy =  0.0023 rad/s, gz = -0.0373 rad/s, rpm_pitch =  0.0000, rpm_roll = -171.1898, I_w_pitch =  0.7665 A, I_w_roll = -0.5013 A, theta_pitch = -15.72338mrad, theta_roll_comp = -29.4938 mrad, theta_setpoint = -29.2493 mrad, 
msg = 2215, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44302 ms, ax =  0.1067, ay = -0.3141, az =  9.9603, gx = -0.0016 rad/s, gy =  0.0003 rad/s, gz = -0.0409 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.9559, I_w_pitch =  0.8305 A, I_w_roll = -0.6438 A, theta_pitch = -15.61693mrad, theta_roll_comp = -29.5154 mrad, theta_setpoint = -29.2640 mrad, 
msg = 2216, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44322 ms, ax =  0.1127, ay = -0.3452, az =  9.9626, gx = -0.0004 rad/s, gy =  0.0010 rad/s, gz = -0.0298 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.9559, I_w_pitch =  0.7841 A, I_w_roll = -0.2525 A, theta_pitch = -15.48519mrad, theta_roll_comp = -29.5856 mrad, theta_setpoint = -29.2640 mrad, 
msg = 2217, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44342 ms, ax =  0.0683, ay = -0.3572, az =  9.9626, gx =  0.0003 rad/s, gy =  0.0003 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.9559, I_w_pitch =  0.7896 A, I_w_roll = -0.0594 A, theta_pitch = -15.34457mrad, theta_roll_comp = -29.6855 mrad, theta_setpoint = -29.2640 mrad, 
msg = 2218, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44362 ms, ax =  0.0671, ay = -0.3404, az =  9.9914, gx =  0.0012 rad/s, gy =  0.0014 rad/s, gz =  0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.7219, I_w_pitch =  0.7200 A, I_w_roll =  0.2373 A, theta_pitch = -15.16490mrad, theta_roll_comp = -29.7740 mrad, theta_setpoint = -29.2787 mrad, 
msg = 2219, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44382 ms, ax =  0.0527, ay = -0.2949, az =  9.9363, gx =  0.0012 rad/s, gy =  0.0010 rad/s, gz =  0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.6217, I_w_pitch =  0.7091 A, I_w_roll =  0.2336 A, theta_pitch = -14.98532mrad, theta_roll_comp = -29.7896 mrad, theta_setpoint = -29.2850 mrad, 
msg = 2220, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44402 ms, ax =  0.0276, ay = -0.2625, az =  9.9483, gx =  0.0007 rad/s, gy =  0.0034 rad/s, gz =  0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.6217, I_w_pitch =  0.5849 A, I_w_roll =  0.0838 A, theta_pitch = -14.79622mrad, theta_roll_comp = -29.6981 mrad, theta_setpoint = -29.2850 mrad, 
msg = 2221, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44422 ms, ax = -0.0060, ay = -0.2254, az =  9.9782, gx =  0.0007 rad/s, gy =  0.0060 rad/s, gz = -0.0015 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.6217, I_w_pitch =  0.4376 A, I_w_roll =  0.1316 A, theta_pitch = -14.52500mrad, theta_roll_comp = -29.5784 mrad, theta_setpoint = -29.2850 mrad, 
msg = 2222, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44442 ms, ax =  0.1031, ay = -0.2445, az =  9.9914, gx =  0.0002 rad/s, gy =  0.0054 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.0869, I_w_pitch =  0.4242 A, I_w_roll =  0.0006 A, theta_pitch = -14.25808mrad, theta_roll_comp = -29.4735 mrad, theta_setpoint = -29.3185 mrad, 
msg = 2223, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44462 ms, ax =  0.1259, ay = -0.2361, az =  9.9890, gx = -0.0005 rad/s, gy =  0.0039 rad/s, gz = -0.0274 rad/s, rpm_pitch =  3.0568, rpm_roll = -170.0869, I_w_pitch =  4.4889 A, I_w_roll = -0.2106 A, theta_pitch = -14.09000mrad, theta_roll_comp = -29.4191 mrad, theta_setpoint = -29.3185 mrad, 
msg = 2224, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44482 ms, ax =  0.0959, ay = -0.2649, az =  9.9806, gx = -0.0002 rad/s, gy =  0.0030 rad/s, gz = -0.0317 rad/s, rpm_pitch =  0.1310, rpm_roll = -169.3182, I_w_pitch =  0.6533 A, I_w_roll = -0.0701 A, theta_pitch = -13.99454mrad, theta_roll_comp = -29.3491 mrad, theta_setpoint = -29.3668 mrad, 
msg = 2225, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44502 ms, ax =  0.0156, ay = -0.2853, az = 10.0166, gx =  0.0002 rad/s, gy =  0.0084 rad/s, gz = -0.0257 rad/s, rpm_pitch =  0.1310, rpm_roll = -169.1176, I_w_pitch =  0.3802 A, I_w_roll =  0.0669 A, theta_pitch = -13.62941mrad, theta_roll_comp = -29.3685 mrad, theta_setpoint = -29.3794 mrad, 
msg = 2226, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44522 ms, ax =  0.0683, ay = -0.3368, az =  9.9662, gx =  0.0011 rad/s, gy =  0.0193 rad/s, gz = -0.0186 rad/s, rpm_pitch =  0.1310, rpm_roll = -169.1176, I_w_pitch = -0.1178 A, I_w_roll =  0.3744 A, theta_pitch = -13.22127mrad, theta_roll_comp = -29.4155 mrad, theta_setpoint = -29.3794 mrad, 
msg = 2227, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44542 ms, ax = -0.0396, ay = -0.3141, az =  9.9591, gx =  0.0018 rad/s, gy =  0.0283 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.1310, rpm_roll = -168.3824, I_w_pitch = -0.5803 A, I_w_roll =  0.6134 A, theta_pitch = -12.51658mrad, theta_roll_comp = -29.4468 mrad, theta_setpoint = -29.4256 mrad, 
msg = 2228, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44562 ms, ax =  0.0192, ay = -0.2661, az =  9.9495, gx =  0.0015 rad/s, gy =  0.0352 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -168.3824, I_w_pitch = -1.1603 A, I_w_roll =  0.5483 A, theta_pitch = -11.64850mrad, theta_roll_comp = -29.3765 mrad, theta_setpoint = -29.4256 mrad, 
msg = 2229, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44582 ms, ax =  0.0827, ay = -0.2338, az =  9.9746, gx =  0.0008 rad/s, gy =  0.0405 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -168.0147, I_w_pitch = -1.4956 A, I_w_roll =  0.3761 A, theta_pitch = -10.83341mrad, theta_roll_comp = -29.2474 mrad, theta_setpoint = -29.4487 mrad, 
msg = 2230, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44602 ms, ax =  0.1558, ay = -0.2206, az = 10.0406, gx =  0.0008 rad/s, gy =  0.0453 rad/s, gz = -0.0277 rad/s, rpm_pitch =  0.0000, rpm_roll = -167.3797, I_w_pitch = -1.8154 A, I_w_roll =  0.4593 A, theta_pitch = -9.97951mrad, theta_roll_comp = -29.0793 mrad, theta_setpoint = -29.4886 mrad, 
msg = 2231, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44622 ms, ax =  0.1091, ay = -0.2134, az =  9.9603, gx = -0.0008 rad/s, gy =  0.0438 rad/s, gz = -0.0349 rad/s, rpm_pitch =  0.0000, rpm_roll = -167.3797, I_w_pitch = -1.8837 A, I_w_roll = -0.0415 A, theta_pitch = -9.13338mrad, theta_roll_comp = -28.9332 mrad, theta_setpoint = -29.4886 mrad, 
msg = 2232, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44642 ms, ax =  0.0300, ay = -0.3225, az = 10.0202, gx = -0.0008 rad/s, gy =  0.0450 rad/s, gz = -0.0395 rad/s, rpm_pitch =  0.0000, rpm_roll = -166.3770, I_w_pitch = -2.0759 A, I_w_roll = -0.0060 A, theta_pitch = -8.17165mrad, theta_roll_comp = -28.9075 mrad, theta_setpoint = -29.5515 mrad, 
msg = 2233, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44662 ms, ax =  0.0132, ay = -0.3285, az =  9.9674, gx = -0.0005 rad/s, gy =  0.0400 rad/s, gz = -0.0376 rad/s, rpm_pitch =  0.0000, rpm_roll = -165.5414, I_w_pitch = -2.0168 A, I_w_roll =  0.0823 A, theta_pitch = -7.21642mrad, theta_roll_comp = -28.9723 mrad, theta_setpoint = -29.6040 mrad, 
msg = 2234, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44682 ms, ax =  0.0767, ay = -0.2937, az =  9.9411, gx = -0.0002 rad/s, gy =  0.0332 rad/s, gz = -0.0228 rad/s, rpm_pitch =  0.0000, rpm_roll = -165.5414, I_w_pitch = -1.8580 A, I_w_roll =  0.1488 A, theta_pitch = -6.46412mrad, theta_roll_comp = -29.0391 mrad, theta_setpoint = -29.6040 mrad, 
msg = 2235, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44702 ms, ax =  0.0983, ay = -0.3452, az =  9.9686, gx = -0.0002 rad/s, gy =  0.0263 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -164.7727, I_w_pitch = -1.6634 A, I_w_roll =  0.1259 A, theta_pitch = -5.91515mrad, theta_roll_comp = -29.1444 mrad, theta_setpoint = -29.6523 mrad, 
msg = 2236, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44722 ms, ax =  0.0623, ay = -0.3009, az =  9.9770, gx =  0.0002 rad/s, gy =  0.0171 rad/s, gz =  0.0045 rad/s, rpm_pitch =  4.3231, rpm_roll = -164.7727, I_w_pitch =  4.3464 A, I_w_roll =  0.2356 A, theta_pitch = -5.52169mrad, theta_roll_comp = -29.2197 mrad, theta_setpoint = -29.6523 mrad, 
msg = 2237, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44742 ms, ax =  0.0527, ay = -0.2565, az =  9.9483, gx = -0.0006 rad/s, gy =  0.0075 rad/s, gz =  0.0117 rad/s, rpm_pitch =  0.2183, rpm_roll = -163.6698, I_w_pitch = -0.7097 A, I_w_roll = -0.0153 A, theta_pitch = -5.34710mrad, theta_roll_comp = -29.2173 mrad, theta_setpoint = -29.7215 mrad, 
msg = 2238, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44762 ms, ax =  0.1858, ay = -0.1834, az =  9.9603, gx = -0.0012 rad/s, gy =  0.0047 rad/s, gz =  0.0091 rad/s, rpm_pitch =  0.2183, rpm_roll = -163.4024, I_w_pitch = -0.5896 A, I_w_roll = -0.1612 A, theta_pitch = -5.40214mrad, theta_roll_comp = -29.1326 mrad, theta_setpoint = -29.7383 mrad, 
msg = 2239, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44782 ms, ax =  0.1678, ay = -0.2457, az = 10.0046, gx = -0.0002 rad/s, gy =  0.0115 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -163.4024, I_w_pitch = -1.1390 A, I_w_roll =  0.2202 A, theta_pitch = -5.47001mrad, theta_roll_comp = -28.9949 mrad, theta_setpoint = -29.7383 mrad, 
msg = 2240, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44802 ms, ax =  0.0899, ay = -0.2242, az =  9.9459, gx = -0.0017 rad/s, gy =  0.0111 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.0000, rpm_roll = -162.1992, I_w_pitch = -1.1298 A, I_w_roll = -0.2238 A, theta_pitch = -5.42471mrad, theta_roll_comp = -28.8987 mrad, theta_setpoint = -29.8139 mrad, 
msg = 2241, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44822 ms, ax = -0.0132, ay = -0.2889, az =  9.9770, gx = -0.0021 rad/s, gy =  0.0110 rad/s, gz = -0.0304 rad/s, rpm_pitch =  0.0000, rpm_roll = -162.1992, I_w_pitch = -1.1652 A, I_w_roll = -0.3643 A, theta_pitch = -5.15337mrad, theta_roll_comp = -28.9004 mrad, theta_setpoint = -29.8139 mrad, 
msg = 2242, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44842 ms, ax =  0.0432, ay = -0.3033, az =  9.9854, gx = -0.0017 rad/s, gy =  0.0068 rad/s, gz = -0.0341 rad/s, rpm_pitch =  0.0000, rpm_roll = -161.1965, I_w_pitch = -1.0388 A, I_w_roll = -0.2112 A, theta_pitch = -4.89525mrad, theta_roll_comp = -28.9302 mrad, theta_setpoint = -29.8769 mrad, 
msg = 2243, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44862 ms, ax =  0.0372, ay = -0.3093, az =  9.9591, gx = -0.0020 rad/s, gy =  0.0016 rad/s, gz = -0.0233 rad/s, rpm_pitch =  0.0000, rpm_roll = -160.9626, I_w_pitch = -0.8434 A, I_w_roll = -0.3278 A, theta_pitch = -4.81279mrad, theta_roll_comp = -29.0035 mrad, theta_setpoint = -29.8915 mrad, 
msg = 2244, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44882 ms, ax =  0.0420, ay = -0.3261, az =  9.9746, gx = -0.0016 rad/s, gy = -0.0029 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -160.9626, I_w_pitch = -0.6592 A, I_w_roll = -0.2443 A, theta_pitch = -4.83366mrad, theta_roll_comp = -29.1443 mrad, theta_setpoint = -29.8915 mrad, 
msg = 2245, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44902 ms, ax =  0.0719, ay = -0.3009, az =  9.9770, gx = -0.0010 rad/s, gy = -0.0081 rad/s, gz =  0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = -160.3275, I_w_pitch = -0.4273 A, I_w_roll = -0.0557 A, theta_pitch = -4.99473mrad, theta_roll_comp = -29.1787 mrad, theta_setpoint = -29.9314 mrad, 
msg = 2246, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44922 ms, ax =  0.1115, ay = -0.2829, az =  9.9686, gx = -0.0005 rad/s, gy = -0.0117 rad/s, gz =  0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -160.3275, I_w_pitch = -0.2491 A, I_w_roll =  0.1232 A, theta_pitch = -5.22449mrad, theta_roll_comp = -29.1975 mrad, theta_setpoint = -29.9314 mrad, 
msg = 2247, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44942 ms, ax =  0.1235, ay = -0.1930, az =  9.9591, gx = -0.0024 rad/s, gy = -0.0153 rad/s, gz =  0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -160.0267, I_w_pitch = -0.0485 A, I_w_roll = -0.5027 A, theta_pitch = -5.60266mrad, theta_roll_comp = -29.1500 mrad, theta_setpoint = -29.9503 mrad, 
msg = 2248, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44962 ms, ax =  0.0851, ay = -0.2074, az =  9.9579, gx = -0.0026 rad/s, gy = -0.0166 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -159.8596, I_w_pitch =  0.0623 A, I_w_roll = -0.5552 A, theta_pitch = -5.98629mrad, theta_roll_comp = -29.0586 mrad, theta_setpoint = -29.9608 mrad, 
msg = 2249, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    44982 ms, ax =  0.1247, ay = -0.1810, az =  9.9734, gx = -0.0026 rad/s, gy = -0.0161 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = -159.8596, I_w_pitch =  0.1083 A, I_w_roll = -0.5059 A, theta_pitch = -6.43516mrad, theta_roll_comp = -28.9353 mrad, theta_setpoint = -29.9608 mrad, 
msg = 2250, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45002 ms, ax =  0.0683, ay = -0.2505, az =  9.9794, gx = -0.0026 rad/s, gy = -0.0138 rad/s, gz = -0.0248 rad/s, rpm_pitch =  0.0000, rpm_roll = -159.2914, I_w_pitch =  0.0679 A, I_w_roll = -0.4808 A, theta_pitch = -6.76920mrad, theta_roll_comp = -28.9082 mrad, theta_setpoint = -29.9965 mrad, 
msg = 2251, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45022 ms, ax =  0.0360, ay = -0.3081, az =  9.9866, gx = -0.0018 rad/s, gy = -0.0109 rad/s, gz = -0.0276 rad/s, rpm_pitch =  0.0000, rpm_roll = -159.2914, I_w_pitch = -0.0179 A, I_w_roll = -0.2049 A, theta_pitch = -6.97885mrad, theta_roll_comp = -28.9176 mrad, theta_setpoint = -29.9965 mrad, 
msg = 2252, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45042 ms, ax =  0.0324, ay = -0.3045, az =  9.9638, gx = -0.0012 rad/s, gy = -0.0094 rad/s, gz = -0.0172 rad/s, rpm_pitch =  0.0000, rpm_roll = -159.1578, I_w_pitch = -0.0556 A, I_w_roll =  0.0010 A, theta_pitch = -7.11802mrad, theta_roll_comp = -28.9938 mrad, theta_setpoint = -30.0049 mrad, 
msg = 2253, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45062 ms, ax =  0.0264, ay = -0.3332, az =  9.9662, gx = -0.0006 rad/s, gy = -0.0072 rad/s, gz = -0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = -158.8235, I_w_pitch = -0.1335 A, I_w_roll =  0.1644 A, theta_pitch = -7.20228mrad, theta_roll_comp = -29.0723 mrad, theta_setpoint = -30.0259 mrad, 
msg = 2254, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45082 ms, ax =  0.0384, ay = -0.3332, az =  9.9866, gx =  0.0002 rad/s, gy = -0.0054 rad/s, gz =  0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -158.8235, I_w_pitch = -0.2016 A, I_w_roll =  0.4276 A, theta_pitch = -7.20967mrad, theta_roll_comp = -29.1135 mrad, theta_setpoint = -30.0259 mrad, 
msg = 2255, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45102 ms, ax =  0.0527, ay = -0.2110, az =  9.9686, gx = -0.0001 rad/s, gy = -0.0056 rad/s, gz =  0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -159.0241, I_w_pitch = -0.1870 A, I_w_roll =  0.3404 A, theta_pitch = -7.27178mrad, theta_roll_comp = -29.0858 mrad, theta_setpoint = -30.0133 mrad, 
msg = 2256, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45122 ms, ax =  0.1391, ay = -0.2517, az =  9.9806, gx = -0.0006 rad/s, gy = -0.0061 rad/s, gz = -0.0012 rad/s, rpm_pitch =  0.0000, rpm_roll = -158.5562, I_w_pitch = -0.1422 A, I_w_roll =  0.1995 A, theta_pitch = -7.42835mrad, theta_roll_comp = -29.0015 mrad, theta_setpoint = -30.0427 mrad, 
msg = 2257, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45142 ms, ax =  0.1930, ay = -0.1918, az =  9.9183, gx = -0.0020 rad/s, gy = -0.0073 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -158.5562, I_w_pitch = -0.0411 A, I_w_roll = -0.2117 A, theta_pitch = -7.78227mrad, theta_roll_comp = -28.8642 mrad, theta_setpoint = -30.0427 mrad, 
msg = 2258, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45162 ms, ax =  0.1043, ay = -0.2469, az =  9.9375, gx = -0.0024 rad/s, gy = -0.0088 rad/s, gz = -0.0253 rad/s, rpm_pitch =  0.0000, rpm_roll = -157.7874, I_w_pitch =  0.0491 A, I_w_roll = -0.3134 A, theta_pitch = -7.99317mrad, theta_roll_comp = -28.8172 mrad, theta_setpoint = -30.0909 mrad, 
msg = 2259, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45182 ms, ax =  0.0623, ay = -0.2805, az =  9.9782, gx = -0.0028 rad/s, gy = -0.0090 rad/s, gz = -0.0312 rad/s, rpm_pitch =  0.0000, rpm_roll = -157.7874, I_w_pitch =  0.0800 A, I_w_roll = -0.4522 A, theta_pitch = -8.12850mrad, theta_roll_comp = -28.8146 mrad, theta_setpoint = -30.0909 mrad, 
msg = 2260, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45202 ms, ax =  0.0024, ay = -0.3021, az =  9.9758, gx = -0.0022 rad/s, gy = -0.0093 rad/s, gz = -0.0292 rad/s, rpm_pitch =  0.0000, rpm_roll = -156.8182, I_w_pitch =  0.0950 A, I_w_roll = -0.2650 A, theta_pitch = -8.15746mrad, theta_roll_comp = -28.8737 mrad, theta_setpoint = -30.1518 mrad, 
msg = 2261, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45222 ms, ax =  0.0060, ay = -0.3105, az =  9.9591, gx = -0.0022 rad/s, gy = -0.0102 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -156.4505, I_w_pitch =  0.1393 A, I_w_roll = -0.3003 A, theta_pitch = -8.20410mrad, theta_roll_comp = -28.9850 mrad, theta_setpoint = -30.1749 mrad, 
msg = 2262, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45242 ms, ax =  0.0168, ay = -0.3536, az =  9.9698, gx = -0.0016 rad/s, gy = -0.0088 rad/s, gz =  0.0021 rad/s, rpm_pitch =  0.0000, rpm_roll = -156.4505, I_w_pitch =  0.0921 A, I_w_roll = -0.1265 A, theta_pitch = -8.27971mrad, theta_roll_comp = -29.1330 mrad, theta_setpoint = -30.1749 mrad, 
msg = 2263, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45262 ms, ax =  0.0216, ay = -0.2985, az =  9.9758, gx = -0.0006 rad/s, gy = -0.0068 rad/s, gz =  0.0110 rad/s, rpm_pitch =  0.0000, rpm_roll = -155.9492, I_w_pitch =  0.0211 A, I_w_roll =  0.1877 A, theta_pitch = -8.33959mrad, theta_roll_comp = -29.1946 mrad, theta_setpoint = -30.2064 mrad, 
msg = 2264, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45282 ms, ax =  0.0863, ay = -0.2913, az =  9.9603, gx = -0.0001 rad/s, gy = -0.0052 rad/s, gz =  0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = -155.9492, I_w_pitch = -0.0369 A, I_w_roll =  0.3629 A, theta_pitch = -8.37888mrad, theta_roll_comp = -29.2227 mrad, theta_setpoint = -30.2064 mrad, 
msg = 2265, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45302 ms, ax =  0.1223, ay = -0.2469, az =  9.9770, gx = -0.0004 rad/s, gy = -0.0038 rad/s, gz =  0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -155.7487, I_w_pitch = -0.0812 A, I_w_roll =  0.2953 A, theta_pitch = -8.43829mrad, theta_roll_comp = -29.1712 mrad, theta_setpoint = -30.2190 mrad, 
msg = 2266, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45322 ms, ax =  0.1450, ay = -0.2026, az =  9.9962, gx =  0.0002 rad/s, gy = -0.0021 rad/s, gz = -0.0154 rad/s, rpm_pitch =  0.0000, rpm_roll = -155.6150, I_w_pitch = -0.1351 A, I_w_roll =  0.5260 A, theta_pitch = -8.54053mrad, theta_roll_comp = -29.0688 mrad, theta_setpoint = -30.2274 mrad, 
msg = 2267, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45342 ms, ax = -0.0491, ay = -0.2589, az =  9.9938, gx = -0.0013 rad/s, gy = -0.0037 rad/s, gz = -0.0282 rad/s, rpm_pitch =  0.0000, rpm_roll = -155.6150, I_w_pitch = -0.0748 A, I_w_roll =  0.0655 A, theta_pitch = -8.51634mrad, theta_roll_comp = -28.9384 mrad, theta_setpoint = -30.2274 mrad, 
msg = 2268, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45362 ms, ax = -0.0156, ay = -0.2949, az =  9.9842, gx = -0.0017 rad/s, gy = -0.0045 rad/s, gz = -0.0401 rad/s, rpm_pitch =  0.0000, rpm_roll = -154.7126, I_w_pitch = -0.0521 A, I_w_roll = -0.0452 A, theta_pitch = -8.45514mrad, theta_roll_comp = -28.9224 mrad, theta_setpoint = -30.2840 mrad, 
msg = 2269, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45382 ms, ax =  0.0240, ay = -0.2817, az =  9.9615, gx = -0.0028 rad/s, gy = -0.0068 rad/s, gz = -0.0365 rad/s, rpm_pitch =  0.0000, rpm_roll = -154.7126, I_w_pitch =  0.0366 A, I_w_roll = -0.4250 A, theta_pitch = -8.44229mrad, theta_roll_comp = -28.9399 mrad, theta_setpoint = -30.2840 mrad, 
msg = 2270, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45402 ms, ax =  0.0336, ay = -0.3105, az =  9.9686, gx = -0.0028 rad/s, gy = -0.0077 rad/s, gz = -0.0228 rad/s, rpm_pitch =  0.0000, rpm_roll = -153.6096, I_w_pitch =  0.0754 A, I_w_roll = -0.4377 A, theta_pitch = -8.45280mrad, theta_roll_comp = -29.0408 mrad, theta_setpoint = -30.3533 mrad, 
msg = 2271, nerr =    4p/  28r, time steps =   10, qsz =    2, switch = on, t =    45422 ms, ax =  0.0515, ay = -0.3392, az =  9.9806, gx = -0.0024 rad/s, gy = -0.0085 rad/s, gz = -0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = -153.3088, I_w_pitch =  0.1165 A, I_w_roll = -0.3435 A, theta_pitch = -8.51385mrad, theta_roll_comp = -29.1738 mrad, theta_setpoint = -30.3722 mrad, 
