picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.1004 A, I_w_roll = -12.4082 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  913, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18262 ms, ax = -0.3249, ay = -0.2613, az =  9.9603, gx =  0.0002 rad/s, gy =  0.0056 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.7891 A, I_w_roll =  5.8792 A, theta_pitch = 33.75978mrad, theta_roll_comp = -25.4585 mrad, theta_setpoint = -40.0000 mrad, 
msg =  914, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18282 ms, ax = -0.3344, ay = -0.2661, az =  9.9411, gx =  0.0000 rad/s, gy =  0.0010 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.6099 A, I_w_roll =  5.8227 A, theta_pitch = 33.80772mrad, theta_roll_comp = -25.4832 mrad, theta_setpoint = -40.0000 mrad, 
msg =  915, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18302 ms, ax = -0.3308, ay = -0.2721, az =  9.9207, gx =  0.0004 rad/s, gy = -0.0030 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.4455 A, I_w_roll =  5.9519 A, theta_pitch = 33.77685mrad, theta_roll_comp = -25.5097 mrad, theta_setpoint = -40.0000 mrad, 
msg =  916, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18322 ms, ax = -0.3189, ay = -0.2613, az =  9.9315, gx =  0.0010 rad/s, gy = -0.0069 rad/s, gz = -0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.2718 A, I_w_roll =  6.1296 A, theta_pitch = 33.64921mrad, theta_roll_comp = -25.5316 mrad, theta_setpoint = -40.0000 mrad, 
msg =  917, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18342 ms, ax = -0.3033, ay = -0.2577, az =  9.9531, gx =  0.0006 rad/s, gy = -0.0078 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.2052 A, I_w_roll =  5.9914 A, theta_pitch = 33.45312mrad, theta_roll_comp = -25.5275 mrad, theta_setpoint = -40.0000 mrad, 
msg =  918, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18362 ms, ax = -0.3093, ay = -0.2493, az =  9.9447, gx =  0.0004 rad/s, gy = -0.0069 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.2121 A, I_w_roll =  5.9499 A, theta_pitch = 33.25112mrad, theta_roll_comp = -25.5147 mrad, theta_setpoint = -40.0000 mrad, 
msg =  919, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18382 ms, ax = -0.3201, ay = -0.2529, az =  9.9519, gx =  0.0008 rad/s, gy = -0.0050 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.2644 A, I_w_roll =  6.0957 A, theta_pitch = 33.10265mrad, theta_roll_comp = -25.4997 mrad, theta_setpoint = -40.0000 mrad, 
msg =  920, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18402 ms, ax = -0.3344, ay = -0.2649, az =  9.9615, gx =  0.0014 rad/s, gy = -0.0029 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.3374 A, I_w_roll =  6.2878 A, theta_pitch = 33.02126mrad, theta_roll_comp = -25.4857 mrad, theta_setpoint = -40.0000 mrad, 
msg =  921, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18422 ms, ax = -0.3297, ay = -0.2589, az =  9.9567, gx =  0.0012 rad/s, gy =  0.0008 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.4850 A, I_w_roll =  6.2444 A, theta_pitch = 33.01075mrad, theta_roll_comp = -25.4775 mrad, theta_setpoint = -40.0000 mrad, 
msg =  922, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18442 ms, ax = -0.3308, ay = -0.2505, az =  9.9387, gx =  0.0019 rad/s, gy =  0.0044 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.6383 A, I_w_roll =  6.4904 A, theta_pitch = 33.07415mrad, theta_roll_comp = -25.4452 mrad, theta_setpoint = -40.0000 mrad, 
msg =  923, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18462 ms, ax = -0.3416, ay = -0.2433, az =  9.9387, gx =  0.0023 rad/s, gy =  0.0070 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.7590 A, I_w_roll =  6.6546 A, theta_pitch = 33.20383mrad, theta_roll_comp = -25.3843 mrad, theta_setpoint = -40.0000 mrad, 
msg =  924, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18482 ms, ax = -0.3464, ay = -0.2421, az =  9.9495, gx =  0.0026 rad/s, gy =  0.0083 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.8394 A, I_w_roll =  6.7735 A, theta_pitch = 33.38523mrad, theta_roll_comp = -25.3199 mrad, theta_setpoint = -40.0000 mrad, 
msg =  925, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18502 ms, ax = -0.3680, ay = -0.2385, az =  9.9507, gx =  0.0024 rad/s, gy =  0.0091 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9054 A, I_w_roll =  6.7552 A, theta_pitch = 33.61169mrad, theta_roll_comp = -25.2491 mrad, theta_setpoint = -40.0000 mrad, 
msg =  926, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18522 ms, ax = -0.3800, ay = -0.2529, az =  9.9423, gx =  0.0028 rad/s, gy =  0.0084 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9166 A, I_w_roll =  6.9188 A, theta_pitch = 33.86391mrad, theta_roll_comp = -25.1896 mrad, theta_setpoint = -40.0000 mrad, 
msg =  927, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18542 ms, ax = -0.3752, ay = -0.2589, az =  9.9375, gx =  0.0034 rad/s, gy =  0.0076 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9196 A, I_w_roll =  7.1256 A, theta_pitch = 34.09696mrad, theta_roll_comp = -25.1387 mrad, theta_setpoint = -40.0000 mrad, 
msg =  928, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18562 ms, ax = -0.3812, ay = -0.2649, az =  9.9447, gx =  0.0035 rad/s, gy =  0.0068 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9201 A, I_w_roll =  7.1885 A, theta_pitch = 34.31348mrad, theta_roll_comp = -25.0979 mrad, theta_setpoint = -40.0000 mrad, 
msg =  929, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18582 ms, ax = -0.3896, ay = -0.2601, az =  9.9543, gx =  0.0036 rad/s, gy =  0.0062 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9257 A, I_w_roll =  7.2537 A, theta_pitch = 34.52838mrad, theta_roll_comp = -25.0515 mrad, theta_setpoint = -40.0000 mrad, 
msg =  930, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18602 ms, ax = -0.3968, ay = -0.2613, az =  9.9459, gx =  0.0043 rad/s, gy =  0.0050 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9093 A, I_w_roll =  7.5090 A, theta_pitch = 34.73868mrad, theta_roll_comp = -24.9959 mrad, theta_setpoint = -40.0000 mrad, 
msg =  931, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18622 ms, ax = -0.4064, ay = -0.2637, az =  9.9363, gx =  0.0046 rad/s, gy =  0.0047 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9311 A, I_w_roll =  7.6261 A, theta_pitch = 34.95496mrad, theta_roll_comp = -24.9361 mrad, theta_setpoint = -40.0000 mrad, 
msg =  932, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18642 ms, ax = -0.4136, ay = -0.2733, az =  9.9495, gx =  0.0059 rad/s, gy =  0.0040 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9362 A, I_w_roll =  8.1171 A, theta_pitch = 35.16690mrad, theta_roll_comp = -24.8736 mrad, theta_setpoint = -40.0000 mrad, 
msg =  933, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18662 ms, ax = -0.4399, ay = -0.3033, az =  9.9483, gx =  0.0084 rad/s, gy =  0.0031 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9321 A, I_w_roll =  9.0267 A, theta_pitch = 35.38810mrad, theta_roll_comp = -24.8134 mrad, theta_setpoint = -40.0000 mrad, 
msg =  934, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18682 ms, ax = -0.4567, ay = -0.3476, az =  9.9339, gx =  0.0078 rad/s, gy =  0.0024 rad/s, gz = -0.0024 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9433 A, I_w_roll =  8.7888 A, theta_pitch = 35.64017mrad, theta_roll_comp = -24.8254 mrad, theta_setpoint = -40.0000 mrad, 
msg =  935, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18702 ms, ax = -0.4543, ay = -0.3416, az =  9.9387, gx =  0.0102 rad/s, gy =  0.0019 rad/s, gz =  0.0047 rad/s, rpm_pitch =  4.4978, rpm_roll = -0.0000, I_w_pitch = -1.0274 A, I_w_roll =  9.6311 A, theta_pitch = 35.88721mrad, theta_roll_comp = -24.8169 mrad, theta_setpoint = -40.0000 mrad, 
msg =  936, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18722 ms, ax = -0.4351, ay = -0.3392, az =  9.9638, gx =  0.0164 rad/s, gy =  0.0003 rad/s, gz =  0.0051 rad/s, rpm_pitch =  0.3057, rpm_roll = -0.0000, I_w_pitch = -6.5222 A, I_w_roll = 11.8569 A, theta_pitch = 36.08832mrad, theta_roll_comp = -24.7283 mrad, theta_setpoint = -40.0000 mrad, 
msg =  937, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18742 ms, ax = -0.4303, ay = -0.3512, az =  9.9686, gx =  0.0191 rad/s, gy =  0.0006 rad/s, gz = -0.0000 rad/s, rpm_pitch =  0.3057, rpm_roll = -0.0000, I_w_pitch = -6.5564 A, I_w_roll = 12.8474 A, theta_pitch = 36.24520mrad, theta_roll_comp = -24.5823 mrad, theta_setpoint = -40.0000 mrad, 
msg =  938, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18762 ms, ax = -0.4375, ay = -0.3656, az =  9.9459, gx =  0.0219 rad/s, gy =  0.0008 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9939 A, I_w_roll = 13.9006 A, theta_pitch = 36.40351mrad, theta_roll_comp = -24.3962 mrad, theta_setpoint = -40.0000 mrad, 
msg =  939, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18782 ms, ax = -0.4531, ay = -0.3560, az =  9.9531, gx =  0.0280 rad/s, gy = -0.0006 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9611 A, I_w_roll = 16.1527 A, theta_pitch = 36.57556mrad, theta_roll_comp = -24.1254 mrad, theta_setpoint = -40.0000 mrad, 
msg =  940, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18802 ms, ax = -0.4579, ay = -0.3488, az =  9.9519, gx =  0.0323 rad/s, gy = -0.0016 rad/s, gz = -0.0031 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9482 A, I_w_roll = 17.7903 A, theta_pitch = 36.73778mrad, theta_roll_comp = -23.7597 mrad, theta_setpoint = -40.0000 mrad, 
msg =  941, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18822 ms, ax = -0.4531, ay = -0.3308, az =  9.9327, gx =  0.0348 rad/s, gy = -0.0026 rad/s, gz =  0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.9257 A, I_w_roll = 18.8621 A, theta_pitch = 36.87199mrad, theta_roll_comp = -23.2938 mrad, theta_setpoint = -40.0000 mrad, 
msg =  942, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18842 ms, ax = -0.4615, ay = -0.3057, az =  9.9399, gx =  0.0384 rad/s, gy = -0.0038 rad/s, gz =  0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.8963 A, I_w_roll = 20.3428 A, theta_pitch = 36.99540mrad, theta_roll_comp = -22.7378 mrad, theta_setpoint = -40.0000 mrad, 
msg =  943, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18862 ms, ax = -0.4519, ay = -0.2625, az =  9.9615, gx =  0.0408 rad/s, gy = -0.0050 rad/s, gz =  0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.8609 A, I_w_roll = 21.4505 A, theta_pitch = 37.07897mrad, theta_roll_comp = -22.0656 mrad, theta_setpoint = -40.0000 mrad, 
msg =  944, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18882 ms, ax = -0.4567, ay = -0.2074, az =  9.9447, gx =  0.0420 rad/s, gy = -0.0064 rad/s, gz =  0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.8158 A, I_w_roll = 22.1883 A, theta_pitch = 37.13355mrad, theta_roll_comp = -21.2699 mrad, theta_setpoint = -40.0000 mrad, 
msg =  945, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18902 ms, ax = -0.4579, ay = -0.1426, az =  9.9507, gx =  0.0437 rad/s, gy = -0.0082 rad/s, gz =  0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.7463 A, I_w_roll = 23.1689 A, theta_pitch = 37.16744mrad, theta_roll_comp = -20.3330 mrad, theta_setpoint = -40.0000 mrad, 
msg =  946, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18922 ms, ax = -0.4507, ay = -0.0791, az =  9.9686, gx =  0.0436 rad/s, gy = -0.0102 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.6640 A, I_w_roll = 23.5435 A, theta_pitch = 37.15114mrad, theta_roll_comp = -19.2799 mrad, theta_setpoint = -40.0000 mrad, 
msg =  947, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18942 ms, ax = -0.4303, ay = -0.0408, az =  9.9638, gx =  0.0419 rad/s, gy = -0.0122 rad/s, gz = -0.0250 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.5708 A, I_w_roll = 23.3814 A, theta_pitch = 37.06256mrad, theta_roll_comp = -18.1706 mrad, theta_setpoint = -40.0000 mrad, 
msg =  948, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18962 ms, ax = -0.3872, ay =  0.0264, az =  9.9591, gx =  0.0409 rad/s, gy = -0.0134 rad/s, gz = -0.0398 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.4956 A, I_w_roll = 23.5241 A, theta_pitch = 36.88045mrad, theta_roll_comp = -16.9983 mrad, theta_setpoint = -40.0000 mrad, 
msg =  949, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    18982 ms, ax = -0.3249, ay =  0.0875, az =  9.9471, gx =  0.0415 rad/s, gy = -0.0150 rad/s, gz = -0.0683 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.3850 A, I_w_roll = 24.2199 A, theta_pitch = 36.56947mrad, theta_roll_comp = -15.7247 mrad, theta_setpoint = -40.0000 mrad, 
msg =  950, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19002 ms, ax = -0.2781, ay =  0.1235, az =  9.9459, gx =  0.0419 rad/s, gy = -0.0165 rad/s, gz = -0.1278 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.2598 A, I_w_roll = 24.8998 A, theta_pitch = 36.12557mrad, theta_roll_comp = -14.3745 mrad, theta_setpoint = -40.0000 mrad, 
msg =  951, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19022 ms, ax = -0.2254, ay =  0.1175, az =  9.9842, gx =  0.0420 rad/s, gy = -0.0187 rad/s, gz = -0.2361 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.0840 A, I_w_roll = 25.4901 A, theta_pitch = 35.55701mrad, theta_roll_comp = -13.0154 mrad, theta_setpoint = -40.0000 mrad, 
msg =  952, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19042 ms, ax = -0.1187, ay =  0.1007, az = 10.0058, gx =  0.0452 rad/s, gy = -0.0191 rad/s, gz = -0.3879 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.9563 A, I_w_roll = 27.1462 A, theta_pitch = 34.81216mrad, theta_roll_comp = -11.6713 mrad, theta_setpoint = -40.0000 mrad, 
msg =  953, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19062 ms, ax =  0.0144, ay =  0.1103, az =  9.9866, gx =  0.0492 rad/s, gy = -0.0155 rad/s, gz = -0.5635 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -5.9592 A, I_w_roll = 29.0898 A, theta_pitch = 33.87290mrad, theta_roll_comp = -10.3055 mrad, theta_setpoint = -39.9979 mrad, 
msg =  954, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19082 ms, ax =  0.1331, ay =  0.1379, az =  9.9722, gx =  0.0542 rad/s, gy = -0.0062 rad/s, gz = -0.7715 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -6.1731 A, I_w_roll = 31.4555 A, theta_pitch = 32.81332mrad, theta_roll_comp = -8.8187 mrad, theta_setpoint = -39.9979 mrad, 
msg =  955, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19102 ms, ax =  0.1738, ay =  0.1582, az =  9.9567, gx =  0.0612 rad/s, gy =  0.0066 rad/s, gz = -0.9883 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -6.5413 A, I_w_roll = 34.5277 A, theta_pitch = 31.85903mrad, theta_roll_comp = -7.1967 mrad, theta_setpoint = -39.9979 mrad, 
msg =  956, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19122 ms, ax =  0.1942, ay =  0.1630, az =  9.9722, gx =  0.0697 rad/s, gy =  0.0192 rad/s, gz = -1.1904 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -6.9365 A, I_w_roll = 38.2176 A, theta_pitch = 31.12084mrad, theta_roll_comp = -5.4286 mrad, theta_setpoint = -39.9979 mrad, 
msg =  957, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19142 ms, ax =  0.2038, ay =  0.1115, az =  9.9758, gx =  0.0785 rad/s, gy =  0.0335 rad/s, gz = -1.3949 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.4341 A, I_w_roll = 42.0408 A, theta_pitch = 30.63881mrad, theta_roll_comp = -3.5623 mrad, theta_setpoint = -40.0000 mrad, 
msg =  958, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19162 ms, ax =  0.1678, ay =  0.0695, az =  9.9579, gx =  0.0841 rad/s, gy =  0.0480 rad/s, gz = -1.5872 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.9911 A, I_w_roll = 44.7502 A, theta_pitch = 30.48150mrad, theta_roll_comp = -1.6822 mrad, theta_setpoint = -40.0000 mrad, 
msg =  959, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19182 ms, ax =  0.0635, ay = -0.0156, az =  9.9351, gx =  0.0907 rad/s, gy =  0.0604 rad/s, gz = -1.7499 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.5254 A, I_w_roll = 47.8084 A, theta_pitch = 30.74120mrad, theta_roll_comp =  0.1377 mrad, theta_setpoint = -40.0000 mrad, 
msg =  960, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19202 ms, ax = -0.0683, ay = -0.0995, az =  9.9686, gx =  0.1007 rad/s, gy =  0.0683 rad/s, gz = -1.8900 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9485 A, I_w_roll = 52.0212 A, theta_pitch = 31.43179mrad, theta_roll_comp =  1.9314 mrad, theta_setpoint = -40.0000 mrad, 
msg =  961, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19222 ms, ax = -0.1391, ay = -0.1714, az = 10.0238, gx =  0.1130 rad/s, gy =  0.0726 rad/s, gz = -2.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -9.2686 A, I_w_roll = 57.0451 A, theta_pitch = 32.42930mrad, theta_roll_comp =  3.7725 mrad, theta_setpoint = -40.0000 mrad, 
msg =  962, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19242 ms, ax = -0.1666, ay = -0.2350, az = 10.0286, gx =  0.1212 rad/s, gy =  0.0767 rad/s, gz = -2.1303 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -9.6058 A, I_w_roll = 60.6674 A, theta_pitch = 33.57684mrad, theta_roll_comp =  5.6044 mrad, theta_setpoint = -40.0000 mrad, 
msg =  963, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19262 ms, ax = -0.2206, ay = -0.2997, az =  9.9519, gx =  0.1288 rad/s, gy =  0.0811 rad/s, gz = -2.2389 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -9.9749 A, I_w_roll = 64.0533 A, theta_pitch = 34.86586mrad, theta_roll_comp =  7.4282 mrad, theta_setpoint = -40.0000 mrad, 
msg =  964, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19282 ms, ax = -0.3045, ay = -0.3560, az =  9.9243, gx =  0.1404 rad/s, gy =  0.0831 rad/s, gz = -2.3263 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -10.2763 A, I_w_roll = 68.8446 A, theta_pitch = 36.34212mrad, theta_roll_comp =  9.2702 mrad, theta_setpoint = -40.0000 mrad, 
msg =  965, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19302 ms, ax = -0.3057, ay = -0.3860, az = 10.0166, gx =  0.1466 rad/s, gy =  0.0845 rad/s, gz = -2.3877 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -10.5626 A, I_w_roll = 71.8056 A, theta_pitch = 37.89619mrad, theta_roll_comp = 11.1968 mrad, theta_setpoint = -40.0000 mrad, 
msg =  966, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19322 ms, ax = -0.3105, ay = -0.4315, az = 10.0693, gx =  0.1478 rad/s, gy =  0.0884 rad/s, gz = -2.4261 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -10.9572 A, I_w_roll = 72.9951 A, theta_pitch = 39.46131mrad, theta_roll_comp = 13.1218 mrad, theta_setpoint = -40.0000 mrad, 
msg =  967, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19342 ms, ax = -0.4339, ay = -0.4747, az =  9.9135, gx =  0.1516 rad/s, gy =  0.0896 rad/s, gz = -2.4162 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -11.2630 A, I_w_roll = 75.0171 A, theta_pitch = 41.18024mrad, theta_roll_comp = 14.9146 mrad, theta_setpoint = -40.0000 mrad, 
msg =  968, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19362 ms, ax = -0.5934, ay = -0.4735, az =  9.7768, gx =  0.1593 rad/s, gy =  0.0843 rad/s, gz = -2.3606 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -11.3439 A, I_w_roll = 78.4519 A, theta_pitch = 43.13981mrad, theta_roll_comp = 16.7440 mrad, theta_setpoint = -40.0000 mrad, 
msg =  969, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19382 ms, ax = -0.6797, ay = -0.4399, az =  9.9087, gx =  0.1653 rad/s, gy =  0.0765 rad/s, gz = -2.2760 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -11.3338 A, I_w_roll = 81.3298 A, theta_pitch = 45.16788mrad, theta_roll_comp = 18.6958 mrad, theta_setpoint = -40.0000 mrad, 
msg =  970, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19402 ms, ax = -0.6665, ay = -0.3776, az = 10.0214, gx =  0.1646 rad/s, gy =  0.0706 rad/s, gz = -2.1880 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -11.3860 A, I_w_roll = 81.9190 A, theta_pitch = 47.07801mrad, theta_roll_comp = 20.7512 mrad, theta_setpoint = -40.0000 mrad, 
msg =  971, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    19422 ms, ax = -0.6989, ay = -0.3117, az =  9.9710, gx =  0.1540 rad/s, gy =  0.0690 rad/s, gz = -2.1069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -11.5896 A, I_w_roll = 79.0013 A, theta_pitch = 48.86168mrad, theta_roll_comp = 22.7778 mrad, theta_setpoint = -40.0000 mrad, 
