picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =    6, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      122 ms, ax =  0.1558, ay =  0.0060, az =  9.9483, gx = -0.0138 rad/s, gy = -0.0050 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1111 A, I_w_roll = 10.6286 A, theta_pitch = -1.25275mrad, theta_roll_comp = -1.3514 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1958, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39162 ms, ax =  0.0192, ay = -0.3644, az =  9.9411, gx = -0.0047 rad/s, gy =  0.0532 rad/s, gz = -0.0015 rad/s, rpm_pitch =  1.3537, rpm_roll = -2.4064, I_w_pitch = -2.4398 A, I_w_roll = -2.9758 A, theta_pitch = 3.98987mrad, theta_roll_comp = -43.1339 mrad, theta_setpoint = -39.8489 mrad, 
msg = 1959, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39182 ms, ax =  0.0947, ay = -0.4208, az =  9.8907, gx = -0.0054 rad/s, gy =  0.0367 rad/s, gz =  0.0067 rad/s, rpm_pitch =  0.7860, rpm_roll =  4.3783, I_w_pitch = -2.6362 A, I_w_roll = -3.0773 A, theta_pitch = 4.71119mrad, theta_roll_comp = -43.2312 mrad, theta_setpoint = -40.2750 mrad, 
msg = 1960, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39202 ms, ax =  0.0767, ay = -0.4196, az =  9.9243, gx = -0.0067 rad/s, gy =  0.0199 rad/s, gz =  0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.0458 A, I_w_roll = -3.7045 A, theta_pitch = 5.00492mrad, theta_roll_comp = -43.3593 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1961, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39222 ms, ax =  0.0468, ay = -0.4375, az =  9.9638, gx = -0.0039 rad/s, gy =  0.0028 rad/s, gz =  0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.3667 A, I_w_roll = -2.7666 A, theta_pitch = 5.02291mrad, theta_roll_comp = -43.4612 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1962, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39242 ms, ax =  0.0683, ay = -0.4915, az =  9.9291, gx = -0.0041 rad/s, gy = -0.0147 rad/s, gz =  0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = -7.4532, I_w_pitch = -1.6093 A, I_w_roll = -3.0657 A, theta_pitch = 4.66076mrad, theta_roll_comp = -43.6245 mrad, theta_setpoint = -39.5319 mrad, 
msg = 1963, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39262 ms, ax =  0.0791, ay = -0.4687, az =  9.9219, gx = -0.0067 rad/s, gy = -0.0314 rad/s, gz = -0.0016 rad/s, rpm_pitch =  0.0000, rpm_roll = -7.4532, I_w_pitch = -0.8345 A, I_w_roll = -4.0634 A, theta_pitch = 3.93373mrad, theta_roll_comp = -43.7885 mrad, theta_setpoint = -39.5319 mrad, 
msg = 1964, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39282 ms, ax =  0.0911, ay = -0.4579, az =  9.9315, gx = -0.0016 rad/s, gy = -0.0486 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -13.3690, I_w_pitch =  0.0126 A, I_w_roll = -2.4412 A, theta_pitch = 2.86683mrad, theta_roll_comp = -43.9053 mrad, theta_setpoint = -39.1604 mrad, 
msg = 1965, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39302 ms, ax =  0.0587, ay = -0.4591, az =  9.9351, gx =  0.0000 rad/s, gy = -0.0644 rad/s, gz = -0.0154 rad/s, rpm_pitch =  0.0000, rpm_roll = -15.4412, I_w_pitch =  0.8467 A, I_w_roll = -1.9672 A, theta_pitch = 1.53138mrad, theta_roll_comp = -43.9884 mrad, theta_setpoint = -39.0303 mrad, 
msg = 1966, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39322 ms, ax =  0.0384, ay = -0.4471, az =  9.9375, gx = -0.0014 rad/s, gy = -0.0761 rad/s, gz = -0.0177 rad/s, rpm_pitch =  0.0000, rpm_roll = -15.4412, I_w_pitch =  1.5466 A, I_w_roll = -2.4834 A, theta_pitch = -0.00976mrad, theta_roll_comp = -43.9972 mrad, theta_setpoint = -39.0303 mrad, 
msg = 1967, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39342 ms, ax =  0.0240, ay = -0.4315, az =  9.9615, gx =  0.0022 rad/s, gy = -0.0848 rad/s, gz = -0.0185 rad/s, rpm_pitch =  0.0000, rpm_roll = -20.9893, I_w_pitch =  2.1427 A, I_w_roll = -1.3534 A, theta_pitch = -1.67541mrad, theta_roll_comp = -43.9695 mrad, theta_setpoint = -38.6819 mrad, 
msg = 1968, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39362 ms, ax = -0.0096, ay = -0.4279, az =  9.9579, gx =  0.0018 rad/s, gy = -0.0886 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = -20.9893, I_w_pitch =  2.5508 A, I_w_roll = -1.4822 A, theta_pitch = -3.36643mrad, theta_roll_comp = -43.9421 mrad, theta_setpoint = -38.6819 mrad, 
msg = 1969, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39382 ms, ax = -0.0048, ay = -0.4339, az =  9.9746, gx =  0.0004 rad/s, gy = -0.0869 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -24.7326, I_w_pitch =  2.7318 A, I_w_roll = -2.0072 A, theta_pitch = -5.03477mrad, theta_roll_comp = -43.8543 mrad, theta_setpoint = -38.4468 mrad, 
msg = 1970, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39402 ms, ax = -0.0288, ay = -0.4303, az =  9.9806, gx =  0.0052 rad/s, gy = -0.0816 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.1056, I_w_pitch =  2.7442 A, I_w_roll = -0.3518 A, theta_pitch = -6.53811mrad, theta_roll_comp = -43.7611 mrad, theta_setpoint = -38.2978 mrad, 
msg = 1971, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39422 ms, ax = -0.0468, ay = -0.4184, az =  9.9447, gx = -0.0022 rad/s, gy = -0.0721 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.1056, I_w_pitch =  2.5609 A, I_w_roll = -2.9432 A, theta_pitch = -7.83667mrad, theta_roll_comp = -43.7152 mrad, theta_setpoint = -38.2978 mrad, 
msg = 1972, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39442 ms, ax = -0.0348, ay = -0.3668, az =  9.9926, gx = -0.0016 rad/s, gy = -0.0617 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -29.9799, I_w_pitch =  2.3095 A, I_w_roll = -2.7384 A, theta_pitch = -8.93062mrad, theta_roll_comp = -43.6050 mrad, theta_setpoint = -38.1173 mrad, 
msg = 1973, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39462 ms, ax = -0.0264, ay = -0.4208, az =  9.9854, gx =  0.0050 rad/s, gy = -0.0518 rad/s, gz = -0.0137 rad/s, rpm_pitch =  1.3100, rpm_roll = -29.9799, I_w_pitch =  3.7685 A, I_w_roll = -0.4244 A, theta_pitch = -9.80266mrad, theta_roll_comp = -43.5292 mrad, theta_setpoint = -38.1173 mrad, 
msg = 1974, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39482 ms, ax = -0.0036, ay = -0.4303, az =  9.9674, gx = -0.0018 rad/s, gy = -0.0424 rad/s, gz = -0.0140 rad/s, rpm_pitch =  1.3100, rpm_roll = -33.2219, I_w_pitch =  3.5010 A, I_w_roll = -2.8739 A, theta_pitch = -10.50480mrad, theta_roll_comp = -43.5073 mrad, theta_setpoint = -37.9137 mrad, 
msg = 1975, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39502 ms, ax = -0.0491, ay = -0.3656, az = 10.0310, gx = -0.0009 rad/s, gy = -0.0307 rad/s, gz = -0.0161 rad/s, rpm_pitch =  0.7424, rpm_roll = -34.7259, I_w_pitch =  2.3489 A, I_w_roll = -2.5543 A, theta_pitch = -10.93983mrad, theta_roll_comp = -43.4294 mrad, theta_setpoint = -37.8192 mrad, 
msg = 1976, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39522 ms, ax = -0.0695, ay = -0.3944, az = 10.0226, gx =  0.0046 rad/s, gy = -0.0138 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.7424, rpm_roll = -34.7259, I_w_pitch =  1.6897 A, I_w_roll = -0.6019 A, theta_pitch = -11.05450mrad, theta_roll_comp = -43.3254 mrad, theta_setpoint = -37.8192 mrad, 
msg = 1977, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39542 ms, ax = -0.0384, ay = -0.4495, az =  9.9950, gx = -0.0006 rad/s, gy =  0.0042 rad/s, gz = -0.0226 rad/s, rpm_pitch =  0.0000, rpm_roll = -37.5000, I_w_pitch = -0.0379 A, I_w_roll = -2.4733 A, theta_pitch = -10.85778mrad, theta_roll_comp = -43.2857 mrad, theta_setpoint = -37.6450 mrad, 
msg = 1978, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39562 ms, ax = -0.0132, ay = -0.4160, az = 10.0202, gx =  0.0010 rad/s, gy =  0.0169 rad/s, gz = -0.0238 rad/s, rpm_pitch =  0.0000, rpm_roll = -40.2406, I_w_pitch = -0.6224 A, I_w_roll = -1.9519 A, theta_pitch = -10.36985mrad, theta_roll_comp = -43.2081 mrad, theta_setpoint = -37.4729 mrad, 
msg = 1979, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39582 ms, ax =  0.0575, ay = -0.4423, az =  9.9818, gx =  0.0060 rad/s, gy =  0.0227 rad/s, gz = -0.0253 rad/s, rpm_pitch =  0.0000, rpm_roll = -40.2406, I_w_pitch = -0.9395 A, I_w_roll = -0.1322 A, theta_pitch = -9.78243mrad, theta_roll_comp = -43.0862 mrad, theta_setpoint = -37.4729 mrad, 
msg = 1980, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39602 ms, ax =  0.0827, ay = -0.4819, az =  9.9471, gx =  0.0007 rad/s, gy =  0.0205 rad/s, gz = -0.0217 rad/s, rpm_pitch =  0.0000, rpm_roll = -42.1791, I_w_pitch = -0.9259 A, I_w_roll = -2.0232 A, theta_pitch = -9.30530mrad, theta_roll_comp = -43.0316 mrad, theta_setpoint = -37.3512 mrad, 
msg = 1981, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39622 ms, ax =  0.0875, ay = -0.3896, az =  9.9830, gx =  0.0014 rad/s, gy =  0.0127 rad/s, gz = -0.0196 rad/s, rpm_pitch =  0.0000, rpm_roll = -42.1791, I_w_pitch = -0.6610 A, I_w_roll = -1.7556 A, theta_pitch = -8.97597mrad, theta_roll_comp = -42.9451 mrad, theta_setpoint = -37.3512 mrad, 
msg = 1982, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39642 ms, ax =  0.1103, ay = -0.4100, az =  9.9638, gx =  0.0063 rad/s, gy =  0.0011 rad/s, gz = -0.0177 rad/s, rpm_pitch =  5.7642, rpm_roll = -44.5187, I_w_pitch =  7.3866 A, I_w_roll = -0.0525 A, theta_pitch = -8.85885mrad, theta_roll_comp = -42.8515 mrad, theta_setpoint = -37.2042 mrad, 
msg = 1983, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39662 ms, ax =  0.1199, ay = -0.4112, az =  9.9447, gx =  0.0015 rad/s, gy = -0.0089 rad/s, gz = -0.0148 rad/s, rpm_pitch =  2.1397, rpm_roll = -45.8222, I_w_pitch =  3.0275 A, I_w_roll = -1.7305 A, theta_pitch = -9.00093mrad, theta_roll_comp = -42.7703 mrad, theta_setpoint = -37.1224 mrad, 
msg = 1984, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39682 ms, ax = -0.1846, ay = -0.3632, az = 10.0130, gx = -0.0061 rad/s, gy =  0.0019 rad/s, gz = -0.0133 rad/s, rpm_pitch =  2.1397, rpm_roll = -45.8222, I_w_pitch =  2.5647 A, I_w_roll = -4.3720 A, theta_pitch = -8.79228mrad, theta_roll_comp = -42.7328 mrad, theta_setpoint = -37.1224 mrad, 
msg = 1985, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39702 ms, ax =  0.0048, ay = -0.4004, az = 10.0406, gx =  0.0091 rad/s, gy =  0.0329 rad/s, gz = -0.0288 rad/s, rpm_pitch =  0.0000, rpm_roll = -47.7941, I_w_pitch = -1.5915 A, I_w_roll =  0.9584 A, theta_pitch = -8.16995mrad, theta_roll_comp = -42.5651 mrad, theta_setpoint = -36.9985 mrad, 
msg = 1986, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39722 ms, ax = -0.1079, ay = -0.4987, az =  9.9962, gx =  0.0079 rad/s, gy =  0.0568 rad/s, gz = -0.0353 rad/s, rpm_pitch =  0.0000, rpm_roll = -47.7941, I_w_pitch = -2.7261 A, I_w_roll =  0.5755 A, theta_pitch = -6.96177mrad, theta_roll_comp = -42.4739 mrad, theta_setpoint = -36.9985 mrad, 
msg = 1987, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39742 ms, ax = -0.0240, ay = -0.4531, az =  9.9938, gx = -0.0010 rad/s, gy =  0.0693 rad/s, gz = -0.0409 rad/s, rpm_pitch =  0.0000, rpm_roll = -50.4345, I_w_pitch = -3.4514 A, I_w_roll = -2.5607 A, theta_pitch = -5.46395mrad, theta_roll_comp = -42.3424 mrad, theta_setpoint = -36.8327 mrad, 
msg = 1988, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39762 ms, ax =  0.0156, ay = -0.3932, az = 10.0010, gx =  0.0087 rad/s, gy =  0.0651 rad/s, gz = -0.0438 rad/s, rpm_pitch =  5.3712, rpm_roll = -51.9719, I_w_pitch =  3.5778 A, I_w_roll =  0.8716 A, theta_pitch = -4.00107mrad, theta_roll_comp = -42.1704 mrad, theta_setpoint = -36.7362 mrad, 
msg = 1989, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39782 ms, ax =  0.0479, ay = -0.4579, az =  9.9135, gx =  0.0039 rad/s, gy =  0.0556 rad/s, gz = -0.0395 rad/s, rpm_pitch =  5.3712, rpm_roll = -51.9719, I_w_pitch =  3.7804 A, I_w_roll = -0.7669 A, theta_pitch = -2.79546mrad, theta_roll_comp = -42.0722 mrad, theta_setpoint = -36.7362 mrad, 
msg = 1990, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39802 ms, ax = -0.0444, ay = -0.3021, az =  9.9267, gx = -0.0063 rad/s, gy =  0.0501 rad/s, gz = -0.0316 rad/s, rpm_pitch =  0.1747, rpm_roll = -53.4091, I_w_pitch = -3.0307 A, I_w_roll = -4.3689 A, theta_pitch = -1.62001mrad, theta_roll_comp = -42.0157 mrad, theta_setpoint = -36.6459 mrad, 
msg = 1991, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39822 ms, ax = -0.0827, ay = -0.2949, az =  9.9998, gx =  0.0040 rad/s, gy =  0.0585 rad/s, gz = -0.0322 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.4091, I_w_pitch = -3.7817 A, I_w_roll = -0.6996 A, theta_pitch = -0.38605mrad, theta_roll_comp = -41.9302 mrad, theta_setpoint = -36.6459 mrad, 
msg = 1992, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39842 ms, ax =  0.0515, ay = -0.3704, az =  9.9447, gx =  0.0088 rad/s, gy =  0.0667 rad/s, gz = -0.0328 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.4091, I_w_pitch = -4.3116 A, I_w_roll =  1.0174 A, theta_pitch = 0.94524mrad, theta_roll_comp = -41.8320 mrad, theta_setpoint = -36.6459 mrad, 
msg = 1993, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39862 ms, ax =  0.0611, ay = -0.4447, az =  9.8967, gx = -0.0034 rad/s, gy =  0.0618 rad/s, gz = -0.0254 rad/s, rpm_pitch =  2.3581, rpm_roll = -54.9465, I_w_pitch = -1.1808 A, I_w_roll = -3.3202 A, theta_pitch = 2.11888mrad, theta_roll_comp = -41.8605 mrad, theta_setpoint = -36.5494 mrad, 
msg = 1994, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39882 ms, ax =  0.1019, ay = -0.4471, az =  9.9087, gx =  0.0016 rad/s, gy =  0.0468 rad/s, gz = -0.0217 rad/s, rpm_pitch =  0.0873, rpm_roll = -54.9799, I_w_pitch = -3.6996 A, I_w_roll = -1.5517 A, theta_pitch = 2.95926mrad, theta_roll_comp = -41.8646 mrad, theta_setpoint = -36.5473 mrad, 
msg = 1995, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39902 ms, ax =  0.0935, ay = -0.4723, az =  9.9027, gx =  0.0039 rad/s, gy =  0.0293 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0873, rpm_roll = -54.9799, I_w_pitch = -3.0781 A, I_w_roll = -0.7583 A, theta_pitch = 3.46707mrad, theta_roll_comp = -41.8617 mrad, theta_setpoint = -36.5473 mrad, 
msg = 1996, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39922 ms, ax =  0.0935, ay = -0.4567, az =  9.9363, gx = -0.0021 rad/s, gy =  0.0140 rad/s, gz = -0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.4479, I_w_pitch = -2.5954 A, I_w_roll = -2.8524 A, theta_pitch = 3.56509mrad, theta_roll_comp = -41.8248 mrad, theta_setpoint = -36.5179 mrad, 
msg = 1997, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39942 ms, ax =  0.0420, ay = -0.3596, az =  9.9890, gx =  0.0028 rad/s, gy = -0.0045 rad/s, gz = -0.0007 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.3476, I_w_pitch = -1.8381 A, I_w_roll = -1.1103 A, theta_pitch = 3.45170mrad, theta_roll_comp = -41.7867 mrad, theta_setpoint = -36.5242 mrad, 
msg = 1998, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39962 ms, ax =  0.0995, ay = -0.4220, az =  9.8931, gx =  0.0036 rad/s, gy = -0.0233 rad/s, gz =  0.0037 rad/s, rpm_pitch =  5.7205, rpm_roll = -54.7460, I_w_pitch =  6.5283 A, I_w_roll = -0.8294 A, theta_pitch = 2.97737mrad, theta_roll_comp = -41.8213 mrad, theta_setpoint = -36.5620 mrad, 
msg = 1999, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    39982 ms, ax =  0.0707, ay = -0.3392, az =  9.8883, gx = -0.0017 rad/s, gy = -0.0403 rad/s, gz =  0.0069 rad/s, rpm_pitch =  1.2664, rpm_roll = -54.7460, I_w_pitch =  1.4681 A, I_w_roll = -2.7149 A, theta_pitch = 2.09569mrad, theta_roll_comp = -41.8746 mrad, theta_setpoint = -36.5620 mrad, 
msg = 2000, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40002 ms, ax =  0.0312, ay = -0.3572, az =  9.9854, gx =  0.0006 rad/s, gy = -0.0432 rad/s, gz =  0.0045 rad/s, rpm_pitch =  1.2664, rpm_roll = -55.6150, I_w_pitch =  1.7183 A, I_w_roll = -1.9490 A, theta_pitch = 1.20940mrad, theta_roll_comp = -41.8860 mrad, theta_setpoint = -36.5074 mrad, 
msg = 2001, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40022 ms, ax = -0.0288, ay = -0.5155, az =  9.9818, gx =  0.0130 rad/s, gy = -0.0298 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.9158, I_w_pitch = -0.3551 A, I_w_roll =  2.3850 A, theta_pitch = 0.31133mrad, theta_roll_comp = -41.8674 mrad, theta_setpoint = -36.4885 mrad, 
msg = 2002, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40042 ms, ax = -0.0839, ay = -0.5059, az =  9.9111, gx =  0.0031 rad/s, gy = -0.0214 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.9158, I_w_pitch = -0.6169 A, I_w_roll = -1.0659 A, theta_pitch = -0.18024mrad, theta_roll_comp = -41.8729 mrad, theta_setpoint = -36.4885 mrad, 
msg = 2003, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40062 ms, ax = -0.0396, ay = -0.4567, az =  9.9698, gx =  0.0050 rad/s, gy = -0.0198 rad/s, gz = -0.0180 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.6872, I_w_pitch = -0.6321 A, I_w_roll = -0.4051 A, theta_pitch = -0.50494mrad, theta_roll_comp = -41.7408 mrad, theta_setpoint = -36.3772 mrad, 
msg = 2004, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40082 ms, ax = -0.0036, ay = -0.4507, az =  9.9567, gx =  0.0116 rad/s, gy = -0.0246 rad/s, gz = -0.0190 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.6872, I_w_pitch = -0.3797 A, I_w_roll =  1.9851 A, theta_pitch = -0.90948mrad, theta_roll_comp = -41.5908 mrad, theta_setpoint = -36.3772 mrad, 
msg = 2005, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40102 ms, ax =  0.0096, ay = -0.4723, az =  9.8871, gx = -0.0006 rad/s, gy = -0.0295 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.6230, I_w_pitch = -0.1058 A, I_w_roll = -2.3001 A, theta_pitch = -1.42144mrad, theta_roll_comp = -41.5261 mrad, theta_setpoint = -36.3185 mrad, 
msg = 2006, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40122 ms, ax =  0.0515, ay = -0.4531, az =  9.9147, gx =  0.0006 rad/s, gy = -0.0392 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.7901, I_w_pitch =  0.3960 A, I_w_roll = -1.8641 A, theta_pitch = -2.17496mrad, theta_roll_comp = -41.4742 mrad, theta_setpoint = -36.3080 mrad, 
msg = 2007, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40142 ms, ax =  0.0515, ay = -0.4064, az =  9.9135, gx =  0.0103 rad/s, gy = -0.0490 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.7901, I_w_pitch =  0.9228 A, I_w_roll =  1.5807 A, theta_pitch = -3.09480mrad, theta_roll_comp = -41.3675 mrad, theta_setpoint = -36.3080 mrad, 
msg = 2008, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40162 ms, ax =  0.0695, ay = -0.4279, az =  9.8955, gx =  0.0038 rad/s, gy = -0.0556 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.2580, I_w_pitch =  1.3568 A, I_w_roll = -0.6799 A, theta_pitch = -4.21264mrad, theta_roll_comp = -41.2805 mrad, theta_setpoint = -36.2786 mrad, 
msg = 2009, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40182 ms, ax =  0.0420, ay = -0.3117, az =  9.9746, gx =  0.0062 rad/s, gy = -0.0631 rad/s, gz = -0.0024 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.2580, I_w_pitch =  1.8363 A, I_w_roll =  0.2118 A, theta_pitch = -5.42054mrad, theta_roll_comp = -41.1485 mrad, theta_setpoint = -36.2786 mrad, 
msg = 2010, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40202 ms, ax =  0.0563, ay = -0.3800, az =  9.9531, gx =  0.0131 rad/s, gy = -0.0697 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.4586, I_w_pitch =  2.2952 A, I_w_roll =  2.6987 A, theta_pitch = -6.70486mrad, theta_roll_comp = -40.9771 mrad, theta_setpoint = -36.2660 mrad, 
msg = 2011, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40222 ms, ax =  0.0204, ay = -0.4064, az =  9.9291, gx =  0.0071 rad/s, gy = -0.0732 rad/s, gz = -0.0019 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.1578, I_w_pitch =  2.6392 A, I_w_roll =  0.6869 A, theta_pitch = -8.07506mrad, theta_roll_comp = -40.7827 mrad, theta_setpoint = -36.2849 mrad, 
msg = 2012, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40242 ms, ax =  0.0264, ay = -0.3213, az =  9.9806, gx =  0.0056 rad/s, gy = -0.0747 rad/s, gz = -0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.1578, I_w_pitch =  2.9039 A, I_w_roll =  0.2585 A, theta_pitch = -9.44932mrad, theta_roll_comp = -40.5721 mrad, theta_setpoint = -36.2849 mrad, 
msg = 2013, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40262 ms, ax =  0.0240, ay = -0.3536, az =  9.9686, gx =  0.0124 rad/s, gy = -0.0739 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.6230, I_w_pitch =  3.0725 A, I_w_roll =  2.7527 A, theta_pitch = -10.78627mrad, theta_roll_comp = -40.3122 mrad, theta_setpoint = -36.3185 mrad, 
msg = 2014, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40282 ms, ax = -0.0048, ay = -0.3728, az =  9.9710, gx =  0.0068 rad/s, gy = -0.0671 rad/s, gz = -0.0129 rad/s, rpm_pitch =  4.7162, rpm_roll = -58.6230, I_w_pitch =  9.2015 A, I_w_roll =  0.8912 A, theta_pitch = -11.99250mrad, theta_roll_comp = -40.0724 mrad, theta_setpoint = -36.3185 mrad, 
msg = 2015, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40302 ms, ax = -0.0120, ay = -0.3488, az = 10.0178, gx =  0.0040 rad/s, gy = -0.0559 rad/s, gz = -0.0182 rad/s, rpm_pitch =  4.7162, rpm_roll = -57.5201, I_w_pitch =  8.8993 A, I_w_roll =  0.0146 A, theta_pitch = -12.96050mrad, theta_roll_comp = -39.8865 mrad, theta_setpoint = -36.3877 mrad, 
msg = 2016, nerr =    8p/  10r, time steps =   10, qsz =    2, switch = on, t =    40322 ms, ax = -0.2218, ay = -0.3344, az = 10.0585, gx =  0.0026 rad/s, gy = -0.0262 rad/s, gz = -0.0217 rad/s, rpm_pitch =  0.2183, rpm_roll = -56.2166, I_w_pitch =  1.8295 A, I_w_roll = -0.3773 A, theta_pitch = -13.29149mrad, theta_roll_comp = -39.6665 mrad, theta_setpoint = -36.4696 mrad, 
