picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0000 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad 
msg =  119, time steps =   10, qsz =    2, switch = on, t =     2382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5598, ay = -0.5958, az =  9.9099, gx = -0.0155 rad/s, gy =  0.0012 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = 3307, I_w_pitch = -0.0000 A, I_w_roll =  6.5787 A, theta_roll_comp = -63.6420 mrad 
msg =  120, time steps =   10, qsz =    2, switch = on, t =     2402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5179, ay = -0.6126, az =  9.8859, gx = -0.0161 rad/s, gy =  0.0006 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = 3561, I_w_pitch = -0.0000 A, I_w_roll =  6.7150 A, theta_roll_comp = -63.8947 mrad 
msg =  121, time steps =   10, qsz =    2, switch = on, t =     2422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5730, ay = -0.5850, az =  9.9099, gx = -0.0194 rad/s, gy =  0.0008 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = 3697, I_w_pitch = -0.0000 A, I_w_roll =  7.3685 A, theta_roll_comp = -64.2338 mrad 
msg =  122, time steps =   10, qsz =    2, switch = on, t =     2442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6581, ay = -0.5670, az =  9.9387, gx = -0.0218 rad/s, gy =  0.0002 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = 3697, I_w_pitch = -0.0000 A, I_w_roll =  7.8445 A, theta_roll_comp = -64.5129 mrad 
msg =  123, time steps =   10, qsz =    2, switch = on, t =     2462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5958, ay = -0.6317, az =  9.9207, gx = -0.0215 rad/s, gy =  0.0010 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = 3978, I_w_pitch = -0.0000 A, I_w_roll =  7.8640 A, theta_roll_comp = -64.9338 mrad 
msg =  124, time steps =   10, qsz =    2, switch = on, t =     2482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.6941, az =  9.9159, gx = -0.0234 rad/s, gy =  0.0016 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = 3978, I_w_pitch = -0.0000 A, I_w_roll =  8.2753 A, theta_roll_comp = -65.4074 mrad 
msg =  125, time steps =   10, qsz =    2, switch = on, t =     2502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5358, ay = -0.7924, az =  9.9135, gx = -0.0227 rad/s, gy =  0.0015 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = 4301, I_w_pitch = -0.0000 A, I_w_roll =  8.2644 A, theta_roll_comp = -66.0882 mrad 
msg =  126, time steps =   10, qsz =    2, switch = on, t =     2522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.7324, az =  9.9279, gx = -0.0199 rad/s, gy =  0.0006 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = 4477, I_w_pitch = -0.0000 A, I_w_roll =  7.8571 A, theta_roll_comp = -66.6884 mrad 
msg =  127, time steps =   10, qsz =    2, switch = on, t =     2542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5370, ay = -0.7684, az =  9.9063, gx = -0.0179 rad/s, gy = -0.0004 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = 4477, I_w_pitch = -0.0000 A, I_w_roll =  7.5845 A, theta_roll_comp = -67.2315 mrad 
msg =  128, time steps =   10, qsz =    2, switch = on, t =     2562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5538, ay = -0.7696, az =  9.9315, gx = -0.0165 rad/s, gy = -0.0006 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = 4865, I_w_pitch = -0.0000 A, I_w_roll =  7.4070 A, theta_roll_comp = -67.7703 mrad 
msg =  129, time steps =   10, qsz =    2, switch = on, t =     2582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6126, ay = -0.8187, az =  9.9159, gx = -0.0131 rad/s, gy = -0.0002 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = 5266, I_w_pitch = -0.0000 A, I_w_roll =  6.8878 A, theta_roll_comp = -68.2702 mrad 
msg =  130, time steps =   10, qsz =    2, switch = on, t =     2602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6341, ay = -0.7852, az =  9.9255, gx = -0.0109 rad/s, gy = -0.0001 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll = 5266, I_w_pitch = -0.0000 A, I_w_roll =  6.5558 A, theta_roll_comp = -68.7419 mrad 
msg =  131, time steps =   10, qsz =    2, switch = on, t =     2622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6473, ay = -0.8595, az =  9.9375, gx = -0.0086 rad/s, gy =  0.0019 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = 5459, I_w_pitch = -0.0000 A, I_w_roll =  6.2225 A, theta_roll_comp = -69.2054 mrad 
msg =  132, time steps =   10, qsz =    2, switch = on, t =     2642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6389, ay = -0.8883, az =  9.9231, gx = -0.0049 rad/s, gy =  0.0032 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 5459, I_w_pitch = -0.0000 A, I_w_roll =  5.6276 A, theta_roll_comp = -69.6812 mrad 
msg =  133, time steps =   10, qsz =    2, switch = on, t =     2662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.8499, az =  9.9267, gx = -0.0001 rad/s, gy =  0.0047 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = 5809, I_w_pitch = -0.0000 A, I_w_roll =  4.8198 A, theta_roll_comp = -70.0251 mrad 
msg =  134, time steps =   10, qsz =    2, switch = on, t =     2682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5682, ay = -0.8595, az =  9.9087, gx =  0.0024 rad/s, gy =  0.0050 rad/s, gz = -0.0032 rad/s, erpm_pitch =    0, erpm_roll = 5961, I_w_pitch = -0.0000 A, I_w_roll =  4.4023 A, theta_roll_comp = -70.2620 mrad 
msg =  135, time steps =   10, qsz =    2, switch = on, t =     2702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5454, ay = -0.7444, az =  9.9363, gx =  0.0036 rad/s, gy =  0.0044 rad/s, gz = -0.0080 rad/s, erpm_pitch =    0, erpm_roll = 5961, I_w_pitch = -0.0000 A, I_w_roll =  4.1963 A, theta_roll_comp = -70.3227 mrad 
msg =  136, time steps =   10, qsz =    2, switch = on, t =     2722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4459, ay = -0.7025, az =  9.8895, gx =  0.0052 rad/s, gy =  0.0038 rad/s, gz = -0.0112 rad/s, erpm_pitch =    0, erpm_roll = 6220, I_w_pitch = -0.0000 A, I_w_roll =  3.8892 A, theta_roll_comp = -70.2009 mrad 
msg =  137, time steps =   10, qsz =    2, switch = on, t =     2742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4615, ay = -0.6401, az =  9.9087, gx =  0.0047 rad/s, gy =  0.0004 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll = 6220, I_w_pitch = -0.0000 A, I_w_roll =  3.9549 A, theta_roll_comp = -70.0124 mrad 
msg =  138, time steps =   10, qsz =    2, switch = on, t =     2762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5922, ay = -0.6425, az =  9.9279, gx =  0.0043 rad/s, gy =  0.0000 rad/s, gz =  0.0072 rad/s, erpm_pitch =    0, erpm_roll = 6389, I_w_pitch = -0.0000 A, I_w_roll =  3.9927 A, theta_roll_comp = -69.7993 mrad 
msg =  139, time steps =   10, qsz =    2, switch = on, t =     2782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5454, ay = -0.6173, az =  9.9615, gx =  0.0040 rad/s, gy =  0.0003 rad/s, gz =  0.0114 rad/s, erpm_pitch =    0, erpm_roll = 6453, I_w_pitch = -0.0000 A, I_w_roll =  4.0171 A, theta_roll_comp = -69.6522 mrad 
msg =  140, time steps =   10, qsz =    2, switch = on, t =     2802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6233, ay = -0.6509, az =  9.9267, gx =  0.0027 rad/s, gy =  0.0003 rad/s, gz =  0.0073 rad/s, erpm_pitch =    0, erpm_roll = 6453, I_w_pitch = -0.0000 A, I_w_roll =  4.2312 A, theta_roll_comp = -69.4921 mrad 
msg =  141, time steps =   10, qsz =    2, switch = on, t =     2822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6090, ay = -0.6006, az =  9.9219, gx =  0.0011 rad/s, gy =  0.0004 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = 6547, I_w_pitch = -0.0000 A, I_w_roll =  4.4896 A, theta_roll_comp = -69.3099 mrad 
msg =  142, time steps =   10, qsz =    2, switch = on, t =     2842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6329, ay = -0.6090, az =  9.9135, gx = -0.0012 rad/s, gy =  0.0018 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll = 6547, I_w_pitch = -0.0000 A, I_w_roll =  4.8731 A, theta_roll_comp = -69.1603 mrad 
msg =  143, time steps =   10, qsz =    2, switch = on, t =     2862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5538, ay = -0.5802, az =  9.9435, gx = -0.0039 rad/s, gy =  0.0043 rad/s, gz = -0.0121 rad/s, erpm_pitch =    0, erpm_roll = 6632, I_w_pitch = -0.0000 A, I_w_roll =  5.3547 A, theta_roll_comp = -69.0243 mrad 
msg =  144, time steps =   10, qsz =    2, switch = on, t =     2882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4867, ay = -0.5658, az =  9.9698, gx = -0.0079 rad/s, gy =  0.0055 rad/s, gz = -0.0056 rad/s, erpm_pitch =    0, erpm_roll = 6675, I_w_pitch = -0.0000 A, I_w_roll =  6.0616 A, theta_roll_comp = -68.9482 mrad 
msg =  145, time steps =   10, qsz =    2, switch = on, t =     2902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5059, ay = -0.6281, az =  9.9183, gx = -0.0086 rad/s, gy =  0.0036 rad/s, gz =  0.0053 rad/s, erpm_pitch =    0, erpm_roll = 6675, I_w_pitch = -0.0000 A, I_w_roll =  6.1918 A, theta_roll_comp = -69.0135 mrad 
msg =  146, time steps =   10, qsz =    2, switch = on, t =     2922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5059, ay = -0.6689, az =  9.8703, gx = -0.0091 rad/s, gy =  0.0020 rad/s, gz =  0.0093 rad/s, erpm_pitch =    0, erpm_roll = 6806, I_w_pitch = -0.0000 A, I_w_roll =  6.3112 A, theta_roll_comp = -69.1604 mrad 
msg =  147, time steps =   10, qsz =    2, switch = on, t =     2942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5250, ay = -0.6209, az =  9.8871, gx = -0.0102 rad/s, gy = -0.0004 rad/s, gz =  0.0059 rad/s, erpm_pitch =    0, erpm_roll = 6806, I_w_pitch = -0.0000 A, I_w_roll =  6.5232 A, theta_roll_comp = -69.2870 mrad 
msg =  148, time steps =   10, qsz =    2, switch = on, t =     2962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5322, ay = -0.5754, az =  9.9399, gx = -0.0117 rad/s, gy = -0.0016 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = 7000, I_w_pitch = -0.0000 A, I_w_roll =  6.7965 A, theta_roll_comp = -69.3473 mrad 
msg =  149, time steps =   10, qsz =    2, switch = on, t =     2982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6809, ay = -0.5826, az =  9.9063, gx = -0.0141 rad/s, gy = -0.0028 rad/s, gz = -0.0051 rad/s, erpm_pitch =    0, erpm_roll = 7120, I_w_pitch = -0.0000 A, I_w_roll =  7.2398 A, theta_roll_comp = -69.4215 mrad 
msg =  150, time steps =   10, qsz =    2, switch = on, t =     3002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6773, ay = -0.6473, az =  9.9423, gx = -0.0159 rad/s, gy = -0.0014 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = 7120, I_w_pitch = -0.0000 A, I_w_roll =  7.6069 A, theta_roll_comp = -69.6190 mrad 
msg =  151, time steps =   10, qsz =    2, switch = on, t =     3022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5886, ay = -0.7336, az =  9.9327, gx = -0.0166 rad/s, gy =  0.0015 rad/s, gz =  0.0099 rad/s, erpm_pitch =    0, erpm_roll = 7406, I_w_pitch = -0.0000 A, I_w_roll =  7.7764 A, theta_roll_comp = -69.9294 mrad 
msg =  152, time steps =   10, qsz =    2, switch = on, t =     3042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6054, ay = -0.6341, az =  9.9315, gx = -0.0167 rad/s, gy =  0.0024 rad/s, gz =  0.0141 rad/s, erpm_pitch =    0, erpm_roll = 7564, I_w_pitch = -0.0000 A, I_w_roll =  7.8467 A, theta_roll_comp = -70.2189 mrad 
msg =  153, time steps =   10, qsz =    2, switch = on, t =     3062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6437, ay = -0.6413, az =  9.9075, gx = -0.0183 rad/s, gy =  0.0027 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll = 7564, I_w_pitch = -0.0000 A, I_w_roll =  8.1819 A, theta_roll_comp = -70.5162 mrad 
msg =  154, time steps =   10, qsz =    2, switch = on, t =     3082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6461, ay = -0.5730, az =  9.9135, gx = -0.0197 rad/s, gy =  0.0022 rad/s, gz = -0.0165 rad/s, erpm_pitch =    0, erpm_roll = 7922, I_w_pitch = -0.0000 A, I_w_roll =  8.4592 A, theta_roll_comp = -70.7515 mrad 
msg =  155, time steps =   10, qsz =    2, switch = on, t =     3102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6353, ay = -0.7216, az =  9.9027, gx = -0.0207 rad/s, gy =  0.0012 rad/s, gz = -0.0169 rad/s, erpm_pitch =    0, erpm_roll = 7922, I_w_pitch = -0.0000 A, I_w_roll =  8.7021 A, theta_roll_comp = -71.0709 mrad 
msg =  156, time steps =   10, qsz =    2, switch = on, t =     3122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5214, ay = -0.7432, az =  9.9447, gx = -0.0205 rad/s, gy =  0.0011 rad/s, gz =  0.0097 rad/s, erpm_pitch =    0, erpm_roll = 8315, I_w_pitch = -0.0000 A, I_w_roll =  8.7303 A, theta_roll_comp = -71.5470 mrad 
msg =  157, time steps =   10, qsz =    2, switch = on, t =     3142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5250, ay = -0.7360, az =  9.9231, gx = -0.0198 rad/s, gy =  0.0018 rad/s, gz =  0.0277 rad/s, erpm_pitch =    0, erpm_roll = 8521, I_w_pitch = -0.0000 A, I_w_roll =  8.6898 A, theta_roll_comp = -72.0426 mrad 
msg =  158, time steps =   10, qsz =    2, switch = on, t =     3162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5934, ay = -0.7049, az =  9.8823, gx = -0.0198 rad/s, gy =  0.0000 rad/s, gz =  0.0114 rad/s, erpm_pitch =    0, erpm_roll = 8521, I_w_pitch = -0.0000 A, I_w_roll =  8.7504 A, theta_roll_comp = -72.4214 mrad 
msg =  159, time steps =   10, qsz =    2, switch = on, t =     3182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6437, ay = -0.6269, az =  9.8464, gx = -0.0218 rad/s, gy = -0.0017 rad/s, gz = -0.0222 rad/s, erpm_pitch =    0, erpm_roll = 8951, I_w_pitch = -0.0000 A, I_w_roll =  9.1536 A, theta_roll_comp = -72.6943 mrad 
msg =  160, time steps =   10, qsz =    2, switch = on, t =     3202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5862, ay = -0.7204, az =  9.9171, gx = -0.0233 rad/s, gy = -0.0020 rad/s, gz = -0.0238 rad/s, erpm_pitch =    0, erpm_roll = 8951, I_w_pitch = -0.0000 A, I_w_roll =  9.4809 A, theta_roll_comp = -73.0922 mrad 
msg =  161, time steps =   10, qsz =    2, switch = on, t =     3222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5946, ay = -0.7780, az =  9.9914, gx = -0.0215 rad/s, gy =  0.0019 rad/s, gz =  0.0226 rad/s, erpm_pitch =    0, erpm_roll = 9379, I_w_pitch = -0.0000 A, I_w_roll =  9.2512 A, theta_roll_comp = -73.6038 mrad 
msg =  162, time steps =   10, qsz =    2, switch = on, t =     3242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6845, ay = -0.6449, az =  9.8907, gx = -0.0207 rad/s, gy =  0.0035 rad/s, gz =  0.0427 rad/s, erpm_pitch =    0, erpm_roll = 9596, I_w_pitch = -0.0000 A, I_w_roll =  9.1741 A, theta_roll_comp = -74.0208 mrad 
msg =  163, time steps =   10, qsz =    2, switch = on, t =     3262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6557, ay = -0.5191, az =  9.8356, gx = -0.0247 rad/s, gy =  0.0011 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll = 9596, I_w_pitch = -0.0000 A, I_w_roll =  9.9232 A, theta_roll_comp = -74.2086 mrad 
msg =  164, time steps =   10, qsz =    2, switch = on, t =     3282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6042, ay = -0.6749, az =  9.9638, gx = -0.0282 rad/s, gy = -0.0005 rad/s, gz = -0.0527 rad/s, erpm_pitch =    0, erpm_roll = 10035, I_w_pitch = -0.0000 A, I_w_roll = 10.5888 A, theta_roll_comp = -74.4741 mrad 
msg =  165, time steps =   10, qsz =    2, switch = on, t =     3302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4579, ay = -0.8990, az = 10.0142, gx = -0.0265 rad/s, gy =  0.0016 rad/s, gz = -0.0068 rad/s, erpm_pitch =    0, erpm_roll = 10035, I_w_pitch = -0.0000 A, I_w_roll = 10.3822 A, theta_roll_comp = -75.1300 mrad 
msg =  166, time steps =   10, qsz =    2, switch = on, t =     3322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4699, ay = -0.8020, az =  9.9039, gx = -0.0253 rad/s, gy =  0.0044 rad/s, gz =  0.0616 rad/s, erpm_pitch =    0, erpm_roll = 10478, I_w_pitch = -0.0000 A, I_w_roll = 10.2786 A, theta_roll_comp = -75.8311 mrad 
msg =  167, time steps =   10, qsz =    2, switch = on, t =     3342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.7408, ay = -0.4531, az =  9.8008, gx = -0.0306 rad/s, gy =  0.0018 rad/s, gz =  0.0245 rad/s, erpm_pitch =    0, erpm_roll = 10701, I_w_pitch = -0.0000 A, I_w_roll = 11.2770 A, theta_roll_comp = -76.0792 mrad 
msg =  168, time steps =   10, qsz =    2, switch = on, t =     3362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6293, ay = -0.5658, az =  9.9303, gx = -0.0359 rad/s, gy = -0.0030 rad/s, gz = -0.0587 rad/s, erpm_pitch =    0, erpm_roll = 10701, I_w_pitch = -0.0000 A, I_w_roll = 12.2602 A, theta_roll_comp = -76.2322 mrad 
msg =  169, time steps =   10, qsz =    2, switch = on, t =     3382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.3596, ay = -0.8331, az = 10.1101, gx = -0.0366 rad/s, gy = -0.0012 rad/s, gz = -0.0298 rad/s, erpm_pitch =    0, erpm_roll = 11113, I_w_pitch = -0.0000 A, I_w_roll = 12.4889 A, theta_roll_comp = -76.9122 mrad 
msg =  170, time steps =   10, qsz =    2, switch = on, t =     3402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.6617, az =  9.9650, gx = -0.0392 rad/s, gy =  0.0047 rad/s, gz =  0.0634 rad/s, erpm_pitch =    0, erpm_roll = 11113, I_w_pitch = -0.0000 A, I_w_roll = 13.0950 A, theta_roll_comp = -77.7046 mrad 
msg =  171, time steps =   10, qsz =    2, switch = on, t =     3422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.7648, ay = -0.3548, az =  9.8044, gx = -0.0472 rad/s, gy =  0.0034 rad/s, gz =  0.0399 rad/s, erpm_pitch =    0, erpm_roll = 11451, I_w_pitch = -0.0000 A, I_w_roll = 14.5815 A, theta_roll_comp = -78.0073 mrad 
msg =  172, time steps =   10, qsz =    2, switch = on, t =     3442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5946, ay = -0.4507, az =  9.8775, gx = -0.0565 rad/s, gy = -0.0028 rad/s, gz = -0.0547 rad/s, erpm_pitch =    0, erpm_roll = 11584, I_w_pitch = -0.0000 A, I_w_roll = 16.2966 A, theta_roll_comp = -78.2409 mrad 
msg =  173, time steps =   10, qsz =    2, switch = on, t =     3462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4423, ay = -0.7264, az = 10.0094, gx = -0.0613 rad/s, gy =  0.0006 rad/s, gz = -0.0330 rad/s, erpm_pitch =    0, erpm_roll = 11584, I_w_pitch = -0.0000 A, I_w_roll = 17.2888 A, theta_roll_comp = -79.0495 mrad 
msg =  174, time steps =   10, qsz =    2, switch = on, t =     3482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5119, ay = -0.5406, az =  9.9435, gx = -0.0684 rad/s, gy =  0.0051 rad/s, gz =  0.0557 rad/s, erpm_pitch =    0, erpm_roll = 11777, I_w_pitch = -0.0000 A, I_w_roll = 18.7281 A, theta_roll_comp = -80.1059 mrad 
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.7204, ay = -0.2194, az =  9.8080, gx = -0.0789 rad/s, gy =  0.0024 rad/s, gz =  0.0332 rad/s, erpm_pitch =    0, erpm_roll = 11835, I_w_pitch = -0.0000 A, I_w_roll = 20.7140 A, theta_roll_comp = -80.6835 mrad 
msg =  176, time steps =   10, qsz =    2, switch = on, t =     3522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6161, ay = -0.4279, az =  9.8751, gx = -0.0897 rad/s, gy = -0.0037 rad/s, gz = -0.0385 rad/s, erpm_pitch =    0, erpm_roll = 11835, I_w_pitch = -0.0000 A, I_w_roll = 22.7757 A, theta_roll_comp = -81.4354 mrad 
msg =  177, time steps =   10, qsz =    2, switch = on, t =     3542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4244, ay = -0.7084, az =  9.9794, gx = -0.0972 rad/s, gy = -0.0013 rad/s, gz = -0.0073 rad/s, erpm_pitch =    0, erpm_roll = 11894, I_w_pitch = -0.0000 A, I_w_roll = 24.3407 A, theta_roll_comp = -82.8279 mrad 
msg =  178, time steps =   10, qsz =    2, switch = on, t =     3562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6293, ay = -0.5167, az =  9.9063, gx = -0.1058 rad/s, gy =  0.0007 rad/s, gz =  0.0442 rad/s, erpm_pitch =    0, erpm_roll = 11894, I_w_pitch = -0.0000 A, I_w_roll = 26.1540 A, theta_roll_comp = -84.4242 mrad 
