picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  123, time steps =   10, qsz =    2, switch = on, t =     2462 ms, ax =  0.5622, ay = -2.1050, az =  9.8584, gx = -0.0482 rad/s, gy = -0.0032 rad/s, gz = -0.0324 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 32.1848 A, theta_roll_comp = -186.9796 mrad, theta_setpoint = -40.0000 mrad, 
msg =  260, time steps =   10, qsz =    2, switch = off, t =     5202 ms, ax =  0.6497, ay = -1.9875, az =  9.7637, gx = -0.0051 rad/s, gy =  0.0018 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = 11321, I_w_pitch = -0.0000 A, I_w_roll = 27.6203 A, theta_roll_comp = -206.8363 mrad, theta_setpoint = -40.0000 mrad, 
msg =  261, time steps =   10, qsz =    2, switch = off, t =     5222 ms, ax =  0.5814, ay = -2.0259, az =  9.7265, gx = -0.0055 rad/s, gy =  0.0031 rad/s, gz =  0.0063 rad/s, erpm_pitch =    0, erpm_roll = 11282, I_w_pitch = -0.0000 A, I_w_roll = 27.7033 A, theta_roll_comp = -206.9054 mrad, theta_setpoint = -40.0000 mrad, 
msg =  262, time steps =   10, qsz =    2, switch = off, t =     5242 ms, ax =  0.4759, ay = -1.9635, az =  9.7804, gx = -0.0049 rad/s, gy =  0.0024 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = 11262, I_w_pitch = -0.0000 A, I_w_roll = 27.5883 A, theta_roll_comp = -206.9359 mrad, theta_setpoint = -40.0000 mrad, 
msg =  263, time steps =   10, qsz =    2, switch = off, t =     5262 ms, ax =  0.5598, ay = -2.0055, az =  9.7241, gx = -0.0039 rad/s, gy =  0.0000 rad/s, gz = -0.0047 rad/s, erpm_pitch =    0, erpm_roll = 11262, I_w_pitch = -0.0000 A, I_w_roll = 27.4102 A, theta_roll_comp = -206.8715 mrad, theta_setpoint = -40.0000 mrad, 
msg =  264, time steps =   10, qsz =    2, switch = off, t =     5282 ms, ax =  0.6773, ay = -2.0259, az =  9.6809, gx = -0.0050 rad/s, gy =  0.0012 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = 11224, I_w_pitch = -0.0000 A, I_w_roll = 27.6060 A, theta_roll_comp = -206.8963 mrad, theta_setpoint = -40.0000 mrad, 
msg =  265, time steps =   10, qsz =    2, switch = off, t =     5302 ms, ax =  0.6941, ay = -2.0762, az =  9.6953, gx = -0.0063 rad/s, gy =  0.0011 rad/s, gz =  0.0049 rad/s, erpm_pitch =    0, erpm_roll = 11224, I_w_pitch = -0.0000 A, I_w_roll = 27.8674 A, theta_roll_comp = -207.0325 mrad, theta_setpoint = -40.0000 mrad, 
msg =  266, time steps =   10, qsz =    2, switch = off, t =     5322 ms, ax =  0.4999, ay = -1.9707, az =  9.7673, gx = -0.0054 rad/s, gy =  0.0003 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = 11184, I_w_pitch = -0.0000 A, I_w_roll = 27.7104 A, theta_roll_comp = -207.0997 mrad, theta_setpoint = -40.0000 mrad, 
msg =  267, time steps =   10, qsz =    2, switch = off, t =     5342 ms, ax =  0.5790, ay = -1.9803, az =  9.7577, gx = -0.0049 rad/s, gy =  0.0019 rad/s, gz = -0.0055 rad/s, erpm_pitch =    0, erpm_roll = 11164, I_w_pitch = -0.0000 A, I_w_roll = 27.6095 A, theta_roll_comp = -207.0683 mrad, theta_setpoint = -40.0000 mrad, 
msg =  268, time steps =   10, qsz =    2, switch = off, t =     5362 ms, ax =  0.6845, ay = -2.0055, az =  9.7433, gx = -0.0054 rad/s, gy =  0.0016 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 11164, I_w_pitch = -0.0000 A, I_w_roll = 27.7076 A, theta_roll_comp = -207.0823 mrad, theta_setpoint = -40.0000 mrad, 
msg =  269, time steps =   10, qsz =    2, switch = off, t =     5382 ms, ax =  0.7192, ay = -2.1074, az =  9.6989, gx = -0.0058 rad/s, gy =  0.0012 rad/s, gz =  0.0040 rad/s, erpm_pitch =    0, erpm_roll = 11125, I_w_pitch = -0.0000 A, I_w_roll = 27.7994 A, theta_roll_comp = -207.2067 mrad, theta_setpoint = -40.0000 mrad, 
msg =  270, time steps =   10, qsz =    2, switch = off, t =     5402 ms, ax =  0.5934, ay = -2.0031, az =  9.7037, gx = -0.0053 rad/s, gy =  0.0007 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = 11125, I_w_pitch = -0.0000 A, I_w_roll = 27.7119 A, theta_roll_comp = -207.2592 mrad, theta_setpoint = -40.0000 mrad, 
msg =  271, time steps =   10, qsz =    2, switch = off, t =     5422 ms, ax =  0.5742, ay = -1.9527, az =  9.7804, gx = -0.0047 rad/s, gy =  0.0014 rad/s, gz = -0.0057 rad/s, erpm_pitch =    0, erpm_roll = 11085, I_w_pitch = -0.0000 A, I_w_roll = 27.6138 A, theta_roll_comp = -207.2447 mrad, theta_setpoint = -40.0000 mrad, 
msg =  272, time steps =   10, qsz =    2, switch = off, t =     5442 ms, ax =  0.6713, ay = -2.0067, az =  9.7685, gx = -0.0055 rad/s, gy =  0.0022 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = 11066, I_w_pitch = -0.0000 A, I_w_roll = 27.7522 A, theta_roll_comp = -207.2110 mrad, theta_setpoint = -40.0000 mrad, 
msg =  273, time steps =   10, qsz =    2, switch = off, t =     5462 ms, ax =  0.7492, ay = -2.0330, az =  9.7349, gx = -0.0057 rad/s, gy =  0.0014 rad/s, gz =  0.0044 rad/s, erpm_pitch =    0, erpm_roll = 11066, I_w_pitch = -0.0000 A, I_w_roll = 27.7833 A, theta_roll_comp = -207.2557 mrad, theta_setpoint = -40.0000 mrad, 
msg =  274, time steps =   10, qsz =    2, switch = off, t =     5482 ms, ax =  0.5778, ay = -2.0043, az =  9.7013, gx = -0.0051 rad/s, gy = -0.0002 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = 11027, I_w_pitch = -0.0000 A, I_w_roll = 27.7018 A, theta_roll_comp = -207.3456 mrad, theta_setpoint = -40.0000 mrad, 
msg =  275, time steps =   10, qsz =    2, switch = off, t =     5502 ms, ax =  0.5850, ay = -1.9779, az =  9.7505, gx = -0.0046 rad/s, gy =  0.0004 rad/s, gz = -0.0061 rad/s, erpm_pitch =    0, erpm_roll = 11027, I_w_pitch = -0.0000 A, I_w_roll = 27.6083 A, theta_roll_comp = -207.3603 mrad, theta_setpoint = -40.0000 mrad, 
msg =  276, time steps =   10, qsz =    2, switch = off, t =     5522 ms, ax =  0.6857, ay = -1.9947, az =  9.7577, gx = -0.0053 rad/s, gy =  0.0023 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = 10988, I_w_pitch = -0.0000 A, I_w_roll = 27.7279 A, theta_roll_comp = -207.3590 mrad, theta_setpoint = -40.0000 mrad, 
msg =  277, time steps =   10, qsz =    2, switch = off, t =     5542 ms, ax =  0.6941, ay = -2.0870, az =  9.7169, gx = -0.0061 rad/s, gy =  0.0012 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll = 10969, I_w_pitch = -0.0000 A, I_w_roll = 27.8852 A, theta_roll_comp = -207.4434 mrad, theta_setpoint = -40.0000 mrad, 
msg =  278, time steps =   10, qsz =    2, switch = off, t =     5562 ms, ax =  0.5526, ay = -1.9851, az =  9.7013, gx = -0.0050 rad/s, gy =  0.0006 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = 10969, I_w_pitch = -0.0000 A, I_w_roll = 27.7047 A, theta_roll_comp = -207.5135 mrad, theta_setpoint = -40.0000 mrad, 
msg =  279, time steps =   10, qsz =    2, switch = off, t =     5582 ms, ax =  0.5526, ay = -1.9611, az =  9.7577, gx = -0.0045 rad/s, gy =  0.0004 rad/s, gz = -0.0073 rad/s, erpm_pitch =    0, erpm_roll = 10929, I_w_pitch = -0.0000 A, I_w_roll = 27.6049 A, theta_roll_comp = -207.4889 mrad, theta_setpoint = -40.0000 mrad, 
msg =  280, time steps =   10, qsz =    2, switch = off, t =     5602 ms, ax =  0.6689, ay = -1.9959, az =  9.7421, gx = -0.0057 rad/s, gy =  0.0014 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 10910, I_w_pitch = -0.0000 A, I_w_roll = 27.8168 A, theta_roll_comp = -207.4651 mrad, theta_setpoint = -40.0000 mrad, 
msg =  281, time steps =   10, qsz =    2, switch = off, t =     5622 ms, ax =  0.4172, ay = -2.0271, az =  9.7565, gx = -0.0062 rad/s, gy =  0.0027 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll = 10910, I_w_pitch = -0.0000 A, I_w_roll = 27.9197 A, theta_roll_comp = -207.5092 mrad, theta_setpoint = -40.0000 mrad, 
msg =  282, time steps =   10, qsz =    2, switch = off, t =     5642 ms, ax =  0.4735, ay = -1.9623, az =  9.7577, gx = -0.0059 rad/s, gy =  0.0019 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = 10870, I_w_pitch = -0.0000 A, I_w_roll = 27.8640 A, theta_roll_comp = -207.4602 mrad, theta_setpoint = -40.0000 mrad, 
msg =  283, time steps =   10, qsz =    2, switch = off, t =     5662 ms, ax =  0.6042, ay = -1.9623, az =  9.7037, gx = -0.0051 rad/s, gy =  0.0007 rad/s, gz = -0.0068 rad/s, erpm_pitch =    0, erpm_roll = 10870, I_w_pitch = -0.0000 A, I_w_roll = 27.7148 A, theta_roll_comp = -207.4265 mrad, theta_setpoint = -40.0000 mrad, 
msg =  284, time steps =   10, qsz =    2, switch = off, t =     5682 ms, ax =  0.6569, ay = -1.9875, az =  9.7217, gx = -0.0058 rad/s, gy =  0.0006 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = 10832, I_w_pitch = -0.0000 A, I_w_roll = 27.8327 A, theta_roll_comp = -207.4145 mrad, theta_setpoint = -40.0000 mrad, 
msg =  285, time steps =   10, qsz =    2, switch = off, t =     5702 ms, ax =  0.5250, ay = -1.9707, az =  9.7445, gx = -0.0063 rad/s, gy =  0.0027 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = 10813, I_w_pitch = -0.0000 A, I_w_roll = 27.9322 A, theta_roll_comp = -207.4375 mrad, theta_setpoint = -40.0000 mrad, 
msg =  286, time steps =   10, qsz =    2, switch = off, t =     5722 ms, ax =  0.5155, ay = -1.9803, az =  9.7409, gx = -0.0059 rad/s, gy =  0.0011 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = 10813, I_w_pitch = -0.0000 A, I_w_roll = 27.8549 A, theta_roll_comp = -207.4035 mrad, theta_setpoint = -40.0000 mrad, 
msg =  287, time steps =   10, qsz =    2, switch = off, t =     5742 ms, ax =  0.5694, ay = -1.9491, az =  9.7337, gx = -0.0047 rad/s, gy =  0.0004 rad/s, gz = -0.0059 rad/s, erpm_pitch =    0, erpm_roll = 10774, I_w_pitch = -0.0000 A, I_w_roll = 27.6307 A, theta_roll_comp = -207.3506 mrad, theta_setpoint = -40.0000 mrad, 
msg =  288, time steps =   10, qsz =    2, switch = off, t =     5762 ms, ax =  0.6629, ay = -1.9995, az =  9.7565, gx = -0.0050 rad/s, gy =  0.0016 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = 10774, I_w_pitch = -0.0000 A, I_w_roll = 27.6694 A, theta_roll_comp = -207.2928 mrad, theta_setpoint = -40.0000 mrad, 
msg =  289, time steps =   10, qsz =    2, switch = off, t =     5782 ms, ax =  0.6665, ay = -2.0055, az =  9.7013, gx = -0.0058 rad/s, gy =  0.0027 rad/s, gz =  0.0061 rad/s, erpm_pitch =    0, erpm_roll = 10735, I_w_pitch = -0.0000 A, I_w_roll = 27.8190 A, theta_roll_comp = -207.3291 mrad, theta_setpoint = -40.0000 mrad, 
msg =  290, time steps =   10, qsz =    2, switch = off, t =     5802 ms, ax =  0.4855, ay = -2.0726, az =  9.7409, gx = -0.0054 rad/s, gy =  0.0022 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = 10717, I_w_pitch = -0.0000 A, I_w_roll = 27.7650 A, theta_roll_comp = -207.4411 mrad, theta_setpoint = -40.0000 mrad, 
msg =  291, time steps =   10, qsz =    2, switch = off, t =     5822 ms, ax =  0.6149, ay = -1.9647, az =  9.7709, gx = -0.0039 rad/s, gy =  0.0011 rad/s, gz = -0.0048 rad/s, erpm_pitch =    0, erpm_roll = 10717, I_w_pitch = -0.0000 A, I_w_roll = 27.4884 A, theta_roll_comp = -207.3601 mrad, theta_setpoint = -40.0000 mrad, 
msg =  292, time steps =   10, qsz =    2, switch = off, t =     5842 ms, ax =  0.7061, ay = -1.9803, az =  9.7385, gx = -0.0046 rad/s, gy =  0.0016 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll = 10679, I_w_pitch = -0.0000 A, I_w_roll = 27.6006 A, theta_roll_comp = -207.3124 mrad, theta_setpoint = -40.0000 mrad, 
msg =  293, time steps =   10, qsz =    2, switch = off, t =     5862 ms, ax =  0.6629, ay = -2.0342, az =  9.7097, gx = -0.0063 rad/s, gy =  0.0019 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = 10679, I_w_pitch = -0.0000 A, I_w_roll = 27.9172 A, theta_roll_comp = -207.3436 mrad, theta_setpoint = -40.0000 mrad, 
msg =  294, time steps =   10, qsz =    2, switch = off, t =     5882 ms, ax =  0.5298, ay = -2.0235, az =  9.6917, gx = -0.0061 rad/s, gy =  0.0010 rad/s, gz =  0.0043 rad/s, erpm_pitch =    0, erpm_roll = 10639, I_w_pitch = -0.0000 A, I_w_roll = 27.8826 A, theta_roll_comp = -207.4272 mrad, theta_setpoint = -40.0000 mrad, 
msg =  295, time steps =   10, qsz =    2, switch = off, t =     5902 ms, ax =  0.5466, ay = -1.9983, az =  9.7181, gx = -0.0049 rad/s, gy = -0.0004 rad/s, gz = -0.0040 rad/s, erpm_pitch =    0, erpm_roll = 10620, I_w_pitch = -0.0000 A, I_w_roll = 27.6766 A, theta_roll_comp = -207.4878 mrad, theta_setpoint = -40.0000 mrad, 
msg =  296, time steps =   10, qsz =    2, switch = off, t =     5922 ms, ax =  0.6581, ay = -2.0115, az =  9.7792, gx = -0.0047 rad/s, gy =  0.0004 rad/s, gz = -0.0036 rad/s, erpm_pitch =    0, erpm_roll = 10620, I_w_pitch = -0.0000 A, I_w_roll = 27.6540 A, theta_roll_comp = -207.4960 mrad, theta_setpoint = -40.0000 mrad, 
msg =  297, time steps =   10, qsz =    2, switch = off, t =     5942 ms, ax =  0.6365, ay = -2.0402, az =  9.7661, gx = -0.0059 rad/s, gy =  0.0030 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = 10582, I_w_pitch = -0.0000 A, I_w_roll = 27.8786 A, theta_roll_comp = -207.5519 mrad, theta_setpoint = -40.0000 mrad, 
msg =  298, time steps =   10, qsz =    2, switch = off, t =     5962 ms, ax =  0.5310, ay = -2.0007, az =  9.8020, gx = -0.0062 rad/s, gy =  0.0028 rad/s, gz =  0.0056 rad/s, erpm_pitch =    0, erpm_roll = 10582, I_w_pitch = -0.0000 A, I_w_roll = 27.9315 A, theta_roll_comp = -207.5828 mrad, theta_setpoint = -40.0000 mrad, 
msg =  299, time steps =   10, qsz =    2, switch = off, t =     5982 ms, ax =  0.5107, ay = -1.9875, az =  9.7936, gx = -0.0047 rad/s, gy =  0.0008 rad/s, gz = -0.0051 rad/s, erpm_pitch =    0, erpm_roll = 10543, I_w_pitch = -0.0000 A, I_w_roll = 27.6637 A, theta_roll_comp = -207.5571 mrad, theta_setpoint = -40.0000 mrad, 
msg =  300, time steps =   10, qsz =    2, switch = off, t =     6002 ms, ax =  0.6785, ay = -1.9815, az =  9.7457, gx = -0.0046 rad/s, gy =  0.0003 rad/s, gz = -0.0060 rad/s, erpm_pitch =    0, erpm_roll = 10525, I_w_pitch = -0.0000 A, I_w_roll = 27.6315 A, theta_roll_comp = -207.5053 mrad, theta_setpoint = -40.0000 mrad, 
msg =  301, time steps =   10, qsz =    2, switch = off, t =     6022 ms, ax =  0.7049, ay = -2.0271, az =  9.7421, gx = -0.0058 rad/s, gy =  0.0018 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll = 10525, I_w_pitch = -0.0000 A, I_w_roll = 27.8472 A, theta_roll_comp = -207.5054 mrad, theta_setpoint = -40.0000 mrad, 
msg =  302, time steps =   10, qsz =    2, switch = off, t =     6042 ms, ax =  0.4639, ay = -2.0762, az =  9.7900, gx = -0.0050 rad/s, gy =  0.0040 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll = 10487, I_w_pitch = -0.0000 A, I_w_roll = 27.7129 A, theta_roll_comp = -207.5647 mrad, theta_setpoint = -40.0000 mrad, 
msg =  303, time steps =   10, qsz =    2, switch = off, t =     6062 ms, ax =  0.4543, ay = -1.9455, az =  9.8200, gx = -0.0043 rad/s, gy =  0.0024 rad/s, gz = -0.0029 rad/s, erpm_pitch =    0, erpm_roll = 10467, I_w_pitch = -0.0000 A, I_w_roll = 27.5878 A, theta_roll_comp = -207.5319 mrad, theta_setpoint = -40.0000 mrad, 
msg =  304, time steps =   10, qsz =    2, switch = off, t =     6082 ms, ax =  0.6102, ay = -2.0055, az =  9.7721, gx = -0.0042 rad/s, gy =  0.0007 rad/s, gz = -0.0067 rad/s, erpm_pitch =    0, erpm_roll = 10467, I_w_pitch = -0.0000 A, I_w_roll = 27.5505 A, theta_roll_comp = -207.4483 mrad, theta_setpoint = -40.0000 mrad, 
msg =  305, time steps =   10, qsz =    2, switch = off, t =     6102 ms, ax =  0.6845, ay = -2.0139, az =  9.7217, gx = -0.0058 rad/s, gy =  0.0011 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = 10430, I_w_pitch = -0.0000 A, I_w_roll = 27.8357 A, theta_roll_comp = -207.4336 mrad, theta_setpoint = -40.0000 mrad, 
msg =  306, time steps =   10, qsz =    2, switch = off, t =     6122 ms, ax =  0.4255, ay = -1.9839, az =  9.7780, gx = -0.0062 rad/s, gy =  0.0039 rad/s, gz =  0.0064 rad/s, erpm_pitch =    0, erpm_roll = 10430, I_w_pitch = -0.0000 A, I_w_roll = 27.9180 A, theta_roll_comp = -207.4982 mrad, theta_setpoint = -40.0000 mrad, 
msg =  307, time steps =   10, qsz =    2, switch = off, t =     6142 ms, ax =  0.4411, ay = -2.0091, az =  9.8164, gx = -0.0046 rad/s, gy =  0.0032 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 10391, I_w_pitch = -0.0000 A, I_w_roll = 27.6222 A, theta_roll_comp = -207.4471 mrad, theta_setpoint = -40.0000 mrad, 
msg =  308, time steps =   10, qsz =    2, switch = off, t =     6162 ms, ax =  0.5382, ay = -1.9875, az =  9.7673, gx = -0.0041 rad/s, gy =  0.0004 rad/s, gz = -0.0073 rad/s, erpm_pitch =    0, erpm_roll = 10373, I_w_pitch = -0.0000 A, I_w_roll = 27.5198 A, theta_roll_comp = -207.4067 mrad, theta_setpoint = -40.0000 mrad, 
msg =  309, time steps =   10, qsz =    2, switch = off, t =     6182 ms, ax =  0.6653, ay = -2.0007, az =  9.7169, gx = -0.0053 rad/s, gy =  0.0007 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = 10373, I_w_pitch = -0.0000 A, I_w_roll = 27.7368 A, theta_roll_comp = -207.4144 mrad, theta_setpoint = -40.0000 mrad, 
msg =  310, time steps =   10, qsz =    2, switch = off, t =     6202 ms, ax =  0.6221, ay = -1.9899, az =  9.7121, gx = -0.0065 rad/s, gy =  0.0022 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = 10335, I_w_pitch = -0.0000 A, I_w_roll = 27.9636 A, theta_roll_comp = -207.4841 mrad, theta_setpoint = -40.0000 mrad, 
msg =  311, time steps =   10, qsz =    2, switch = off, t =     6222 ms, ax =  0.3824, ay = -2.0366, az =  9.7661, gx = -0.0057 rad/s, gy =  0.0032 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = 10335, I_w_pitch = -0.0000 A, I_w_roll = 27.8364 A, theta_roll_comp = -207.5878 mrad, theta_setpoint = -40.0000 mrad, 
msg =  312, time steps =   10, qsz =    2, switch = off, t =     6242 ms, ax =  0.5334, ay = -1.9827, az =  9.7673, gx = -0.0047 rad/s, gy =  0.0000 rad/s, gz = -0.0037 rad/s, erpm_pitch =    0, erpm_roll = 10297, I_w_pitch = -0.0000 A, I_w_roll = 27.6596 A, theta_roll_comp = -207.5309 mrad, theta_setpoint = -40.0000 mrad, 
msg =  313, time steps =   10, qsz =    2, switch = off, t =     6262 ms, ax =  0.6857, ay = -1.9947, az =  9.7265, gx = -0.0051 rad/s, gy =  0.0002 rad/s, gz = -0.0043 rad/s, erpm_pitch =    0, erpm_roll = 10278, I_w_pitch = -0.0000 A, I_w_roll = 27.7291 A, theta_roll_comp = -207.5159 mrad, theta_setpoint = -40.0000 mrad, 
msg =  314, time steps =   10, qsz =    2, switch = off, t =     6282 ms, ax =  0.6353, ay = -2.0546, az =  9.7397, gx = -0.0059 rad/s, gy =  0.0022 rad/s, gz =  0.0056 rad/s, erpm_pitch =    0, erpm_roll = 10278, I_w_pitch = -0.0000 A, I_w_roll = 27.8840 A, theta_roll_comp = -207.5854 mrad, theta_setpoint = -40.0000 mrad, 
msg =  315, time steps =   10, qsz =    2, switch = off, t =     6302 ms, ax =  0.5802, ay = -1.9539, az =  9.7732, gx = -0.0065 rad/s, gy =  0.0019 rad/s, gz =  0.0080 rad/s, erpm_pitch =    0, erpm_roll = 10240, I_w_pitch = -0.0000 A, I_w_roll = 27.9703 A, theta_roll_comp = -207.5259 mrad, theta_setpoint = -40.0000 mrad, 
msg =  316, time steps =   10, qsz =    2, switch = off, t =     6322 ms, ax =  0.5358, ay = -2.0271, az =  9.7373, gx = -0.0051 rad/s, gy = -0.0008 rad/s, gz = -0.0044 rad/s, erpm_pitch =    0, erpm_roll = 10240, I_w_pitch = -0.0000 A, I_w_roll = 27.7369 A, theta_roll_comp = -207.5647 mrad, theta_setpoint = -40.0000 mrad, 
msg =  317, time steps =   10, qsz =    2, switch = off, t =     6342 ms, ax =  0.6114, ay = -1.9899, az =  9.7289, gx = -0.0046 rad/s, gy = -0.0008 rad/s, gz = -0.0073 rad/s, erpm_pitch =    0, erpm_roll = 10202, I_w_pitch = -0.0000 A, I_w_roll = 27.6368 A, theta_roll_comp = -207.5382 mrad, theta_setpoint = -40.0000 mrad, 
msg =  318, time steps =   10, qsz =    2, switch = off, t =     6362 ms, ax =  0.6797, ay = -2.0187, az =  9.7697, gx = -0.0054 rad/s, gy =  0.0026 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll = 10184, I_w_pitch = -0.0000 A, I_w_roll = 27.7819 A, theta_roll_comp = -207.5467 mrad, theta_setpoint = -40.0000 mrad, 
msg =  319, time steps =   10, qsz =    2, switch = off, t =     6382 ms, ax =  0.7924, ay = -2.0822, az =  9.7325, gx = -0.0065 rad/s, gy =  0.0016 rad/s, gz =  0.0063 rad/s, erpm_pitch =    0, erpm_roll = 10184, I_w_pitch = -0.0000 A, I_w_roll = 27.9869 A, theta_roll_comp = -207.6295 mrad, theta_setpoint = -40.0000 mrad, 
msg =  320, time steps =   10, qsz =    2, switch = off, t =     6402 ms, ax =  0.6161, ay = -1.9551, az =  9.7049, gx = -0.0051 rad/s, gy = -0.0002 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = 10146, I_w_pitch = -0.0000 A, I_w_roll = 27.7527 A, theta_roll_comp = -207.6635 mrad, theta_setpoint = -40.0000 mrad, 
msg =  321, time steps =   10, qsz =    2, switch = off, t =     6422 ms, ax =  0.6365, ay = -2.0402, az =  9.7457, gx = -0.0041 rad/s, gy =  0.0006 rad/s, gz = -0.0091 rad/s, erpm_pitch =    0, erpm_roll = 10109, I_w_pitch = -0.0000 A, I_w_roll = 27.5673 A, theta_roll_comp = -207.7036 mrad, theta_setpoint = -40.0000 mrad, 
msg =  322, time steps =   10, qsz =    2, switch = off, t =     6442 ms, ax =  0.6629, ay = -2.0283, az =  9.7685, gx = -0.0053 rad/s, gy =  0.0022 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = 10109, I_w_pitch = -0.0000 A, I_w_roll = 27.7832 A, theta_roll_comp = -207.7042 mrad, theta_setpoint = -40.0000 mrad, 
msg =  323, time steps =   10, qsz =    2, switch = off, t =     6462 ms, ax =  0.6365, ay = -1.9899, az =  9.7157, gx = -0.0062 rad/s, gy =  0.0032 rad/s, gz =  0.0071 rad/s, erpm_pitch =    0, erpm_roll = 10090, I_w_pitch = -0.0000 A, I_w_roll = 27.9608 A, theta_roll_comp = -207.7661 mrad, theta_setpoint = -40.0000 mrad, 
msg =  324, time steps =   10, qsz =    2, switch = off, t =     6482 ms, ax =  0.4076, ay = -2.0774, az =  9.7181, gx = -0.0058 rad/s, gy =  0.0028 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = 10090, I_w_pitch = -0.0000 A, I_w_roll = 27.9119 A, theta_roll_comp = -207.9098 mrad, theta_setpoint = -40.0000 mrad, 
msg =  325, time steps =   10, qsz =    2, switch = off, t =     6502 ms, ax =  0.5610, ay = -1.9911, az =  9.7097, gx = -0.0046 rad/s, gy =  0.0002 rad/s, gz = -0.0048 rad/s, erpm_pitch =    0, erpm_roll = 10053, I_w_pitch = -0.0000 A, I_w_roll = 27.6937 A, theta_roll_comp = -207.8941 mrad, theta_setpoint = -40.0000 mrad, 
msg =  326, time steps =   10, qsz =    2, switch = off, t =     6522 ms, ax =  0.6449, ay = -1.9779, az =  9.7301, gx = -0.0051 rad/s, gy =  0.0000 rad/s, gz = -0.0043 rad/s, erpm_pitch =    0, erpm_roll = 10035, I_w_pitch = -0.0000 A, I_w_roll = 27.7853 A, theta_roll_comp = -207.8674 mrad, theta_setpoint = -40.0000 mrad, 
msg =  327, time steps =   10, qsz =    2, switch = off, t =     6542 ms, ax =  0.6197, ay = -2.0019, az =  9.7433, gx = -0.0066 rad/s, gy =  0.0023 rad/s, gz =  0.0060 rad/s, erpm_pitch =    0, erpm_roll = 10035, I_w_pitch = -0.0000 A, I_w_roll = 28.0530 A, theta_roll_comp = -207.8927 mrad, theta_setpoint = -40.0000 mrad, 
msg =  328, time steps =   10, qsz =    2, switch = off, t =     6562 ms, ax =  0.6042, ay = -2.0127, az =  9.6857, gx = -0.0074 rad/s, gy =  0.0011 rad/s, gz =  0.0072 rad/s, erpm_pitch =    0, erpm_roll = 9996, I_w_pitch = -0.0000 A, I_w_roll = 28.2107 A, theta_roll_comp = -207.9793 mrad, theta_setpoint = -40.0000 mrad, 
