picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  307, time steps =   10, qsz =    2, switch = on, t =     6142 ms, ax =  0.4795, ay = -0.5286, az =  9.9507, gx =  0.0150 rad/s, gy = -0.0005 rad/s, gz = -0.0185 rad/s, erpm_pitch =    0, erpm_roll = 8958, I_w_pitch = -0.0000 A, I_w_roll = -0.8243 A, theta_roll_comp = -48.5430 mrad, theta_setpoint = -36.8663 mrad, 
msg =  444, time steps =   10, qsz =    2, switch = on, t =     8882 ms, ax =  0.5814, ay = -0.1606, az =  9.9411, gx =  0.0217 rad/s, gy =  0.0032 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll =  180, I_w_pitch = -0.0000 A, I_w_roll = -7.8913 A, theta_roll_comp = -15.0852 mrad, theta_setpoint = -39.9370 mrad, 
msg =  445, time steps =   10, qsz =    2, switch = on, t =     8902 ms, ax =  0.6341, ay = -0.0204, az =  9.9375, gx =  0.0284 rad/s, gy =  0.0030 rad/s, gz = -0.0051 rad/s, erpm_pitch =    0, erpm_roll =   92, I_w_pitch = -0.0000 A, I_w_roll = -9.1990 A, theta_roll_comp = -14.4323 mrad, theta_setpoint = -39.9678 mrad, 
msg =  446, time steps =   10, qsz =    2, switch = on, t =     8922 ms, ax =  0.6018, ay = -0.0444, az =  9.9447, gx =  0.0344 rad/s, gy =  0.0019 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =   23, I_w_pitch = -0.0000 A, I_w_roll = -10.4226 A, theta_roll_comp = -13.5501 mrad, theta_setpoint = -39.9920 mrad, 
msg =  447, time steps =   10, qsz =    2, switch = on, t =     8942 ms, ax =  0.5742, ay = -0.0216, az =  9.9351, gx =  0.0279 rad/s, gy =  0.0050 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =   23, I_w_pitch = -0.0000 A, I_w_roll = -9.3867 A, theta_roll_comp = -12.6841 mrad, theta_setpoint = -39.9920 mrad, 
msg =  448, time steps =   10, qsz =    2, switch = on, t =     8962 ms, ax =  0.5742, ay =  0.0863, az =  9.9231, gx =  0.0219 rad/s, gy =  0.0059 rad/s, gz = -0.0048 rad/s, erpm_pitch =    0, erpm_roll = -284, I_w_pitch = -0.0000 A, I_w_roll = -8.4638 A, theta_roll_comp = -11.8186 mrad, theta_setpoint = -40.0993 mrad, 
msg =  449, time steps =   10, qsz =    2, switch = on, t =     8982 ms, ax =  0.5226, ay =  0.0695, az =  9.9351, gx =  0.0245 rad/s, gy =  0.0032 rad/s, gz = -0.0071 rad/s, erpm_pitch =    0, erpm_roll = -706, I_w_pitch = -0.0000 A, I_w_roll = -9.1132 A, theta_roll_comp = -10.9036 mrad, theta_setpoint = -40.2470 mrad, 
msg =  450, time steps =   10, qsz =    2, switch = on, t =     9002 ms, ax =  0.4999, ay =  0.0072, az =  9.9147, gx =  0.0217 rad/s, gy =  0.0027 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -706, I_w_pitch = -0.0000 A, I_w_roll = -8.7351 A, theta_roll_comp = -10.1213 mrad, theta_setpoint = -40.2470 mrad, 
msg =  451, time steps =   10, qsz =    2, switch = on, t =     9022 ms, ax =  0.5202, ay =  0.1019, az =  9.9207, gx =  0.0115 rad/s, gy =  0.0030 rad/s, gz =  0.0047 rad/s, erpm_pitch =    0, erpm_roll = -979, I_w_pitch = -0.0000 A, I_w_roll = -7.0156 A, theta_roll_comp = -9.4293 mrad, theta_setpoint = -40.3425 mrad, 
msg =  452, time steps =   10, qsz =    2, switch = on, t =     9042 ms, ax =  0.5670, ay =  0.2014, az =  9.9483, gx =  0.0087 rad/s, gy =  0.0012 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = -979, I_w_pitch = -0.0000 A, I_w_roll = -6.6270 A, theta_roll_comp = -8.7119 mrad, theta_setpoint = -40.3425 mrad, 
msg =  453, time steps =   10, qsz =    2, switch = on, t =     9062 ms, ax =  0.5526, ay =  0.1702, az =  9.9363, gx =  0.0096 rad/s, gy = -0.0010 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = -1601, I_w_pitch = -0.0000 A, I_w_roll = -6.9383 A, theta_roll_comp = -8.0324 mrad, theta_setpoint = -40.5601 mrad, 
msg =  454, time steps =   10, qsz =    2, switch = on, t =     9082 ms, ax =  0.5538, ay =  0.1474, az =  9.9387, gx =  0.0026 rad/s, gy = -0.0009 rad/s, gz =  0.0041 rad/s, erpm_pitch =    0, erpm_roll = -1955, I_w_pitch = -0.0000 A, I_w_roll = -5.7645 A, theta_roll_comp = -7.5536 mrad, theta_setpoint = -40.6839 mrad, 
msg =  455, time steps =   10, qsz =    2, switch = on, t =     9102 ms, ax =  0.6066, ay =  0.1822, az =  9.9411, gx = -0.0057 rad/s, gy =  0.0012 rad/s, gz =  0.0044 rad/s, erpm_pitch =    0, erpm_roll = -1955, I_w_pitch = -0.0000 A, I_w_roll = -4.3366 A, theta_roll_comp = -7.1905 mrad, theta_setpoint = -40.6839 mrad, 
msg =  456, time steps =   10, qsz =    2, switch = on, t =     9122 ms, ax =  0.6209, ay =  0.2038, az =  9.9327, gx = -0.0062 rad/s, gy =  0.0010 rad/s, gz = -0.0016 rad/s, erpm_pitch =    0, erpm_roll = -2694, I_w_pitch = -0.0000 A, I_w_roll = -4.3399 A, theta_roll_comp = -6.8287 mrad, theta_setpoint = -40.9424 mrad, 
msg =  457, time steps =   10, qsz =    2, switch = on, t =     9142 ms, ax =  0.6006, ay =  0.0731, az =  9.9591, gx = -0.0075 rad/s, gy =  0.0012 rad/s, gz = -0.0045 rad/s, erpm_pitch =    0, erpm_roll = -2694, I_w_pitch = -0.0000 A, I_w_roll = -4.1339 A, theta_roll_comp = -6.6184 mrad, theta_setpoint = -40.9424 mrad, 
msg =  458, time steps =   10, qsz =    2, switch = on, t =     9162 ms, ax =  0.5646, ay =  0.0899, az =  9.9195, gx = -0.0167 rad/s, gy =  0.0028 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = -3452, I_w_pitch = -0.0000 A, I_w_roll = -2.5281 A, theta_roll_comp = -6.5836 mrad, theta_setpoint = -41.2076 mrad, 
msg =  459, time steps =   10, qsz =    2, switch = on, t =     9182 ms, ax =  0.5418, ay =  0.0791, az =  9.9279, gx = -0.0213 rad/s, gy =  0.0031 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = -3820, I_w_pitch = -0.0000 A, I_w_roll = -1.7255 A, theta_roll_comp = -6.6357 mrad, theta_setpoint = -41.3363 mrad, 
msg =  460, time steps =   10, qsz =    2, switch = on, t =     9202 ms, ax =  0.5442, ay =  0.0456, az =  9.9495, gx = -0.0201 rad/s, gy =  0.0014 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = -3820, I_w_pitch = -0.0000 A, I_w_roll = -1.9197 A, theta_roll_comp = -6.7701 mrad, theta_setpoint = -41.3363 mrad, 
msg =  461, time steps =   10, qsz =    2, switch = on, t =     9222 ms, ax =  0.5226, ay =  0.0048, az =  9.9135, gx = -0.0241 rad/s, gy =  0.0003 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = -4550, I_w_pitch = -0.0000 A, I_w_roll = -1.2032 A, theta_roll_comp = -7.0093 mrad, theta_setpoint = -41.5917 mrad, 
msg =  462, time steps =   10, qsz =    2, switch = on, t =     9242 ms, ax =  0.5658, ay =  0.0635, az =  9.9866, gx = -0.0307 rad/s, gy =  0.0019 rad/s, gz =  0.0103 rad/s, erpm_pitch =    0, erpm_roll = -4550, I_w_pitch = -0.0000 A, I_w_roll =  0.0559 A, theta_roll_comp = -7.3893 mrad, theta_setpoint = -41.5917 mrad, 
msg =  463, time steps =   10, qsz =    2, switch = on, t =     9262 ms, ax =  0.5562, ay =  0.0911, az =  9.9471, gx = -0.0302 rad/s, gy =  0.0007 rad/s, gz =  0.0061 rad/s, erpm_pitch =    0, erpm_roll = -5222, I_w_pitch = -0.0000 A, I_w_roll = -0.0246 A, theta_roll_comp = -7.7204 mrad, theta_setpoint = -41.8268 mrad, 
msg =  464, time steps =   10, qsz =    2, switch = on, t =     9282 ms, ax =  0.5418, ay = -0.0192, az =  9.9015, gx = -0.0283 rad/s, gy = -0.0017 rad/s, gz = -0.0052 rad/s, erpm_pitch =    0, erpm_roll = -5537, I_w_pitch = -0.0000 A, I_w_roll = -0.3180 A, theta_roll_comp = -8.0939 mrad, theta_setpoint = -41.9370 mrad, 
msg =  465, time steps =   10, qsz =    2, switch = on, t =     9302 ms, ax =  0.5730, ay = -0.0779, az =  9.9255, gx = -0.0326 rad/s, gy = -0.0014 rad/s, gz = -0.0063 rad/s, erpm_pitch =    0, erpm_roll = -5537, I_w_pitch = -0.0000 A, I_w_roll =  0.5355 A, theta_roll_comp = -8.6347 mrad, theta_setpoint = -41.9370 mrad, 
msg =  466, time steps =   10, qsz =    2, switch = on, t =     9322 ms, ax =  0.6030, ay =  0.0288, az =  9.9746, gx = -0.0360 rad/s, gy =  0.0006 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = -6126, I_w_pitch = -0.0000 A, I_w_roll =  1.2245 A, theta_roll_comp = -9.2524 mrad, theta_setpoint = -42.1430 mrad, 
msg =  467, time steps =   10, qsz =    2, switch = on, t =     9342 ms, ax =  0.5850, ay =  0.0024, az =  9.9662, gx = -0.0331 rad/s, gy =  0.0019 rad/s, gz =  0.0103 rad/s, erpm_pitch =    0, erpm_roll = -6126, I_w_pitch = -0.0000 A, I_w_roll =  0.7750 A, theta_roll_comp = -9.7385 mrad, theta_setpoint = -42.1430 mrad, 
msg =  468, time steps =   10, qsz =    2, switch = on, t =     9362 ms, ax =  0.5790, ay = -0.0276, az =  9.9279, gx = -0.0334 rad/s, gy =  0.0020 rad/s, gz =  0.0092 rad/s, erpm_pitch =    0, erpm_roll = -6658, I_w_pitch = -0.0000 A, I_w_roll =  0.8867 A, theta_roll_comp = -10.3230 mrad, theta_setpoint = -42.3291 mrad, 
msg =  469, time steps =   10, qsz =    2, switch = on, t =     9382 ms, ax =  0.5478, ay = -0.0575, az =  9.9471, gx = -0.0376 rad/s, gy =  0.0030 rad/s, gz =  0.0040 rad/s, erpm_pitch =    0, erpm_roll = -6903, I_w_pitch = -0.0000 A, I_w_roll =  1.7386 A, theta_roll_comp = -10.9398 mrad, theta_setpoint = -42.4148 mrad, 
msg =  470, time steps =   10, qsz =    2, switch = on, t =     9402 ms, ax =  0.5958, ay = -0.0611, az =  9.9507, gx = -0.0362 rad/s, gy =  0.0018 rad/s, gz = -0.0091 rad/s, erpm_pitch =    0, erpm_roll = -6903, I_w_pitch = -0.0000 A, I_w_roll =  1.5864 A, theta_roll_comp = -11.6363 mrad, theta_setpoint = -42.4148 mrad, 
msg =  471, time steps =   10, qsz =    2, switch = on, t =     9422 ms, ax =  0.5286, ay = -0.0647, az =  9.9039, gx = -0.0319 rad/s, gy = -0.0002 rad/s, gz = -0.0127 rad/s, erpm_pitch =    0, erpm_roll = -7363, I_w_pitch = -0.0000 A, I_w_roll =  0.8869 A, theta_roll_comp = -12.2188 mrad, theta_setpoint = -42.5757 mrad, 
msg =  472, time steps =   10, qsz =    2, switch = on, t =     9442 ms, ax =  0.5119, ay = -0.1235, az =  9.9243, gx = -0.0347 rad/s, gy =  0.0004 rad/s, gz =  0.0045 rad/s, erpm_pitch =    0, erpm_roll = -7573, I_w_pitch = -0.0000 A, I_w_roll =  1.4840 A, theta_roll_comp = -12.8785 mrad, theta_setpoint = -42.6492 mrad, 
msg =  473, time steps =   10, qsz =    2, switch = on, t =     9462 ms, ax =  0.5970, ay = -0.0264, az =  9.9770, gx = -0.0363 rad/s, gy =  0.0019 rad/s, gz =  0.0200 rad/s, erpm_pitch =    0, erpm_roll = -7573, I_w_pitch = -0.0000 A, I_w_roll =  1.8876 A, theta_roll_comp = -13.6030 mrad, theta_setpoint = -42.6492 mrad, 
msg =  474, time steps =   10, qsz =    2, switch = on, t =     9482 ms, ax =  0.5538, ay = -0.0803, az =  9.9363, gx = -0.0331 rad/s, gy =  0.0002 rad/s, gz =  0.0182 rad/s, erpm_pitch =    0, erpm_roll = -7966, I_w_pitch = -0.0000 A, I_w_roll =  1.3820 A, theta_roll_comp = -14.1759 mrad, theta_setpoint = -42.7867 mrad, 
msg =  475, time steps =   10, qsz =    2, switch = on, t =     9502 ms, ax =  0.5430, ay = -0.2314, az =  9.8787, gx = -0.0316 rad/s, gy = -0.0008 rad/s, gz = -0.0073 rad/s, erpm_pitch =    0, erpm_roll = -7966, I_w_pitch = -0.0000 A, I_w_roll =  1.2185 A, theta_roll_comp = -14.8018 mrad, theta_setpoint = -42.7867 mrad, 
msg =  476, time steps =   10, qsz =    2, switch = on, t =     9522 ms, ax =  0.6137, ay = -0.1163, az =  9.9435, gx = -0.0342 rad/s, gy =  0.0000 rad/s, gz = -0.0216 rad/s, erpm_pitch =    0, erpm_roll = -8335, I_w_pitch = -0.0000 A, I_w_roll =  1.7621 A, theta_roll_comp = -15.4819 mrad, theta_setpoint = -42.9158 mrad, 
msg =  477, time steps =   10, qsz =    2, switch = on, t =     9542 ms, ax =  0.5119, ay = -0.1259, az = 10.0238, gx = -0.0327 rad/s, gy =  0.0020 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -8507, I_w_pitch = -0.0000 A, I_w_roll =  1.5909 A, theta_roll_comp = -16.1198 mrad, theta_setpoint = -42.9759 mrad, 

Terminating...
Skipping tty reset...
Thanks for using picocom
