picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0020 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = 1221724868382616705607437123584.0000 mrad, 
msg =  369, time steps =   10, qsz =    2, switch = on, t =     7382 ms, ax =  0.5634, ay = -0.2997, az =  9.9459, gx =  0.0050 rad/s, gy =  0.0022 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = 1365, I_w_pitch = -0.0000 A, I_w_roll = -1.5804 A, theta_roll_comp = -35.7162 mrad, theta_setpoint = -40.0000 mrad, 
msg =  370, time steps =   10, qsz =    2, switch = on, t =     7402 ms, ax =  0.5670, ay = -0.2817, az =  9.9315, gx =  0.0044 rad/s, gy =  0.0014 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 1365, I_w_pitch = -0.0000 A, I_w_roll = -1.5177 A, theta_roll_comp = -35.5092 mrad, theta_setpoint = -40.0000 mrad, 
msg =  371, time steps =   10, qsz =    2, switch = on, t =     7422 ms, ax =  0.5694, ay = -0.2589, az =  9.9447, gx =  0.0043 rad/s, gy =  0.0020 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 1260, I_w_pitch = -0.0000 A, I_w_roll = -1.5355 A, theta_roll_comp = -35.2481 mrad, theta_setpoint = -40.0000 mrad, 
msg =  372, time steps =   10, qsz =    2, switch = on, t =     7442 ms, ax =  0.5826, ay = -0.2853, az =  9.9351, gx =  0.0047 rad/s, gy =  0.0015 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 1233, I_w_pitch = -0.0000 A, I_w_roll = -1.6482 A, theta_roll_comp = -34.9933 mrad, theta_setpoint = -40.0000 mrad, 
msg =  373, time steps =   10, qsz =    2, switch = on, t =     7462 ms, ax =  0.5610, ay = -0.2625, az =  9.9543, gx =  0.0038 rad/s, gy =  0.0018 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = 1233, I_w_pitch = -0.0000 A, I_w_roll = -1.5170 A, theta_roll_comp = -34.7643 mrad, theta_setpoint = -40.0000 mrad, 
msg =  374, time steps =   10, qsz =    2, switch = on, t =     7482 ms, ax =  0.5586, ay = -0.2925, az =  9.9555, gx =  0.0043 rad/s, gy =  0.0019 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = 1104, I_w_pitch = -0.0000 A, I_w_roll = -1.6477 A, theta_roll_comp = -34.5471 mrad, theta_setpoint = -40.0000 mrad, 
msg =  375, time steps =   10, qsz =    2, switch = on, t =     7502 ms, ax =  0.5502, ay = -0.3117, az =  9.9399, gx =  0.0051 rad/s, gy =  0.0014 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = 1104, I_w_pitch = -0.0000 A, I_w_roll = -1.8203 A, theta_roll_comp = -34.3671 mrad, theta_setpoint = -40.0000 mrad, 
msg =  376, time steps =   10, qsz =    2, switch = on, t =     7522 ms, ax =  0.5718, ay = -0.2889, az =  9.9423, gx =  0.0035 rad/s, gy =  0.0020 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = 1013, I_w_pitch = -0.0000 A, I_w_roll = -1.5536 A, theta_roll_comp = -34.2364 mrad, theta_setpoint = -40.0000 mrad, 
msg =  377, time steps =   10, qsz =    2, switch = on, t =     7542 ms, ax =  0.6018, ay = -0.2433, az =  9.9567, gx =  0.0044 rad/s, gy =  0.0019 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =  934, I_w_pitch = -0.0000 A, I_w_roll = -1.7613 A, theta_roll_comp = -33.9865 mrad, theta_setpoint = -40.0000 mrad, 
msg =  378, time steps =   10, qsz =    2, switch = on, t =     7562 ms, ax =  0.6018, ay = -0.2565, az =  9.9351, gx =  0.0060 rad/s, gy =  0.0016 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =  934, I_w_pitch = -0.0000 A, I_w_roll = -2.0937 A, theta_roll_comp = -33.7067 mrad, theta_setpoint = -40.0000 mrad, 
msg =  379, time steps =   10, qsz =    2, switch = on, t =     7582 ms, ax =  0.5886, ay = -0.2757, az =  9.9267, gx =  0.0032 rad/s, gy =  0.0016 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll =  868, I_w_pitch = -0.0000 A, I_w_roll = -1.6248 A, theta_roll_comp = -33.4916 mrad, theta_setpoint = -40.0000 mrad, 
msg =  380, time steps =   10, qsz =    2, switch = on, t =     7602 ms, ax =  0.5874, ay = -0.2505, az =  9.9375, gx =  0.0026 rad/s, gy =  0.0022 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =  868, I_w_pitch = -0.0000 A, I_w_roll = -1.5339 A, theta_roll_comp = -33.3109 mrad, theta_setpoint = -40.0000 mrad, 
msg =  381, time steps =   10, qsz =    2, switch = on, t =     7622 ms, ax =  0.5862, ay = -0.2038, az =  9.9411, gx =  0.0042 rad/s, gy =  0.0014 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =  700, I_w_pitch = -0.0000 A, I_w_roll = -1.8647 A, theta_roll_comp = -33.0411 mrad, theta_setpoint = -40.0000 mrad, 
msg =  382, time steps =   10, qsz =    2, switch = on, t =     7642 ms, ax =  0.5682, ay = -0.2445, az =  9.9363, gx =  0.0030 rad/s, gy =  0.0016 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll =  639, I_w_pitch = -0.0000 A, I_w_roll = -1.6912 A, theta_roll_comp = -32.7770 mrad, theta_setpoint = -40.0000 mrad, 
msg =  383, time steps =   10, qsz =    2, switch = on, t =     7662 ms, ax =  0.5658, ay = -0.2493, az =  9.9519, gx =  0.0020 rad/s, gy =  0.0020 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll =  639, I_w_pitch = -0.0000 A, I_w_roll = -1.5557 A, theta_roll_comp = -32.5752 mrad, theta_setpoint = -40.0000 mrad, 
msg =  384, time steps =   10, qsz =    2, switch = on, t =     7682 ms, ax =  0.5706, ay = -0.2649, az =  9.9291, gx =  0.0034 rad/s, gy =  0.0018 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll =  586, I_w_pitch = -0.0000 A, I_w_roll = -1.8240 A, theta_roll_comp = -32.3963 mrad, theta_setpoint = -40.0000 mrad, 
msg =  385, time steps =   10, qsz =    2, switch = on, t =     7702 ms, ax =  0.5730, ay = -0.2709, az =  9.9303, gx =  0.0030 rad/s, gy =  0.0018 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =  466, I_w_pitch = -0.0000 A, I_w_roll = -1.7766 A, theta_roll_comp = -32.2433 mrad, theta_setpoint = -40.0000 mrad, 
msg =  386, time steps =   10, qsz =    2, switch = on, t =     7722 ms, ax =  0.5742, ay = -0.2649, az =  9.9363, gx =  0.0023 rad/s, gy =  0.0022 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =  466, I_w_pitch = -0.0000 A, I_w_roll = -1.6806 A, theta_roll_comp = -32.0944 mrad, theta_setpoint = -40.0000 mrad, 
msg =  387, time steps =   10, qsz =    2, switch = on, t =     7742 ms, ax =  0.5766, ay = -0.2529, az =  9.9399, gx =  0.0027 rad/s, gy =  0.0016 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =  397, I_w_pitch = -0.0000 A, I_w_roll = -1.7806 A, theta_roll_comp = -31.9184 mrad, theta_setpoint = -40.0000 mrad, 
msg =  388, time steps =   10, qsz =    2, switch = on, t =     7762 ms, ax =  0.5754, ay = -0.2433, az =  9.9459, gx =  0.0022 rad/s, gy =  0.0016 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =  397, I_w_pitch = -0.0000 A, I_w_roll = -1.7152 A, theta_roll_comp = -31.7281 mrad, theta_setpoint = -40.0000 mrad, 
msg =  389, time steps =   10, qsz =    2, switch = on, t =     7782 ms, ax =  0.5850, ay = -0.2182, az =  9.9519, gx =  0.0010 rad/s, gy =  0.0019 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll =  255, I_w_pitch = -0.0000 A, I_w_roll = -1.5283 A, theta_roll_comp = -31.5483 mrad, theta_setpoint = -40.0000 mrad, 
msg =  390, time steps =   10, qsz =    2, switch = on, t =     7802 ms, ax =  0.5802, ay = -0.2338, az =  9.9411, gx =  0.0007 rad/s, gy =  0.0023 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll =  182, I_w_pitch = -0.0000 A, I_w_roll = -1.5080 A, theta_roll_comp = -31.3752 mrad, theta_setpoint = -40.0000 mrad, 
msg =  391, time steps =   10, qsz =    2, switch = on, t =     7822 ms, ax =  0.5622, ay = -0.2565, az =  9.9447, gx =  0.0007 rad/s, gy =  0.0016 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll =  182, I_w_pitch = -0.0000 A, I_w_roll = -1.5311 A, theta_roll_comp = -31.2312 mrad, theta_setpoint = -40.0000 mrad, 
msg =  392, time steps =   10, qsz =    2, switch = on, t =     7842 ms, ax =  0.5538, ay = -0.2601, az =  9.9399, gx =  0.0002 rad/s, gy =  0.0012 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =   60, I_w_pitch = -0.0000 A, I_w_roll = -1.4525 A, theta_roll_comp = -31.1228 mrad, theta_setpoint = -40.0000 mrad, 
msg =  393, time steps =   10, qsz =    2, switch = on, t =     7862 ms, ax =  0.5586, ay = -0.2649, az =  9.9411, gx =  0.0006 rad/s, gy =  0.0010 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =   60, I_w_pitch = -0.0000 A, I_w_roll = -1.5416 A, theta_roll_comp = -31.0155 mrad, theta_setpoint = -40.0000 mrad, 
msg =  394, time steps =   10, qsz =    2, switch = on, t =     7882 ms, ax =  0.5706, ay = -0.2685, az =  9.9447, gx =  0.0003 rad/s, gy =  0.0006 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =  -24, I_w_pitch = -0.0000 A, I_w_roll = -1.5101 A, theta_roll_comp = -30.9126 mrad, theta_setpoint = -40.0000 mrad, 
msg =  395, time steps =   10, qsz =    2, switch = on, t =     7902 ms, ax =  0.5826, ay = -0.2721, az =  9.9519, gx =  0.0004 rad/s, gy =  0.0008 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll =  -52, I_w_pitch = -0.0000 A, I_w_roll = -1.5491 A, theta_roll_comp = -30.8190 mrad, theta_setpoint = -40.0000 mrad, 
msg =  396, time steps =   10, qsz =    2, switch = on, t =     7922 ms, ax =  0.5874, ay = -0.2721, az =  9.9459, gx =  0.0011 rad/s, gy =  0.0012 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =  -52, I_w_pitch = -0.0000 A, I_w_roll = -1.6845 A, theta_roll_comp = -30.7214 mrad, theta_setpoint = -40.0000 mrad, 
msg =  397, time steps =   10, qsz =    2, switch = on, t =     7942 ms, ax =  0.5946, ay = -0.2613, az =  9.9423, gx =  0.0011 rad/s, gy =  0.0020 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -104, I_w_pitch = -0.0000 A, I_w_roll = -1.7012 A, theta_roll_comp = -30.6170 mrad, theta_setpoint = -40.0000 mrad, 
msg =  398, time steps =   10, qsz =    2, switch = on, t =     7962 ms, ax =  0.5814, ay = -0.2589, az =  9.9447, gx =  0.0011 rad/s, gy =  0.0022 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -104, I_w_pitch = -0.0000 A, I_w_roll = -1.7198 A, theta_roll_comp = -30.5011 mrad, theta_setpoint = -40.0000 mrad, 
msg =  399, time steps =   10, qsz =    2, switch = on, t =     7982 ms, ax =  0.5814, ay = -0.2541, az =  9.9375, gx =  0.0018 rad/s, gy =  0.0024 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -162, I_w_pitch = -0.0000 A, I_w_roll = -1.8590 A, theta_roll_comp = -30.3803 mrad, theta_setpoint = -40.0000 mrad, 
msg =  400, time steps =   10, qsz =    2, switch = on, t =     8002 ms, ax =  0.5622, ay = -0.2505, az =  9.9375, gx =  0.0019 rad/s, gy =  0.0024 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = -209, I_w_pitch = -0.0000 A, I_w_roll = -1.9033 A, theta_roll_comp = -30.2529 mrad, theta_setpoint = -40.0000 mrad, 
msg =  401, time steps =   10, qsz =    2, switch = on, t =     8022 ms, ax =  0.5538, ay = -0.2457, az =  9.9435, gx =  0.0015 rad/s, gy =  0.0020 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -209, I_w_pitch = -0.0000 A, I_w_roll = -1.8539 A, theta_roll_comp = -30.1125 mrad, theta_setpoint = -40.0000 mrad, 
msg =  402, time steps =   10, qsz =    2, switch = on, t =     8042 ms, ax =  0.5598, ay = -0.2397, az =  9.9435, gx =  0.0016 rad/s, gy =  0.0020 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = -325, I_w_pitch = -0.0000 A, I_w_roll = -1.9020 A, theta_roll_comp = -29.9617 mrad, theta_setpoint = -40.0000 mrad, 
msg =  403, time steps =   10, qsz =    2, switch = on, t =     8062 ms, ax =  0.5682, ay = -0.2170, az =  9.9351, gx =  0.0016 rad/s, gy =  0.0012 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -325, I_w_pitch = -0.0000 A, I_w_roll = -1.9301 A, theta_roll_comp = -29.7857 mrad, theta_setpoint = -40.0000 mrad, 
msg =  404, time steps =   10, qsz =    2, switch = on, t =     8082 ms, ax =  0.5658, ay = -0.2230, az =  9.9447, gx =  0.0011 rad/s, gy =  0.0012 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -414, I_w_pitch = -0.0000 A, I_w_roll = -1.8606 A, theta_roll_comp = -29.6211 mrad, theta_setpoint = -40.0000 mrad, 
msg =  405, time steps =   10, qsz =    2, switch = on, t =     8102 ms, ax =  0.5742, ay = -0.2613, az =  9.9399, gx =  0.0010 rad/s, gy =  0.0010 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = -462, I_w_pitch = -0.0000 A, I_w_roll = -1.8541 A, theta_roll_comp = -29.5122 mrad, theta_setpoint = -40.0000 mrad, 
msg =  406, time steps =   10, qsz =    2, switch = on, t =     8122 ms, ax =  0.5730, ay = -0.2314, az =  9.9303, gx =  0.0003 rad/s, gy =  0.0014 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -462, I_w_pitch = -0.0000 A, I_w_roll = -1.7489 A, theta_roll_comp = -29.4201 mrad, theta_setpoint = -40.0000 mrad, 
msg =  407, time steps =   10, qsz =    2, switch = on, t =     8142 ms, ax =  0.5838, ay = -0.1858, az =  9.9387, gx =  0.0000 rad/s, gy =  0.0016 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -621, I_w_pitch = -0.0000 A, I_w_roll = -1.7281 A, theta_roll_comp = -29.2509 mrad, theta_setpoint = -40.0000 mrad, 
msg =  408, time steps =   10, qsz =    2, switch = on, t =     8162 ms, ax =  0.5814, ay = -0.2361, az =  9.9339, gx =  0.0006 rad/s, gy =  0.0015 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -684, I_w_pitch = -0.0000 A, I_w_roll = -1.8501 A, theta_roll_comp = -29.0875 mrad, theta_setpoint = -40.0000 mrad, 
msg =  409, time steps =   10, qsz =    2, switch = on, t =     8182 ms, ax =  0.5826, ay = -0.2385, az =  9.9315, gx = -0.0004 rad/s, gy =  0.0016 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -684, I_w_pitch = -0.0000 A, I_w_roll = -1.6991 A, theta_roll_comp = -28.9829 mrad, theta_setpoint = -40.0000 mrad, 
msg =  410, time steps =   10, qsz =    2, switch = on, t =     8202 ms, ax =  0.5694, ay = -0.2194, az =  9.9483, gx = -0.0014 rad/s, gy =  0.0020 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -859, I_w_pitch = -0.0000 A, I_w_roll = -1.5265 A, theta_roll_comp = -28.8632 mrad, theta_setpoint = -40.0000 mrad, 
msg =  411, time steps =   10, qsz =    2, switch = on, t =     8222 ms, ax =  0.5598, ay = -0.2493, az =  9.9399, gx = -0.0004 rad/s, gy =  0.0012 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -859, I_w_pitch = -0.0000 A, I_w_roll = -1.7366 A, theta_roll_comp = -28.7486 mrad, theta_setpoint = -40.0000 mrad, 
msg =  412, time steps =   10, qsz =    2, switch = on, t =     8242 ms, ax =  0.5718, ay = -0.2326, az =  9.9363, gx = -0.0016 rad/s, gy =  0.0010 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -1039, I_w_pitch = -0.0000 A, I_w_roll = -1.5361 A, theta_roll_comp = -28.6530 mrad, theta_setpoint = -40.0000 mrad, 
msg =  413, time steps =   10, qsz =    2, switch = on, t =     8262 ms, ax =  0.5742, ay = -0.2350, az =  9.9387, gx = -0.0022 rad/s, gy =  0.0019 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -1133, I_w_pitch = -0.0000 A, I_w_roll = -1.4313 A, theta_roll_comp = -28.5593 mrad, theta_setpoint = -40.0000 mrad, 
msg =  414, time steps =   10, qsz =    2, switch = on, t =     8282 ms, ax =  0.5754, ay = -0.2074, az =  9.9483, gx = -0.0013 rad/s, gy =  0.0012 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = -1133, I_w_pitch = -0.0000 A, I_w_roll = -1.6179 A, theta_roll_comp = -28.4413 mrad, theta_setpoint = -40.0000 mrad, 
msg =  415, time steps =   10, qsz =    2, switch = on, t =     8302 ms, ax =  0.5646, ay = -0.2565, az =  9.9255, gx = -0.0024 rad/s, gy =  0.0019 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -1335, I_w_pitch = -0.0000 A, I_w_roll = -1.4401 A, theta_roll_comp = -28.3547 mrad, theta_setpoint = -40.0000 mrad, 
msg =  416, time steps =   10, qsz =    2, switch = on, t =     8322 ms, ax =  0.5982, ay = -0.2373, az =  9.9303, gx = -0.0037 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -1335, I_w_pitch = -0.0000 A, I_w_roll = -1.2085 A, theta_roll_comp = -28.3040 mrad, theta_setpoint = -40.0000 mrad, 
msg =  417, time steps =   10, qsz =    2, switch = on, t =     8342 ms, ax =  0.5694, ay = -0.1894, az =  9.9507, gx = -0.0029 rad/s, gy =  0.0020 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -1551, I_w_pitch = -0.0000 A, I_w_roll = -1.3623 A, theta_roll_comp = -28.2412 mrad, theta_setpoint = -40.0000 mrad, 
msg =  418, time steps =   10, qsz =    2, switch = on, t =     8362 ms, ax =  0.5754, ay = -0.2086, az =  9.9327, gx = -0.0041 rad/s, gy =  0.0011 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = -1670, I_w_pitch = -0.0000 A, I_w_roll = -1.1573 A, theta_roll_comp = -28.1743 mrad, theta_setpoint = -40.0000 mrad, 
msg =  419, time steps =   10, qsz =    2, switch = on, t =     8382 ms, ax =  0.5502, ay = -0.2469, az =  9.9135, gx = -0.0053 rad/s, gy =  0.0018 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -1670, I_w_pitch = -0.0000 A, I_w_roll = -0.9477 A, theta_roll_comp = -28.1366 mrad, theta_setpoint = -40.0000 mrad, 
msg =  420, time steps =   10, qsz =    2, switch = on, t =     8402 ms, ax =  0.5562, ay = -0.2014, az =  9.9387, gx = -0.0046 rad/s, gy =  0.0016 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -1904, I_w_pitch = -0.0000 A, I_w_roll = -1.0758 A, theta_roll_comp = -28.0848 mrad, theta_setpoint = -40.0000 mrad, 
msg =  421, time steps =   10, qsz =    2, switch = on, t =     8422 ms, ax =  0.5562, ay = -0.1738, az =  9.9387, gx = -0.0053 rad/s, gy =  0.0011 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -1904, I_w_pitch = -0.0000 A, I_w_roll = -0.9618 A, theta_roll_comp = -28.0484 mrad, theta_setpoint = -40.0000 mrad, 
msg =  422, time steps =   10, qsz =    2, switch = on, t =     8442 ms, ax =  0.5682, ay = -0.1750, az =  9.9087, gx = -0.0073 rad/s, gy =  0.0012 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -2128, I_w_pitch = -0.0000 A, I_w_roll = -0.6079 A, theta_roll_comp = -28.0130 mrad, theta_setpoint = -40.0000 mrad, 
msg =  423, time steps =   10, qsz =    2, switch = on, t =     8462 ms, ax =  0.5838, ay = -0.1606, az =  9.9123, gx = -0.0077 rad/s, gy =  0.0007 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = -2251, I_w_pitch = -0.0000 A, I_w_roll = -0.5384 A, theta_roll_comp = -27.9983 mrad, theta_setpoint = -40.0000 mrad, 
msg =  424, time steps =   10, qsz =    2, switch = on, t =     8482 ms, ax =  0.5826, ay = -0.1618, az =  9.9315, gx = -0.0079 rad/s, gy =  0.0008 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = -2251, I_w_pitch = -0.0000 A, I_w_roll = -0.4926 A, theta_roll_comp = -27.9849 mrad, theta_setpoint = -40.0000 mrad, 
msg =  425, time steps =   10, qsz =    2, switch = on, t =     8502 ms, ax =  0.5706, ay = -0.1990, az =  9.9531, gx = -0.0098 rad/s, gy =  0.0019 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = -2487, I_w_pitch = -0.0000 A, I_w_roll = -0.1520 A, theta_roll_comp = -28.0165 mrad, theta_setpoint = -40.0000 mrad, 
msg =  426, time steps =   10, qsz =    2, switch = on, t =     8522 ms, ax =  0.5574, ay = -0.2038, az =  9.9626, gx = -0.0097 rad/s, gy =  0.0019 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -2487, I_w_pitch = -0.0000 A, I_w_roll = -0.1667 A, theta_roll_comp = -28.0742 mrad, theta_setpoint = -40.0000 mrad, 
msg =  427, time steps =   10, qsz =    2, switch = on, t =     8542 ms, ax =  0.5730, ay = -0.2421, az =  9.9207, gx = -0.0091 rad/s, gy =  0.0015 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -2710, I_w_pitch = -0.0000 A, I_w_roll = -0.2482 A, theta_roll_comp = -28.1640 mrad, theta_setpoint = -40.0000 mrad, 
msg =  428, time steps =   10, qsz =    2, switch = on, t =     8562 ms, ax =  0.5814, ay = -0.1750, az =  9.9315, gx = -0.0103 rad/s, gy =  0.0011 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = -2818, I_w_pitch = -0.0000 A, I_w_roll = -0.0206 A, theta_roll_comp = -28.2381 mrad, theta_setpoint = -40.0000 mrad, 
msg =  429, time steps =   10, qsz =    2, switch = on, t =     8582 ms, ax =  0.5670, ay = -0.1283, az =  9.9459, gx = -0.0097 rad/s, gy =  0.0011 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -2818, I_w_pitch = -0.0000 A, I_w_roll = -0.1292 A, theta_roll_comp = -28.3085 mrad, theta_setpoint = -40.0000 mrad, 
msg =  430, time steps =   10, qsz =    2, switch = on, t =     8602 ms, ax =  0.5514, ay = -0.1103, az =  9.9591, gx = -0.0083 rad/s, gy =  0.0006 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = -3025, I_w_pitch = -0.0000 A, I_w_roll = -0.3585 A, theta_roll_comp = -28.3732 mrad, theta_setpoint = -40.0000 mrad, 
msg =  431, time steps =   10, qsz =    2, switch = on, t =     8622 ms, ax =  0.5742, ay = -0.1618, az =  9.9567, gx = -0.0081 rad/s, gy =  0.0012 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -3128, I_w_pitch = -0.0000 A, I_w_roll = -0.3929 A, theta_roll_comp = -28.4581 mrad, theta_setpoint = -40.0000 mrad, 
msg =  432, time steps =   10, qsz =    2, switch = on, t =     8642 ms, ax =  0.5802, ay = -0.2493, az =  9.9483, gx = -0.0082 rad/s, gy =  0.0014 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -3128, I_w_pitch = -0.0000 A, I_w_roll = -0.3588 A, theta_roll_comp = -28.5216 mrad, theta_setpoint = -40.0000 mrad, 
msg =  433, time steps =   10, qsz =    2, switch = on, t =     8662 ms, ax =  0.5982, ay = -0.2326, az =  9.9351, gx = -0.0078 rad/s, gy =  0.0010 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -3339, I_w_pitch = -0.0000 A, I_w_roll = -0.4316 A, theta_roll_comp = -28.5161 mrad, theta_setpoint = -40.0000 mrad, 
msg =  434, time steps =   10, qsz =    2, switch = on, t =     8682 ms, ax =  0.5574, ay = -0.1858, az =  9.9435, gx = -0.0090 rad/s, gy =  0.0019 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -3339, I_w_pitch = -0.0000 A, I_w_roll = -0.2106 A, theta_roll_comp = -28.5487 mrad, theta_setpoint = -40.0000 mrad, 
msg =  435, time steps =   10, qsz =    2, switch = on, t =     8702 ms, ax =  0.5814, ay = -0.2206, az =  9.9567, gx = -0.0098 rad/s, gy =  0.0023 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -3544, I_w_pitch = -0.0000 A, I_w_roll = -0.0567 A, theta_roll_comp = -28.6120 mrad, theta_setpoint = -40.0000 mrad, 
msg =  436, time steps =   10, qsz =    2, switch = on, t =     8722 ms, ax =  0.5898, ay = -0.2637, az =  9.9315, gx = -0.0099 rad/s, gy =  0.0020 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = -3656, I_w_pitch = -0.0000 A, I_w_roll = -0.0237 A, theta_roll_comp = -28.6683 mrad, theta_setpoint = -40.0000 mrad, 
msg =  437, time steps =   10, qsz =    2, switch = on, t =     8742 ms, ax =  0.5466, ay = -0.2122, az =  9.9279, gx = -0.0106 rad/s, gy =  0.0018 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = -3656, I_w_pitch = -0.0000 A, I_w_roll =  0.1128 A, theta_roll_comp = -28.7726 mrad, theta_setpoint = -40.0000 mrad, 
msg =  438, time steps =   10, qsz =    2, switch = on, t =     8762 ms, ax =  0.5550, ay = -0.2469, az =  9.9051, gx = -0.0113 rad/s, gy =  0.0018 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = -3864, I_w_pitch = -0.0000 A, I_w_roll =  0.2472 A, theta_roll_comp = -28.8638 mrad, theta_setpoint = -40.0000 mrad, 
