picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  242, time steps =   10, qsz =    2, switch = off, t =     4842 ms, ax =  0.5838, ay = -0.2853, az =  9.9351, gx = -0.0079 rad/s, gy =  0.0011 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.4015 A, theta_roll_comp = -33.5729 mrad, theta_setpoint = -40.0000 mrad, 
msg =  381, time steps =   10, qsz =    2, switch = on, t =     7622 ms, ax =  0.5071, ay = -0.2697, az =  9.9579, gx = -0.0059 rad/s, gy =  0.0011 rad/s, gz = -0.0057 rad/s, erpm_pitch =    0, erpm_roll = -5691, I_w_pitch = -0.0000 A, I_w_roll =  0.0520 A, theta_roll_comp = -31.6447 mrad, theta_setpoint = -38.0092 mrad, 
msg =  382, time steps =   10, qsz =    2, switch = on, t =     7642 ms, ax =  0.5370, ay = -0.3009, az =  9.9363, gx = -0.0050 rad/s, gy =  0.0004 rad/s, gz = -0.0032 rad/s, erpm_pitch =    0, erpm_roll = -5763, I_w_pitch = -0.0000 A, I_w_roll = -0.1047 A, theta_roll_comp = -31.6884 mrad, theta_setpoint = -37.9840 mrad, 
msg =  383, time steps =   10, qsz =    2, switch = on, t =     7662 ms, ax =  0.6090, ay = -0.2937, az =  9.9363, gx = -0.0057 rad/s, gy =  0.0007 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = -5763, I_w_pitch = -0.0000 A, I_w_roll =  0.0264 A, theta_roll_comp = -31.7589 mrad, theta_setpoint = -37.9840 mrad, 
msg =  384, time steps =   10, qsz =    2, switch = on, t =     7682 ms, ax =  0.5970, ay = -0.1966, az =  9.9339, gx = -0.0059 rad/s, gy =  0.0012 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = -5902, I_w_pitch = -0.0000 A, I_w_roll =  0.0730 A, theta_roll_comp = -31.7021 mrad, theta_setpoint = -37.9353 mrad, 
msg =  385, time steps =   10, qsz =    2, switch = on, t =     7702 ms, ax =  0.5730, ay = -0.2026, az =  9.9387, gx = -0.0062 rad/s, gy =  0.0019 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = -6048, I_w_pitch = -0.0000 A, I_w_roll =  0.1129 A, theta_roll_comp = -31.6006 mrad, theta_setpoint = -37.8843 mrad, 
msg =  386, time steps =   10, qsz =    2, switch = on, t =     7722 ms, ax =  0.5478, ay = -0.2601, az =  9.9375, gx = -0.0069 rad/s, gy =  0.0020 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = -6048, I_w_pitch = -0.0000 A, I_w_roll =  0.2289 A, theta_roll_comp = -31.5769 mrad, theta_setpoint = -37.8843 mrad, 
msg =  387, time steps =   10, qsz =    2, switch = on, t =     7742 ms, ax =  0.5874, ay = -0.3081, az =  9.9135, gx = -0.0063 rad/s, gy =  0.0022 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -6127, I_w_pitch = -0.0000 A, I_w_roll =  0.1489 A, theta_roll_comp = -31.6486 mrad, theta_setpoint = -37.8566 mrad, 
msg =  388, time steps =   10, qsz =    2, switch = on, t =     7762 ms, ax =  0.5250, ay = -0.3213, az =  9.9171, gx = -0.0050 rad/s, gy =  0.0012 rad/s, gz = -0.0060 rad/s, erpm_pitch =    0, erpm_roll = -6127, I_w_pitch = -0.0000 A, I_w_roll = -0.0717 A, theta_roll_comp = -31.7678 mrad, theta_setpoint = -37.8566 mrad, 
msg =  389, time steps =   10, qsz =    2, switch = on, t =     7782 ms, ax =  0.5490, ay = -0.3237, az =  9.9543, gx = -0.0046 rad/s, gy =  0.0008 rad/s, gz = -0.0055 rad/s, erpm_pitch =    0, erpm_roll = -6265, I_w_pitch = -0.0000 A, I_w_roll = -0.1195 A, theta_roll_comp = -31.8697 mrad, theta_setpoint = -37.8084 mrad, 
msg =  390, time steps =   10, qsz =    2, switch = on, t =     7802 ms, ax =  0.5023, ay = -0.2445, az =  9.9950, gx = -0.0051 rad/s, gy =  0.0014 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = -6333, I_w_pitch = -0.0000 A, I_w_roll = -0.0196 A, theta_roll_comp = -31.8717 mrad, theta_setpoint = -37.7846 mrad, 
msg =  391, time steps =   10, qsz =    2, switch = on, t =     7822 ms, ax =  0.5874, ay = -0.2565, az =  9.9399, gx = -0.0054 rad/s, gy =  0.0012 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = -6333, I_w_pitch = -0.0000 A, I_w_roll =  0.0238 A, theta_roll_comp = -31.8428 mrad, theta_setpoint = -37.7846 mrad, 
msg =  392, time steps =   10, qsz =    2, switch = on, t =     7842 ms, ax =  0.6209, ay = -0.1954, az =  9.9447, gx = -0.0059 rad/s, gy =  0.0011 rad/s, gz =  0.0053 rad/s, erpm_pitch =    0, erpm_roll = -6479, I_w_pitch = -0.0000 A, I_w_roll =  0.1201 A, theta_roll_comp = -31.7944 mrad, theta_setpoint = -37.7335 mrad, 
msg =  393, time steps =   10, qsz =    2, switch = on, t =     7862 ms, ax =  0.6305, ay = -0.2493, az =  9.9483, gx = -0.0063 rad/s, gy =  0.0019 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll = -6479, I_w_pitch = -0.0000 A, I_w_roll =  0.1873 A, theta_roll_comp = -31.7655 mrad, theta_setpoint = -37.7335 mrad, 
msg =  394, time steps =   10, qsz =    2, switch = on, t =     7882 ms, ax =  0.5586, ay = -0.2889, az =  9.9674, gx = -0.0057 rad/s, gy =  0.0022 rad/s, gz = -0.0015 rad/s, erpm_pitch =    0, erpm_roll = -6625, I_w_pitch = -0.0000 A, I_w_roll =  0.0764 A, theta_roll_comp = -31.7702 mrad, theta_setpoint = -37.6824 mrad, 
msg =  395, time steps =   10, qsz =    2, switch = on, t =     7902 ms, ax =  0.5382, ay = -0.3452, az =  9.9387, gx = -0.0051 rad/s, gy =  0.0015 rad/s, gz = -0.0073 rad/s, erpm_pitch =    0, erpm_roll = -6698, I_w_pitch = -0.0000 A, I_w_roll = -0.0009 A, theta_roll_comp = -31.8606 mrad, theta_setpoint = -37.6569 mrad, 
msg =  396, time steps =   10, qsz =    2, switch = on, t =     7922 ms, ax =  0.5682, ay = -0.2637, az =  9.9339, gx = -0.0054 rad/s, gy =  0.0012 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll = -6698, I_w_pitch = -0.0000 A, I_w_roll =  0.0584 A, theta_roll_comp = -31.9314 mrad, theta_setpoint = -37.6569 mrad, 
msg =  397, time steps =   10, qsz =    2, switch = on, t =     7942 ms, ax =  0.6137, ay = -0.2314, az =  9.9591, gx = -0.0057 rad/s, gy =  0.0015 rad/s, gz =  0.0081 rad/s, erpm_pitch =    0, erpm_roll = -6841, I_w_pitch = -0.0000 A, I_w_roll =  0.1086 A, theta_roll_comp = -31.8956 mrad, theta_setpoint = -37.6069 mrad, 
msg =  398, time steps =   10, qsz =    2, switch = on, t =     7962 ms, ax =  0.6845, ay = -0.3069, az =  9.9387, gx = -0.0054 rad/s, gy =  0.0016 rad/s, gz =  0.0085 rad/s, erpm_pitch =    0, erpm_roll = -6841, I_w_pitch = -0.0000 A, I_w_roll =  0.0646 A, theta_roll_comp = -31.9203 mrad, theta_setpoint = -37.6069 mrad, 
msg =  399, time steps =   10, qsz =    2, switch = on, t =     7982 ms, ax =  0.5670, ay = -0.2769, az =  9.9099, gx = -0.0059 rad/s, gy =  0.0014 rad/s, gz =  0.0064 rad/s, erpm_pitch =    0, erpm_roll = -6983, I_w_pitch = -0.0000 A, I_w_roll =  0.1678 A, theta_roll_comp = -31.9166 mrad, theta_setpoint = -37.5572 mrad, 
msg =  400, time steps =   10, qsz =    2, switch = on, t =     8002 ms, ax =  0.4999, ay = -0.2961, az =  9.9135, gx = -0.0053 rad/s, gy =  0.0022 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = -7054, I_w_pitch = -0.0000 A, I_w_roll =  0.0554 A, theta_roll_comp = -31.9380 mrad, theta_setpoint = -37.5324 mrad, 
msg =  401, time steps =   10, qsz =    2, switch = on, t =     8022 ms, ax =  0.5322, ay = -0.2877, az =  9.9615, gx = -0.0042 rad/s, gy =  0.0011 rad/s, gz = -0.0075 rad/s, erpm_pitch =    0, erpm_roll = -7054, I_w_pitch = -0.0000 A, I_w_roll = -0.1301 A, theta_roll_comp = -31.9770 mrad, theta_setpoint = -37.5324 mrad, 
msg =  402, time steps =   10, qsz =    2, switch = on, t =     8042 ms, ax =  0.6233, ay = -0.2961, az =  9.9650, gx = -0.0042 rad/s, gy =  0.0019 rad/s, gz = -0.0059 rad/s, erpm_pitch =    0, erpm_roll = -7196, I_w_pitch = -0.0000 A, I_w_roll = -0.1156 A, theta_roll_comp = -32.0179 mrad, theta_setpoint = -37.4827 mrad, 
msg =  403, time steps =   10, qsz =    2, switch = on, t =     8062 ms, ax =  0.6449, ay = -0.2625, az =  9.9495, gx = -0.0051 rad/s, gy =  0.0012 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = -7196, I_w_pitch = -0.0000 A, I_w_roll =  0.0471 A, theta_roll_comp = -31.9862 mrad, theta_setpoint = -37.4827 mrad, 
msg =  404, time steps =   10, qsz =    2, switch = on, t =     8082 ms, ax =  0.6869, ay = -0.2781, az =  9.9183, gx = -0.0051 rad/s, gy =  0.0020 rad/s, gz =  0.0095 rad/s, erpm_pitch =    0, erpm_roll = -7334, I_w_pitch = -0.0000 A, I_w_roll =  0.0487 A, theta_roll_comp = -31.9481 mrad, theta_setpoint = -37.4344 mrad, 
msg =  405, time steps =   10, qsz =    2, switch = on, t =     8102 ms, ax =  0.5562, ay = -0.3261, az =  9.9219, gx = -0.0054 rad/s, gy =  0.0024 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = -7409, I_w_pitch = -0.0000 A, I_w_roll =  0.0992 A, theta_roll_comp = -31.9380 mrad, theta_setpoint = -37.4082 mrad, 
msg =  406, time steps =   10, qsz =    2, switch = on, t =     8122 ms, ax =  0.5490, ay = -0.3308, az =  9.9135, gx = -0.0053 rad/s, gy =  0.0018 rad/s, gz = -0.0045 rad/s, erpm_pitch =    0, erpm_roll = -7409, I_w_pitch = -0.0000 A, I_w_roll =  0.0739 A, theta_roll_comp = -31.9294 mrad, theta_setpoint = -37.4082 mrad, 
msg =  407, time steps =   10, qsz =    2, switch = on, t =     8142 ms, ax =  0.5706, ay = -0.2445, az =  9.9423, gx = -0.0047 rad/s, gy =  0.0002 rad/s, gz = -0.0104 rad/s, erpm_pitch =    0, erpm_roll = -7553, I_w_pitch = -0.0000 A, I_w_roll = -0.0128 A, theta_roll_comp = -31.9366 mrad, theta_setpoint = -37.3578 mrad, 
msg =  408, time steps =   10, qsz =    2, switch = on, t =     8162 ms, ax =  0.5838, ay = -0.2673, az =  9.9722, gx = -0.0042 rad/s, gy =  0.0010 rad/s, gz = -0.0051 rad/s, erpm_pitch =    0, erpm_roll = -7624, I_w_pitch = -0.0000 A, I_w_roll = -0.1042 A, theta_roll_comp = -31.9398 mrad, theta_setpoint = -37.3330 mrad, 
msg =  409, time steps =   10, qsz =    2, switch = on, t =     8182 ms, ax =  0.5766, ay = -0.2625, az =  9.9698, gx = -0.0046 rad/s, gy =  0.0015 rad/s, gz =  0.0068 rad/s, erpm_pitch =    0, erpm_roll = -7624, I_w_pitch = -0.0000 A, I_w_roll = -0.0314 A, theta_roll_comp = -31.9451 mrad, theta_setpoint = -37.3330 mrad, 
msg =  410, time steps =   10, qsz =    2, switch = on, t =     8202 ms, ax =  0.6245, ay = -0.1618, az =  9.9123, gx = -0.0051 rad/s, gy =  0.0014 rad/s, gz =  0.0124 rad/s, erpm_pitch =    0, erpm_roll = -7763, I_w_pitch = -0.0000 A, I_w_roll =  0.0571 A, theta_roll_comp = -31.8508 mrad, theta_setpoint = -37.2843 mrad, 
msg =  411, time steps =   10, qsz =    2, switch = on, t =     8222 ms, ax =  0.6114, ay = -0.2254, az =  9.9351, gx = -0.0049 rad/s, gy =  0.0012 rad/s, gz =  0.0047 rad/s, erpm_pitch =    0, erpm_roll = -7763, I_w_pitch = -0.0000 A, I_w_roll =  0.0029 A, theta_roll_comp = -31.8115 mrad, theta_setpoint = -37.2843 mrad, 
msg =  412, time steps =   10, qsz =    2, switch = on, t =     8242 ms, ax =  0.6066, ay = -0.2817, az =  9.9555, gx = -0.0045 rad/s, gy =  0.0016 rad/s, gz = -0.0089 rad/s, erpm_pitch =    0, erpm_roll = -7905, I_w_pitch = -0.0000 A, I_w_roll = -0.0558 A, theta_roll_comp = -31.8441 mrad, theta_setpoint = -37.2347 mrad, 
msg =  413, time steps =   10, qsz =    2, switch = on, t =     8262 ms, ax =  0.5658, ay = -0.3285, az =  9.9543, gx = -0.0041 rad/s, gy =  0.0014 rad/s, gz = -0.0127 rad/s, erpm_pitch =    0, erpm_roll = -7980, I_w_pitch = -0.0000 A, I_w_roll = -0.1057 A, theta_roll_comp = -31.9556 mrad, theta_setpoint = -37.2084 mrad, 
msg =  414, time steps =   10, qsz =    2, switch = on, t =     8282 ms, ax =  0.5526, ay = -0.2445, az =  9.9626, gx = -0.0043 rad/s, gy =  0.0014 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll = -7980, I_w_pitch = -0.0000 A, I_w_roll = -0.0567 A, theta_roll_comp = -31.9623 mrad, theta_setpoint = -37.2084 mrad, 
msg =  415, time steps =   10, qsz =    2, switch = on, t =     8302 ms, ax =  0.6449, ay = -0.2865, az =  9.9363, gx = -0.0047 rad/s, gy =  0.0026 rad/s, gz =  0.0160 rad/s, erpm_pitch =    0, erpm_roll = -8127, I_w_pitch = -0.0000 A, I_w_roll =  0.0206 A, theta_roll_comp = -31.9447 mrad, theta_setpoint = -37.1570 mrad, 
msg =  416, time steps =   10, qsz =    2, switch = on, t =     8322 ms, ax =  0.5598, ay = -0.2613, az =  9.9471, gx = -0.0051 rad/s, gy =  0.0026 rad/s, gz =  0.0105 rad/s, erpm_pitch =    0, erpm_roll = -8127, I_w_pitch = -0.0000 A, I_w_roll =  0.0818 A, theta_roll_comp = -31.8772 mrad, theta_setpoint = -37.1570 mrad, 
msg =  417, time steps =   10, qsz =    2, switch = on, t =     8342 ms, ax =  0.5526, ay = -0.2421, az =  9.9087, gx = -0.0045 rad/s, gy =  0.0019 rad/s, gz = -0.0088 rad/s, erpm_pitch =    0, erpm_roll = -8274, I_w_pitch = -0.0000 A, I_w_roll = -0.0329 A, theta_roll_comp = -31.8583 mrad, theta_setpoint = -37.1056 mrad, 
msg =  418, time steps =   10, qsz =    2, switch = on, t =     8362 ms, ax =  0.6149, ay = -0.2086, az =  9.9351, gx = -0.0034 rad/s, gy =  0.0000 rad/s, gz = -0.0154 rad/s, erpm_pitch =    0, erpm_roll = -8346, I_w_pitch = -0.0000 A, I_w_roll = -0.2195 A, theta_roll_comp = -31.8652 mrad, theta_setpoint = -37.0804 mrad, 
msg =  419, time steps =   10, qsz =    2, switch = on, t =     8382 ms, ax =  0.5454, ay = -0.2805, az =  9.9794, gx = -0.0034 rad/s, gy =  0.0011 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = -8346, I_w_pitch = -0.0000 A, I_w_roll = -0.2065 A, theta_roll_comp = -31.9463 mrad, theta_setpoint = -37.0804 mrad, 
msg =  420, time steps =   10, qsz =    2, switch = on, t =     8402 ms, ax =  0.4435, ay = -0.3129, az =  9.9423, gx = -0.0038 rad/s, gy =  0.0028 rad/s, gz =  0.0165 rad/s, erpm_pitch =    0, erpm_roll = -8488, I_w_pitch = -0.0000 A, I_w_roll = -0.1303 A, theta_roll_comp = -31.9236 mrad, theta_setpoint = -37.0307 mrad, 
msg =  421, time steps =   10, qsz =    2, switch = on, t =     8422 ms, ax =  0.6173, ay = -0.2338, az =  9.9099, gx = -0.0047 rad/s, gy =  0.0019 rad/s, gz =  0.0148 rad/s, erpm_pitch =    0, erpm_roll = -8488, I_w_pitch = -0.0000 A, I_w_roll =  0.0297 A, theta_roll_comp = -31.8753 mrad, theta_setpoint = -37.0307 mrad, 
msg =  422, time steps =   10, qsz =    2, switch = on, t =     8442 ms, ax =  0.5994, ay = -0.3153, az =  9.8883, gx = -0.0047 rad/s, gy =  0.0007 rad/s, gz = -0.0081 rad/s, erpm_pitch =    0, erpm_roll = -8634, I_w_pitch = -0.0000 A, I_w_roll =  0.0390 A, theta_roll_comp = -31.8823 mrad, theta_setpoint = -36.9796 mrad, 
msg =  423, time steps =   10, qsz =    2, switch = on, t =     8462 ms, ax =  0.5622, ay = -0.1990, az =  9.9650, gx = -0.0042 rad/s, gy =  0.0010 rad/s, gz = -0.0200 rad/s, erpm_pitch =    0, erpm_roll = -8709, I_w_pitch = -0.0000 A, I_w_roll = -0.0601 A, theta_roll_comp = -31.8358 mrad, theta_setpoint = -36.9534 mrad, 
msg =  424, time steps =   10, qsz =    2, switch = on, t =     8482 ms, ax =  0.5454, ay = -0.2385, az =  9.9674, gx = -0.0037 rad/s, gy =  0.0018 rad/s, gz = -0.0016 rad/s, erpm_pitch =    0, erpm_roll = -8709, I_w_pitch = -0.0000 A, I_w_roll = -0.1540 A, theta_roll_comp = -31.8477 mrad, theta_setpoint = -36.9534 mrad, 
msg =  425, time steps =   10, qsz =    2, switch = on, t =     8502 ms, ax =  0.6233, ay = -0.2505, az =  9.9303, gx = -0.0039 rad/s, gy =  0.0027 rad/s, gz =  0.0213 rad/s, erpm_pitch =    0, erpm_roll = -8855, I_w_pitch = -0.0000 A, I_w_roll = -0.1136 A, theta_roll_comp = -31.7495 mrad, theta_setpoint = -36.9023 mrad, 
msg =  426, time steps =   10, qsz =    2, switch = on, t =     8522 ms, ax =  0.5898, ay = -0.2709, az =  9.9267, gx = -0.0042 rad/s, gy =  0.0023 rad/s, gz =  0.0184 rad/s, erpm_pitch =    0, erpm_roll = -8855, I_w_pitch = -0.0000 A, I_w_roll = -0.0765 A, theta_roll_comp = -31.6822 mrad, theta_setpoint = -36.9023 mrad, 
msg =  427, time steps =   10, qsz =    2, switch = on, t =     8542 ms, ax =  0.5826, ay = -0.2553, az =  9.9183, gx = -0.0035 rad/s, gy =  0.0011 rad/s, gz = -0.0133 rad/s, erpm_pitch =    0, erpm_roll = -9000, I_w_pitch = -0.0000 A, I_w_roll = -0.1930 A, theta_roll_comp = -31.6519 mrad, theta_setpoint = -36.8516 mrad, 
msg =  428, time steps =   10, qsz =    2, switch = on, t =     8562 ms, ax =  0.5526, ay = -0.2254, az =  9.9830, gx = -0.0034 rad/s, gy = -0.0002 rad/s, gz = -0.0249 rad/s, erpm_pitch =    0, erpm_roll = -9073, I_w_pitch = -0.0000 A, I_w_roll = -0.2206 A, theta_roll_comp = -31.6041 mrad, theta_setpoint = -36.8261 mrad, 
msg =  429, time steps =   10, qsz =    2, switch = on, t =     8582 ms, ax =  0.5994, ay = -0.2493, az =  9.9794, gx = -0.0034 rad/s, gy =  0.0011 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -9073, I_w_pitch = -0.0000 A, I_w_roll = -0.2278 A, theta_roll_comp = -31.5592 mrad, theta_setpoint = -36.8261 mrad, 
msg =  430, time steps =   10, qsz =    2, switch = on, t =     8602 ms, ax =  0.5538, ay = -0.2889, az =  9.9039, gx = -0.0037 rad/s, gy =  0.0034 rad/s, gz =  0.0297 rad/s, erpm_pitch =    0, erpm_roll = -9220, I_w_pitch = -0.0000 A, I_w_roll = -0.1714 A, theta_roll_comp = -31.5605 mrad, theta_setpoint = -36.7746 mrad, 
msg =  431, time steps =   10, qsz =    2, switch = on, t =     8622 ms, ax =  0.5430, ay = -0.2314, az =  9.9171, gx = -0.0037 rad/s, gy =  0.0026 rad/s, gz =  0.0156 rad/s, erpm_pitch =    0, erpm_roll = -9295, I_w_pitch = -0.0000 A, I_w_roll = -0.1739 A, theta_roll_comp = -31.5186 mrad, theta_setpoint = -36.7484 mrad, 
msg =  432, time steps =   10, qsz =    2, switch = on, t =     8642 ms, ax =  0.6137, ay = -0.2829, az =  9.9243, gx = -0.0034 rad/s, gy =  0.0006 rad/s, gz = -0.0256 rad/s, erpm_pitch =    0, erpm_roll = -9295, I_w_pitch = -0.0000 A, I_w_roll = -0.2301 A, theta_roll_comp = -31.4666 mrad, theta_setpoint = -36.7484 mrad, 
msg =  433, time steps =   10, qsz =    2, switch = on, t =     8662 ms, ax =  0.5382, ay = -0.2889, az = 10.0034, gx = -0.0024 rad/s, gy =  0.0008 rad/s, gz = -0.0272 rad/s, erpm_pitch =    0, erpm_roll = -9442, I_w_pitch = -0.0000 A, I_w_roll = -0.4128 A, theta_roll_comp = -31.4719 mrad, theta_setpoint = -36.6970 mrad, 
msg =  434, time steps =   10, qsz =    2, switch = on, t =     8682 ms, ax =  0.4831, ay = -0.3560, az = 10.0118, gx = -0.0022 rad/s, gy =  0.0024 rad/s, gz =  0.0130 rad/s, erpm_pitch =    0, erpm_roll = -9442, I_w_pitch = -0.0000 A, I_w_roll = -0.4310 A, theta_roll_comp = -31.5083 mrad, theta_setpoint = -36.6970 mrad, 
msg =  435, time steps =   10, qsz =    2, switch = on, t =     8702 ms, ax =  0.5898, ay = -0.2385, az =  9.9411, gx = -0.0025 rad/s, gy =  0.0030 rad/s, gz =  0.0370 rad/s, erpm_pitch =    0, erpm_roll = -9585, I_w_pitch = -0.0000 A, I_w_roll = -0.3760 A, theta_roll_comp = -31.5021 mrad, theta_setpoint = -36.6470 mrad, 
msg =  436, time steps =   10, qsz =    2, switch = on, t =     8722 ms, ax =  0.6078, ay = -0.2110, az =  9.8691, gx = -0.0026 rad/s, gy =  0.0018 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = -9656, I_w_pitch = -0.0000 A, I_w_roll = -0.3716 A, theta_roll_comp = -31.3551 mrad, theta_setpoint = -36.6221 mrad, 
msg =  437, time steps =   10, qsz =    2, switch = on, t =     8742 ms, ax =  0.5814, ay = -0.2829, az =  9.9375, gx = -0.0026 rad/s, gy = -0.0008 rad/s, gz = -0.0414 rad/s, erpm_pitch =    0, erpm_roll = -9656, I_w_pitch = -0.0000 A, I_w_roll = -0.3821 A, theta_roll_comp = -31.2895 mrad, theta_setpoint = -36.6221 mrad, 
msg =  438, time steps =   10, qsz =    2, switch = on, t =     8762 ms, ax =  0.5514, ay = -0.2949, az = 10.0070, gx = -0.0024 rad/s, gy =  0.0012 rad/s, gz = -0.0153 rad/s, erpm_pitch =    0, erpm_roll = -9804, I_w_pitch = -0.0000 A, I_w_roll = -0.4228 A, theta_roll_comp = -31.2830 mrad, theta_setpoint = -36.5703 mrad, 
msg =  439, time steps =   10, qsz =    2, switch = on, t =     8782 ms, ax =  0.5502, ay = -0.3273, az =  9.9351, gx = -0.0017 rad/s, gy =  0.0038 rad/s, gz =  0.0406 rad/s, erpm_pitch =    0, erpm_roll = -9804, I_w_pitch = -0.0000 A, I_w_roll = -0.5345 A, theta_roll_comp = -31.3335 mrad, theta_setpoint = -36.5703 mrad, 
msg =  440, time steps =   10, qsz =    2, switch = on, t =     8802 ms, ax =  0.5550, ay = -0.2122, az =  9.9183, gx = -0.0017 rad/s, gy =  0.0038 rad/s, gz =  0.0321 rad/s, erpm_pitch =    0, erpm_roll = -9951, I_w_pitch = -0.0000 A, I_w_roll = -0.5428 A, theta_roll_comp = -31.2304 mrad, theta_setpoint = -36.5189 mrad, 
msg =  441, time steps =   10, qsz =    2, switch = on, t =     8822 ms, ax =  0.6389, ay = -0.2002, az =  9.8979, gx = -0.0025 rad/s, gy =  0.0004 rad/s, gz = -0.0353 rad/s, erpm_pitch =    0, erpm_roll = -10026, I_w_pitch = -0.0000 A, I_w_roll = -0.4304 A, theta_roll_comp = -31.0081 mrad, theta_setpoint = -36.4927 mrad, 
msg =  442, time steps =   10, qsz =    2, switch = on, t =     8842 ms, ax =  0.5562, ay = -0.2565, az =  9.9531, gx = -0.0024 rad/s, gy = -0.0012 rad/s, gz = -0.0443 rad/s, erpm_pitch =    0, erpm_roll = -10026, I_w_pitch = -0.0000 A, I_w_roll = -0.4667 A, theta_roll_comp = -30.9306 mrad, theta_setpoint = -36.4927 mrad, 
msg =  443, time steps =   10, qsz =    2, switch = on, t =     8862 ms, ax =  0.5658, ay = -0.3572, az = 10.0022, gx = -0.0010 rad/s, gy =  0.0023 rad/s, gz =  0.0230 rad/s, erpm_pitch =    0, erpm_roll = -10179, I_w_pitch = -0.0000 A, I_w_roll = -0.6871 A, theta_roll_comp = -30.9979 mrad, theta_setpoint = -36.4392 mrad, 
msg =  444, time steps =   10, qsz =    2, switch = on, t =     8882 ms, ax =  0.5610, ay = -0.2230, az =  9.9387, gx = -0.0012 rad/s, gy =  0.0043 rad/s, gz =  0.0567 rad/s, erpm_pitch =    0, erpm_roll = -10179, I_w_pitch = -0.0000 A, I_w_roll = -0.6657 A, theta_roll_comp = -30.9817 mrad, theta_setpoint = -36.4392 mrad, 
msg =  445, time steps =   10, qsz =    2, switch = on, t =     8902 ms, ax =  0.5754, ay = -0.1822, az =  9.8536, gx = -0.0018 rad/s, gy =  0.0024 rad/s, gz = -0.0125 rad/s, erpm_pitch =    0, erpm_roll = -10336, I_w_pitch = -0.0000 A, I_w_roll = -0.5764 A, theta_roll_comp = -30.7359 mrad, theta_setpoint = -36.3842 mrad, 
msg =  446, time steps =   10, qsz =    2, switch = on, t =     8922 ms, ax =  0.6257, ay = -0.2314, az =  9.9447, gx = -0.0022 rad/s, gy = -0.0008 rad/s, gz = -0.0617 rad/s, erpm_pitch =    0, erpm_roll = -10416, I_w_pitch = -0.0000 A, I_w_roll = -0.5325 A, theta_roll_comp = -30.5331 mrad, theta_setpoint = -36.3563 mrad, 
msg =  447, time steps =   10, qsz =    2, switch = on, t =     8942 ms, ax =  0.4028, ay = -0.4939, az =  9.9734, gx = -0.0022 rad/s, gy =  0.0008 rad/s, gz = -0.0075 rad/s, erpm_pitch =    0, erpm_roll = -10416, I_w_pitch = -0.0000 A, I_w_roll = -0.5230 A, theta_roll_comp = -30.5923 mrad, theta_setpoint = -36.3563 mrad, 
msg =  448, time steps =   10, qsz =    2, switch = on, t =     8962 ms, ax =  0.4471, ay = -0.3105, az =  9.9171, gx = -0.0018 rad/s, gy =  0.0034 rad/s, gz =  0.0670 rad/s, erpm_pitch =    0, erpm_roll = -10583, I_w_pitch = -0.0000 A, I_w_roll = -0.5613 A, theta_roll_comp = -30.7442 mrad, theta_setpoint = -36.2978 mrad, 
msg =  449, time steps =   10, qsz =    2, switch = on, t =     8982 ms, ax =  0.7001, ay = -0.0491, az =  9.8751, gx = -0.0028 rad/s, gy =  0.0031 rad/s, gz =  0.0172 rad/s, erpm_pitch =    0, erpm_roll = -10765, I_w_pitch = -0.0000 A, I_w_roll = -0.4199 A, theta_roll_comp = -30.5154 mrad, theta_setpoint = -36.2342 mrad, 
