picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  181, time steps =   10, qsz =    2, switch = off, t =     3622 ms, ax =  0.4279, ay =  2.7643, az =  9.5347, gx = -0.0047 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.6867 A, theta_roll_comp = 269.6335 mrad, theta_setpoint = -40.0000 mrad, 
msg =  320, time steps =   10, qsz =    2, switch = off, t =     6402 ms, ax =  0.4303, ay =  2.7679, az =  9.5287, gx = -0.0042 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8997 A, theta_roll_comp = 276.6156 mrad, theta_setpoint = -40.0000 mrad, 
msg =  321, time steps =   10, qsz =    2, switch = off, t =     6422 ms, ax =  0.4327, ay =  2.7655, az =  9.5299, gx = -0.0045 rad/s, gy =  0.0012 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8560 A, theta_roll_comp = 276.6415 mrad, theta_setpoint = -40.0000 mrad, 
msg =  322, time steps =   10, qsz =    2, switch = off, t =     6442 ms, ax =  0.4267, ay =  2.7751, az =  9.5419, gx = -0.0047 rad/s, gy =  0.0010 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8131 A, theta_roll_comp = 276.6733 mrad, theta_setpoint = -40.0000 mrad, 
msg =  323, time steps =   10, qsz =    2, switch = off, t =     6462 ms, ax =  0.4291, ay =  2.7703, az =  9.5359, gx = -0.0047 rad/s, gy =  0.0016 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8169 A, theta_roll_comp = 276.6971 mrad, theta_setpoint = -40.0000 mrad, 
msg =  324, time steps =   10, qsz =    2, switch = off, t =     6482 ms, ax =  0.4291, ay =  2.7715, az =  9.5335, gx = -0.0050 rad/s, gy =  0.0015 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7725 A, theta_roll_comp = 276.7188 mrad, theta_setpoint = -40.0000 mrad, 
msg =  325, time steps =   10, qsz =    2, switch = off, t =     6502 ms, ax =  0.4244, ay =  2.7679, az =  9.5203, gx = -0.0049 rad/s, gy =  0.0015 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7999 A, theta_roll_comp = 276.7407 mrad, theta_setpoint = -40.0000 mrad, 
msg =  326, time steps =   10, qsz =    2, switch = off, t =     6522 ms, ax =  0.4327, ay =  2.7571, az =  9.5239, gx = -0.0046 rad/s, gy =  0.0012 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8499 A, theta_roll_comp = 276.7535 mrad, theta_setpoint = -40.0000 mrad, 
msg =  327, time steps =   10, qsz =    2, switch = off, t =     6542 ms, ax =  0.4363, ay =  2.7667, az =  9.5371, gx = -0.0046 rad/s, gy =  0.0016 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8527 A, theta_roll_comp = 276.7708 mrad, theta_setpoint = -40.0000 mrad, 
msg =  328, time steps =   10, qsz =    2, switch = off, t =     6562 ms, ax =  0.4351, ay =  2.7619, az =  9.5287, gx = -0.0045 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8792 A, theta_roll_comp = 276.7869 mrad, theta_setpoint = -40.0000 mrad, 
msg =  329, time steps =   10, qsz =    2, switch = off, t =     6582 ms, ax =  0.4255, ay =  2.7619, az =  9.5407, gx = -0.0043 rad/s, gy =  0.0019 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.9057 A, theta_roll_comp = 276.8026 mrad, theta_setpoint = -40.0000 mrad, 
