picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  262, time steps =   10, qsz =    2, switch = on, t =     5242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.2733, az =  9.9890, gx = -0.0041 rad/s, gy = -0.0009 rad/s, gz = -0.0474 rad/s, erpm_pitch =    0, erpm_roll = -11368, I_w_pitch = -0.0000 A, I_w_roll = -0.1513 A, theta_roll_comp = -34.4618 mrad 
msg =  381, time steps =   10, qsz =    2, switch = on, t =     7622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6773, ay = -0.4531, az =  9.9806, gx =  0.0111 rad/s, gy =  0.0039 rad/s, gz = -0.0150 rad/s, erpm_pitch =    0, erpm_roll = 6993, I_w_pitch = -0.0000 A, I_w_roll =  2.1119 A, theta_roll_comp = -65.6838 mrad 
msg =  382, time steps =   10, qsz =    2, switch = on, t =     7642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.7696, az =  9.7912, gx =  0.0091 rad/s, gy =  0.0047 rad/s, gz = -0.0153 rad/s, erpm_pitch =    0, erpm_roll = 7013, I_w_pitch = -0.0000 A, I_w_roll =  2.4359 A, theta_roll_comp = -65.4620 mrad 
msg =  383, time steps =   10, qsz =    2, switch = on, t =     7662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4783, ay = -0.6545, az =  9.8727, gx = -0.0014 rad/s, gy =  0.0050 rad/s, gz = -0.0096 rad/s, erpm_pitch =    0, erpm_roll = 7013, I_w_pitch = -0.0000 A, I_w_roll =  4.3428 A, theta_roll_comp = -65.5461 mrad 
msg =  384, time steps =   10, qsz =    2, switch = on, t =     7682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5838, ay = -0.4759, az = 10.0214, gx =  0.0054 rad/s, gy =  0.0048 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = 7043, I_w_pitch = -0.0000 A, I_w_roll =  3.0781 A, theta_roll_comp = -65.2814 mrad 
msg =  385, time steps =   10, qsz =    2, switch = on, t =     7702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5262, ay = -0.6845, az =  9.8919, gx =  0.0163 rad/s, gy =  0.0016 rad/s, gz =  0.0095 rad/s, erpm_pitch =    0, erpm_roll = 7049, I_w_pitch = -0.0000 A, I_w_roll =  1.0602 A, theta_roll_comp = -64.9529 mrad 
msg =  386, time steps =   10, qsz =    2, switch = on, t =     7722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5035, ay = -0.6869, az =  9.8416, gx =  0.0086 rad/s, gy =  0.0002 rad/s, gz =  0.0110 rad/s, erpm_pitch =    0, erpm_roll = 7049, I_w_pitch = -0.0000 A, I_w_roll =  2.4294 A, theta_roll_comp = -64.8222 mrad 
msg =  387, time steps =   10, qsz =    2, switch = on, t =     7742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5670, ay = -0.4423, az =  9.9471, gx =  0.0042 rad/s, gy =  0.0000 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = 7054, I_w_pitch = -0.0000 A, I_w_roll =  3.1738 A, theta_roll_comp = -64.5312 mrad 
msg =  388, time steps =   10, qsz =    2, switch = on, t =     7762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5982, ay = -0.4627, az =  9.9399, gx =  0.0139 rad/s, gy = -0.0018 rad/s, gz = -0.0089 rad/s, erpm_pitch =    0, erpm_roll = 7054, I_w_pitch = -0.0000 A, I_w_roll =  1.3360 A, theta_roll_comp = -63.9804 mrad 
msg =  389, time steps =   10, qsz =    2, switch = on, t =     7782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6341, ay = -0.5394, az =  9.8907, gx =  0.0126 rad/s, gy = -0.0016 rad/s, gz = -0.0056 rad/s, erpm_pitch =    0, erpm_roll = 7043, I_w_pitch = -0.0000 A, I_w_roll =  1.4916 A, theta_roll_comp = -63.4553 mrad 
msg =  390, time steps =   10, qsz =    2, switch = on, t =     7802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6401, ay = -0.5826, az =  9.9135, gx =  0.0030 rad/s, gy =  0.0016 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll = 7031, I_w_pitch = -0.0000 A, I_w_roll =  3.1814 A, theta_roll_comp = -63.2308 mrad 
msg =  391, time steps =   10, qsz =    2, switch = on, t =     7822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6281, ay = -0.4951, az =  9.9902, gx =  0.0070 rad/s, gy =  0.0036 rad/s, gz =  0.0072 rad/s, erpm_pitch =    0, erpm_roll = 7031, I_w_pitch = -0.0000 A, I_w_roll =  2.4160 A, theta_roll_comp = -62.9408 mrad 
msg =  392, time steps =   10, qsz =    2, switch = on, t =     7842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5958, ay = -0.4975, az =  9.9195, gx =  0.0120 rad/s, gy =  0.0028 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = 6979, I_w_pitch = -0.0000 A, I_w_roll =  1.4375 A, theta_roll_comp = -62.5175 mrad 
msg =  393, time steps =   10, qsz =    2, switch = on, t =     7862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5322, ay = -0.5862, az =  9.8883, gx =  0.0080 rad/s, gy =  0.0035 rad/s, gz = -0.0036 rad/s, erpm_pitch =    0, erpm_roll = 6979, I_w_pitch = -0.0000 A, I_w_roll =  2.1111 A, theta_roll_comp = -62.2335 mrad 
msg =  394, time steps =   10, qsz =    2, switch = on, t =     7882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5214, ay = -0.5083, az =  9.9531, gx =  0.0075 rad/s, gy =  0.0023 rad/s, gz = -0.0087 rad/s, erpm_pitch =    0, erpm_roll = 6957, I_w_pitch = -0.0000 A, I_w_roll =  2.1661 A, theta_roll_comp = -61.9782 mrad 
msg =  395, time steps =   10, qsz =    2, switch = on, t =     7902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5370, ay = -0.5514, az =  9.9279, gx =  0.0119 rad/s, gy = -0.0001 rad/s, gz = -0.0081 rad/s, erpm_pitch =    0, erpm_roll = 6936, I_w_pitch = -0.0000 A, I_w_roll =  1.3196 A, theta_roll_comp = -61.6313 mrad 
msg =  396, time steps =   10, qsz =    2, switch = on, t =     7922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5586, ay = -0.6437, az =  9.9063, gx =  0.0123 rad/s, gy = -0.0001 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = 6936, I_w_pitch = -0.0000 A, I_w_roll =  1.2085 A, theta_roll_comp = -61.3857 mrad 
msg =  397, time steps =   10, qsz =    2, switch = on, t =     7942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6066, ay = -0.6665, az =  9.9279, gx =  0.0123 rad/s, gy = -0.0002 rad/s, gz =  0.0116 rad/s, erpm_pitch =    0, erpm_roll = 6920, I_w_pitch = -0.0000 A, I_w_roll =  1.1806 A, theta_roll_comp = -61.2119 mrad 
msg =  398, time steps =   10, qsz =    2, switch = on, t =     7962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6126, ay = -0.6054, az =  9.9375, gx =  0.0170 rad/s, gy = -0.0006 rad/s, gz =  0.0113 rad/s, erpm_pitch =    0, erpm_roll = 6920, I_w_pitch = -0.0000 A, I_w_roll =  0.3016 A, theta_roll_comp = -60.9609 mrad 
msg =  399, time steps =   10, qsz =    2, switch = on, t =     7982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6197, ay = -0.6473, az =  9.9111, gx =  0.0207 rad/s, gy = -0.0001 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = 6900, I_w_pitch = -0.0000 A, I_w_roll = -0.4195 A, theta_roll_comp = -60.6481 mrad 
msg =  400, time steps =   10, qsz =    2, switch = on, t =     8002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6377, ay = -0.5418, az =  9.9291, gx =  0.0187 rad/s, gy =  0.0020 rad/s, gz = -0.0051 rad/s, erpm_pitch =    0, erpm_roll = 6888, I_w_pitch = -0.0000 A, I_w_roll = -0.1326 A, theta_roll_comp = -60.1946 mrad 
msg =  401, time steps =   10, qsz =    2, switch = on, t =     8022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5982, ay = -0.4771, az =  9.9459, gx =  0.0191 rad/s, gy =  0.0040 rad/s, gz = -0.0100 rad/s, erpm_pitch =    0, erpm_roll = 6888, I_w_pitch = -0.0000 A, I_w_roll = -0.2946 A, theta_roll_comp = -59.6313 mrad 
msg =  402, time steps =   10, qsz =    2, switch = on, t =     8042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6353, ay = -0.5526, az =  9.9015, gx =  0.0207 rad/s, gy =  0.0047 rad/s, gz = -0.0113 rad/s, erpm_pitch =    0, erpm_roll = 6833, I_w_pitch = -0.0000 A, I_w_roll = -0.6726 A, theta_roll_comp = -59.0666 mrad 
msg =  403, time steps =   10, qsz =    2, switch = on, t =     8062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5766, ay = -0.4663, az =  9.9303, gx =  0.0184 rad/s, gy =  0.0064 rad/s, gz = -0.0028 rad/s, erpm_pitch =    0, erpm_roll = 6833, I_w_pitch = -0.0000 A, I_w_roll = -0.3598 A, theta_roll_comp = -58.4751 mrad 
msg =  404, time steps =   10, qsz =    2, switch = on, t =     8082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.4651, az =  9.9363, gx =  0.0175 rad/s, gy =  0.0071 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = 6743, I_w_pitch = -0.0000 A, I_w_roll = -0.2830 A, theta_roll_comp = -57.9062 mrad 
msg =  405, time steps =   10, qsz =    2, switch = on, t =     8102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4759, ay = -0.3644, az =  9.9303, gx =  0.0188 rad/s, gy =  0.0042 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = 6685, I_w_pitch = -0.0000 A, I_w_roll = -0.6287 A, theta_roll_comp = -57.2433 mrad 
msg =  406, time steps =   10, qsz =    2, switch = on, t =     8122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4819, ay = -0.4076, az =  9.9015, gx =  0.0171 rad/s, gy =  0.0019 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = 6685, I_w_pitch = -0.0000 A, I_w_roll = -0.4250 A, theta_roll_comp = -56.5694 mrad 
msg =  407, time steps =   10, qsz =    2, switch = on, t =     8142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5346, ay = -0.3896, az =  9.9123, gx =  0.0128 rad/s, gy =  0.0003 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll = 6562, I_w_pitch = -0.0000 A, I_w_roll =  0.2433 A, theta_roll_comp = -55.9526 mrad 
msg =  408, time steps =   10, qsz =    2, switch = on, t =     8162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5286, ay = -0.2745, az =  9.9734, gx =  0.0096 rad/s, gy =  0.0000 rad/s, gz = -0.0040 rad/s, erpm_pitch =    0, erpm_roll = 6504, I_w_pitch = -0.0000 A, I_w_roll =  0.7086 A, theta_roll_comp = -55.2656 mrad 
msg =  409, time steps =   10, qsz =    2, switch = on, t =     8182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6329, ay = -0.3644, az =  9.9087, gx =  0.0058 rad/s, gy = -0.0004 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = 6504, I_w_pitch = -0.0000 A, I_w_roll =  1.3055 A, theta_roll_comp = -54.6520 mrad 
msg =  410, time steps =   10, qsz =    2, switch = on, t =     8202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.3980, az =  9.9075, gx =  0.0022 rad/s, gy =  0.0006 rad/s, gz =  0.0045 rad/s, erpm_pitch =    0, erpm_roll = 6399, I_w_pitch = -0.0000 A, I_w_roll =  1.8914 A, theta_roll_comp = -54.2693 mrad 
msg =  411, time steps =   10, qsz =    2, switch = on, t =     8222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5754, ay = -0.3440, az =  9.9423, gx =  0.0002 rad/s, gy =  0.0015 rad/s, gz =  0.0068 rad/s, erpm_pitch =    0, erpm_roll = 6399, I_w_pitch = -0.0000 A, I_w_roll =  2.1979 A, theta_roll_comp = -53.9384 mrad 
msg =  412, time steps =   10, qsz =    2, switch = on, t =     8242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.4232, az =  9.9471, gx = -0.0002 rad/s, gy =  0.0023 rad/s, gz =  0.0041 rad/s, erpm_pitch =    0, erpm_roll = 6344, I_w_pitch = -0.0000 A, I_w_roll =  2.2259 A, theta_roll_comp = -53.6638 mrad 
msg =  413, time steps =   10, qsz =    2, switch = on, t =     8262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5994, ay = -0.5047, az =  9.9219, gx = -0.0014 rad/s, gy =  0.0028 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = 6348, I_w_pitch = -0.0000 A, I_w_roll =  2.4292 A, theta_roll_comp = -53.5860 mrad 
msg =  414, time steps =   10, qsz =    2, switch = on, t =     8282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5994, ay = -0.4567, az =  9.9303, gx = -0.0025 rad/s, gy =  0.0028 rad/s, gz = -0.0052 rad/s, erpm_pitch =    0, erpm_roll = 6348, I_w_pitch = -0.0000 A, I_w_roll =  2.6113 A, theta_roll_comp = -53.5259 mrad 
msg =  415, time steps =   10, qsz =    2, switch = on, t =     8302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5179, ay = -0.4711, az =  9.9399, gx = -0.0018 rad/s, gy =  0.0027 rad/s, gz = -0.0088 rad/s, erpm_pitch =    0, erpm_roll = 6413, I_w_pitch = -0.0000 A, I_w_roll =  2.4803 A, theta_roll_comp = -53.4560 mrad 
msg =  416, time steps =   10, qsz =    2, switch = on, t =     8322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5430, ay = -0.4615, az =  9.9399, gx = -0.0030 rad/s, gy =  0.0020 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 6413, I_w_pitch = -0.0000 A, I_w_roll =  2.6781 A, theta_roll_comp = -53.3443 mrad 
msg =  417, time steps =   10, qsz =    2, switch = on, t =     8342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5454, ay = -0.5898, az =  9.9207, gx = -0.0025 rad/s, gy =  0.0011 rad/s, gz =  0.0072 rad/s, erpm_pitch =    0, erpm_roll = 6523, I_w_pitch = -0.0000 A, I_w_roll =  2.5891 A, theta_roll_comp = -53.3874 mrad 
msg =  418, time steps =   10, qsz =    2, switch = on, t =     8362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5454, ay = -0.4747, az =  9.9303, gx = -0.0013 rad/s, gy =  0.0006 rad/s, gz =  0.0099 rad/s, erpm_pitch =    0, erpm_roll = 6598, I_w_pitch = -0.0000 A, I_w_roll =  2.3712 A, theta_roll_comp = -53.3737 mrad 
msg =  419, time steps =   10, qsz =    2, switch = on, t =     8382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5970, ay = -0.4507, az =  9.9159, gx = -0.0005 rad/s, gy = -0.0001 rad/s, gz =  0.0061 rad/s, erpm_pitch =    0, erpm_roll = 6598, I_w_pitch = -0.0000 A, I_w_roll =  2.2134 A, theta_roll_comp = -53.2857 mrad 
msg =  420, time steps =   10, qsz =    2, switch = on, t =     8402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6329, ay = -0.4519, az =  9.9267, gx = -0.0005 rad/s, gy =  0.0008 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll = 6745, I_w_pitch = -0.0000 A, I_w_roll =  2.1923 A, theta_roll_comp = -53.1543 mrad 
msg =  421, time steps =   10, qsz =    2, switch = on, t =     8422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6449, ay = -0.4435, az =  9.8847, gx = -0.0010 rad/s, gy =  0.0012 rad/s, gz = -0.0071 rad/s, erpm_pitch =    0, erpm_roll = 6745, I_w_pitch = -0.0000 A, I_w_roll =  2.2578 A, theta_roll_comp = -52.9641 mrad 
msg =  422, time steps =   10, qsz =    2, switch = on, t =     8442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5262, ay = -0.4723, az =  9.9435, gx = -0.0022 rad/s, gy =  0.0028 rad/s, gz = -0.0081 rad/s, erpm_pitch =    0, erpm_roll = 6892, I_w_pitch = -0.0000 A, I_w_roll =  2.4542 A, theta_roll_comp = -52.8435 mrad 
msg =  423, time steps =   10, qsz =    2, switch = on, t =     8462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5346, ay = -0.4675, az =  9.9746, gx = -0.0033 rad/s, gy =  0.0040 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 6960, I_w_pitch = -0.0000 A, I_w_roll =  2.6306 A, theta_roll_comp = -52.7475 mrad 
msg =  424, time steps =   10, qsz =    2, switch = on, t =     8482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.4951, az =  9.9183, gx = -0.0025 rad/s, gy =  0.0030 rad/s, gz =  0.0101 rad/s, erpm_pitch =    0, erpm_roll = 6960, I_w_pitch = -0.0000 A, I_w_roll =  2.4772 A, theta_roll_comp = -52.6877 mrad 
msg =  425, time steps =   10, qsz =    2, switch = on, t =     8502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4927, ay = -0.4675, az =  9.9231, gx = -0.0020 rad/s, gy =  0.0022 rad/s, gz =  0.0071 rad/s, erpm_pitch =    0, erpm_roll = 7082, I_w_pitch = -0.0000 A, I_w_roll =  2.3786 A, theta_roll_comp = -52.6705 mrad 
msg =  426, time steps =   10, qsz =    2, switch = on, t =     8522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5202, ay = -0.4279, az =  9.9375, gx = -0.0021 rad/s, gy =  0.0014 rad/s, gz = -0.0035 rad/s, erpm_pitch =    0, erpm_roll = 7082, I_w_pitch = -0.0000 A, I_w_roll =  2.3827 A, theta_roll_comp = -52.5465 mrad 
msg =  427, time steps =   10, qsz =    2, switch = on, t =     8542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5418, ay = -0.4255, az =  9.9231, gx = -0.0029 rad/s, gy =  0.0011 rad/s, gz = -0.0092 rad/s, erpm_pitch =    0, erpm_roll = 7201, I_w_pitch = -0.0000 A, I_w_roll =  2.5067 A, theta_roll_comp = -52.4224 mrad 
msg =  428, time steps =   10, qsz =    2, switch = on, t =     8562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4855, ay = -0.4351, az =  9.9722, gx = -0.0039 rad/s, gy =  0.0015 rad/s, gz = -0.0057 rad/s, erpm_pitch =    0, erpm_roll = 7257, I_w_pitch = -0.0000 A, I_w_roll =  2.6772 A, theta_roll_comp = -52.2900 mrad 
msg =  429, time steps =   10, qsz =    2, switch = on, t =     8582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5370, ay = -0.4795, az =  9.9698, gx = -0.0049 rad/s, gy =  0.0014 rad/s, gz =  0.0068 rad/s, erpm_pitch =    0, erpm_roll = 7257, I_w_pitch = -0.0000 A, I_w_roll =  2.8369 A, theta_roll_comp = -52.2393 mrad 
msg =  430, time steps =   10, qsz =    2, switch = on, t =     8602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5802, ay = -0.5131, az =  9.9279, gx = -0.0049 rad/s, gy =  0.0019 rad/s, gz =  0.0122 rad/s, erpm_pitch =    0, erpm_roll = 7367, I_w_pitch = -0.0000 A, I_w_roll =  2.8462 A, theta_roll_comp = -52.2973 mrad 
msg =  431, time steps =   10, qsz =    2, switch = on, t =     8622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5766, ay = -0.3956, az =  9.9339, gx = -0.0042 rad/s, gy =  0.0026 rad/s, gz =  0.0063 rad/s, erpm_pitch =    0, erpm_roll = 7427, I_w_pitch = -0.0000 A, I_w_roll =  2.7218 A, theta_roll_comp = -52.2692 mrad 
msg =  432, time steps =   10, qsz =    2, switch = on, t =     8642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6054, ay = -0.3812, az =  9.9183, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz = -0.0065 rad/s, erpm_pitch =    0, erpm_roll = 7427, I_w_pitch = -0.0000 A, I_w_roll =  2.8016 A, theta_roll_comp = -52.1685 mrad 
msg =  433, time steps =   10, qsz =    2, switch = on, t =     8662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4879, ay = -0.4531, az =  9.9195, gx = -0.0054 rad/s, gy =  0.0023 rad/s, gz = -0.0116 rad/s, erpm_pitch =    0, erpm_roll = 7542, I_w_pitch = -0.0000 A, I_w_roll =  2.9052 A, theta_roll_comp = -52.0673 mrad 
msg =  434, time steps =   10, qsz =    2, switch = on, t =     8682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5406, ay = -0.4531, az =  9.9291, gx = -0.0063 rad/s, gy =  0.0004 rad/s, gz = -0.0056 rad/s, erpm_pitch =    0, erpm_roll = 7542, I_w_pitch = -0.0000 A, I_w_roll =  3.0670 A, theta_roll_comp = -52.0297 mrad 
msg =  435, time steps =   10, qsz =    2, switch = on, t =     8702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5155, ay = -0.4255, az =  9.9363, gx = -0.0059 rad/s, gy =  0.0003 rad/s, gz =  0.0100 rad/s, erpm_pitch =    0, erpm_roll = 7661, I_w_pitch = -0.0000 A, I_w_roll =  2.9933 A, theta_roll_comp = -52.0183 mrad 
msg =  436, time steps =   10, qsz =    2, switch = on, t =     8722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5346, ay = -0.5382, az =  9.9135, gx = -0.0051 rad/s, gy =  0.0015 rad/s, gz =  0.0156 rad/s, erpm_pitch =    0, erpm_roll = 7726, I_w_pitch = -0.0000 A, I_w_roll =  2.8501 A, theta_roll_comp = -52.0224 mrad 
msg =  437, time steps =   10, qsz =    2, switch = on, t =     8742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6209, ay = -0.3728, az =  9.9255, gx = -0.0051 rad/s, gy =  0.0007 rad/s, gz =  0.0055 rad/s, erpm_pitch =    0, erpm_roll = 7726, I_w_pitch = -0.0000 A, I_w_roll =  2.8491 A, theta_roll_comp = -52.0161 mrad 
msg =  438, time steps =   10, qsz =    2, switch = on, t =     8762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5586, ay = -0.4459, az =  9.9363, gx = -0.0050 rad/s, gy =  0.0002 rad/s, gz = -0.0108 rad/s, erpm_pitch =    0, erpm_roll = 7852, I_w_pitch = -0.0000 A, I_w_roll =  2.8163 A, theta_roll_comp = -51.9612 mrad 
msg =  439, time steps =   10, qsz =    2, switch = on, t =     8782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5526, ay = -0.4639, az =  9.9195, gx = -0.0065 rad/s, gy =  0.0002 rad/s, gz = -0.0129 rad/s, erpm_pitch =    0, erpm_roll = 7852, I_w_pitch = -0.0000 A, I_w_roll =  3.0759 A, theta_roll_comp = -51.9356 mrad 
msg =  440, time steps =   10, qsz =    2, switch = on, t =     8802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5898, ay = -0.4327, az =  9.9303, gx = -0.0067 rad/s, gy =  0.0019 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = 7982, I_w_pitch = -0.0000 A, I_w_roll =  3.1335 A, theta_roll_comp = -51.9958 mrad 
