picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -12.2518 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = -84.2874 mrad, 
msg =  137, time steps =   10, qsz =    2, switch = on, t =     2742 ms, ax =  0.5538, ay = -0.8343, az =  9.9950, gx = -0.0344 rad/s, gy = -0.0008 rad/s, gz =  0.0290 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -387.1989 A, theta_roll_comp = -39.7377 mrad, theta_setpoint = -2498.4773 mrad, 
msg =  138, time steps =   10, qsz =    2, switch = on, t =     2762 ms, ax =  0.6713, ay = -0.6833, az =  9.9075, gx = -0.0270 rad/s, gy =  0.0022 rad/s, gz =  0.0387 rad/s, erpm_pitch =    0, erpm_roll = -11709, I_w_pitch = -0.0000 A, I_w_roll = -388.1909 A, theta_roll_comp = -41.0866 mrad, theta_setpoint = -2497.6375 mrad, 
msg =  139, time steps =   10, qsz =    2, switch = on, t =     2782 ms, ax =  0.7576, ay = -0.5802, az =  9.8823, gx = -0.0231 rad/s, gy =  0.0012 rad/s, gz = -0.0297 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -388.7142 A, theta_roll_comp = -41.9506 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  140, time steps =   10, qsz =    2, switch = on, t =     2802 ms, ax =  0.5502, ay = -0.7037, az =  9.9579, gx = -0.0181 rad/s, gy =  0.0012 rad/s, gz = -0.0334 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -389.5040 A, theta_roll_comp = -42.7066 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  141, time steps =   10, qsz =    2, switch = on, t =     2822 ms, ax =  0.4891, ay = -0.6941, az =  9.9555, gx = -0.0111 rad/s, gy =  0.0058 rad/s, gz =  0.0318 rad/s, erpm_pitch =    0, erpm_roll = -11707, I_w_pitch = -0.0000 A, I_w_roll = -390.5868 A, theta_roll_comp = -43.5187 mrad, theta_setpoint = -2497.2178 mrad, 
msg =  142, time steps =   10, qsz =    2, switch = on, t =     2842 ms, ax =  0.6245, ay = -0.4076, az =  9.8620, gx = -0.0093 rad/s, gy =  0.0071 rad/s, gz =  0.0173 rad/s, erpm_pitch =    0, erpm_roll = -11707, I_w_pitch = -0.0000 A, I_w_roll = -390.8616 A, theta_roll_comp = -43.8985 mrad, theta_setpoint = -2497.2178 mrad, 
msg =  143, time steps =   10, qsz =    2, switch = on, t =     2862 ms, ax =  0.6126, ay = -0.3848, az =  9.9255, gx = -0.0087 rad/s, gy =  0.0034 rad/s, gz = -0.0431 rad/s, erpm_pitch =    0, erpm_roll = -11706, I_w_pitch = -0.0000 A, I_w_roll = -390.9099 A, theta_roll_comp = -43.9857 mrad, theta_setpoint = -2497.0078 mrad, 
msg =  144, time steps =   10, qsz =    2, switch = on, t =     2882 ms, ax =  0.4531, ay = -0.5646, az =  9.9950, gx = -0.0054 rad/s, gy =  0.0015 rad/s, gz = -0.0145 rad/s, erpm_pitch =    0, erpm_roll = -11705, I_w_pitch = -0.0000 A, I_w_roll = -391.4413 A, theta_roll_comp = -44.1993 mrad, theta_setpoint = -2496.7981 mrad, 
msg =  145, time steps =   10, qsz =    2, switch = on, t =     2902 ms, ax =  0.4531, ay = -0.5286, az =  9.9339, gx = -0.0029 rad/s, gy =  0.0022 rad/s, gz =  0.0457 rad/s, erpm_pitch =    0, erpm_roll = -11705, I_w_pitch = -0.0000 A, I_w_roll = -391.8448 A, theta_roll_comp = -44.5234 mrad, theta_setpoint = -2496.7981 mrad, 
msg =  146, time steps =   10, qsz =    2, switch = on, t =     2922 ms, ax =  0.6557, ay = -0.3189, az =  9.8560, gx = -0.0039 rad/s, gy =  0.0003 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll = -11706, I_w_pitch = -0.0000 A, I_w_roll = -391.6931 A, theta_roll_comp = -44.4834 mrad, theta_setpoint = -2497.0078 mrad, 
msg =  147, time steps =   10, qsz =    2, switch = on, t =     2942 ms, ax =  0.6269, ay = -0.3416, az =  9.9603, gx = -0.0042 rad/s, gy = -0.0032 rad/s, gz = -0.0415 rad/s, erpm_pitch =    0, erpm_roll = -11706, I_w_pitch = -0.0000 A, I_w_roll = -391.6703 A, theta_roll_comp = -44.3263 mrad, theta_setpoint = -2497.0078 mrad, 
msg =  148, time steps =   10, qsz =    2, switch = on, t =     2962 ms, ax =  0.4963, ay = -0.5346, az = 10.0130, gx = -0.0020 rad/s, gy = -0.0017 rad/s, gz =  0.0120 rad/s, erpm_pitch =    0, erpm_roll = -11706, I_w_pitch = -0.0000 A, I_w_roll = -392.0535 A, theta_roll_comp = -44.4778 mrad, theta_setpoint = -2497.0078 mrad, 
msg =  149, time steps =   10, qsz =    2, switch = on, t =     2982 ms, ax =  0.6161, ay = -0.4040, az =  9.9123, gx = -0.0025 rad/s, gy =  0.0023 rad/s, gz =  0.0474 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -391.9994 A, theta_roll_comp = -44.6370 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  150, time steps =   10, qsz =    2, switch = on, t =     3002 ms, ax =  0.6773, ay = -0.2949, az =  9.8847, gx = -0.0051 rad/s, gy =  0.0010 rad/s, gz = -0.0149 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -391.5508 A, theta_roll_comp = -44.4448 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  151, time steps =   10, qsz =    2, switch = on, t =     3022 ms, ax =  0.6581, ay = -0.4507, az =  9.9794, gx = -0.0049 rad/s, gy =  0.0003 rad/s, gz = -0.0434 rad/s, erpm_pitch =    0, erpm_roll = -11709, I_w_pitch = -0.0000 A, I_w_roll = -391.6497 A, theta_roll_comp = -44.3362 mrad, theta_setpoint = -2497.6375 mrad, 
msg =  152, time steps =   10, qsz =    2, switch = on, t =     3042 ms, ax =  0.4807, ay = -0.5418, az =  9.9986, gx = -0.0041 rad/s, gy =  0.0039 rad/s, gz =  0.0226 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -391.7225 A, theta_roll_comp = -44.5698 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  153, time steps =   10, qsz =    2, switch = on, t =     3062 ms, ax =  0.6341, ay = -0.3368, az =  9.8991, gx = -0.0057 rad/s, gy =  0.0056 rad/s, gz =  0.0365 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -391.4193 A, theta_roll_comp = -44.6668 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  154, time steps =   10, qsz =    2, switch = on, t =     3082 ms, ax =  0.6629, ay = -0.2601, az =  9.8679, gx = -0.0067 rad/s, gy =  0.0016 rad/s, gz = -0.0308 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -391.2615 A, theta_roll_comp = -44.4548 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  155, time steps =   10, qsz =    2, switch = on, t =     3102 ms, ax =  0.4723, ay = -0.5179, az =  9.9447, gx = -0.0065 rad/s, gy = -0.0014 rad/s, gz = -0.0317 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -391.3168 A, theta_roll_comp = -44.4090 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  156, time steps =   10, qsz =    2, switch = on, t =     3122 ms, ax =  0.4723, ay = -0.5262, az =  9.9459, gx = -0.0062 rad/s, gy =  0.0006 rad/s, gz =  0.0385 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -391.4891 A, theta_roll_comp = -44.6812 mrad, theta_setpoint = -2498.4773 mrad, 
msg =  157, time steps =   10, qsz =    2, switch = on, t =     3142 ms, ax =  0.6749, ay = -0.2541, az =  9.8943, gx = -0.0079 rad/s, gy =  0.0008 rad/s, gz =  0.0234 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -391.2173 A, theta_roll_comp = -44.6422 mrad, theta_setpoint = -2498.6870 mrad, 
msg =  158, time steps =   10, qsz =    2, switch = on, t =     3162 ms, ax =  0.6989, ay = -0.3069, az =  9.9219, gx = -0.0094 rad/s, gy = -0.0017 rad/s, gz = -0.0368 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -390.9791 A, theta_roll_comp = -44.4837 mrad, theta_setpoint = -2498.6870 mrad, 
msg =  159, time steps =   10, qsz =    2, switch = on, t =     3182 ms, ax =  0.5574, ay = -0.5143, az = 10.0106, gx = -0.0095 rad/s, gy = -0.0009 rad/s, gz = -0.0108 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -390.9676 A, theta_roll_comp = -44.6152 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  160, time steps =   10, qsz =    2, switch = on, t =     3202 ms, ax =  0.5047, ay = -0.4939, az =  9.9495, gx = -0.0094 rad/s, gy =  0.0030 rad/s, gz =  0.0471 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -390.9420 A, theta_roll_comp = -44.9248 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  161, time steps =   10, qsz =    2, switch = on, t =     3222 ms, ax =  0.7228, ay = -0.2278, az =  9.8691, gx = -0.0123 rad/s, gy =  0.0030 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -390.4819 A, theta_roll_comp = -44.9253 mrad, theta_setpoint = -2499.3167 mrad, 
msg =  162, time steps =   10, qsz =    2, switch = on, t =     3242 ms, ax =  0.6713, ay = -0.3009, az =  9.9531, gx = -0.0143 rad/s, gy =  0.0002 rad/s, gz = -0.0461 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -390.1013 A, theta_roll_comp = -44.8472 mrad, theta_setpoint = -2499.1069 mrad, 
msg =  163, time steps =   10, qsz =    2, switch = on, t =     3262 ms, ax =  0.4339, ay = -0.5167, az =  9.9938, gx = -0.0129 rad/s, gy =  0.0027 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -390.3159 A, theta_roll_comp = -45.1531 mrad, theta_setpoint = -2499.1069 mrad, 
msg =  164, time steps =   10, qsz =    2, switch = on, t =     3282 ms, ax =  0.5238, ay = -0.3932, az =  9.9135, gx = -0.0135 rad/s, gy =  0.0051 rad/s, gz =  0.0449 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -390.0780 A, theta_roll_comp = -45.4711 mrad, theta_setpoint = -2498.6870 mrad, 
msg =  165, time steps =   10, qsz =    2, switch = on, t =     3302 ms, ax =  0.5898, ay = -0.2146, az =  9.8452, gx = -0.0162 rad/s, gy =  0.0010 rad/s, gz = -0.0157 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -389.6038 A, theta_roll_comp = -45.4396 mrad, theta_setpoint = -2498.6870 mrad, 
msg =  166, time steps =   10, qsz =    2, switch = on, t =     3322 ms, ax =  0.6713, ay = -0.3932, az =  9.9698, gx = -0.0167 rad/s, gy = -0.0025 rad/s, gz = -0.0413 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -389.4953 A, theta_roll_comp = -45.5184 mrad, theta_setpoint = -2498.6870 mrad, 
msg =  167, time steps =   10, qsz =    2, switch = on, t =     3342 ms, ax =  0.4471, ay = -0.5454, az = 10.0166, gx = -0.0159 rad/s, gy =  0.0006 rad/s, gz =  0.0256 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -389.6692 A, theta_roll_comp = -45.9597 mrad, theta_setpoint = -2499.3167 mrad, 
msg =  168, time steps =   10, qsz =    2, switch = on, t =     3362 ms, ax =  0.6137, ay = -0.3476, az =  9.9159, gx = -0.0179 rad/s, gy =  0.0019 rad/s, gz =  0.0403 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -389.2633 A, theta_roll_comp = -46.2498 mrad, theta_setpoint = -2499.3167 mrad, 
msg =  169, time steps =   10, qsz =    2, switch = on, t =     3382 ms, ax =  0.7013, ay = -0.2829, az =  9.8907, gx = -0.0206 rad/s, gy = -0.0014 rad/s, gz = -0.0289 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -388.6760 A, theta_roll_comp = -46.2949 mrad, theta_setpoint = -2498.6870 mrad, 
msg =  170, time steps =   10, qsz =    2, switch = on, t =     3402 ms, ax =  0.6018, ay = -0.4663, az =  9.9423, gx = -0.0213 rad/s, gy = -0.0020 rad/s, gz = -0.0316 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -388.5217 A, theta_roll_comp = -46.5099 mrad, theta_setpoint = -2498.6870 mrad, 
msg =  171, time steps =   10, qsz =    2, switch = on, t =     3422 ms, ax =  0.5370, ay = -0.5538, az =  9.9746, gx = -0.0210 rad/s, gy =  0.0015 rad/s, gz =  0.0365 rad/s, erpm_pitch =    0, erpm_roll = -11719, I_w_pitch = -0.0000 A, I_w_roll = -388.6513 A, theta_roll_comp = -47.0490 mrad, theta_setpoint = -2499.7366 mrad, 
msg =  172, time steps =   10, qsz =    2, switch = on, t =     3442 ms, ax =  0.6761, ay = -0.2925, az =  9.8691, gx = -0.0237 rad/s, gy =  0.0034 rad/s, gz =  0.0234 rad/s, erpm_pitch =    0, erpm_roll = -11718, I_w_pitch = -0.0000 A, I_w_roll = -388.0901 A, theta_roll_comp = -47.3505 mrad, theta_setpoint = -2499.5266 mrad, 
msg =  173, time steps =   10, qsz =    2, switch = on, t =     3462 ms, ax =  0.6329, ay = -0.3620, az =  9.8991, gx = -0.0257 rad/s, gy =  0.0006 rad/s, gz = -0.0401 rad/s, erpm_pitch =    0, erpm_roll = -11718, I_w_pitch = -0.0000 A, I_w_roll = -387.7096 A, theta_roll_comp = -47.4821 mrad, theta_setpoint = -2499.5266 mrad, 
msg =  174, time steps =   10, qsz =    2, switch = on, t =     3482 ms, ax =  0.5167, ay = -0.5322, az =  9.9782, gx = -0.0258 rad/s, gy =  0.0008 rad/s, gz = -0.0132 rad/s, erpm_pitch =    0, erpm_roll = -11722, I_w_pitch = -0.0000 A, I_w_roll = -387.7542 A, theta_roll_comp = -47.8932 mrad, theta_setpoint = -2500.3662 mrad, 
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, ax =  0.4519, ay = -0.4663, az =  9.9327, gx = -0.0257 rad/s, gy =  0.0034 rad/s, gz =  0.0454 rad/s, erpm_pitch =    0, erpm_roll = -11721, I_w_pitch = -0.0000 A, I_w_roll = -387.6510 A, theta_roll_comp = -48.4778 mrad, theta_setpoint = -2500.1562 mrad, 
msg =  176, time steps =   10, qsz =    2, switch = on, t =     3522 ms, ax =  0.6713, ay = -0.2865, az =  9.8512, gx = -0.0288 rad/s, gy =  0.0008 rad/s, gz =  0.0065 rad/s, erpm_pitch =    0, erpm_roll = -11721, I_w_pitch = -0.0000 A, I_w_roll = -387.0271 A, theta_roll_comp = -48.7817 mrad, theta_setpoint = -2500.1562 mrad, 
msg =  177, time steps =   10, qsz =    2, switch = on, t =     3542 ms, ax =  0.6377, ay = -0.3452, az =  9.9411, gx = -0.0314 rad/s, gy = -0.0026 rad/s, gz = -0.0421 rad/s, erpm_pitch =    0, erpm_roll = -11723, I_w_pitch = -0.0000 A, I_w_roll = -386.6101 A, theta_roll_comp = -48.9620 mrad, theta_setpoint = -2500.5759 mrad, 
msg =  178, time steps =   10, qsz =    2, switch = on, t =     3562 ms, ax =  0.4627, ay = -0.5262, az = 10.0094, gx = -0.0308 rad/s, gy = -0.0006 rad/s, gz =  0.0084 rad/s, erpm_pitch =    0, erpm_roll = -11723, I_w_pitch = -0.0000 A, I_w_roll = -386.6096 A, theta_roll_comp = -49.5642 mrad, theta_setpoint = -2500.5759 mrad, 
msg =  179, time steps =   10, qsz =    2, switch = on, t =     3582 ms, ax =  0.5706, ay = -0.3968, az =  9.9291, gx = -0.0318 rad/s, gy =  0.0026 rad/s, gz =  0.0485 rad/s, erpm_pitch =    0, erpm_roll = -11723, I_w_pitch = -0.0000 A, I_w_roll = -386.3431 A, theta_roll_comp = -50.1812 mrad, theta_setpoint = -2500.5759 mrad, 
msg =  180, time steps =   10, qsz =    2, switch = on, t =     3602 ms, ax =  0.6557, ay = -0.2565, az =  9.8500, gx = -0.0354 rad/s, gy =  0.0004 rad/s, gz = -0.0095 rad/s, erpm_pitch =    0, erpm_roll = -11721, I_w_pitch = -0.0000 A, I_w_roll = -385.5774 A, theta_roll_comp = -50.5027 mrad, theta_setpoint = -2500.1562 mrad, 
msg =  181, time steps =   10, qsz =    2, switch = on, t =     3622 ms, ax =  0.6977, ay = -0.4315, az =  9.9818, gx = -0.0378 rad/s, gy = -0.0024 rad/s, gz = -0.0409 rad/s, erpm_pitch =    0, erpm_roll = -11721, I_w_pitch = -0.0000 A, I_w_roll = -385.0834 A, theta_roll_comp = -50.8935 mrad, theta_setpoint = -2500.1562 mrad, 
msg =  182, time steps =   10, qsz =    2, switch = on, t =     3642 ms, ax =  0.5023, ay = -0.5922, az = 10.0034, gx = -0.0374 rad/s, gy =  0.0010 rad/s, gz =  0.0248 rad/s, erpm_pitch =    0, erpm_roll = -11719, I_w_pitch = -0.0000 A, I_w_roll = -384.9648 A, theta_roll_comp = -51.6647 mrad, theta_setpoint = -2499.7366 mrad, 
msg =  183, time steps =   10, qsz =    2, switch = on, t =     3662 ms, ax =  0.6054, ay = -0.3908, az =  9.8943, gx = -0.0388 rad/s, gy =  0.0036 rad/s, gz =  0.0414 rad/s, erpm_pitch =    0, erpm_roll = -11719, I_w_pitch = -0.0000 A, I_w_roll = -384.5905 A, theta_roll_comp = -52.3564 mrad, theta_setpoint = -2499.7366 mrad, 
msg =  184, time steps =   10, qsz =    2, switch = on, t =     3682 ms, ax =  0.6749, ay = -0.2733, az =  9.8560, gx = -0.0432 rad/s, gy =  0.0007 rad/s, gz = -0.0260 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -383.6656 A, theta_roll_comp = -52.7740 mrad, theta_setpoint = -2499.3167 mrad, 
msg =  185, time steps =   10, qsz =    2, switch = on, t =     3702 ms, ax =  0.4927, ay = -0.5718, az =  9.9662, gx = -0.0447 rad/s, gy = -0.0012 rad/s, gz = -0.0317 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -383.3021 A, theta_roll_comp = -53.3982 mrad, theta_setpoint = -2499.3167 mrad, 
msg =  186, time steps =   10, qsz =    2, switch = on, t =     3722 ms, ax =  0.4795, ay = -0.6114, az =  9.9615, gx = -0.0440 rad/s, gy =  0.0010 rad/s, gz =  0.0371 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -383.2689 A, theta_roll_comp = -54.3545 mrad, theta_setpoint = -2499.3167 mrad, 
msg =  187, time steps =   10, qsz =    2, switch = on, t =     3742 ms, ax =  0.6245, ay = -0.3285, az =  9.8727, gx = -0.0466 rad/s, gy =  0.0015 rad/s, gz =  0.0270 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -382.6349 A, theta_roll_comp = -55.0506 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  188, time steps =   10, qsz =    2, switch = on, t =     3762 ms, ax =  0.6485, ay = -0.3476, az =  9.9207, gx = -0.0515 rad/s, gy = -0.0020 rad/s, gz = -0.0325 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -381.6635 A, theta_roll_comp = -55.5796 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  189, time steps =   10, qsz =    2, switch = on, t =     3782 ms, ax =  0.4903, ay = -0.5718, az = 10.0310, gx = -0.0520 rad/s, gy = -0.0014 rad/s, gz = -0.0131 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -381.4254 A, theta_roll_comp = -56.4681 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  190, time steps =   10, qsz =    2, switch = on, t =     3802 ms, ax =  0.5083, ay = -0.5802, az =  9.9447, gx = -0.0514 rad/s, gy =  0.0014 rad/s, gz =  0.0475 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -381.3103 A, theta_roll_comp = -57.5168 mrad, theta_setpoint = -2498.4773 mrad, 
msg =  191, time steps =   10, qsz =    2, switch = on, t =     3822 ms, ax =  0.7049, ay = -0.3764, az =  9.8188, gx = -0.0555 rad/s, gy =  0.0004 rad/s, gz =  0.0113 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -380.4386 A, theta_roll_comp = -58.3212 mrad, theta_setpoint = -2498.4773 mrad, 
