picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6209, ay = -0.2913, az =  9.9279, gx =  0.0067 rad/s, gy =  0.0027 rad/s, gz = -0.0334 rad/s, erpm_pitch =    0, erpm_roll = -11310, I_w_pitch = -0.0000 A, I_w_roll = -5.5666 A, theta_roll_comp = -12.7502 mrad 
msg =  484, time steps =   10, qsz =    2, switch = on, t =     9682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5670, ay = -0.6617, az =  9.9387, gx = -0.0137 rad/s, gy =  0.0028 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll = -5819, I_w_pitch = -0.0000 A, I_w_roll = -0.3182 A, theta_roll_comp = -22.6337 mrad 
msg =  485, time steps =   10, qsz =    2, switch = on, t =     9702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5802, ay = -0.5083, az =  9.9387, gx = -0.0074 rad/s, gy =  0.0036 rad/s, gz = -0.0104 rad/s, erpm_pitch =    0, erpm_roll = -5819, I_w_pitch = -0.0000 A, I_w_roll = -1.3346 A, theta_roll_comp = -23.3212 mrad 
msg =  486, time steps =   10, qsz =    2, switch = on, t =     9722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.4279, az =  9.9638, gx = -0.0017 rad/s, gy =  0.0036 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = -4643, I_w_pitch = -0.0000 A, I_w_roll = -2.3025 A, theta_roll_comp = -23.7131 mrad 
msg =  487, time steps =   10, qsz =    2, switch = on, t =     9742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.3788, az =  9.9327, gx =  0.0038 rad/s, gy =  0.0031 rad/s, gz =  0.0089 rad/s, erpm_pitch =    0, erpm_roll = -4137, I_w_pitch = -0.0000 A, I_w_roll = -3.2660 A, theta_roll_comp = -23.8332 mrad 
msg =  488, time steps =   10, qsz =    2, switch = on, t =     9762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5418, ay = -0.3848, az =  9.8931, gx =  0.0074 rad/s, gy =  0.0016 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = -4137, I_w_pitch = -0.0000 A, I_w_roll = -3.9194 A, theta_roll_comp = -23.7943 mrad 
msg =  489, time steps =   10, qsz =    2, switch = on, t =     9782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5490, ay = -0.2841, az =  9.9399, gx =  0.0099 rad/s, gy =  0.0014 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = -3280, I_w_pitch = -0.0000 A, I_w_roll = -4.3930 A, theta_roll_comp = -23.6803 mrad 
msg =  490, time steps =   10, qsz =    2, switch = on, t =     9802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.2290, az =  9.9555, gx =  0.0128 rad/s, gy =  0.0006 rad/s, gz =  0.0057 rad/s, erpm_pitch =    0, erpm_roll = -3280, I_w_pitch = -0.0000 A, I_w_roll = -4.9589 A, theta_roll_comp = -23.4389 mrad 
msg =  491, time steps =   10, qsz =    2, switch = on, t =     9822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5922, ay = -0.2146, az =  9.9423, gx =  0.0140 rad/s, gy =  0.0006 rad/s, gz =  0.0044 rad/s, erpm_pitch =    0, erpm_roll = -2636, I_w_pitch = -0.0000 A, I_w_roll = -5.2363 A, theta_roll_comp = -23.0535 mrad 
msg =  492, time steps =   10, qsz =    2, switch = on, t =     9842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6126, ay = -0.1450, az =  9.9471, gx =  0.0134 rad/s, gy =  0.0012 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -2362, I_w_pitch = -0.0000 A, I_w_roll = -5.1873 A, theta_roll_comp = -22.6107 mrad 
msg =  493, time steps =   10, qsz =    2, switch = on, t =     9862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6173, ay = -0.1151, az =  9.9483, gx =  0.0126 rad/s, gy =  0.0026 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = -2362, I_w_pitch = -0.0000 A, I_w_roll = -5.1256 A, theta_roll_comp = -22.0976 mrad 
msg =  494, time steps =   10, qsz =    2, switch = on, t =     9882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6126, ay = -0.0575, az =  9.9483, gx =  0.0111 rad/s, gy =  0.0039 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -1955, I_w_pitch = -0.0000 A, I_w_roll = -4.9455 A, theta_roll_comp = -21.5753 mrad 
msg =  495, time steps =   10, qsz =    2, switch = on, t =     9902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.0396, az =  9.9459, gx =  0.0084 rad/s, gy =  0.0050 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = -1818, I_w_pitch = -0.0000 A, I_w_roll = -4.5496 A, theta_roll_comp = -21.0538 mrad 
msg =  496, time steps =   10, qsz =    2, switch = on, t =     9922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5071, ay = -0.0503, az =  9.9243, gx =  0.0071 rad/s, gy =  0.0044 rad/s, gz = -0.0021 rad/s, erpm_pitch =    0, erpm_roll = -1818, I_w_pitch = -0.0000 A, I_w_roll = -4.3815 A, theta_roll_comp = -20.6064 mrad 
msg =  497, time steps =   10, qsz =    2, switch = on, t =     9942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4843, ay = -0.0563, az =  9.9315, gx =  0.0059 rad/s, gy =  0.0031 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -1567, I_w_pitch = -0.0000 A, I_w_roll = -4.2278 A, theta_roll_comp = -20.2185 mrad 
msg =  498, time steps =   10, qsz =    2, switch = on, t =     9962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5011, ay = -0.0815, az =  9.9315, gx =  0.0054 rad/s, gy =  0.0014 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -1567, I_w_pitch = -0.0000 A, I_w_roll = -4.1863 A, theta_roll_comp = -19.8787 mrad 
msg =  499, time steps =   10, qsz =    2, switch = on, t =     9982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5394, ay = -0.0468, az =  9.9411, gx =  0.0023 rad/s, gy = -0.0002 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -1365, I_w_pitch = -0.0000 A, I_w_roll = -3.6851 A, theta_roll_comp = -19.5661 mrad 
msg =  500, time steps =   10, qsz =    2, switch = on, t =    10002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5766, ay = -0.0491, az =  9.9507, gx =  0.0008 rad/s, gy =  0.0000 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = -1303, I_w_pitch = -0.0000 A, I_w_roll = -3.4725 A, theta_roll_comp = -19.2471 mrad 
msg =  501, time steps =   10, qsz =    2, switch = on, t =    10022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6102, ay = -0.0707, az =  9.9255, gx = -0.0002 rad/s, gy =  0.0007 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = -1303, I_w_pitch = -0.0000 A, I_w_roll = -3.3263 A, theta_roll_comp = -18.9622 mrad 
msg =  502, time steps =   10, qsz =    2, switch = on, t =    10042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6185, ay = -0.0503, az =  9.9447, gx = -0.0037 rad/s, gy =  0.0016 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = -1151, I_w_pitch = -0.0000 A, I_w_roll = -2.7420 A, theta_roll_comp = -18.7194 mrad 
msg =  503, time steps =   10, qsz =    2, switch = on, t =    10062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6030, ay = -0.0432, az =  9.9447, gx = -0.0063 rad/s, gy =  0.0036 rad/s, gz = -0.0033 rad/s, erpm_pitch =    0, erpm_roll = -1151, I_w_pitch = -0.0000 A, I_w_roll = -2.2938 A, theta_roll_comp = -18.5248 mrad 
msg =  504, time steps =   10, qsz =    2, switch = on, t =    10082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5730, ay = -0.0659, az =  9.9363, gx = -0.0071 rad/s, gy =  0.0035 rad/s, gz = -0.0032 rad/s, erpm_pitch =    0, erpm_roll = -1020, I_w_pitch = -0.0000 A, I_w_roll = -2.1667 A, theta_roll_comp = -18.4202 mrad 
msg =  505, time steps =   10, qsz =    2, switch = on, t =    10102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5119, ay = -0.0803, az =  9.9411, gx = -0.0091 rad/s, gy =  0.0034 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -947, I_w_pitch = -0.0000 A, I_w_roll = -1.8127 A, theta_roll_comp = -18.3858 mrad 
msg =  506, time steps =   10, qsz =    2, switch = on, t =    10122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5143, ay = -0.0767, az =  9.9183, gx = -0.0121 rad/s, gy =  0.0034 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = -947, I_w_pitch = -0.0000 A, I_w_roll = -1.2827 A, theta_roll_comp = -18.4030 mrad 
msg =  507, time steps =   10, qsz =    2, switch = on, t =    10142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5107, ay = -0.1091, az =  9.9267, gx = -0.0099 rad/s, gy =  0.0012 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = -836, I_w_pitch = -0.0000 A, I_w_roll = -1.6573 A, theta_roll_comp = -18.4586 mrad 
msg =  508, time steps =   10, qsz =    2, switch = on, t =    10162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4879, ay = -0.2242, az =  9.9375, gx = -0.0077 rad/s, gy =  0.0000 rad/s, gz =  0.0047 rad/s, erpm_pitch =    0, erpm_roll = -836, I_w_pitch = -0.0000 A, I_w_roll = -2.0365 A, theta_roll_comp = -18.6348 mrad 
msg =  509, time steps =   10, qsz =    2, switch = on, t =    10182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5059, ay = -0.2913, az =  9.9495, gx = -0.0077 rad/s, gy = -0.0006 rad/s, gz =  0.0084 rad/s, erpm_pitch =    0, erpm_roll = -630, I_w_pitch = -0.0000 A, I_w_roll = -1.9857 A, theta_roll_comp = -18.9525 mrad 
msg =  510, time steps =   10, qsz =    2, switch = on, t =    10202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5490, ay = -0.3249, az =  9.9447, gx = -0.0034 rad/s, gy = -0.0017 rad/s, gz =  0.0121 rad/s, erpm_pitch =    0, erpm_roll = -525, I_w_pitch = -0.0000 A, I_w_roll = -2.6993 A, theta_roll_comp = -19.2857 mrad 
msg =  511, time steps =   10, qsz =    2, switch = on, t =    10222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5838, ay = -0.3536, az =  9.9375, gx =  0.0036 rad/s, gy = -0.0024 rad/s, gz =  0.0110 rad/s, erpm_pitch =    0, erpm_roll = -525, I_w_pitch = -0.0000 A, I_w_roll = -3.9269 A, theta_roll_comp = -19.5529 mrad 
msg =  512, time steps =   10, qsz =    2, switch = on, t =    10242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6245, ay = -0.3632, az =  9.9483, gx =  0.0070 rad/s, gy = -0.0010 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = -349, I_w_pitch = -0.0000 A, I_w_roll = -4.4948 A, theta_roll_comp = -19.7486 mrad 
msg =  513, time steps =   10, qsz =    2, switch = on, t =    10262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6533, ay = -0.3057, az =  9.9495, gx =  0.0102 rad/s, gy =  0.0006 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -424, I_w_pitch = -0.0000 A, I_w_roll = -5.0586 A, theta_roll_comp = -19.8198 mrad 
msg =  514, time steps =   10, qsz =    2, switch = on, t =    10282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6461, ay = -0.2709, az =  9.9435, gx =  0.0156 rad/s, gy =  0.0027 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = -424, I_w_pitch = -0.0000 A, I_w_roll = -6.0634 A, theta_roll_comp = -19.6818 mrad 
msg =  515, time steps =   10, qsz =    2, switch = on, t =    10302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6137, ay = -0.2601, az =  9.9459, gx =  0.0194 rad/s, gy =  0.0043 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -433, I_w_pitch = -0.0000 A, I_w_roll = -6.7805 A, theta_roll_comp = -19.3941 mrad 
msg =  516, time steps =   10, qsz =    2, switch = on, t =    10322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5670, ay = -0.2230, az =  9.9363, gx =  0.0204 rad/s, gy =  0.0054 rad/s, gz = -0.0041 rad/s, erpm_pitch =    0, erpm_roll = -433, I_w_pitch = -0.0000 A, I_w_roll = -7.0307 A, theta_roll_comp = -19.0284 mrad 
msg =  517, time steps =   10, qsz =    2, switch = on, t =    10342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5262, ay = -0.2026, az =  9.9339, gx =  0.0221 rad/s, gy =  0.0052 rad/s, gz = -0.0044 rad/s, erpm_pitch =    0, erpm_roll = -476, I_w_pitch = -0.0000 A, I_w_roll = -7.4147 A, theta_roll_comp = -18.5761 mrad 
msg =  518, time steps =   10, qsz =    2, switch = on, t =    10362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4951, ay = -0.1642, az =  9.9327, gx =  0.0239 rad/s, gy =  0.0036 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = -547, I_w_pitch = -0.0000 A, I_w_roll = -7.8103 A, theta_roll_comp = -18.0510 mrad 
msg =  519, time steps =   10, qsz =    2, switch = on, t =    10382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4999, ay = -0.1271, az =  9.9327, gx =  0.0237 rad/s, gy =  0.0026 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = -547, I_w_pitch = -0.0000 A, I_w_roll = -7.8853 A, theta_roll_comp = -17.4323 mrad 
msg =  520, time steps =   10, qsz =    2, switch = on, t =    10402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5167, ay = -0.1103, az =  9.9183, gx =  0.0228 rad/s, gy =  0.0012 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = -769, I_w_pitch = -0.0000 A, I_w_roll = -7.8216 A, theta_roll_comp = -16.7816 mrad 
msg =  521, time steps =   10, qsz =    2, switch = on, t =    10422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5478, ay = -0.0372, az =  9.9279, gx =  0.0214 rad/s, gy =  0.0000 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = -769, I_w_pitch = -0.0000 A, I_w_roll = -7.6727 A, theta_roll_comp = -16.0648 mrad 
msg =  522, time steps =   10, qsz =    2, switch = on, t =    10442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5742, ay = -0.0240, az =  9.9423, gx =  0.0192 rad/s, gy =  0.0008 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -1127, I_w_pitch = -0.0000 A, I_w_roll = -7.4025 A, theta_roll_comp = -15.3566 mrad 
msg =  523, time steps =   10, qsz =    2, switch = on, t =    10462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6149, ay = -0.0156, az =  9.9315, gx =  0.0167 rad/s, gy =  0.0019 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -1356, I_w_pitch = -0.0000 A, I_w_roll = -7.0572 A, theta_roll_comp = -14.6687 mrad 
msg =  524, time steps =   10, qsz =    2, switch = on, t =    10482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6233, ay =  0.0360, az =  9.9567, gx =  0.0136 rad/s, gy =  0.0024 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -1356, I_w_pitch = -0.0000 A, I_w_roll = -6.6141 A, theta_roll_comp = -13.9928 mrad 
msg =  525, time steps =   10, qsz =    2, switch = on, t =    10502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6114, ay =  0.0635, az =  9.9375, gx =  0.0102 rad/s, gy =  0.0032 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -1877, I_w_pitch = -0.0000 A, I_w_roll = -6.0968 A, theta_roll_comp = -13.3308 mrad 
msg =  526, time steps =   10, qsz =    2, switch = on, t =    10522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5694, ay =  0.0444, az =  9.9399, gx =  0.0070 rad/s, gy =  0.0039 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -1877, I_w_pitch = -0.0000 A, I_w_roll = -5.6108 A, theta_roll_comp = -12.7734 mrad 
msg =  527, time steps =   10, qsz =    2, switch = on, t =    10542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.0060, az =  9.9195, gx =  0.0036 rad/s, gy =  0.0038 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = -2471, I_w_pitch = -0.0000 A, I_w_roll = -5.0864 A, theta_roll_comp = -12.3058 mrad 
msg =  528, time steps =   10, qsz =    2, switch = on, t =    10562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay =  0.0360, az =  9.9195, gx = -0.0006 rad/s, gy =  0.0020 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = -2782, I_w_pitch = -0.0000 A, I_w_roll = -4.3842 A, theta_roll_comp = -11.9012 mrad 
msg =  529, time steps =   10, qsz =    2, switch = on, t =    10582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5238, ay =  0.0515, az =  9.9459, gx = -0.0038 rad/s, gy =  0.0008 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -2782, I_w_pitch = -0.0000 A, I_w_roll = -3.8572 A, theta_roll_comp = -11.5997 mrad 
msg =  530, time steps =   10, qsz =    2, switch = on, t =    10602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5334, ay =  0.1223, az =  9.9303, gx = -0.0069 rad/s, gy =  0.0004 rad/s, gz = -0.0027 rad/s, erpm_pitch =    0, erpm_roll = -3420, I_w_pitch = -0.0000 A, I_w_roll = -3.3527 A, theta_roll_comp = -11.3077 mrad 
msg =  531, time steps =   10, qsz =    2, switch = on, t =    10622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5298, ay =  0.0767, az =  9.9267, gx = -0.0109 rad/s, gy = -0.0004 rad/s, gz = -0.0049 rad/s, erpm_pitch =    0, erpm_roll = -3420, I_w_pitch = -0.0000 A, I_w_roll = -2.6688 A, theta_roll_comp = -11.0881 mrad 
msg =  532, time steps =   10, qsz =    2, switch = on, t =    10642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5490, ay =  0.1151, az =  9.9626, gx = -0.0151 rad/s, gy =  0.0004 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = -4052, I_w_pitch = -0.0000 A, I_w_roll = -1.9226 A, theta_roll_comp = -10.9584 mrad 
msg =  533, time steps =   10, qsz =    2, switch = on, t =    10662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay =  0.1367, az =  9.9267, gx = -0.0198 rad/s, gy = -0.0001 rad/s, gz =  0.0096 rad/s, erpm_pitch =    0, erpm_roll = -4364, I_w_pitch = -0.0000 A, I_w_roll = -1.1015 A, theta_roll_comp = -10.8469 mrad 
msg =  534, time steps =   10, qsz =    2, switch = on, t =    10682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4927, ay =  0.1211, az =  9.9483, gx = -0.0238 rad/s, gy =  0.0019 rad/s, gz =  0.0088 rad/s, erpm_pitch =    0, erpm_roll = -4364, I_w_pitch = -0.0000 A, I_w_roll = -0.3881 A, theta_roll_comp = -10.8119 mrad 
msg =  535, time steps =   10, qsz =    2, switch = on, t =    10702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4987, ay =  0.0024, az =  9.9063, gx = -0.0262 rad/s, gy =  0.0010 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = -4952, I_w_pitch = -0.0000 A, I_w_roll =  0.0728 A, theta_roll_comp = -10.9962 mrad 
msg =  536, time steps =   10, qsz =    2, switch = on, t =    10722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5346, ay =  0.0012, az =  9.9279, gx = -0.0271 rad/s, gy =  0.0007 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = -5226, I_w_pitch = -0.0000 A, I_w_roll =  0.2982 A, theta_roll_comp = -11.3563 mrad 
msg =  537, time steps =   10, qsz =    2, switch = on, t =    10742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.0827, az =  9.9794, gx = -0.0271 rad/s, gy =  0.0014 rad/s, gz =  0.0029 rad/s, erpm_pitch =    0, erpm_roll = -5226, I_w_pitch = -0.0000 A, I_w_roll =  0.3739 A, theta_roll_comp = -11.8297 mrad 
msg =  538, time steps =   10, qsz =    2, switch = on, t =    10762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.1067, az =  9.9447, gx = -0.0270 rad/s, gy =  0.0015 rad/s, gz = -0.0035 rad/s, erpm_pitch =    0, erpm_roll = -5719, I_w_pitch = -0.0000 A, I_w_roll =  0.4409 A, theta_roll_comp = -12.3980 mrad 
msg =  539, time steps =   10, qsz =    2, switch = on, t =    10782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5886, ay = -0.1331, az =  9.8931, gx = -0.0266 rad/s, gy = -0.0008 rad/s, gz = -0.0049 rad/s, erpm_pitch =    0, erpm_roll = -5719, I_w_pitch = -0.0000 A, I_w_roll =  0.4595 A, theta_roll_comp = -12.9638 mrad 
msg =  540, time steps =   10, qsz =    2, switch = on, t =    10802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5011, ay = -0.1091, az =  9.9387, gx = -0.0262 rad/s, gy =  0.0004 rad/s, gz =  0.0064 rad/s, erpm_pitch =    0, erpm_roll = -6146, I_w_pitch = -0.0000 A, I_w_roll =  0.4670 A, theta_roll_comp = -13.4598 mrad 
msg =  541, time steps =   10, qsz =    2, switch = on, t =    10822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.0851, az =  9.9531, gx = -0.0257 rad/s, gy =  0.0014 rad/s, gz =  0.0112 rad/s, erpm_pitch =    0, erpm_roll = -6349, I_w_pitch = -0.0000 A, I_w_roll =  0.4412 A, theta_roll_comp = -13.8980 mrad 
msg =  542, time steps =   10, qsz =    2, switch = on, t =    10842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5742, ay = -0.1594, az =  9.9243, gx = -0.0257 rad/s, gy =  0.0018 rad/s, gz =  0.0091 rad/s, erpm_pitch =    0, erpm_roll = -6349, I_w_pitch = -0.0000 A, I_w_roll =  0.5186 A, theta_roll_comp = -14.3815 mrad 
msg =  543, time steps =   10, qsz =    2, switch = on, t =    10862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6078, ay = -0.1307, az =  9.8835, gx = -0.0247 rad/s, gy =  0.0006 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -6722, I_w_pitch = -0.0000 A, I_w_roll =  0.4240 A, theta_roll_comp = -14.8388 mrad 
